zona,municipio_cod,x_centroide,y_centroide,municipio
89,36.0,327106.3965517241,7395935.810344827,São Paulo
90,36.0,327787.71460674156,7396750.95730337,São Paulo
91,36.0,328350.2836185819,7398263.06601467,São Paulo
92,36.0,330213.80278422276,7397668.1113689095,São Paulo
93,36.0,329924.8654503991,7396765.824401368,São Paulo
94,36.0,328508.7129094412,7397243.394990366,São Paulo
95,36.0,326535.0477137177,7394895.500994036,São Paulo
96,36.0,325577.8882978723,7394328.361702127,São Paulo
97,36.0,324617.92055485497,7395306.042875158,São Paulo
98,36.0,324549.13597733714,7398390.685552408,São Paulo
99,36.0,326331.15222482436,7398374.058548009,São Paulo
100,36.0,326310.3855855856,7397564.417117117,São Paulo
101,36.0,326496.2589928057,7396483.877697841,São Paulo
102,36.0,325091.320083682,7396646.826359833,São Paulo
103,36.0,324784.2962962963,7397564.358024691,São Paulo
104,36.0,323692.845,7397468.605,São Paulo
105,36.0,323738.6531986532,7396476.947811448,São Paulo
106,36.0,322820.66150442476,7395965.174778761,São Paulo
107,36.0,323132.04354354355,7397141.252252252,São Paulo
108,36.0,322499.6388206388,7397627.275184276,São Paulo
109,36.0,323531.68488160294,7402463.916211293,São Paulo
110,36.0,324540.9344262295,7400295.508196721,São Paulo
111,36.0,322394.86333333334,7400121.586666667,São Paulo
112,36.0,320599.13475177303,7401677.092198581,São Paulo
113,36.0,321424.0316742081,7398699.171945701,São Paulo
115,36.0,321388.2536443149,7405598.253644315,São Paulo
116,36.0,323850.9005128205,7406481.9928205125,São Paulo
117,36.0,316623.01994301996,7406909.222222222,São Paulo
118,36.0,318456.2029850746,7407011.011940299,São Paulo
119,36.0,321252.40769230766,7409994.625641026,São Paulo
121,36.0,327832.47658402205,7405190.228650138,São Paulo
122,36.0,325888.0131578947,7405206.307017544,São Paulo
123,36.0,327662.0401459854,7404088.04379562,São Paulo
124,36.0,328210.77777777775,7403230.935802469,São Paulo
125,36.0,326076.8403614458,7402733.057228915,São Paulo
126,36.0,327891.3109243697,7402121.0672268905,São Paulo
127,36.0,326851.913884007,7400368.188049209,São Paulo
128,36.0,334076.9322493225,7399506.254742548,São Paulo
129,36.0,334339.6406619385,7400036.6004728135,São Paulo
130,36.0,334574.72140762466,7399211.40175953,São Paulo
131,36.0,333958.3873873874,7398604.18018018,São Paulo
132,36.0,333235.7075471698,7399101.235849056,São Paulo
133,36.0,333440.9713701432,7400306.63599182,São Paulo
134,36.0,332919.81753554504,7401271.895734597,São Paulo
135,36.0,334654.449339207,7401308.973568282,São Paulo
136,36.0,330540.9105691057,7399297.508130081,São Paulo
137,36.0,331004.1067961165,7400819.291262136,São Paulo
138,36.0,328778.10045662103,7399190.02739726,São Paulo
139,36.0,328548.009202454,7400999.32208589,São Paulo
140,36.0,329268.3406940063,7400519.548895899,São Paulo
141,36.0,330634.2030905077,7403384.8653421635,São Paulo
142,36.0,329898.09230769234,7404753.576923077,São Paulo
144,36.0,332781.79014308425,7402849.535771065,São Paulo
145,36.0,332098.1382113821,7405013.195121951,São Paulo
147,36.0,335643.7633587786,7405106.374045801,São Paulo
148,36.0,334357.45901639346,7404990.344262295,São Paulo
150,36.0,338475.5326460481,7407890.436426117,São Paulo
151,36.0,337812.29496402876,7405739.539568345,São Paulo
152,36.0,336070.5035971223,7401905.836930456,São Paulo
153,36.0,335265.13620071684,7403170.609318997,São Paulo
154,36.0,336566.0446096654,7402879.230483271,São Paulo
155,36.0,339128.0959752322,7405521.978328173,São Paulo
156,36.0,338618.82489451475,7403988.61814346,São Paulo
157,36.0,340215.105,7402641.55,São Paulo
158,36.0,337992.1899224806,7401514.80620155,São Paulo
159,36.0,339439.4407894737,7401859.688596491,São Paulo
160,36.0,338380.20795107033,7399652.868501529,São Paulo
161,36.0,339597.7756813417,7398274.314465409,São Paulo
162,36.0,337695.92613636365,7398250.8977272725,São Paulo
163,36.0,336131.51509054325,7399930.020120724,São Paulo
164,36.0,336362.6683937824,7398274.792746114,São Paulo
165,36.0,335334.15596330276,7398813.510703363,São Paulo
166,36.0,340528.67727272725,7395210.495454545,São Paulo
167,36.0,339401.62380300957,7395241.396716827,São Paulo
168,36.0,339078.81214421254,7396331.850094876,São Paulo
169,36.0,340603.7523510972,7396706.257053291,São Paulo
170,36.0,342069.8813559322,7397671.785824345,São Paulo
171,36.0,343615.26130653266,7397695.934673367,São Paulo
172,36.0,344962.8859315589,7397643.49809886,São Paulo
173,36.0,347099.8008658009,7397266.857142857,São Paulo
174,36.0,346575.94782608695,7400457.669565218,São Paulo
175,36.0,345483.89361702127,7400054.666666667,São Paulo
176,36.0,343819.5252918288,7399503.46692607,São Paulo
177,36.0,343253.36387434555,7400114.036649215,São Paulo
178,36.0,346956.13636363635,7402309.454545454,São Paulo
180,36.0,347845.6780104712,7401365.8612565445,São Paulo
181,36.0,349191.752,7400673.464,São Paulo
182,36.0,346879.87005649717,7398903.364406779,São Paulo
183,36.0,348517.8675958188,7398305.526132404,São Paulo
184,36.0,349742.17475728155,7399148.786407767,São Paulo
185,36.0,350515.32608695654,7399494.709239131,São Paulo
186,36.0,350722.89667896676,7400012.501845018,São Paulo
187,36.0,350857.1605691057,7401400.180894309,São Paulo
188,36.0,351792.8675799087,7399655.452054795,São Paulo
189,36.0,352761.4110787172,7396605.247813411,São Paulo
190,36.0,351520.1341463415,7395239.682926829,São Paulo
191,36.0,349914.9661016949,7395739.04519774,São Paulo
192,36.0,350365.64590163936,7396626.845901639,São Paulo
193,36.0,349922.8923766816,7397861.156950673,São Paulo
194,36.0,351014.436123348,7397875.757709251,São Paulo
195,36.0,351907.49852507375,7397754.442477876,São Paulo
196,36.0,353203.1287128713,7398280.148514852,São Paulo
197,36.0,352397.8,7400570.5322580645,São Paulo
198,36.0,353313.2014010508,7400643.373029772,São Paulo
199,36.0,355065.1509433962,7402004.582210243,São Paulo
