origem,destino,classe_media,classe_moda,n_amostras
29,27,2.857142857142857,C1,7
29,28,2.380952380952381,B1,21
29,30,2.0,A,5
29,31,3.0,B2,12
29,32,2.8666666666666667,B2,15
29,33,1.0,A,5
29,36,2.0,A,5
29,40,3.6,B2,5
29,54,2.2,B1,5
29,56,3.0,B2,6
29,57,2.7777777777777777,B2,9
29,62,2.7777777777777777,B2,9
29,68,3.25,B2,8
29,70,2.0,B1,5
29,74,2.9,B1,10
29,78,1.6,A,15
29,79,2.5294117647058822,B2,17
29,80,2.5555555555555554,B2,9
29,81,1.8888888888888888,A,9
29,82,2.8,B2,5
29,84,2.2,B1,5
29,88,2.142857142857143,A,7
29,89,2.4,B1,5
29,93,2.4285714285714284,B1,7
30,28,2.4,B1,5
30,29,1.7142857142857142,A,7
30,31,2.0689655172413794,A,29
30,32,2.9,B2,10
30,33,1.5625,A,16
30,34,1.8431372549019607,A,51
30,35,3.0,C1,11
30,36,2.28,B1,25
30,54,1.1666666666666667,A,6
30,80,1.8,A,5
30,83,2.2,B2,5
30,84,2.0,B1,8
30,85,1.75,B1,8
30,87,2.625,B2,8
30,340,1.8333333333333333,B1,6
31,1,3.0,B2,6
31,4,2.857142857142857,B2,7
31,5,3.3,C1,10
31,25,4.428571428571429,C2,7
31,27,2.2222222222222223,A,9
31,28,2.7777777777777777,B1,9
31,29,2.909090909090909,B2,11
31,30,2.0,A,32
31,32,3.4,B2,20
31,33,1.0,A,6
31,34,1.7272727272727273,A,11
31,35,3.625,C1,8
31,36,3.2222222222222223,B2,9
31,51,1.4,A,5
31,58,3.4285714285714284,B2,7
31,73,2.6,B2,5
31,74,2.2857142857142856,A,7
31,75,3.0,B1,5
31,78,2.4545454545454546,A,11
31,79,2.5384615384615383,B2,13
31,80,2.75,B2,8
31,81,1.8,A,5
31,82,3.1666666666666665,C1,6
31,83,2.5714285714285716,B2,7
31,87,1.875,A,8
31,88,2.8333333333333335,B2,6
31,90,1.7142857142857142,A,7
31,93,3.0,B1,6
31,97,1.3333333333333333,A,9
31,340,3.0,B1,5
32,27,2.375,B1,8
32,28,3.0,B2,10
32,29,3.1538461538461537,B2,13
32,30,2.727272727272727,B2,11
32,31,3.1818181818181817,B2,22
32,34,2.7142857142857144,B2,7
32,57,2.2,B1,5
32,62,2.0,A,10
32,68,3.0,B2,5
32,73,2.2,B1,5
32,74,2.3076923076923075,B1,13
32,75,2.6666666666666665,B2,6
32,76,2.0,B1,6
32,77,3.3,B2,10
32,78,1.7333333333333334,A,15
32,79,2.269230769230769,B2,26
32,81,2.2666666666666666,B2,15
32,83,2.8,B2,5
32,87,2.25,A,8
32,340,2.8,B1,5
33,29,1.0,A,5
33,30,1.8421052631578947,B1,19
33,31,1.0,A,6
33,34,1.6,B1,5
33,79,2.2857142857142856,B2,7
33,88,2.6,B2,5
33,93,1.1666666666666667,A,6
34,1,2.1666666666666665,A,6
34,30,1.8222222222222222,A,45
34,31,1.4166666666666667,A,12
34,32,2.875,B2,8
34,33,1.6,B1,5
34,35,2.9,B1,10
34,36,2.5416666666666665,B1,24
34,77,1.1666666666666667,A,6
34,79,2.0,A,11
34,84,2.0,A,5
34,85,1.0,A,8
35,5,4.166666666666667,C2,6
35,6,4.076923076923077,C2,13
35,7,4.333333333333333,C1,9
35,30,2.769230769230769,C1,13
35,31,3.625,C1,8
35,34,3.0,B1,9
35,36,3.2222222222222223,B2,18
35,37,3.6666666666666665,C1,6
35,84,3.2,C2,5
36,1,2.4285714285714284,B2,7
36,5,2.2,B1,5
36,29,2.0,A,5
36,30,2.28,B1,25
36,31,3.2222222222222223,B2,9
36,34,2.3333333333333335,B1,24
36,35,3.1578947368421053,B2,19
36,37,2.0,A,8
36,54,2.4,B1,5
36,79,2.6,A,5
36,91,1.8,A,5
36,92,2.3333333333333335,B2,15
36,93,2.533333333333333,A,15
37,7,3.2222222222222223,B2,9
37,8,4.571428571428571,C1,14
37,35,4.2,C1,5
37,36,2.0,A,7
37,91,1.4,A,5
37,92,2.5714285714285716,B2,7
37,93,3.142857142857143,B2,7
37,137,1.0,A,5
38,11,4.2,B2,20
38,12,3.5,B2,22
38,14,4.625,C2,8
38,39,4.285714285714286,C2,7
38,42,5.090909090909091,D-E,11
39,11,4.166666666666667,C1,6
39,17,4.8,C2,5
39,38,4.285714285714286,C2,7
39,41,3.586206896551724,B2,29
39,42,4.882352941176471,C2,17
39,166,4.0,C1,5
39,167,4.4,C1,5
39,168,4.3,C1,10
40,29,3.6,B2,5
40,41,2.933333333333333,B2,15
40,43,3.2222222222222223,B2,45
40,45,3.3333333333333335,B2,12
40,48,3.066666666666667,B2,30
40,254,3.3333333333333335,B2,6
41,1,3.2,A,5
41,14,5.090909090909091,D-E,11
41,16,3.5,C2,6
41,17,5.0,C2,6
41,27,2.0,A,8
41,39,3.5357142857142856,B2,28
41,40,2.933333333333333,B2,15
41,42,4.3076923076923075,C1,13
41,43,3.2142857142857144,B1,14
41,45,2.1666666666666665,B1,6
41,166,3.0,B2,5
41,167,2.875,B2,8
41,168,3.4444444444444446,B2,9
41,169,2.8,B1,5
42,11,4.142857142857143,B2,7
42,12,4.666666666666667,C2,12
42,14,5.05,D-E,20
42,38,5.090909090909091,D-E,11
42,39,5.133333333333334,C2,15
42,41,4.214285714285714,C1,14
43,15,4.0,C1,9
43,18,2.8333333333333335,B2,6
43,31,2.6,B2,5
43,40,3.227272727272727,B2,44
43,41,3.3076923076923075,B1,13
43,44,2.3333333333333335,A,15
43,45,2.9655172413793105,C1,58
43,46,3.2,B2,5
43,47,3.090909090909091,B2,11
43,48,2.7777777777777777,B2,9
43,73,1.8,A,5
43,167,2.6666666666666665,B2,6
43,168,2.857142857142857,B2,7
43,169,3.2,B2,5
43,228,4.4,C2,5
43,254,3.6666666666666665,B2,6
44,43,2.3333333333333335,A,15
44,45,2.9,B2,10
44,46,2.3333333333333335,A,6
44,47,3.5,B2,10
44,253,4.8,C1,5
44,254,2.6666666666666665,B1,6
45,18,4.090909090909091,C1,11
45,40,3.3076923076923075,B2,13
45,41,2.142857142857143,B1,7
45,43,2.9655172413793105,C1,58
45,44,2.9,B2,10
45,47,4.0,B2,7
45,253,3.9411764705882355,C2,17
45,254,2.3333333333333335,B2,9
46,43,3.2,B2,5
46,44,2.3333333333333335,A,6
46,47,2.5714285714285716,B2,7
46,48,3.2,B2,5
46,254,3.375,B2,8
46,256,5.0,C2,5
47,43,3.090909090909091,B2,11
47,44,3.5,B2,10
47,45,4.0,B2,7
47,46,2.5714285714285716,B2,7
47,254,2.6666666666666665,B1,6
48,40,3.066666666666667,B2,30
48,43,2.857142857142857,B2,7
48,46,3.2,B2,5
48,166,2.7142857142857144,B2,7
48,167,3.6666666666666665,C2,6
48,168,2.142857142857143,A,14
48,169,2.1666666666666665,B1,6
48,210,3.0,B2,6
48,239,2.0,B1,5
49,5,3.8,B2,5
49,21,3.0,B2,5
49,22,2.4285714285714284,B2,7
49,24,2.6,B1,5
49,52,3.272727272727273,C1,11
49,55,2.4285714285714284,B2,14
49,56,2.25,B1,16
49,58,2.375,B1,8
49,74,2.6,B2,5
49,77,2.375,B1,8
50,19,3.7,B2,10
50,51,3.590909090909091,C1,22
50,53,3.6,C2,5
50,73,2.2,A,5
51,19,1.8571428571428572,A,7
51,50,3.590909090909091,C1,22
51,53,1.8181818181818181,A,11
51,54,2.1666666666666665,B2,6
51,55,2.0,A,7
51,58,1.4,A,5
51,61,2.0,A,5
51,86,1.4,A,5
51,240,3.4285714285714284,C1,7
52,49,3.2222222222222223,C1,9
52,53,3.0,B2,7
52,54,3.0,B2,6
52,55,3.1666666666666665,B1,6
53,22,3.0,B1,5
53,27,3.0,B2,5
53,51,1.8181818181818181,A,11
53,52,3.0,B2,6
53,54,2.625,B2,8
53,55,3.3333333333333335,B2,9
53,56,3.375,C1,8
53,58,4.0,C2,12
53,59,2.8333333333333335,B1,6
54,5,2.6,B2,5
54,27,2.0,A,5
54,29,2.2,B1,5
54,30,1.2,A,5
54,36,2.4,B1,5
54,51,2.1666666666666665,B2,6
54,52,3.0,B2,6
54,53,2.9,B2,10
54,55,2.2222222222222223,A,9
54,56,2.230769230769231,B1,13
54,57,3.0,B1,9
54,58,2.6666666666666665,B1,9
54,59,3.875,C1,8
54,61,3.6363636363636362,B2,11
54,62,2.5625,B1,16
54,63,2.0,B1,5
54,87,1.6,A,5
54,236,2.2,B1,5
54,269,2.6666666666666665,B1,6
55,49,2.642857142857143,B2,14
55,51,2.1666666666666665,B2,6
55,52,2.3333333333333335,B2,6
55,53,3.4166666666666665,B2,12
55,54,2.2222222222222223,A,9
55,56,2.6956521739130435,B2,23
55,58,2.8,B1,5
55,61,3.1666666666666665,B2,6
55,79,2.8333333333333335,B2,6
56,29,3.0,B2,6
56,49,2.25,B1,16
56,53,3.375,C1,8
56,54,2.230769230769231,B1,13
56,55,2.727272727272727,B2,22
56,57,3.090909090909091,C1,11
56,58,3.5,B2,8
56,61,3.3333333333333335,B1,6
56,62,2.7,B2,10
57,27,3.125,B2,16
57,28,2.4545454545454546,B2,11
57,29,2.7777777777777777,B2,9
57,32,2.5,B1,6
57,54,3.0,B1,9
57,56,3.0,C1,10
57,62,3.75,C1,8
57,67,2.4,B2,5
57,68,2.8,B1,5
57,74,2.25,B1,12
57,75,2.2857142857142856,B1,7
57,76,3.0,B2,10
57,78,2.888888888888889,B2,9
57,79,2.3333333333333335,B2,12
57,322,1.4,A,5
58,27,3.3333333333333335,C1,6
58,31,3.5,B2,6
58,49,2.4444444444444446,B1,9
58,51,1.4,A,5
58,53,3.923076923076923,C2,13
58,54,2.8181818181818183,B2,11
58,55,2.8,B1,5
58,56,3.857142857142857,B2,7
58,59,1.8,A,5
58,61,3.1,B2,10
58,246,2.4,B1,5
58,250,2.25,B1,8
58,251,4.4,C2,5
58,278,4.0,B2,6
59,52,3.0,B2,5
59,53,2.8333333333333335,B1,6
59,54,3.875,C1,8
59,58,1.8,A,5
59,60,3.6666666666666665,C1,6
59,61,4.0,C1,7
59,250,2.0,A,10
59,275,2.888888888888889,B2,9
60,59,3.5714285714285716,C1,7
60,64,3.9,C2,10
60,270,2.4,B1,5
60,275,4.5,B2,6
61,51,2.0,A,5
61,54,3.6363636363636362,B2,11
61,55,3.0,B2,7
61,56,3.3333333333333335,B1,6
61,58,3.2222222222222223,B2,9
61,59,3.75,C1,8
61,250,3.25,B2,8
62,5,3.0,B2,6
62,27,2.8,B2,5
62,29,2.7777777777777777,B2,9
62,32,2.25,B1,8
62,54,2.5625,B1,16
62,56,2.7777777777777777,B2,9
62,57,3.2,C1,10
62,63,1.8333333333333333,A,12
62,67,2.5,B1,6
62,74,2.0,B1,7
62,75,3.1666666666666665,C1,12
62,81,2.2,B2,5
62,268,2.0,A,7
63,24,2.1666666666666665,B1,6
63,54,2.0,B1,5
63,62,1.8333333333333333,A,12
63,64,2.090909090909091,B1,11
63,65,2.5,B2,6
63,66,2.3,B2,10
63,68,2.5,B1,8
63,77,2.5,B1,6
64,60,3.9,C2,10
64,63,2.1666666666666665,B1,12
64,65,2.263157894736842,A,19
64,66,2.0526315789473686,A,38
64,67,2.125,B1,8
64,68,2.0,B1,8
64,69,2.5,B2,8
64,71,1.8333333333333333,B1,6
64,73,2.0,A,7
64,81,1.8,A,5
64,102,2.2,A,5
64,268,2.2857142857142856,B1,7
64,269,2.142857142857143,A,7
64,270,2.5454545454545454,B1,11
64,302,1.6666666666666667,B1,6
64,304,2.8,B2,5
64,305,3.0,B1,5
64,322,2.6,B2,5
65,63,2.5,B2,6
65,64,2.2222222222222223,A,18
65,66,2.1904761904761907,B1,21
65,67,2.2,A,20
65,68,2.125,B2,8
65,69,2.0,A,9
65,70,1.8888888888888888,A,9
65,73,1.3636363636363635,A,11
65,74,1.3333333333333333,A,6
65,75,3.3333333333333335,B2,6
65,76,2.125,B1,8
65,77,2.2857142857142856,A,7
65,268,1.3333333333333333,A,6
65,269,1.1428571428571428,A,7
65,323,1.2,A,5
66,63,2.2222222222222223,A,9
66,64,2.0,A,38
66,65,2.05,B1,20
66,68,2.75,B2,8
66,69,2.4444444444444446,B1,9
66,70,2.7777777777777777,B2,9
66,268,3.0,A,12
66,269,2.5,B2,6
66,270,2.076923076923077,B1,13
66,502,2.0,B1,11
67,62,2.5,B1,6
67,64,2.5,B1,6
67,65,2.2,A,20
67,66,3.0,B2,5
67,68,2.5,B1,14
67,69,2.8,A,10
67,75,2.0,A,5
68,29,3.25,B2,8
68,31,2.0,A,6
68,32,3.0,B2,5
68,57,2.8,B1,5
68,63,2.5,B1,8
68,64,2.0,B1,8
68,65,2.0,A,7
68,66,2.5,B2,8
68,67,2.8,B1,10
68,69,2.68,B2,25
68,70,3.0,B2,12
68,71,2.0,A,5
68,73,2.7241379310344827,B1,29
68,74,2.4285714285714284,B2,7
68,75,3.5,B2,10
68,76,2.32,B2,25
68,78,2.0,A,5
68,79,2.142857142857143,A,7
68,80,2.8333333333333335,B2,6
68,81,2.4705882352941178,A,17
68,82,2.5384615384615383,B2,13
68,83,2.625,B1,8
68,97,1.2,A,5
68,268,2.6,A,5
68,269,2.0,B1,5
68,304,1.8,A,5
68,318,1.4545454545454546,A,11
