Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 125 ," 1,934 "," 11,177 "," 13,111 "
 126 ," 1,368 "," 10,635 "," 12,003 "
 127 ," 2,502 "," 26,632 "," 29,135 "
 128 , 89 ," 9,692 "," 9,781 "
 129 ," 1,689 "," 13,296 "," 14,984 "
 130 , 569 ," 5,052 "," 5,621 "
 131 , 267 ," 11,229 "," 11,495 "
 132 , 501 ," 2,918 "," 3,419 "
 133 ," 1,751 "," 21,845 "," 23,596 "
 134 ," 1,285 "," 13,135 "," 14,419 "
 135 , 768 ," 19,067 "," 19,835 "
 136 ," 1,991 "," 19,450 "," 21,441 "
 137 ," 2,552 "," 16,485 "," 19,037 "
 138 , 783 ," 14,547 "," 15,329 "
 139 , 695 ," 7,623 "," 8,318 "
 140 , -   ," 11,342 "," 11,342 "
 141 ," 3,007 "," 29,348 "," 32,355 "
 142 ," 2,858 "," 10,668 "," 13,526 "
 143 , -   , -   , -   
 144 ," 6,847 "," 25,113 "," 31,960 "
 145 , 805 ," 1,852 "," 2,658 "
 146 , -   , -   , -   
 147 , 577 ," 8,997 "," 9,574 "
 148 , 534 ," 7,542 "," 8,076 "
 149 , -   , -   , -   
 150 ," 1,400 "," 14,098 "," 15,498 "
 151 ," 1,478 "," 15,705 "," 17,183 "
 152 , 825 ," 10,985 "," 11,810 "
 153 , 574 ," 7,538 "," 8,113 "
 154 ," 4,405 "," 22,750 "," 27,155 "
 155 ," 1,125 "," 5,942 "," 7,067 "
 156 ," 1,136 "," 17,187 "," 18,323 "
 157 , 183 ," 3,362 "," 3,545 "
 158 , 296 ," 16,596 "," 16,892 "
 159 ," 2,158 "," 21,011 "," 23,169 "
 160 ," 2,216 "," 15,460 "," 17,676 "
 161 ," 7,994 "," 27,109 "," 35,103 "
 162 ," 3,645 "," 22,139 "," 25,784 "
 163 ," 1,011 "," 24,185 "," 25,196 "
 164 ," 3,262 "," 15,239 "," 18,501 "
 165 , 496 ," 8,993 "," 9,489 "
 166 ," 1,920 "," 34,407 "," 36,327 "
 167 ," 1,469 "," 35,445 "," 36,914 "
 168 ," 2,913 "," 23,613 "," 26,525 "
 169 ," 2,813 "," 20,648 "," 23,461 "
 170 ," 3,045 "," 31,330 "," 34,375 "
 171 , 809 ," 14,772 "," 15,581 "
 172 ," 1,436 "," 7,552 "," 8,988 "
 173 , 668 ," 10,157 "," 10,824 "
 174 , 502 ," 8,139 "," 8,641 "
 175 , 681 ," 9,821 "," 10,502 "
 176 ," 2,275 "," 10,675 "," 12,950 "
 177 , 862 ," 2,078 "," 2,939 "
 178 , -   , 601 , 601 
 179 , -   , -   , -   
 180 , 757 ," 9,943 "," 10,699 "
 181 , 611 ," 19,261 "," 19,872 "
 182 ," 1,262 "," 10,467 "," 11,729 "
 183 ," 2,777 "," 10,098 "," 12,875 "
 184 , 412 ," 5,995 "," 6,406 "
 185 , 682 ," 4,849 "," 5,531 "
 186 , 269 ," 2,635 "," 2,904 "
 187 , 546 ," 9,295 "," 9,841 "
 188 ," 1,209 "," 10,863 "," 12,072 "
 189 ," 2,917 "," 9,483 "," 12,400 "
 190 ," 1,776 "," 18,277 "," 20,052 "
 191 ," 1,006 "," 7,558 "," 8,564 "
 192 ," 2,327 "," 9,433 "," 11,760 "
 193 ," 1,571 "," 4,334 "," 5,905 "
 194 , 541 ," 7,352 "," 7,894 "
 195 ," 1,014 "," 11,935 "," 12,949 "
 196 ," 1,048 "," 5,677 "," 6,725 "
 197 , 395 ," 8,675 "," 9,070 "
 198 ," 2,360 "," 22,802 "," 25,162 "
 199 ," 4,554 "," 19,139 "," 23,693 "
 200 , 439 ," 4,552 "," 4,991 "
 201 ," 2,336 "," 9,649 "," 11,985 "
 202 ," 2,102 "," 13,976 "," 16,078 "
 203 ," 1,004 "," 10,608 "," 11,612 "
 204 ," 3,099 "," 29,575 "," 32,674 "
 205 ," 4,018 "," 19,196 "," 23,214 "
 206 ," 2,455 "," 16,118 "," 18,573 "
 207 ," 3,362 "," 14,117 "," 17,479 "
 208 ," 1,781 "," 34,109 "," 35,890 "
 209 ," 2,638 "," 15,580 "," 18,217 "
 210 ," 1,244 "," 21,032 "," 22,276 "
 211 ," 4,412 "," 13,730 "," 18,143 "
 212 ," 2,940 "," 16,324 "," 19,264 "
