Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 41 ," 4,032 "," 6,491 "," 15,605 "," 16,178 "," 3,019 "," 4,669 "," 3,201 ", 126 ," 1,847 ", -   ," 55,169 "
 42 ," 2,091 "," 3,155 "," 3,802 "," 3,034 "," 1,491 ", 51 ," 2,508 ", -   ," 1,123 ", 152 ," 17,408 "
 43 ," 2,775 "," 8,690 "," 25,570 "," 25,044 "," 2,620 "," 3,868 "," 2,015 ", -   ," 4,282 "," 1,187 "," 76,050 "
 44 ," 1,305 "," 4,139 "," 20,615 "," 6,319 ", 806 ," 12,384 "," 1,830 ", -   ," 4,191 "," 1,165 "," 52,753 "
 45 ," 7,327 "," 5,452 "," 27,959 "," 27,840 "," 4,790 "," 4,886 "," 3,944 ", -   ," 4,864 ", 595 ," 87,656 "
 46 ," 3,283 "," 9,557 "," 14,191 "," 23,620 "," 1,822 ", 698 ," 2,389 ", 325 ," 1,641 ", -   ," 57,525 "
 47 ," 2,055 "," 4,625 "," 14,808 "," 6,674 "," 1,171 "," 1,234 "," 1,325 ", -   , 543 , -   ," 32,435 "
 48 ," 1,004 "," 3,873 "," 12,382 "," 11,211 "," 3,333 ", 605 ," 4,020 ", -   ," 1,284 ", 728 ," 38,439 "
 49 ," 1,759 "," 1,118 "," 18,371 "," 8,408 ", 748 ," 4,016 "," 1,225 ", 64 ," 1,014 ", 747 ," 37,471 "
 50 ," 1,125 "," 2,115 "," 3,719 "," 4,444 "," 3,595 "," 1,829 ", 457 , -   , 188 , -   ," 17,472 "
 51 , 743 ," 2,085 "," 8,770 "," 10,540 "," 1,983 "," 1,829 ", 754 , -   ," 1,656 ", -   ," 28,359 "
 52 ," 1,654 "," 1,521 "," 12,152 "," 2,807 "," 1,409 "," 1,638 ", 616 , -   ," 2,401 ", 151 ," 24,350 "
 53 , 690 ," 3,421 "," 26,379 "," 11,896 ", 389 ," 4,485 "," 3,066 ", -   ," 2,924 "," 2,818 "," 56,068 "
 54 ," 1,618 "," 3,361 "," 25,605 "," 5,442 "," 3,728 "," 10,661 "," 2,366 ", -   ," 1,447 "," 2,236 "," 56,464 "
 55 ," 1,894 "," 1,555 "," 17,729 "," 19,990 "," 1,809 "," 2,452 "," 2,216 ", -   ," 2,432 ", 642 ," 50,720 "
 56 ," 3,600 "," 2,533 "," 16,951 "," 18,744 "," 3,111 "," 1,889 "," 3,678 ", 216 ," 3,418 ", 130 ," 54,270 "
 57 ," 1,381 "," 1,314 "," 40,430 "," 10,708 "," 3,156 "," 3,905 "," 5,391 ", 219 ," 2,114 ", 981 ," 69,599 "
 58 ," 1,585 "," 2,699 "," 25,599 "," 15,137 "," 4,499 "," 2,600 "," 5,662 ", -   ," 4,031 "," 1,606 "," 63,418 "
 59 ," 2,478 "," 6,994 "," 31,067 "," 18,436 "," 9,570 "," 2,699 "," 5,303 ", -   ," 8,245 "," 1,134 "," 85,926 "
 60 ," 1,486 "," 4,358 "," 17,985 "," 7,569 "," 4,966 "," 3,233 ", 280 , -   ," 1,448 ", 33 ," 41,358 "
 61 ," 3,339 "," 4,332 "," 19,702 "," 9,730 "," 5,057 "," 2,347 "," 3,416 ", 219 ," 4,676 ", 395 ," 53,213 "
 62 , 964 ," 1,230 "," 19,902 "," 6,198 ", 579 ," 5,476 "," 4,110 ", -   , 946 , 520 ," 39,924 "
 63 , 320 , 428 ," 12,554 "," 1,057 "," 2,791 "," 10,345 ", 535 , -   ," 1,117 ", -   ," 29,149 "
 64 ," 3,521 "," 8,215 "," 41,137 "," 17,614 "," 4,459 "," 4,895 "," 3,808 ", -   ," 5,045 "," 2,550 "," 91,245 "
 65 ," 1,164 "," 2,780 "," 23,145 "," 19,940 "," 1,134 ", 930 ," 2,111 ", -   ," 1,568 ", 705 ," 53,476 "
 66 ," 3,135 "," 5,811 "," 22,812 "," 15,178 "," 2,417 "," 1,268 "," 5,218 ", -   ," 3,823 "," 1,207 "," 60,868 "
 67 ," 3,725 "," 1,541 "," 11,583 "," 3,007 "," 1,021 "," 2,127 "," 1,096 ", -   ," 1,296 ", 94 ," 25,490 "
 68 ," 3,840 "," 2,717 "," 71,899 "," 11,430 "," 1,059 "," 2,369 "," 4,568 ", -   ," 2,646 "," 3,759 "," 104,288 "
 69 ," 6,484 "," 7,193 "," 28,710 "," 9,804 "," 1,751 "," 1,760 "," 2,415 ", 294 ," 1,691 "," 2,430 "," 62,534 "
 70 , 874 ," 5,113 "," 20,863 "," 16,848 ", 106 ," 3,863 "," 1,101 ", -   , 989 ," 2,874 "," 52,632 "
 71 ," 3,822 "," 3,802 "," 38,933 "," 11,667 "," 5,925 ", 341 ," 10,400 ", -   ," 4,835 "," 1,804 "," 81,530 "
 72 ," 1,339 "," 2,365 "," 19,246 "," 8,973 "," 1,504 ", 889 ," 2,101 ", 246 ," 1,647 "," 1,318 "," 39,627 "
 73 ," 10,635 "," 9,470 "," 102,665 "," 9,226 ", 927 ," 2,464 "," 5,506 ", -   ," 2,839 "," 8,400 "," 152,132 "
 74 ," 6,132 "," 9,823 "," 39,401 "," 7,538 "," 1,008 "," 3,036 "," 1,905 ", -   ," 2,116 "," 1,817 "," 72,776 "
 75 , 594 ," 3,076 "," 12,909 "," 4,454 "," 1,279 "," 1,010 "," 1,904 ", -   ," 1,896 ", 311 ," 27,434 "
 76 ," 1,370 "," 1,741 "," 18,682 "," 3,213 ", 376 ," 1,968 "," 2,810 ", -   , 801 , 379 ," 31,340 "
 77 , 412 ," 3,469 "," 42,406 "," 10,604 "," 3,657 "," 14,242 "," 4,355 ", -   ," 2,908 "," 1,553 "," 83,607 "
 78 ," 1,249 "," 3,733 "," 25,420 "," 5,640 "," 2,457 "," 1,545 "," 2,166 ", -   ," 1,206 "," 1,532 "," 44,947 "
 79 ," 4,205 "," 2,185 "," 37,847 "," 13,134 "," 1,058 "," 8,439 "," 4,222 ", 158 ," 4,932 "," 2,484 "," 78,663 "
