Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 174 ," 1,479 "," 6,396 "," 12,791 "," 24,973 "," 2,395 "," 1,430 "," 1,785 ", -   ," 3,065 ", -   ," 54,314 "
 175 ," 1,994 "," 2,715 "," 6,894 "," 9,686 ", 806 , 983 , 107 , 219 , 468 , 350 ," 24,222 "
 176 ," 2,425 "," 6,705 "," 14,507 "," 20,382 "," 1,340 "," 2,123 "," 2,612 ", -   ," 2,588 ", -   ," 52,682 "
 177 , 449 ," 2,536 "," 5,737 "," 5,948 ", 478 ," 1,817 "," 1,647 ", 91 , 436 , -   ," 19,140 "
 178 , 583 , -   , 193 ," 7,967 ", -   , -   , -   , -   , -   , -   ," 8,743 "
 179 , - , - , - , - , - , - , - , - , - , - , -   
 180 ," 9,991 "," 8,270 "," 23,480 "," 45,069 "," 3,995 "," 3,474 "," 3,201 ", -   ," 4,045 ", 456 ," 101,981 "
 181 ," 4,953 "," 7,389 "," 18,974 "," 27,240 "," 2,806 "," 5,382 "," 1,776 ", -   ," 2,544 ", -   ," 71,065 "
 182 ," 3,506 "," 8,190 "," 15,549 "," 33,786 ", 653 ," 5,824 ", 382 , -   ," 2,032 ", 612 ," 70,534 "
 183 ," 1,435 "," 3,268 "," 20,738 "," 20,170 ", 830 ," 2,700 "," 2,462 ", 472 ," 5,465 ", -   ," 57,540 "
 184 , 648 ," 2,870 "," 9,092 "," 10,928 ", 653 ," 2,522 "," 1,642 ", -   ," 1,666 ", -   ," 30,020 "
 185 , 939 ," 4,870 "," 7,009 "," 24,214 "," 1,067 "," 1,042 ", 524 , 137 ," 2,000 ", -   ," 41,802 "
 186 , 139 ," 1,218 "," 5,961 "," 6,345 ", 526 , 550 ," 1,801 ", -   , 864 , -   ," 17,405 "
 187 ," 2,538 "," 3,900 "," 18,186 "," 39,912 "," 5,266 "," 2,619 "," 2,095 ", -   ," 1,314 ", 399 ," 76,228 "
 188 ," 2,251 "," 3,045 "," 13,174 "," 45,312 "," 2,788 "," 3,014 "," 1,048 ", -   ," 2,413 ", 97 ," 73,142 "
 189 ," 2,052 "," 6,153 "," 20,567 "," 35,157 "," 2,042 "," 4,255 "," 1,737 ", 936 , 759 , 469 ," 74,128 "
 190 ," 2,168 "," 6,307 "," 23,466 "," 13,593 "," 3,566 "," 4,791 "," 6,591 ", -   ," 4,450 "," 1,012 "," 65,944 "
 191 , -   ," 3,381 "," 8,899 "," 10,851 ", 105 , 597 ," 4,664 ", 791 ," 5,083 ", 198 ," 34,569 "
 192 ," 1,622 "," 3,434 "," 14,188 "," 19,530 "," 3,367 "," 2,105 "," 1,098 ", -   ," 4,433 ", 944 ," 50,721 "
 193 , 882 ," 1,085 "," 10,110 "," 8,312 "," 2,006 "," 1,075 ", 808 , -   , 499 , -   ," 24,777 "
 194 ," 1,168 "," 5,412 "," 5,925 "," 14,114 "," 1,249 ", 743 , 753 , -   ," 2,208 ", -   ," 31,573 "
 195 , 149 ," 9,594 "," 18,595 "," 21,866 "," 1,398 ", 668 , 191 , -   ," 1,959 ", -   ," 54,419 "
 196 , 550 ," 2,770 "," 13,921 "," 33,021 "," 3,373 ", 850 , 85 , -   ," 1,328 ", 447 ," 56,345 "
 197 ," 2,300 "," 3,574 "," 13,198 "," 19,289 "," 1,179 ", 789 , 720 , -   ," 2,005 ", -   ," 43,054 "
 198 ," 1,547 "," 7,807 "," 30,499 "," 19,777 "," 6,786 "," 10,244 "," 4,100 ", 976 ," 5,568 ", 684 ," 87,988 "
 199 ," 4,655 "," 11,480 "," 34,642 "," 76,431 "," 3,639 "," 1,061 ", 333 , -   ," 4,486 ", -   ," 136,726 "
 200 ," 1,186 "," 4,569 "," 11,026 "," 25,693 "," 1,546 ", 883 ," 1,132 ", -   ," 2,025 ", 156 ," 48,216 "
 201 ," 1,014 "," 4,856 "," 24,945 "," 61,600 "," 1,155 "," 2,741 "," 4,869 ", 849 ," 4,379 ", -   ," 106,408 "
 202 ," 5,163 "," 7,457 "," 30,962 "," 68,589 "," 6,911 "," 4,036 "," 3,315 ", -   ," 1,095 ", -   ," 127,529 "
 203 , 827 ," 4,962 "," 18,574 "," 46,811 "," 2,648 "," 4,716 ", 218 , 250 , 724 , 211 ," 79,942 "
 204 ," 6,356 "," 21,378 "," 29,923 "," 53,406 "," 7,996 "," 9,017 "," 3,825 ", -   ," 9,145 ", 416 ," 141,463 "
 205 ," 4,454 "," 18,022 "," 33,402 "," 70,123 ", 619 , 473 ," 1,383 ", -   ," 3,123 ", -   ," 131,600 "
 206 ," 2,272 "," 6,733 "," 25,399 "," 30,508 "," 1,908 "," 1,650 "," 1,768 ", 190 ," 4,811 ", 121 ," 75,360 "
 207 ," 2,729 "," 12,243 "," 34,349 "," 77,841 "," 8,606 "," 3,332 "," 1,330 ", -   ," 8,020 ", -   ," 148,449 "
 208 ," 7,438 "," 11,840 "," 31,472 "," 15,421 "," 2,296 "," 3,369 "," 5,791 ", 330 ," 2,775 ", 281 ," 81,014 "
 209 ," 7,641 "," 9,088 "," 23,686 "," 19,159 "," 2,211 "," 3,675 "," 2,160 ", -   ," 1,216 ", 141 ," 68,975 "
 210 ," 2,248 "," 13,563 "," 17,206 "," 17,145 "," 2,784 "," 4,096 "," 3,052 ", -   ," 2,400 ", -   ," 62,494 "
 211 ," 4,258 "," 7,888 "," 29,354 "," 17,144 "," 1,594 "," 2,292 "," 3,251 ", -   ," 4,435 ", -   ," 70,218 "
 212 ," 3,250 "," 6,884 "," 16,646 "," 22,158 "," 2,553 "," 1,167 ", 507 , -   ," 2,264 ", -   ," 55,428 "
 213 ," 6,532 "," 10,734 "," 28,752 "," 19,904 "," 3,951 "," 2,643 "," 1,397 ", -   ," 1,158 ", 216 ," 75,286 "
 214 ," 2,867 "," 5,797 "," 12,764 "," 10,068 ", 546 , 483 , 905 , 250 ," 4,800 ", -   ," 38,479 "
 215 ," 1,645 "," 7,811 "," 20,657 "," 19,091 "," 1,725 "," 2,400 "," 1,418 ", -   ," 4,514 ", 655 ," 59,915 "
 216 ," 3,282 "," 1,730 "," 16,191 "," 29,017 "," 1,979 "," 2,716 "," 1,607 ", -   ," 4,000 ", 329 ," 60,851 "
 217 ," 1,170 "," 2,834 "," 7,532 "," 19,438 ", 627 , 832 , 450 , -   , 470 , -   ," 33,353 "
 218 ," 2,614 "," 15,932 "," 24,094 "," 37,849 "," 9,854 "," 6,218 "," 4,670 ", -   ," 6,909 ", 195 ," 108,335 "
 219 ," 6,727 "," 5,184 "," 17,054 "," 29,782 "," 2,694 "," 1,945 "," 2,433 ", -   ," 3,106 ", 304 ," 69,229 "
 220 ," 3,194 "," 6,361 "," 10,124 "," 17,902 "," 2,309 "," 2,456 "," 2,265 ", -   ," 5,073 ", 259 ," 49,942 "
 221 ," 3,155 "," 14,440 "," 14,719 "," 28,863 "," 4,774 "," 2,390 "," 1,106 ", -   ," 2,936 ", 835 ," 73,218 "
 222 ," 4,764 "," 7,687 "," 17,164 "," 26,112 ", 220 ," 6,116 "," 5,529 ", -   ," 4,491 ", -   ," 72,083 "
 223 ," 5,268 "," 3,138 "," 16,159 "," 10,395 "," 4,489 ", 340 ," 2,299 ", -   ," 4,390 ", -   ," 46,477 "
 224 , 275 , -   ," 1,470 "," 4,634 ", -   , -   ," 1,067 ", -   , -   , -   ," 7,445 "
 225 ," 5,006 "," 7,755 "," 18,235 "," 22,676 "," 2,231 ", 810 ," 1,493 ", 256 ," 1,639 ", 406 ," 60,506 "
 226 ," 3,755 "," 9,376 "," 27,538 "," 50,009 "," 4,049 "," 5,409 "," 6,164 ", -   ," 7,255 ", -   ," 113,556 "
 227 ," 6,483 "," 8,907 "," 28,541 "," 36,242 "," 6,756 "," 1,830 "," 1,335 ", -   ," 8,176 ", -   ," 98,268 "
 228 ," 4,387 "," 2,185 "," 16,380 "," 27,466 "," 1,558 ", 664 ," 1,855 ", -   ," 6,485 ", 689 ," 61,667 "
 229 ," 9,114 "," 13,428 "," 58,671 "," 102,304 "," 4,352 "," 8,100 "," 5,211 ", -   ," 10,065 ", 681 ," 211,926 "
 230 ," 2,687 "," 8,738 "," 18,736 "," 48,838 "," 4,183 "," 6,812 "," 1,177 ", -   ," 4,045 ", -   ," 95,215 "
 231 ," 5,067 "," 9,346 "," 10,476 "," 16,274 "," 5,025 "," 1,031 ", 446 , -   , 982 , 131 ," 48,778 "
 232 ," 4,846 "," 4,072 "," 13,061 "," 35,314 "," 2,885 "," 2,572 "," 5,168 ", -   , 915 , 369 ," 69,202 "
 233 ," 5,315 "," 9,847 "," 22,397 "," 35,146 "," 1,836 "," 2,324 ", 116 , 804 ," 4,615 ", -   ," 82,400 "
 234 ," 4,670 "," 6,803 "," 15,541 "," 40,025 "," 3,396 "," 4,354 "," 2,060 ", -   ," 5,119 ", -   ," 81,967 "
 235 ," 8,044 "," 11,737 "," 16,087 "," 42,827 "," 2,658 "," 1,542 "," 1,888 ", 461 , 340 , 25 ," 85,608 "
 236 ," 2,189 "," 2,289 "," 13,216 "," 10,118 "," 2,257 "," 1,141 ", 432 , -   ," 1,633 ", 112 ," 33,387 "
 237 ," 1,347 "," 8,614 "," 8,226 "," 5,783 "," 3,876 "," 2,552 "," 3,231 ", 325 ," 3,147 "," 2,461 "," 39,562 "
 238 ," 5,324 "," 2,341 "," 11,758 "," 5,601 ", 857 ," 1,132 "," 2,499 ", -   ," 2,108 ", 526 ," 32,146 "
 239 ," 1,002 "," 3,389 "," 20,856 "," 18,249 "," 3,494 "," 4,578 "," 4,044 ", -   ," 2,671 "," 2,139 "," 60,422 "
 240 ," 2,365 "," 4,655 "," 15,827 "," 8,094 "," 1,278 "," 2,689 "," 5,446 ", -   ," 2,028 ", 47 ," 42,429 "
 241 ," 5,332 "," 4,106 "," 10,604 "," 5,583 "," 2,376 ", 802 ," 1,603 ", -   ," 1,123 ", 277 ," 31,807 "
 242 ," 6,316 "," 4,245 "," 12,567 "," 10,101 "," 1,347 "," 4,561 "," 4,816 ", 656 ," 1,829 "," 1,368 "," 47,806 "
 243 ," 12,339 "," 8,979 "," 25,820 "," 37,853 "," 4,181 ", 833 ," 2,083 ", 548 ," 3,103 ", 549 ," 96,289 "
 244 ," 4,747 "," 21,873 "," 26,182 "," 26,702 "," 1,617 "," 3,541 "," 5,888 ", 189 ," 1,198 ", 730 ," 92,669 "
 245 ," 1,870 "," 3,345 "," 5,841 "," 8,938 "," 3,704 "," 1,254 ", -   , -   , 239 , -   ," 25,190 "
 246 ," 2,078 "," 5,230 "," 10,948 "," 18,230 ", 517 ," 2,991 ", 409 , -   ," 2,521 ", 131 ," 43,055 "
 247 ," 6,101 "," 6,680 "," 34,678 "," 45,560 "," 2,400 "," 2,448 "," 5,965 ", -   ," 2,143 ", -   ," 105,975 "
 248 , -   , -   ," 1,268 ", -   , -   , -   , 227 , -   , -   , -   ," 1,495 "
 249 ," 3,584 "," 11,153 "," 8,307 "," 16,449 "," 5,140 "," 2,161 "," 1,105 ", -   ," 3,936 "," 1,543 "," 53,378 "
 250 , 286 ," 4,420 "," 16,698 "," 11,355 "," 5,865 "," 2,243 "," 3,352 ", -   ," 2,430 ", 205 ," 46,854 "
 251 ," 1,373 "," 5,820 "," 8,628 "," 9,142 "," 2,622 ", 610 ," 2,576 ", -   , 851 , -   ," 31,624 "
 252 , 796 ," 4,808 "," 10,403 "," 8,377 "," 2,895 "," 2,225 ", 983 , -   ," 3,923 ", 164 ," 34,573 "
 253 ," 2,280 "," 2,856 "," 3,782 "," 1,657 "," 1,207 "," 1,108 ", 282 , 21 , 297 , -   ," 13,488 "
 254 ," 3,717 "," 14,713 "," 27,465 "," 34,659 "," 4,185 "," 6,069 "," 4,967 ", -   ," 5,223 ", -   ," 100,999 "
 255 ," 5,333 "," 10,860 "," 25,606 "," 34,745 "," 4,201 "," 2,068 "," 5,370 ", -   ," 3,689 ", -   ," 91,873 "
 256 ," 3,271 "," 3,366 "," 12,255 "," 19,820 "," 2,032 "," 3,727 "," 1,106 ", 307 ," 2,326 ", -   ," 48,212 "
 257 ," 6,750 "," 4,666 "," 18,297 "," 18,387 ", 959 ," 1,398 "," 1,095 ", -   , 491 , -   ," 52,044 "
 258 ," 11,677 "," 1,388 "," 24,044 "," 28,385 "," 3,287 "," 4,022 "," 1,060 ", -   ," 7,388 ", 486 ," 81,737 "
 259 ," 1,597 "," 6,781 "," 8,284 "," 15,650 "," 1,876 ", -   , 394 , -   ," 1,316 ", -   ," 35,897 "
 260 ," 1,619 "," 2,787 "," 29,189 "," 20,122 "," 1,553 "," 2,407 "," 4,041 ", -   ," 2,068 ", -   ," 63,786 "
 261 ," 3,700 "," 12,981 "," 20,913 "," 30,704 "," 3,268 "," 2,489 "," 6,078 "," 1,135 "," 2,709 ", -   ," 83,977 "
 262 ," 15,958 "," 6,797 "," 9,897 "," 28,523 "," 2,599 "," 5,114 "," 4,608 ", -   , 165 , -   ," 73,661 "
 263 ," 11,483 "," 8,141 "," 22,481 "," 40,054 "," 3,131 "," 5,142 "," 3,913 ", -   ," 1,260 ", -   ," 95,605 "
 264 ," 6,397 "," 13,756 "," 38,892 "," 36,492 "," 5,867 ", 654 ," 1,836 ", -   ," 10,847 "," 1,591 "," 116,332 "
 265 ," 4,707 "," 11,397 "," 17,406 "," 32,162 "," 2,769 "," 3,686 "," 1,437 ", 705 ," 5,848 "," 1,730 "," 81,846 "
 266 ," 1,629 "," 1,430 "," 6,996 "," 13,199 ", 525 ," 1,051 "," 1,266 ", -   ," 1,190 ", -   ," 27,287 "
 267 ," 5,369 "," 6,557 "," 11,637 "," 20,530 ", 399 ," 2,332 "," 6,662 ", 989 ," 2,022 ", 320 ," 56,819 "
 268 ," 1,724 "," 2,485 "," 10,164 "," 8,176 "," 2,399 "," 1,843 ", 303 , -   ," 1,238 ", 370 ," 28,702 "
 269 ," 2,105 "," 5,102 "," 24,641 "," 13,503 "," 5,765 ", 990 ," 4,570 ", -   ," 1,888 "," 1,125 "," 59,689 "
 270 , 968 ," 1,308 "," 11,264 "," 4,786 "," 1,595 "," 1,131 "," 2,395 ", 251 , 544 , 118 ," 24,360 "
 271 , 525 , 656 ," 9,352 ", 420 , 784 , -   ," 1,864 ", -   ," 1,079 ", 402 ," 15,082 "
 272 ," 1,614 "," 1,740 "," 18,094 "," 14,057 "," 1,026 "," 1,162 "," 1,582 ", -   ," 1,188 ", 214 ," 40,677 "
 273 ," 4,243 "," 10,853 "," 33,386 "," 32,424 ", 407 ," 3,694 "," 2,168 ", -   , 959 , 356 ," 88,489 "
 274 ," 3,018 "," 7,255 "," 40,055 "," 22,976 "," 7,013 "," 4,114 "," 4,617 ", 126 ," 7,410 ", 553 ," 97,138 "
 275 ," 1,722 "," 5,327 "," 22,588 "," 27,939 "," 2,538 "," 6,326 "," 4,612 ", -   ," 3,995 ", 224 ," 75,269 "
 276 ," 8,320 "," 16,396 "," 38,220 "," 55,249 "," 7,338 "," 8,176 "," 4,614 ", -   ," 3,160 ", 574 ," 142,047 "
 277 ," 1,975 "," 2,961 "," 21,978 "," 26,095 ", 991 ," 1,572 "," 3,919 ", -   ," 10,380 ", -   ," 69,872 "
 278 ," 5,350 "," 15,495 "," 49,039 "," 69,354 "," 6,409 "," 8,703 "," 9,580 ", 495 ," 15,217 ", 320 ," 179,963 "
 279 ," 4,971 "," 10,059 "," 20,689 "," 29,371 "," 1,622 "," 3,201 "," 2,863 ", -   ," 4,007 ", -   ," 76,783 "
 280 ," 7,042 "," 5,436 "," 17,441 "," 19,051 "," 3,330 "," 1,320 "," 1,552 ", 123 , 820 ," 1,122 "," 57,237 "
 281 , 861 ," 10,211 "," 16,932 "," 18,441 "," 4,850 "," 4,219 "," 1,512 ", 294 ," 1,186 "," 1,506 "," 60,011 "
 282 ," 1,718 "," 11,010 "," 14,437 "," 15,455 "," 3,855 "," 3,981 "," 4,308 ", -   ," 2,509 ", -   ," 57,273 "
 283 ," 1,469 "," 1,520 "," 8,990 "," 6,038 ", 797 ," 1,343 "," 2,336 ", -   , 559 , 164 ," 23,216 "
 284 ," 3,843 "," 5,967 "," 23,250 "," 27,538 "," 1,398 "," 1,370 "," 1,337 ", -   ," 3,651 ", 143 ," 68,497 "
 285 ," 7,580 "," 4,179 "," 32,060 "," 48,151 "," 1,012 "," 2,026 "," 1,288 ", -   ," 2,127 ", -   ," 98,423 "
 286 ," 5,842 "," 6,940 "," 13,876 "," 9,645 "," 2,308 ", 481 , 716 , -   ," 1,690 ", -   ," 41,499 "
 287 ," 2,776 "," 5,652 "," 22,294 "," 15,757 "," 2,781 "," 1,895 "," 2,502 ", -   ," 3,140 ", 630 ," 57,427 "
 288 , 675 , 710 ," 12,289 "," 33,465 "," 1,452 "," 1,656 ", 780 , -   ," 2,035 ", 486 ," 53,546 "
 289 ," 1,804 "," 4,004 "," 25,345 "," 39,816 "," 6,582 "," 4,495 "," 1,390 ", -   ," 1,524 ", 147 ," 85,105 "
 290 ," 2,095 "," 2,320 "," 26,617 "," 24,791 "," 2,099 "," 3,166 "," 1,635 ", -   ," 6,817 ", 147 ," 69,688 "
 291 ," 3,437 "," 4,638 "," 24,991 "," 37,166 "," 4,054 "," 4,161 "," 2,705 ", -   ," 6,444 ", -   ," 87,595 "
 292 ," 1,125 "," 3,116 "," 26,892 "," 50,704 "," 1,649 ", 849 , 913 , 765 , 75 , -   ," 86,088 "
 293 , 225 ," 2,735 "," 26,991 "," 30,970 "," 3,547 "," 3,410 "," 1,589 ", 37 ," 4,178 ", -   ," 73,683 "
 294 ," 2,485 "," 9,688 "," 21,574 "," 58,217 "," 4,622 "," 1,510 "," 2,147 ", -   ," 5,302 ", -   ," 105,546 "
 295 ," 4,824 "," 6,740 "," 37,304 "," 82,072 "," 3,975 "," 2,169 "," 3,314 ", -   ," 1,966 ", -   ," 142,365 "
 296 , 59 ," 1,167 "," 3,304 "," 2,819 ", 484 , -   , 292 , -   , 47 , -   ," 8,171 "
 297 , 165 , 624 ," 2,694 "," 2,874 ", 215 , -   , 111 , -   , 789 , -   ," 7,472 "
 298 ," 4,784 "," 13,110 "," 49,573 "," 118,942 "," 5,297 "," 10,434 "," 3,061 "," 2,579 "," 4,735 ", 142 ," 212,658 "
 299 , 82 , 924 ," 3,929 "," 3,355 ", 340 , 149 , 34 , -   , 26 , -   ," 8,839 "
 300 , -   , -   , 102 , 10 , -   , -   , -   , -   , -   , -   , 112 
 301 ," 10,940 "," 19,979 "," 82,838 "," 33,367 "," 5,297 "," 3,684 "," 6,573 ", 544 ," 3,707 "," 5,273 "," 172,202 "
 302 ," 2,620 "," 4,531 "," 24,188 "," 5,515 "," 1,998 "," 5,150 "," 2,537 ", -   ," 3,548 ", 240 ," 50,327 "
 303 ," 1,602 "," 10,607 "," 22,827 "," 21,373 "," 6,919 "," 7,442 "," 3,255 ", -   ," 3,324 "," 1,268 "," 78,618 "
 304 ," 2,330 "," 3,592 "," 23,126 "," 15,173 "," 1,879 "," 1,242 "," 1,952 ", 619 ," 3,485 ", 269 ," 53,666 "
 305 ," 2,711 "," 15,304 "," 41,929 "," 56,055 "," 2,756 "," 5,286 ", 871 , -   ," 3,254 ", 299 ," 128,466 "
 306 ," 6,210 "," 13,348 "," 51,853 "," 69,808 "," 5,873 "," 5,854 "," 7,494 ", -   ," 6,420 ", 869 ," 167,729 "
 307 ," 8,683 "," 14,008 "," 20,280 "," 23,160 "," 2,260 "," 9,538 ", 477 , -   ," 1,566 ", 293 ," 80,265 "
 308 ," 4,911 "," 18,961 "," 42,958 "," 57,656 ", 698 ," 5,407 ", 777 , 619 , 989 , -   ," 132,977 "
 309 , 712 ," 2,483 "," 14,940 "," 40,202 "," 1,481 "," 3,099 ", 263 , -   ," 4,138 ", -   ," 67,317 "
 310 ," 3,376 "," 5,552 "," 19,489 "," 35,139 "," 1,427 "," 1,539 ", 445 , -   ," 2,673 ", -   ," 69,639 "
 311 , 180 ," 3,493 "," 10,127 "," 12,935 "," 1,527 "," 1,805 ", 717 , -   ," 1,167 ", -   ," 31,952 "
 312 ," 5,873 "," 15,010 "," 35,628 "," 49,025 "," 2,918 "," 5,999 "," 3,326 ", -   ," 1,385 ", -   ," 119,164 "
 313 ," 1,702 "," 6,418 "," 16,449 "," 41,897 "," 3,612 "," 1,162 "," 5,654 ", 159 ," 2,837 ", 624 ," 80,514 "
 314 ," 1,124 "," 3,851 "," 9,167 "," 12,431 "," 2,627 "," 2,926 "," 1,190 ", -   ," 2,093 ", 272 ," 35,681 "
 315 ," 1,856 "," 4,159 "," 34,840 "," 59,016 "," 6,530 "," 5,278 "," 2,570 ", -   ," 3,848 ", -   ," 118,096 "
 316 ," 6,625 "," 14,368 "," 42,540 "," 57,866 "," 3,676 "," 4,435 ", 357 , -   ," 6,784 ", -   ," 136,651 "
 317 , 977 ," 3,500 "," 21,508 "," 7,739 "," 1,139 "," 2,870 "," 1,127 ", -   ," 2,459 ", 311 ," 41,630 "
 318 , 966 , 849 ," 8,188 "," 1,860 ", 314 ," 2,766 ", 531 , -   , 780 , 47 ," 16,300 "
 319 , 986 ," 2,616 "," 18,731 "," 10,095 "," 2,672 "," 1,330 "," 3,903 ", -   ," 2,573 ", 165 ," 43,071 "
 320 , 245 ," 3,267 "," 19,529 "," 11,442 "," 1,562 "," 2,308 "," 1,303 ", -   , 534 , -   ," 40,189 "
 321 ," 4,317 "," 14,877 "," 33,776 "," 39,532 "," 3,170 "," 4,040 "," 6,612 ", 158 ," 4,182 ", 206 ," 110,870 "
 322 ," 2,662 "," 6,913 "," 29,251 "," 31,393 "," 3,897 "," 2,466 "," 3,365 ", -   ," 2,010 ", 379 ," 82,337 "
 323 ," 3,770 "," 7,436 "," 32,443 "," 31,707 "," 2,682 "," 2,151 "," 4,783 ", -   ," 1,206 ", 111 ," 86,289 "
 324 ," 1,639 "," 7,530 "," 32,998 "," 38,957 "," 2,660 "," 6,335 "," 1,617 ", -   ," 4,910 ", -   ," 96,646 "
 325 ," 3,280 "," 4,980 "," 32,133 "," 38,029 "," 1,032 "," 1,590 "," 9,459 ", -   ," 1,871 ", 302 ," 92,677 "
 326 , 990 ," 4,816 "," 19,659 "," 41,405 "," 1,336 "," 4,355 ", 576 , -   ," 5,256 ", 51 ," 78,443 "
 327 ," 4,090 "," 5,335 "," 15,146 "," 29,530 "," 2,267 "," 4,733 "," 4,922 ", 584 ," 7,102 ", -   ," 73,709 "
 328 ," 1,359 "," 3,664 "," 14,156 "," 8,910 "," 1,562 ", 897 ," 1,477 ", -   , 789 , 326 ," 33,140 "
 329 ," 1,383 "," 1,104 "," 10,462 "," 11,337 ", 857 , 328 ," 1,911 ", -   ," 2,733 ", 394 ," 30,507 "
 330 ," 2,302 "," 5,481 "," 20,816 "," 20,224 "," 2,172 ", 927 ," 2,596 ", -   ," 2,618 ", 365 ," 57,501 "
 331 ," 4,377 "," 5,524 "," 13,643 "," 13,080 ", 114 , 398 , 990 , 41 ," 1,241 ", 423 ," 39,829 "
 332 ," 1,317 "," 11,578 "," 16,207 "," 20,207 "," 4,088 "," 1,547 ", 431 , -   ," 2,895 ", -   ," 58,269 "
 333 ," 2,367 "," 6,040 "," 13,248 "," 23,219 "," 1,229 ", 415 , -   , -   ," 1,751 ", 220 ," 48,489 "
 334 ," 1,985 "," 4,209 "," 7,389 "," 12,080 "," 1,407 "," 1,820 "," 1,094 ", -   , 964 , -   ," 30,947 "
 335 ," 2,819 "," 4,038 "," 17,144 "," 17,209 "," 2,354 "," 2,307 "," 1,002 ", -   ," 3,682 ", -   ," 50,555 "
 336 , 777 ," 3,005 "," 15,140 "," 22,612 "," 1,289 "," 3,469 ", 381 , -   ," 5,437 ", -   ," 52,109 "
 337 ," 2,348 "," 4,657 "," 22,873 "," 30,588 "," 1,322 "," 2,012 "," 1,962 ", -   ," 5,199 ", 55 ," 71,017 "
 338 ," 1,224 "," 2,274 "," 13,929 "," 14,500 ", 632 , 395 ," 2,888 ", -   ," 1,219 ", 188 ," 37,250 "
 339 ," 3,283 "," 7,815 "," 21,297 "," 15,556 ", 736 ," 1,196 ", 519 , -   ," 2,445 ", -   ," 52,847 "
 340 , 16 ," 1,571 "," 28,113 "," 31,327 ", 98 ," 1,973 "," 1,235 ", -   ," 1,625 ", 998 ," 66,955 "
 341 ," 1,108 "," 5,438 "," 12,619 "," 5,007 "," 2,587 "," 1,351 ", 895 , 41 ," 3,565 ", 268 ," 32,878 "
 342 ," 1,413 "," 1,318 "," 5,460 "," 9,962 "," 1,173 ", 959 ," 1,870 ", -   ," 2,009 ", -   ," 24,162 "
 343 ," 1,124 "," 3,083 "," 18,445 "," 20,060 "," 3,037 "," 1,909 ", 957 , -   ," 1,010 ", 303 ," 49,927 "
 344 , 252 , 209 ," 2,868 "," 2,374 ", 149 , -   , 20 , -   , 78 , -   ," 5,950 "
 345 ," 5,293 "," 6,152 "," 36,228 "," 41,238 ", 482 , 812 ," 1,895 ", -   , 18 , 426 ," 92,542 "
 346 ," 4,961 "," 5,160 "," 16,403 "," 13,318 "," 1,419 "," 1,291 ", -   , -   , -   , -   ," 42,552 "
 347 , -   , -   , 338 ," 1,093 ", -   , -   , -   , -   , -   , -   ," 1,431 "
 348 ," 27,132 "," 20,490 "," 35,155 "," 54,443 "," 3,183 "," 6,508 "," 2,930 ", -   ," 4,620 "," 1,709 "," 156,171 "
 349 ," 5,831 "," 4,440 "," 5,190 "," 8,501 ", 68 , 151 , -   , -   , 644 , -   ," 24,826 "
 350 , -   , -   , -   , 997 , -   , -   , -   , -   , -   , -   , 997 
 351 ," 7,321 "," 13,247 "," 19,277 "," 44,085 ", 610 ," 4,258 "," 3,550 ", -   ," 2,059 ", 613 ," 95,018 "
 352 ," 4,789 "," 12,945 "," 23,544 "," 40,225 ", 331 ," 2,091 "," 3,168 ", -   , 982 , 613 ," 88,688 "
 353 , -   , -   , 837 ," 1,650 ", -   , -   ," 1,105 ", -   , -   , -   ," 3,591 "
 354 , - , - , - , - , - , - , - , - , - , - , -   
 355 , - , - , - , - , - , - , - , - , - , - , -   
 356 , 861 ," 8,973 "," 21,155 "," 45,058 "," 1,198 ", 973 ," 3,699 ", -   ," 5,591 ", -   ," 87,509 "
 357 ," 8,181 "," 12,496 "," 20,321 "," 55,577 "," 1,198 "," 2,636 "," 1,495 ", -   ," 3,677 ", -   ," 105,580 "
 358 , 168 , 62 ," 1,535 "," 2,126 ", 27 , 27 , 546 , -   ," 1,159 ", -   ," 5,649 "
 359 ," 6,065 "," 12,770 "," 25,547 "," 42,808 "," 2,931 "," 1,664 ", 98 , -   ," 1,791 ", -   ," 93,674 "
 360 ," 1,146 ", -   ," 5,785 "," 10,571 ", 645 , 799 ," 1,808 ", -   , 771 , -   ," 21,524 "
 361 ," 6,718 "," 2,866 "," 10,725 "," 15,368 "," 2,913 ", 736 ," 1,053 ", -   , 457 , -   ," 40,835 "
 362 ," 5,054 ", 351 ," 5,093 "," 8,634 ", 401 ," 1,534 ", 666 , -   , 931 , -   ," 22,664 "
 363 ," 1,750 "," 15,300 "," 27,140 "," 29,371 "," 1,811 "," 8,399 "," 1,837 ", -   ," 2,443 ", -   ," 88,051 "
