Tabela 3,,,,,,
População por Grau de Instrução e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
,População por Grau de Instrução,,,,,
Zona de Residência,Não Alfabetizado/ Fundamental I Incompleto,Fundamental I Completo/ Fundamental II Incompleto,Fundamental II Completo/ Médio Incompleto,Médio Completo/ Superior Incompleto,Superior Completo,Total
,,,,,,
325," 9,127 "," 6,598 "," 14,574 "," 27,696 "," 14,059 "," 72,054 "
326," 6,375 "," 7,657 "," 4,881 "," 16,605 "," 3,692 "," 39,209 "
327," 9,178 "," 5,373 "," 10,727 "," 26,042 "," 9,716 "," 61,036 "
328," 3,654 "," 1,696 ", 651 ," 4,938 "," 15,024 "," 25,962 "
329," 2,588 "," 1,372 "," 1,553 "," 7,483 "," 9,836 "," 22,831 "
330," 3,889 "," 1,282 "," 1,553 "," 7,424 "," 17,910 "," 32,057 "
331," 6,985 "," 5,766 "," 4,211 "," 14,015 "," 14,996 "," 45,973 "
332," 7,032 "," 6,552 "," 4,145 "," 23,726 "," 6,346 "," 47,802 "
333," 8,468 "," 5,139 "," 5,708 "," 17,415 "," 8,219 "," 44,948 "
334," 4,745 "," 3,923 "," 4,071 "," 10,112 "," 5,062 "," 27,913 "
335," 7,012 "," 2,955 "," 4,536 "," 13,376 "," 14,522 "," 42,401 "
336," 6,751 "," 6,332 "," 5,331 "," 10,235 "," 12,860 "," 41,509 "
337," 8,955 "," 5,174 "," 5,321 "," 9,431 "," 22,111 "," 50,992 "
338," 1,239 "," 2,749 ", 928 ," 8,060 "," 9,056 "," 22,031 "
339," 6,881 "," 5,899 "," 3,823 "," 12,828 "," 5,297 "," 34,727 "
340, - , - , - , - , - , -   
341, 485 , 522 , 791 ," 2,168 "," 3,440 "," 7,406 "
342, 30 , 712 , 700 ," 2,798 "," 5,162 "," 9,403 "
343," 3,924 "," 4,615 ", 696 ," 11,174 "," 15,782 "," 36,191 "
344, 764 , 236 , 421 ," 1,007 "," 2,868 "," 5,296 "
345," 6,246 "," 5,877 "," 6,062 "," 17,370 "," 14,572 "," 50,127 "
346," 8,256 "," 6,629 "," 6,253 "," 15,513 "," 5,028 "," 41,680 "
347, - , - , - , - , - , -   
348," 14,499 "," 12,595 "," 20,133 "," 27,210 "," 11,554 "," 85,991 "
349," 2,306 "," 1,482 "," 1,758 "," 3,587 ", 557 ," 9,691 "
350, - , - , - , - , - , -   
351," 16,380 "," 10,936 "," 14,030 "," 26,016 "," 5,433 "," 72,796 "
352," 10,868 "," 12,498 "," 10,140 "," 34,616 "," 7,100 "," 75,223 "
353, - , - , - , - , - , -   
354, - , - , - , - , - , -   
355, - , - , - , - , - , -   
356," 9,932 "," 12,329 "," 7,898 "," 17,887 "," 7,139 "," 55,185 "
357," 22,640 "," 18,260 "," 20,603 "," 39,309 "," 6,426 "," 107,239 "
358," 1,468 "," 1,080 "," 1,222 "," 2,403 ", 373 ," 6,546 "
359," 7,468 "," 5,199 "," 5,056 "," 13,975 "," 6,770 "," 38,468 "
360," 2,433 ", -   , 332 ," 3,565 "," 13,318 "," 19,648 "
361," 5,735 "," 4,342 "," 2,066 "," 8,283 "," 1,788 "," 22,215 "
362," 4,419 "," 3,309 "," 2,783 "," 4,685 ", 601 ," 15,797 "
363," 1,593 "," 1,712 "," 1,489 "," 6,268 "," 6,899 "," 17,962 "
364," 4,652 "," 3,627 "," 4,233 "," 16,975 "," 9,716 "," 39,203 "
365," 1,401 "," 1,632 "," 1,880 "," 3,160 ", 633 ," 8,706 "
366," 1,360 ", 817 ," 1,217 "," 3,422 "," 2,439 "," 9,255 "
367," 9,489 "," 1,845 "," 3,067 "," 19,800 "," 8,037 "," 42,238 "
368," 5,811 "," 1,661 "," 3,223 "," 16,377 "," 7,911 "," 34,983 "
369," 7,766 "," 4,072 "," 4,407 "," 20,665 "," 5,898 "," 42,807 "
370," 9,441 "," 6,033 "," 3,625 "," 24,625 "," 11,150 "," 54,874 "
371," 17,070 "," 8,157 "," 16,063 "," 41,528 "," 14,843 "," 97,662 "
372," 12,895 "," 5,862 "," 9,381 "," 31,274 "," 8,483 "," 67,895 "
373," 8,284 "," 6,162 "," 6,058 "," 25,827 "," 8,043 "," 54,374 "
374," 13,700 "," 4,094 "," 10,198 "," 28,401 "," 5,228 "," 61,621 "
375, - , - , - , - , - , -   
376," 17,590 "," 11,784 "," 11,195 "," 28,771 "," 3,151 "," 72,491 "
377," 9,513 "," 4,319 "," 8,330 "," 19,862 "," 5,644 "," 47,667 "
378," 48,333 "," 27,222 "," 28,020 "," 85,236 "," 8,981 "," 197,792 "
379," 22,972 "," 9,393 "," 16,733 "," 46,868 "," 9,495 "," 105,461 "
380," 11,698 "," 5,740 "," 2,212 "," 30,851 "," 6,447 "," 56,947 "
381," 25,159 "," 9,267 "," 12,480 "," 50,218 "," 7,133 "," 104,256 "
382, - , - , - , - , - , -   
383," 14,403 "," 13,290 "," 18,289 "," 47,901 "," 4,772 "," 98,655 "
384," 18,808 "," 14,426 "," 12,952 "," 34,436 "," 1,075 "," 81,697 "
385," 7,469 "," 2,298 "," 4,886 "," 14,354 ", 585 ," 29,591 "
386, - , - , - , - , - , -   
387, 863 , 542 , 614 ," 1,968 ", 214 ," 4,201 "
388," 16,218 "," 6,085 "," 6,986 "," 41,574 "," 6,326 "," 77,189 "
389, 464 , 551 , 847 ," 2,575 "," 2,946 "," 7,383 "
390," 11,504 "," 7,047 "," 6,179 "," 15,392 "," 3,020 "," 43,142 "
391," 1,465 "," 1,771 "," 1,908 "," 3,960 "," 1,836 "," 10,940 "
392, - , - , - , - , - , -   
393, - , - , - , - , - , -   
394," 15,923 "," 19,126 "," 9,780 "," 30,810 "," 8,298 "," 83,937 "
395, - , - , - , - , - , -   
396," 20,612 "," 20,882 "," 14,042 "," 37,657 "," 6,192 "," 99,385 "
397," 4,164 "," 3,120 "," 3,926 "," 9,047 "," 1,253 "," 21,511 "
398," 14,424 "," 11,182 "," 8,554 "," 39,089 "," 10,719 "," 83,968 "
399," 21,644 "," 14,563 "," 20,202 "," 35,248 "," 10,740 "," 102,397 "
400," 12,734 "," 13,371 "," 12,027 "," 24,418 "," 4,048 "," 66,599 "
401," 32,048 "," 22,188 "," 16,016 "," 47,365 "," 8,045 "," 125,663 "
402," 20,294 "," 16,361 "," 12,622 "," 29,672 "," 4,170 "," 83,119 "
403," 24,741 "," 21,128 "," 18,177 "," 41,790 "," 11,098 "," 116,935 "
404," 29,348 "," 20,178 "," 14,452 "," 57,235 "," 32,813 "," 154,026 "
405," 9,168 "," 2,635 "," 2,771 "," 9,756 "," 1,818 "," 26,148 "
406," 3,651 "," 2,829 "," 1,817 "," 8,545 ", 752 ," 17,595 "
407," 16,873 "," 11,020 "," 5,533 "," 28,665 "," 19,579 "," 81,670 "
408," 6,461 "," 5,994 "," 6,236 "," 13,999 "," 7,212 "," 39,902 "
409," 5,063 "," 2,305 "," 3,452 "," 9,302 "," 15,993 "," 36,115 "
410," 34,247 "," 21,623 "," 11,310 "," 50,636 "," 5,079 "," 122,895 "
411," 14,882 "," 12,536 "," 8,059 "," 20,204 "," 3,150 "," 58,830 "
412," 5,520 "," 3,827 "," 3,257 "," 6,708 "," 3,042 "," 22,353 "
413," 2,813 "," 1,947 "," 1,587 "," 6,275 "," 1,254 "," 13,877 "
414," 3,134 "," 2,425 "," 2,181 "," 9,274 "," 2,303 "," 19,317 "
415," 6,128 "," 4,731 "," 5,677 "," 18,738 "," 5,049 "," 40,322 "
416," 5,590 "," 3,110 "," 3,747 "," 13,143 "," 1,296 "," 26,887 "
417, - , - , - , - , - , -   
418," 7,488 "," 5,953 "," 2,823 "," 12,408 "," 1,554 "," 30,225 "
419, - , - , - , - , - , -   
420," 4,782 "," 3,238 "," 1,623 "," 4,269 "," 1,415 "," 15,327 "
421, - , - , - , - , - , -   
422," 7,546 "," 3,913 "," 4,271 "," 12,369 "," 3,907 "," 32,006 "
423, - , - , - , - , - , -   
424," 6,488 "," 5,544 "," 3,599 "," 13,659 "," 21,027 "," 50,317 "
425," 10,021 "," 3,501 "," 9,797 "," 20,519 "," 12,977 "," 56,816 "
426," 6,372 "," 4,248 "," 1,344 "," 13,448 "," 12,971 "," 38,382 "
427," 1,250 ", 354 ," 1,388 "," 3,077 "," 1,726 "," 7,795 "
428," 3,296 "," 1,214 "," 2,163 "," 6,124 "," 3,689 "," 16,486 "
429," 7,679 "," 6,173 "," 5,446 "," 22,589 "," 29,560 "," 71,448 "
430," 3,695 "," 2,832 "," 4,142 "," 12,857 "," 13,102 "," 36,627 "
431," 2,774 "," 2,660 "," 2,501 "," 9,522 "," 9,206 "," 26,663 "
432," 3,995 "," 4,104 "," 2,906 "," 11,254 "," 3,006 "," 25,264 "
433," 4,265 "," 2,460 "," 2,437 "," 7,697 "," 13,984 "," 30,843 "
434," 4,762 "," 4,407 "," 5,909 "," 19,073 "," 16,820 "," 50,970 "
435," 7,560 "," 5,369 "," 9,146 "," 18,776 "," 13,619 "," 54,471 "
436," 7,537 "," 8,957 "," 8,172 "," 27,391 "," 9,902 "," 61,959 "
437," 6,554 "," 4,075 "," 7,715 "," 16,674 "," 10,392 "," 45,410 "
438," 13,889 "," 15,573 "," 16,429 "," 45,636 "," 28,194 "," 119,720 "
439," 21,356 "," 15,895 "," 14,797 "," 34,708 "," 30,395 "," 117,151 "
440," 24,379 "," 21,448 "," 23,890 "," 50,752 "," 4,512 "," 124,982 "
441, 450 , 261 , 477 ," 1,185 ", 148 ," 2,521 "
442," 7,124 "," 5,515 "," 8,408 "," 16,199 "," 4,571 "," 41,817 "
443," 19,358 "," 13,838 "," 13,721 "," 51,095 "," 16,581 "," 114,594 "
444," 33,770 "," 28,645 "," 21,392 "," 58,775 "," 10,236 "," 152,817 "
445," 16,336 "," 11,777 "," 9,434 "," 35,192 "," 15,306 "," 88,046 "
446," 6,455 "," 3,906 "," 3,864 "," 11,690 "," 2,222 "," 28,136 "
447," 10,662 "," 12,707 "," 10,351 "," 34,390 "," 10,895 "," 79,005 "
448," 4,291 "," 4,813 "," 5,262 "," 8,642 "," 1,588 "," 24,597 "
449," 2,439 "," 2,206 "," 2,513 "," 5,240 "," 1,694 "," 14,090 "
450," 1,665 ", 788 ," 2,686 "," 6,343 ", 749 ," 12,232 "
451," 5,753 "," 2,663 "," 8,184 "," 13,428 "," 2,648 "," 32,676 "
452," 14,260 "," 11,774 "," 9,687 "," 41,343 "," 20,950 "," 98,014 "
453," 8,938 "," 5,263 "," 7,298 "," 22,481 "," 10,771 "," 54,751 "
454," 8,125 "," 1,246 "," 1,644 "," 11,609 "," 19,167 "," 41,790 "
455," 9,479 "," 1,253 "," 3,539 "," 18,101 "," 22,482 "," 54,855 "
456," 10,841 "," 8,087 "," 7,512 "," 27,304 "," 36,091 "," 89,836 "
457," 39,551 "," 17,602 "," 21,599 "," 71,396 "," 25,307 "," 175,455 "
458," 18,801 "," 13,011 "," 10,877 "," 28,338 "," 21,787 "," 92,815 "
459," 11,053 "," 6,464 "," 8,019 "," 18,747 "," 5,664 "," 49,947 "
460," 3,271 "," 3,000 "," 1,493 "," 9,489 "," 3,361 "," 20,614 "
461, - , - , - , - , - , -   
462," 27,348 "," 15,349 "," 26,016 "," 64,804 "," 18,240 "," 151,757 "
463," 10,519 "," 6,095 "," 10,335 "," 25,972 "," 16,816 "," 69,737 "
464," 23,212 "," 13,857 "," 8,539 "," 39,951 "," 11,621 "," 97,180 "
465," 26,886 "," 9,043 "," 13,715 "," 47,942 "," 10,275 "," 107,862 "
466," 13,861 "," 7,286 "," 6,076 "," 22,942 "," 3,901 "," 54,066 "
467," 20,538 "," 8,402 "," 7,769 "," 30,717 "," 3,961 "," 71,387 "
468," 8,652 "," 5,576 "," 6,560 "," 27,096 "," 23,970 "," 71,854 "
469," 8,390 "," 4,013 "," 6,737 "," 23,302 "," 7,327 "," 49,769 "
470," 23,810 "," 14,246 "," 9,478 "," 37,243 "," 12,186 "," 96,964 "
471," 15,542 "," 10,526 "," 3,681 "," 27,702 "," 4,389 "," 61,840 "
472," 15,549 "," 11,582 "," 13,441 "," 16,710 "," 5,633 "," 62,915 "
473," 24,670 "," 27,377 "," 13,868 "," 43,571 "," 9,573 "," 119,059 "
474," 10,892 "," 12,148 "," 7,070 "," 18,946 "," 6,539 "," 55,595 "
475," 3,564 "," 2,652 "," 1,950 "," 8,228 "," 2,270 "," 18,664 "
476," 43,301 "," 16,471 "," 18,881 "," 54,712 "," 15,186 "," 148,550 "
477," 1,302 ", 781 ," 1,039 "," 1,420 ", 783 ," 5,326 "
478," 2,013 ", 974 ," 1,194 "," 3,348 ", 588 ," 8,117 "
479," 3,320 "," 1,724 "," 2,328 "," 6,505 "," 2,441 "," 16,319 "
480," 11,475 "," 3,435 "," 4,521 "," 15,713 "," 6,347 "," 41,490 "
481," 6,395 "," 2,307 "," 1,800 "," 8,251 "," 2,823 "," 21,577 "
482," 1,387 ", 284 , 575 ," 1,809 "," 1,028 "," 5,083 "
483," 7,561 "," 2,598 "," 3,895 "," 10,760 "," 2,977 "," 27,792 "
484, - , - , - , - , - , -   
485, - , - , - , - , - , -   
486," 29,591 "," 19,398 "," 17,068 "," 43,000 "," 16,388 "," 125,446 "
487," 8,739 "," 4,365 "," 5,917 "," 16,128 "," 23,123 "," 58,272 "
488, - , - , - , - , - , -   
489, - , - , - , - , - , -   
490," 10,839 "," 11,300 "," 4,727 "," 15,603 "," 6,307 "," 48,776 "
491," 11,089 "," 10,713 "," 10,881 "," 18,693 "," 9,767 "," 61,142 "
492," 6,354 "," 4,760 "," 3,392 "," 10,961 "," 2,530 "," 27,996 "
493, 721 , 352 , 366 , 925 ," 1,366 "," 3,729 "
494," 29,320 "," 27,741 "," 22,082 "," 42,648 "," 9,647 "," 131,437 "
495," 18,005 "," 16,679 "," 12,957 "," 37,318 "," 14,864 "," 99,825 "
496," 17,039 "," 11,138 "," 15,189 "," 22,741 "," 4,191 "," 70,298 "
497," 9,953 "," 9,231 "," 5,740 "," 12,132 "," 4,691 "," 41,747 "
498," 12,119 "," 9,336 "," 5,069 "," 16,106 "," 8,424 "," 51,053 "
499, 709 , 312 , 752 ," 1,687 "," 1,867 "," 5,328 "
500," 2,652 "," 1,142 "," 1,277 "," 6,013 "," 8,459 "," 19,543 "
501," 7,630 "," 2,583 "," 4,565 "," 11,207 "," 17,713 "," 43,697 "
502," 8,115 "," 4,158 "," 6,241 "," 16,906 "," 25,554 "," 60,974 "
503," 9,665 "," 4,892 "," 7,278 "," 17,991 "," 4,868 "," 44,695 "
504," 12,004 "," 1,508 "," 8,370 "," 42,731 "," 7,333 "," 71,946 "
505," 21,535 "," 16,430 "," 11,381 "," 49,529 "," 27,826 "," 126,702 "
506," 9,295 "," 6,097 "," 18,660 "," 29,572 "," 18,502 "," 82,126 "
507," 2,751 "," 1,185 "," 1,713 "," 7,524 "," 4,273 "," 17,446 "
508," 2,176 "," 1,308 "," 2,574 "," 5,235 "," 5,031 "," 16,324 "
509," 26,457 "," 15,268 "," 16,375 "," 53,610 "," 13,375 "," 125,085 "
510," 10,411 "," 4,424 "," 4,646 "," 19,657 "," 6,207 "," 45,346 "
511," 5,119 "," 3,316 "," 5,841 "," 24,588 "," 12,445 "," 51,309 "
512," 7,491 "," 5,919 "," 3,385 "," 13,193 "," 6,287 "," 36,274 "
513," 2,682 "," 1,064 "," 1,874 "," 2,993 ", 704 ," 9,317 "
514," 18,868 "," 14,778 "," 21,049 "," 30,585 "," 14,583 "," 99,863 "
515," 1,964 "," 1,228 ", 837 ," 3,616 "," 3,752 "," 11,397 "
516," 5,099 "," 4,700 "," 2,274 "," 15,182 "," 11,283 "," 38,538 "
517," 3,897 "," 2,847 "," 2,705 "," 7,628 "," 9,084 "," 26,162 "
518," 33,665 "," 37,048 "," 20,398 "," 51,534 "," 16,739 "," 159,384 "
519," 2,405 "," 2,026 ", 973 ," 3,466 ", -   ," 8,870 "
520, - , - , - , - , - , -   
521," 10,744 "," 12,576 "," 6,011 "," 17,822 "," 2,374 "," 49,527 "
522," 6,127 "," 7,811 "," 6,542 "," 20,710 "," 10,308 "," 51,499 "
523, 432 , 468 , 332 ," 1,639 "," 2,206 "," 5,077 "
524," 26,373 "," 17,783 "," 13,021 "," 35,327 "," 13,869 "," 106,373 "
525," 30,733 "," 23,713 "," 17,425 "," 46,815 "," 8,335 "," 127,020 "
526," 31,390 "," 19,112 "," 16,731 "," 46,161 "," 45,980 "," 159,375 "
527," 5,479 "," 1,810 "," 3,321 "," 5,598 "," 2,462 "," 18,670 "
,,,,,,
Total RMSP,"3,916,281","2,739,710","2,724,462","7,651,773","4,204,625","21,236,852"
,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,
