Tabela 3,,,,,,
População por Grau de Instrução e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
,População por Grau de Instrução,,,,,
Zona de Residência,Não Alfabetizado/ Fundamental I Incompleto,Fundamental I Completo/ Fundamental II Incompleto,Fundamental II Completo/ Médio Incompleto,Médio Completo/ Superior Incompleto,Superior Completo,Total
,,,,,,
75," 1,368 ", 609 , 762 ," 2,491 "," 8,009 "," 13,239 "
76, 833 , 466 , 328 ," 1,461 "," 6,162 "," 9,249 "
77," 1,987 "," 1,378 ", 888 ," 4,594 "," 13,485 "," 22,332 "
78," 1,747 ", 773 , 742 ," 2,229 "," 12,504 "," 17,995 "
79, 817 , 410 , 192 ," 1,459 "," 6,676 "," 9,554 "
80," 1,472 ", 705 , 548 ," 3,606 "," 12,744 "," 19,075 "
81, 992 , 355 , 621 ," 1,212 "," 8,732 "," 11,912 "
82," 1,241 ", 447 , 718 ," 1,713 "," 8,279 "," 12,398 "
83," 2,086 "," 1,271 ", 508 ," 4,561 "," 14,952 "," 23,379 "
84," 1,868 ", 646 , 574 ," 2,803 "," 10,807 "," 16,698 "
85, 495 , 222 , 190 , 608 ," 2,775 "," 4,291 "
86, 295 , 104 , 167 , 631 ," 1,834 "," 3,031 "
87," 1,651 ", 995 , 764 ," 3,049 "," 10,290 "," 16,749 "
88," 3,897 "," 2,401 "," 1,558 "," 6,477 "," 24,799 "," 39,132 "
89," 1,236 ", 798 ," 1,253 "," 3,509 "," 5,529 "," 12,325 "
90," 1,236 ", 542 , 568 ," 2,570 "," 7,793 "," 12,709 "
91," 2,870 "," 1,834 "," 1,424 "," 4,885 "," 3,328 "," 14,340 "
92, 579 , 130 , 364 , 890 ," 1,523 "," 3,486 "
93, 899 , 629 , 691 ," 2,051 "," 6,082 "," 10,352 "
94, 666 , 316 , 431 ," 1,182 "," 3,495 "," 6,089 "
95," 1,195 ", 663 , 842 ," 2,668 "," 11,003 "," 16,371 "
96, 570 , 408 , 224 ," 1,234 "," 3,990 "," 6,426 "
97," 1,298 ", 444 , 629 ," 2,616 "," 10,504 "," 15,490 "
98," 1,440 ", 886 ," 1,002 "," 2,453 "," 3,052 "," 8,832 "
99," 1,430 ", 492 , 725 ," 3,517 "," 2,583 "," 8,747 "
100," 2,432 "," 1,359 "," 1,863 "," 8,634 "," 9,419 "," 23,708 "
101," 1,968 "," 1,671 ", 768 ," 5,209 "," 11,948 "," 21,565 "
102," 1,347 ", 828 , 493 ," 1,870 "," 7,517 "," 12,055 "
103, 249 , 120 , 117 , 461 ," 1,556 "," 2,503 "
104, 744 , 319 , 373 ," 1,177 "," 3,776 "," 6,389 "
105," 1,377 ", 995 , 681 ," 2,884 "," 7,065 "," 13,001 "
106," 2,758 "," 1,166 "," 1,003 "," 1,991 ", 86 ," 7,004 "
107," 1,768 ", 764 , 686 ," 2,777 "," 10,365 "," 16,361 "
108, 884 , 597 , 319 ," 1,910 "," 1,574 "," 5,285 "
109," 16,982 "," 18,383 "," 12,700 "," 42,257 "," 29,325 "," 119,648 "
110," 7,039 "," 5,034 "," 6,246 "," 22,211 "," 24,012 "," 64,542 "
111," 5,729 "," 4,502 "," 6,357 "," 13,425 "," 21,218 "," 51,231 "
112," 6,995 "," 8,048 "," 8,096 "," 12,649 "," 4,073 "," 39,861 "
113," 3,512 "," 4,004 "," 3,751 "," 8,360 "," 5,717 "," 25,344 "
114, - , - , - , - , - , -   
115," 12,775 "," 6,266 "," 9,412 "," 16,048 "," 7,459 "," 51,960 "
116," 34,434 "," 34,144 "," 24,180 "," 52,883 "," 19,267 "," 164,908 "
117," 13,882 "," 9,401 "," 10,755 "," 19,099 "," 8,844 "," 61,982 "
118," 2,487 "," 4,519 "," 2,224 "," 4,600 "," 1,419 "," 15,250 "
119," 19,461 "," 12,031 "," 17,871 "," 34,406 "," 6,134 "," 89,903 "
120, - , - , - , - , - , -   
121," 15,724 "," 17,808 "," 22,478 "," 21,515 "," 4,825 "," 82,349 "
122," 9,812 "," 9,275 "," 8,689 "," 15,662 "," 4,372 "," 47,809 "
123," 12,995 "," 8,902 "," 6,568 "," 25,523 "," 8,641 "," 62,629 "
124," 11,251 "," 6,899 "," 10,100 "," 25,061 "," 3,219 "," 56,530 "
125," 5,199 "," 8,965 "," 6,697 "," 19,325 "," 11,767 "," 51,953 "
126," 5,903 "," 3,087 "," 4,911 "," 11,979 "," 8,414 "," 34,294 "
127," 9,568 "," 3,923 "," 3,447 "," 20,604 "," 16,860 "," 54,403 "
128, 149 , 180 , 112 , 875 , 831 ," 2,146 "
129, 441 , 436 , 414 ," 1,232 "," 1,300 "," 3,824 "
130, 823 ," 1,269 ", 744 ," 1,823 ", 997 ," 5,655 "
131, 175 , 246 , 152 , 611 , 245 ," 1,429 "
132, - , - , - , - , - , -   
133," 3,166 "," 1,629 "," 3,205 "," 8,469 "," 22,315 "," 38,784 "
134," 6,661 "," 2,852 "," 2,669 "," 10,014 "," 9,870 "," 32,066 "
135," 4,248 "," 2,030 "," 2,414 "," 7,048 "," 18,920 "," 34,660 "
136," 4,554 "," 3,258 "," 2,657 "," 10,464 "," 11,160 "," 32,094 "
137," 7,871 "," 9,156 "," 9,457 "," 12,304 "," 11,655 "," 50,443 "
138," 1,424 "," 2,141 "," 1,661 "," 4,399 "," 2,286 "," 11,911 "
139," 3,916 "," 3,299 "," 2,185 "," 10,397 "," 7,771 "," 27,568 "
140," 6,597 "," 7,201 "," 5,299 "," 13,760 "," 12,084 "," 44,941 "
141," 12,411 "," 13,674 "," 14,832 "," 28,507 "," 13,307 "," 82,731 "
142," 18,124 "," 7,698 "," 6,774 "," 27,732 "," 3,870 "," 64,197 "
143, - , - , - , - , - , -   
144," 11,358 "," 9,273 "," 6,725 "," 40,280 "," 30,610 "," 98,247 "
145, 736 , 982 , 858 ," 3,065 "," 2,353 "," 7,994 "
146, - , - , - , - , - , -   
147," 5,508 "," 2,062 "," 2,382 "," 11,353 "," 7,990 "," 29,295 "
148," 3,748 "," 2,078 ", 996 ," 7,037 "," 7,128 "," 20,986 "
149, - , - , - , - , - , -   
150," 10,786 "," 6,429 "," 10,469 "," 21,544 "," 2,447 "," 51,675 "
151," 24,510 "," 17,838 "," 12,814 "," 32,173 "," 12,155 "," 99,491 "
152," 6,289 "," 4,267 "," 1,987 "," 10,356 "," 12,927 "," 35,826 "
153," 1,982 ", 267 , 790 ," 5,918 "," 8,099 "," 17,057 "
154," 6,586 "," 7,000 "," 4,288 "," 18,082 "," 13,193 "," 49,150 "
155," 8,186 "," 3,397 "," 3,571 "," 13,394 "," 1,399 "," 29,948 "
156," 5,774 "," 4,450 "," 5,322 "," 15,814 "," 11,150 "," 42,510 "
157," 1,918 "," 2,280 "," 3,139 "," 7,048 "," 2,655 "," 17,041 "
158," 8,366 "," 9,198 "," 7,189 "," 21,994 "," 8,617 "," 55,364 "
159," 15,228 "," 8,933 "," 8,480 "," 22,252 "," 7,538 "," 62,431 "
160," 9,568 "," 5,213 "," 3,773 "," 19,795 "," 9,086 "," 47,435 "
161," 7,859 "," 8,873 "," 14,413 "," 13,940 "," 2,763 "," 47,849 "
162," 2,125 "," 1,422 "," 1,865 "," 7,011 "," 3,533 "," 15,956 "
163," 4,068 "," 5,379 "," 4,102 "," 16,347 "," 12,441 "," 42,336 "
164," 1,396 "," 1,249 ", 470 ," 3,084 "," 1,844 "," 8,043 "
165, 491 , 613 , 602 ," 1,583 ", 226 ," 3,515 "
166," 4,028 "," 2,125 "," 1,135 "," 6,184 "," 17,468 "," 30,940 "
167," 1,624 "," 1,220 "," 1,491 "," 4,107 "," 7,117 "," 15,559 "
168," 4,238 ", 855 ," 1,837 "," 6,347 "," 12,103 "," 25,381 "
169," 3,095 "," 2,755 "," 4,182 "," 8,997 "," 10,142 "," 29,171 "
170," 5,279 "," 6,918 "," 5,836 "," 11,879 "," 12,255 "," 42,167 "
171," 4,824 "," 4,382 "," 5,430 "," 14,070 "," 10,409 "," 39,115 "
172," 3,020 "," 2,897 "," 2,901 "," 13,810 "," 3,817 "," 26,444 "
173," 4,347 "," 4,065 "," 4,175 "," 7,114 "," 8,316 "," 28,017 "
174," 7,950 "," 7,753 "," 4,260 "," 18,011 "," 8,928 "," 46,902 "
175," 4,969 "," 4,491 "," 6,223 "," 12,352 "," 8,628 "," 36,662 "
176," 5,477 "," 6,062 "," 7,389 "," 19,118 "," 8,609 "," 46,655 "
177," 3,038 "," 2,466 "," 1,459 "," 6,464 "," 1,034 "," 14,461 "
178, - , - , - , - , - , -   
179, - , - , - , - , - , -   
180," 11,840 "," 11,525 "," 7,529 "," 25,043 "," 12,591 "," 68,529 "
181," 11,199 "," 5,125 "," 8,109 "," 15,105 "," 7,057 "," 46,595 "
182," 6,685 "," 7,044 "," 4,857 "," 17,269 "," 10,014 "," 45,868 "
183," 8,573 "," 4,943 "," 4,230 "," 21,201 "," 7,300 "," 46,246 "
184," 3,264 "," 3,651 "," 3,800 "," 8,595 "," 4,376 "," 23,686 "
185," 4,701 "," 4,186 "," 4,528 "," 11,020 "," 1,999 "," 26,434 "
186," 1,168 "," 1,475 "," 1,234 "," 4,180 "," 2,054 "," 10,111 "
187," 8,241 "," 10,068 "," 8,274 "," 18,246 "," 3,697 "," 48,525 "
188," 4,154 "," 4,171 "," 4,685 "," 9,021 "," 6,736 "," 28,767 "
189," 9,371 "," 4,999 "," 6,296 "," 22,749 "," 6,490 "," 49,905 "
190," 6,473 "," 3,806 "," 3,661 "," 12,084 "," 10,283 "," 36,307 "
191, - , - , - , - , - , -   
192," 6,715 "," 7,421 "," 5,100 "," 12,924 "," 5,663 "," 37,823 "
193," 4,079 "," 3,683 "," 5,684 "," 9,397 "," 2,328 "," 25,171 "
194," 6,036 "," 4,092 "," 2,802 "," 11,302 "," 2,377 "," 26,608 "
195," 6,950 "," 4,991 "," 6,859 "," 17,582 "," 4,006 "," 40,388 "
196," 9,498 "," 5,693 "," 3,911 "," 11,308 "," 3,190 "," 33,600 "
197," 4,208 "," 2,822 "," 1,336 "," 8,399 "," 6,630 "," 23,395 "
198," 6,343 "," 3,129 "," 2,979 "," 8,768 "," 4,810 "," 26,029 "
199," 21,494 "," 17,381 "," 15,969 "," 40,767 "," 4,023 "," 99,634 "
200," 9,179 "," 5,460 "," 3,326 "," 11,687 "," 3,337 "," 32,990 "
201," 12,561 "," 7,247 "," 7,702 "," 31,098 "," 10,520 "," 69,129 "
202," 14,430 "," 11,891 "," 8,422 "," 32,276 "," 8,019 "," 75,039 "
203," 12,018 "," 7,943 "," 8,330 "," 21,632 "," 3,133 "," 53,056 "
204," 27,125 "," 17,980 "," 22,175 "," 40,627 "," 7,512 "," 115,420 "
205," 22,759 "," 11,050 "," 16,168 "," 40,226 "," 7,305 "," 97,509 "
206," 7,781 "," 5,686 "," 7,011 "," 16,709 "," 2,255 "," 39,442 "
207," 18,441 "," 12,227 "," 8,911 "," 25,634 "," 8,233 "," 73,445 "
208," 6,333 "," 2,926 "," 5,033 "," 10,130 "," 20,730 "," 45,152 "
209," 4,392 "," 4,999 "," 5,424 "," 14,164 "," 12,363 "," 41,342 "
210," 5,277 "," 1,124 "," 1,488 "," 13,189 "," 13,033 "," 34,111 "
211," 7,975 "," 5,879 "," 11,463 "," 21,631 "," 13,418 "," 60,366 "
212," 6,902 "," 4,062 "," 5,778 "," 14,527 "," 12,127 "," 43,397 "
213," 8,586 "," 4,765 "," 4,263 "," 16,657 "," 14,133 "," 48,403 "
214," 1,589 "," 1,206 "," 1,873 "," 12,787 "," 8,712 "," 26,167 "
215," 3,526 "," 5,158 "," 4,441 "," 12,959 "," 14,072 "," 40,156 "
216," 4,683 "," 4,192 "," 7,165 "," 15,416 "," 8,352 "," 39,808 "
217," 4,550 "," 3,898 "," 3,568 "," 12,427 "," 7,597 "," 32,040 "
218," 9,099 "," 7,583 "," 4,069 "," 33,956 "," 11,203 "," 65,910 "
219," 6,920 "," 6,538 "," 8,198 "," 15,025 "," 12,358 "," 49,039 "
220," 6,270 "," 3,193 "," 3,589 "," 15,899 "," 6,416 "," 35,367 "
221," 8,451 "," 10,642 "," 6,310 "," 22,030 "," 8,217 "," 55,650 "
222," 6,635 "," 8,036 "," 4,594 "," 16,389 "," 12,144 "," 47,798 "
223," 6,097 "," 4,748 "," 5,147 "," 9,910 "," 2,832 "," 28,734 "
224, - , - , - , - , - , -   
225," 7,290 "," 7,314 "," 9,063 "," 18,721 "," 4,633 "," 47,022 "
226," 11,440 "," 12,698 "," 10,974 "," 36,325 "," 12,970 "," 84,407 "
227," 19,145 "," 8,390 "," 6,478 "," 21,257 "," 8,801 "," 64,071 "
228," 10,544 "," 6,601 "," 8,090 "," 17,290 "," 5,436 "," 47,961 "
229," 30,099 "," 21,426 "," 24,611 "," 48,201 "," 9,843 "," 134,180 "
230," 11,051 "," 13,007 "," 9,721 "," 27,578 "," 3,466 "," 64,822 "
231," 18,160 "," 6,568 "," 6,168 "," 14,172 "," 4,079 "," 49,146 "
232," 11,488 "," 8,663 "," 6,704 "," 17,935 "," 2,040 "," 46,829 "
233," 14,544 "," 8,309 "," 7,846 "," 23,190 "," 3,557 "," 57,445 "
234," 20,471 "," 13,197 "," 15,300 "," 21,830 "," 5,033 "," 75,832 "
235," 13,008 "," 10,519 "," 14,652 "," 27,485 "," 10,330 "," 75,994 "
236," 1,624 ", 583 , 630 ," 3,730 "," 5,505 "," 12,072 "
237," 1,210 ", 331 , 609 ," 3,837 "," 5,097 "," 11,084 "
