Tabela 1,,,,,,,,,,
Dados Gerais por Zona de Pesquisa – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,, ,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,,,,,Matrículas,,Automóveis,Viagens,Viagens,
Zona ,Nome,Domicílios,Famílias,População,Escolares,Empregos,Particulares,Produzidas,Atraidas,Área (ha)
,,,,,,,,,,
234,Parque São Rafael,"25,411","25,790"," 75,832 "," 12,855 "," 16,326 ","9,861","81,967","82,004", 737 
235,Rodolfo Pirani,"26,909","26,909"," 75,994 "," 15,415 "," 17,790 ","8,073","85,608","86,354", 566 
236,Ipiranga,"4,988","4,988"," 12,072 "," 4,940 "," 13,323 ","3,242","33,387","33,969", 92 
237,Sacomã,"4,788","4,837"," 11,084 "," 1,676 "," 13,589 ","3,055","39,562","40,746", 90 
238,Alto do Ipiranga,"8,339","8,339"," 20,023 "," 2,398 "," 12,909 ","5,292","32,146","32,363", 161 
239,Vila São José,"5,877","5,877"," 14,764 "," 13,553 "," 19,396 ","4,148","60,422","60,546", 178 
240,Vila Monumento,"8,165","8,165"," 20,456 "," 2,143 "," 15,309 ","6,898","42,429","41,343", 165 
241,Vila Independência,"4,275","4,275"," 10,864 "," 1,516 "," 12,257 ","3,124","31,807","31,912", 170 
242,Vila Carioca,"11,040","11,256"," 29,897 "," 1,720 "," 18,042 ","6,061","47,806","47,870", 249 
243,Moinho Velho,"18,455","18,455"," 45,794 "," 18,212 "," 27,326 ","16,646","96,289","99,996", 347 
244,Vila Heliópolis,"24,260","24,260"," 67,180 "," 3,820 "," 14,622 ","11,663","92,669","89,593", 233 
245,São João Clímaco,"9,482","9,482"," 25,081 "," 2,509 "," 4,269 ","7,396","25,190","25,924", 198 
246,Anchieta,"11,361","11,361"," 30,196 "," 11,908 "," 8,055 ","7,153","43,055","43,218", 217 
247,Vila das Mercês,"37,355","37,355"," 99,681 "," 12,940 "," 20,627 ","22,413","105,975","105,577", 469 
248,Parque do Estado,,0, - , - , 907 ,0,"1,495","1,495", 445 
249,Água Funda,"14,521","14,521"," 39,120 "," 6,324 "," 7,813 ","8,890","53,378","53,338", 276 
250,Jardim da Saúde,"7,568","7,568"," 19,888 "," 1,881 "," 16,096 ","7,288","46,854","45,559", 183 
251,Vila Gumercindo,"10,172","10,172"," 25,031 "," 3,105 "," 6,795 ","9,574","31,624","31,679", 137 
252,Jardim Previdência,"8,074","8,074"," 21,686 "," 3,095 "," 6,311 ","6,776","34,573","34,586", 166 
253,Tamanduateí,"2,056","2,056"," 5,606 ", 54 ," 5,658 ",578,"13,488","13,076", 113 
254,Orfanato,"14,195","14,195"," 35,158 "," 26,279 "," 33,216 ","13,392","100,999","103,063", 354 
255,Vila Zelina,"26,984","26,984"," 67,552 "," 9,899 "," 21,622 ","22,667","91,873","91,414", 493 
256,Linhas Corrente,"11,248","11,460"," 27,883 "," 2,688 "," 8,440 ","7,003","48,212","48,380", 252 
257,Vila Ema,"17,376","17,698"," 44,393 "," 6,088 "," 11,869 ","10,619","52,044","51,588", 267 
258,Parque São Lucas,"25,735","25,735"," 69,192 "," 11,965 "," 24,832 ","16,995","81,737","82,076", 450 
259,Vila Cardoso Franco,"12,126","12,369"," 34,701 "," 2,096 "," 5,701 ","7,761","35,897","35,513", 164 
260,Parque Santa Madalena,"15,341","15,341"," 43,276 "," 5,835 "," 7,282 ","6,136","63,786","64,171", 205 
261,Jardim Colorado,"19,211","19,211"," 53,479 "," 11,648 "," 22,927 ","9,431","83,977","84,614", 320 
262,Teotônio Vilela,"28,504","28,504"," 79,176 "," 5,796 "," 17,963 ","9,867","73,661","73,694", 346 
263,Fazenda da Juta,"21,875","21,875"," 62,710 "," 11,775 "," 21,273 ","7,721","95,605","94,571", 330 
264,São Mateus,"22,843","23,739"," 64,306 "," 12,422 "," 35,266 ","14,333","116,332","115,475", 428 
265,Cidade IV Centenário,"15,389","15,389"," 42,838 "," 12,285 "," 18,004 ","10,168","81,846","81,318", 333 
266,Rio Claro,"7,163","7,303"," 20,014 "," 3,230 "," 3,452 ","4,494","27,287","27,093", 218 
267,Cidade Satélite,"11,723","11,723"," 32,392 "," 7,239 "," 17,036 ","5,972","56,819","57,842", 300 
268,Joaquim Nabuco,"5,074","5,108"," 12,903 "," 3,162 "," 9,079 ","5,210","28,702","28,591", 198 
269,Vieira de Moraes,"13,074","13,074"," 29,352 "," 2,032 "," 20,389 ","16,640","59,689","57,874", 171 
270,Campo Belo,"4,434","4,434"," 9,486 "," 1,655 "," 12,300 ","3,167","24,360","24,334", 139 
271,Congonhas,,0, - , - ," 12,736 ",0,"15,082","15,265", 179 
272,Jardim Aeroporto,"8,951","8,951"," 21,083 "," 4,490 "," 15,394 ","6,809","40,677","40,497", 199 
273,Vila Santa Catarina,"24,071","24,071"," 61,865 "," 7,624 "," 19,753 ","17,590","88,489","88,840", 326 
274,Jabaquara,"12,769","12,769"," 31,810 "," 10,063 "," 42,211 ","7,297","97,138","98,688", 289 
275,Cidade Vargas,"15,729","15,729"," 38,452 "," 12,562 "," 18,336 ","11,574","75,269","76,315", 347 
276,Jardim Bom Clima,"32,362","32,362"," 88,181 "," 9,756 "," 16,438 ","16,720","142,047","141,434", 446 
277,Cupecê,"22,132","22,132"," 57,629 "," 10,040 "," 20,111 ","16,696","69,872","70,542", 417 
278,Jardim Miriam,"44,311","44,557"," 122,947 "," 24,406 "," 25,279 ","14,770","179,963","179,280", 514 
279,Vila Missionária,"27,199","28,011"," 74,833 "," 8,826 "," 14,309 ","10,961","76,783","77,666", 295 
280,Jurubatuba,"9,872","9,872"," 25,563 "," 11,377 "," 22,356 ","9,872","57,237","58,127", 483 
281,Vila São Pedro,"15,464","15,464"," 39,645 "," 7,501 "," 19,278 ","16,416","60,011","60,270", 313 
282,Campo Grande,"13,596","13,596"," 36,235 "," 5,886 "," 19,544 ","11,866","57,273","57,349", 272 
283,Vila Sabará,"6,660","6,660"," 17,362 "," 1,294 "," 8,214 ","7,300","23,216","22,697", 235 
284,Mar Paulista,"18,736","19,111"," 52,453 "," 19,872 "," 10,911 ","10,117","68,497","68,510", 549 
285,Pedreira,"39,807","40,470"," 115,198 "," 7,453 "," 26,594 ","19,904","98,423","97,335"," 1,303 "
286,Vila Socorro,"4,637","4,637"," 11,511 "," 1,919 "," 23,801 ","3,587","41,499","41,819", 293 
287,Parque Interlagos,"10,284","10,284"," 27,485 "," 4,393 "," 18,786 ","8,538","57,427","57,421", 936 
288,Jardim Represa,"6,392","6,643"," 18,261 "," 21,414 "," 11,399 ","7,019","53,546","53,832", 784 
289,Rio Bonito,"16,095","16,095"," 44,846 "," 15,798 "," 20,587 ","12,876","85,105","85,755", 496 
290,SESC Interlagos,"18,516","18,516"," 52,880 "," 11,487 "," 16,875 ","14,442","69,688","68,133", 736 
291,Jardim Presidente,"25,592","26,066"," 71,006 "," 12,710 "," 22,528 ","12,322","87,595","86,757", 763 
292,Vila Natal,"22,361","23,255"," 65,079 "," 18,185 "," 15,467 ","14,311","86,088","86,643", 415 
293,Grajaú,"27,533","27,533"," 76,903 "," 13,552 "," 20,755 ","15,585","73,683","74,690", 541 
294,Cocaia,"35,560","36,068"," 101,771 "," 28,329 "," 34,589 ","15,240","105,546","105,433"," 1,093 "
295,Belmira Marin,"44,142","44,878"," 129,341 "," 27,524 "," 36,434 ","19,864","142,365","139,666"," 1,237 "
296,Bororé,"7,169","7,456"," 21,341 "," 1,959 "," 2,379 ","2,294","8,171","8,059"," 5,993 "
297,Jaceguava,"2,122","2,122"," 6,321 "," 1,000 "," 2,762 ","2,405","7,472","7,475"," 3,513 "
298,Parelheiros,"50,332","50,670"," 151,193 "," 41,695 "," 59,254 ","22,295","212,658","207,398"," 11,667 "
299,Marsilac,"5,040","5,184"," 11,727 ", 720 ," 1,931 ","2,448","8,839","8,887"," 4,565 "
300,Jardim Emburá,,0, - , 9 , 86 ,0,112,112," 16,231 "
301,Granja Julieta,"17,730","17,730"," 41,686 "," 21,857 "," 120,728 ","12,148","172,202","174,670", 617 
302,Chácara Flora,"4,684","4,684"," 12,550 "," 1,941 "," 25,512 ","6,691","50,327","50,164", 452 
303,Santo Amaro,"7,788","7,788"," 19,007 "," 22,018 "," 27,868 ","5,143","78,618","79,124", 257 
304,Vila Miranda,"5,814","5,814"," 14,227 "," 26,459 "," 30,053 ","5,508","53,666","53,679", 271 
305,Jardim São Luís,"26,764","28,905"," 73,405 "," 18,486 "," 25,881 ","14,988","128,466","126,583", 408 
306,Centro Empresarial,"41,660","41,660"," 113,649 "," 27,729 "," 27,240 ","21,524","167,729","165,663", 675 
307,Guarapiranga,"28,475","28,475"," 78,768 "," 12,696 "," 12,683 ","10,821","80,265","79,613"," 1,513 "
308,Jardim Capela,"39,292","41,019"," 114,145 "," 22,220 "," 22,632 ","15,544","132,977","133,579"," 2,022 "
309,Riviera,"14,011","15,358"," 39,532 "," 10,416 "," 5,768 ","5,658","67,317","67,553", 799 
310,Jardim Turquesa,"21,566","21,566"," 60,864 "," 11,342 "," 9,649 ","7,538","69,639","67,391", 283 
311,Morro do Índio,"9,277","9,277"," 25,981 "," 3,246 "," 6,765 ","2,843","31,952","32,667", 115 
312,Jardim Ângela,"28,552","28,998"," 78,648 "," 21,217 "," 22,149 ","8,476","119,164","118,176", 464 
313,Capão Redondo,"14,988","14,988"," 39,927 "," 20,580 "," 18,591 ","7,794","80,514","83,532", 219 
314,Jardim Sônia Ingá,"7,973","7,973"," 21,032 "," 5,228 "," 5,808 ","3,030","35,681","35,309", 105 
315,Adventista,"35,285","35,285"," 96,360 "," 25,786 "," 28,325 ","11,174","118,096","119,543", 545 
316,Parque Fernanda,"43,248","43,248"," 120,175 "," 17,849 "," 26,707 ","16,098","136,651","136,600", 512 
317,Morumbi,"5,950","6,030"," 12,869 "," 2,136 "," 19,979 ","6,111","41,630","41,055", 271 
318,Jóquei Clube,"1,114","1,123"," 2,645 "," 1,251 "," 10,090 ","1,959","16,300","16,045", 333 
319,Fazenda Morumbi,"8,484","8,484"," 21,066 "," 1,827 "," 21,717 ","7,606","43,071","44,140", 321 
320,Real Parque,"3,470","3,470"," 8,196 "," 6,078 "," 19,392 ","5,429","40,189","40,160", 223 
321,Paraisópolis,"27,377","27,377"," 74,358 "," 10,357 "," 15,429 ","12,364","110,870","111,326", 362 
322,Jardim Vitória Régia,"16,670","16,670"," 39,963 "," 7,626 "," 26,222 ","17,596","82,337","83,204", 370 
323,Vila Suzana,"23,895","23,895"," 58,539 "," 9,428 "," 22,550 ","29,275","86,289","85,989", 301 
324,Parque Arariba,"25,994","26,514"," 69,730 "," 12,198 "," 12,732 ","20,275","96,646","98,397", 347 
325,Jardim Mitsutani,"26,649","26,649"," 72,054 "," 17,340 "," 18,911 ","11,726","92,677","92,086", 349 
326,Pirajussara,"14,202","14,202"," 39,209 "," 14,371 "," 17,356 ","7,101","78,443","79,667", 270 
327,Jardim Umarizal,"22,812","22,812"," 61,036 "," 7,776 "," 8,869 ","10,950","73,709","75,087", 295 
328,Portal do Morumbi,"9,886","9,886"," 25,962 ", 744 ," 10,914 ","12,127","33,140","32,997", 151 
329,Jardim Jussara,"9,130","9,130"," 22,831 "," 2,912 "," 14,291 ","8,500","30,507","28,781", 232 
330,Vila Sônia,"12,479","12,479"," 32,057 "," 6,583 "," 21,621 ","11,955","57,501","57,544", 348 
331,Jardim Maria do Carmo,"17,163","17,163"," 45,973 "," 3,104 "," 13,374 ","12,014","39,829","40,214", 278 
332,Jardim Cambará,"17,365","17,365"," 47,802 "," 7,613 "," 19,297 ","10,766","58,269","58,272", 480 
333,Jardim João XXIII,"15,913","15,913"," 44,948 "," 8,523 "," 17,454 ","8,911","48,489","47,840", 468 
334,Raposo Tavares,"10,515","10,515"," 27,913 "," 4,608 "," 9,884 ","9,302","30,947","30,931", 271 
335,Rio Pequeno,"16,054","16,054"," 42,401 "," 7,910 "," 17,230 ","12,843","50,555","49,852", 246 
336,Jardim Ester Yolanda,"15,031","15,031"," 41,509 "," 4,983 "," 13,931 ","12,084","52,109","49,988", 265 
337,Jardim Adalgiza,"18,417","18,778"," 50,992 "," 9,318 "," 15,568 ","20,945","71,017","72,734", 467 
338,Parque Continental,"8,927","8,927"," 22,031 "," 6,675 "," 10,745 ","6,427","37,250","37,487", 226 
339,Jaguaré,"12,668","12,668"," 34,727 "," 4,857 "," 22,623 ","5,975","52,847","53,288", 430 
340,Cidade Universitária,,0, - ," 45,873 "," 26,926 ",0,"66,955","67,805", 585 
341,Butantã,"3,211","3,211"," 7,406 ", 874 ," 19,501 ","3,494","32,878","32,318", 207 
342,Jardim Caxingui,"3,919","3,919"," 9,403 "," 3,726 "," 4,873 ","3,163","24,162","23,420", 180 
343,Jardim Bonfiglioli,"15,914","15,914"," 36,191 "," 6,787 "," 13,929 ","14,384","49,927","50,492", 320 
344,Melhoramentos,"1,775","2,012"," 5,296 ", 95 ," 1,524 ","3,195","5,950","5,950"," 2,875 "
345,Caieiras,"18,328","18,695"," 50,127 "," 13,986 "," 25,575 ","24,560","92,542","91,101"," 1,990 "
346,Serpa,"14,760","14,760"," 41,680 "," 5,715 "," 9,920 ","8,682","42,552","42,735", 691 
347,Santa Inês,,0, - , 304 , 631 ,0,"1,431","1,431"," 4,081 "
348,Cajamar,"30,388","30,388"," 85,991 "," 22,732 "," 51,244 ","21,788","156,171","154,621"," 4,856 "
349,Jordanésia,"3,310","3,393"," 9,691 "," 1,254 "," 13,578 ","2,483","24,826","24,440"," 8,308 "
350,Cristais,,0, - , 844 , 300 ,0,997,997," 4,252 "
351,Baltazar Fidélis,"26,038","26,559"," 72,796 "," 15,778 "," 20,059 ","13,540","95,018","92,695"," 2,505 "
352,Franco da Rocha,"27,440","27,440"," 75,223 "," 12,573 "," 15,071 ","22,501","88,688","88,468"," 1,418 "
353,Parque do Juqueri,,0, - , 931 ," 1,227 ",0,"3,591","3,591"," 2,551 "
354,Palmares,,0, - , - , -   ,0,-,-," 2,721 "
355,Sete Voltas,,0, - , - , -   ,0,-,-, 560 
356,Afonso Moreno,"19,750","19,750"," 55,185 "," 13,519 "," 14,299 ","8,046","87,509","88,314", 745 
357,Francisco Morato,"38,521","38,521"," 107,239 "," 24,559 "," 18,843 ","18,358","105,580","104,276"," 1,857 "
358,Cascatas,"2,252","2,252"," 6,546 ", - , 747 ,601,"5,649","5,511"," 1,758 "
359,Mairiporã,"13,749","13,749"," 38,468 "," 13,493 "," 20,235 ","10,999","93,674","93,036"," 4,886 "
360,Paiva Castro,"6,828","7,056"," 19,648 "," 1,947 "," 6,400 ","11,380","21,524","21,524"," 6,751 "
361,Colinas,"7,741","7,741"," 22,215 "," 5,788 "," 8,272 ","5,935","40,835","40,835"," 5,553 "
362,Pirucaia,"5,549","5,549"," 15,797 ", 400 ," 5,070 ","4,254","22,664","22,139"," 14,954 "
363,Guarulhos,"7,003","7,003"," 17,962 "," 32,542 "," 37,343 ","5,447","88,051","88,550", 164 
364,Macedo,"15,222","15,222"," 39,203 "," 31,849 "," 34,786 ","11,023","101,938","101,942", 382 
365,Cumbica,"2,835","2,835"," 8,706 ", 951 ," 36,924 ","1,148","42,902","42,384", 689 
366,Várzea do Palácio,"2,018","2,018"," 9,255 ", 346 ," 11,853 ","1,648","18,900","21,603", 647 
367,Ponte Grande,"15,900","15,900"," 42,238 "," 9,711 "," 32,503 ","12,471","83,416","83,655", 875 
368,Gopouva,"13,649","13,649"," 34,983 "," 7,695 "," 12,334 ","11,150","54,451","53,560", 202 
369,Vila São Rafael,"15,851","15,851"," 42,807 "," 9,071 "," 18,863 ","10,087","84,654","83,184", 401 
370,Vila Rosália,"20,059","20,059"," 54,874 "," 16,150 "," 20,369 ","17,251","90,247","89,778", 435 
371,André Luiz,"36,260","36,260"," 97,662 "," 16,510 "," 34,925 ","20,306","137,102","137,068", 580 
372,Jardim Santa Clara,"24,298","24,298"," 67,895 "," 13,332 "," 6,865 ","16,523","80,381","80,255", 463 
373,Parque CECAP,"20,020","20,020"," 54,374 "," 10,566 "," 24,535 ","13,090","57,113","58,473", 472 
374,Taboão,"21,336","21,336"," 61,621 "," 18,020 "," 35,364 ","12,132","80,521","82,473", 529 
375,Aeroporto,,0, - , - ," 29,670 ",0,"38,668","33,416"," 1,325 "
376,Jardim Presidente Dutra,"24,643","24,643"," 72,491 "," 14,854 "," 38,694 ","11,829","127,786","127,493", 892 
377,Baquirivu,"16,593","16,593"," 47,667 "," 13,320 "," 24,623 ","8,785","82,768","81,852"," 1,046 "
378,Água Chata,"67,368","67,368"," 197,792 "," 37,512 "," 65,030 ","30,091","245,879","245,084"," 2,423 "
379,Pimentas,"36,964","36,964"," 105,461 "," 18,966 "," 44,618 ","22,059","147,099","147,327"," 1,686 "
380,Cabuçu,"19,793","19,793"," 56,947 "," 7,473 "," 10,125 ","14,491","69,936","69,936", 752 
381,Invernada,"34,722","34,722"," 104,256 "," 16,042 "," 17,293 ","20,833","123,827","123,483"," 2,195 "
382,Morro dos Macacos,,0, - , - , -   ,0,-,-," 3,533 "
383,Chácaras Bananal,"33,224","33,817"," 98,655 "," 15,983 "," 20,427 ","20,765","116,013","116,020"," 1,816 "
384,Estrada de Nazaré Paulista,"26,859","26,859"," 81,697 "," 15,322 "," 21,871 ","12,355","111,320","115,787"," 1,215 "
385,Água Azul,"9,943","9,943"," 29,591 "," 9,438 "," 5,643 ","3,314","28,850","28,218"," 3,389 "
386,Vasconcelândia,,0, - , - , -   ,0,-,-," 5,830 "
387,Arujazinho,"1,392","1,392"," 4,201 ", 766 ," 5,039 ","1,021","9,422","9,422"," 4,190 "
388,Arujá,"26,285","26,285"," 77,189 "," 17,374 "," 42,408 ","14,194","137,974","137,907"," 3,194 "
389,Fazenda Velha,"2,385","2,385"," 7,383 ", 502 ," 5,553 ","2,226","11,399","11,471"," 2,249 "
390,Santa Isabel,"16,593","16,593"," 43,142 "," 11,319 "," 16,367 ","10,620","73,835","73,776","3,990"
391,Jaguari,"4,262","4,262"," 10,940 ", 390 ," 3,483 ","2,983","9,947","9,947","14,250"
392,Barroca Funda,,0, - , - , 186 ,0,220,220," 11,314 "
393,Monte Negro,,0, - , - , 310 ,0,632,632,"6,862"
394,Ferraz de Vasconcelos,"30,406","30,881"," 83,937 "," 19,400 "," 27,326 ","18,529","150,359","150,590",991
395,Paiol Velho,,0, - , - , 349 ,0,412,412,"1,027"
396,Santos Dumont,"35,476","36,573"," 99,385 "," 20,790 "," 24,507 ","15,361","146,084","145,511",945
397,Jardim São José,"7,097","7,236"," 21,511 "," 4,048 "," 3,259 ","4,731","33,380","33,470",408
398,Poá,"28,870","28,870"," 83,968 "," 18,576 "," 39,833 ","19,557","176,126","175,940","1,322"
399,Itaquaquecetuba,"34,330","34,729"," 102,397 "," 21,245 "," 34,551 ","19,560","160,211","163,476","1,133"
400,Quinta da Boa Vista,"22,504","22,504"," 66,599 "," 19,551 "," 26,781 ","9,002","138,759","138,242","1,420"
401,Bonsucesso,"41,546","41,546"," 125,663 "," 19,179 "," 34,769 ","24,274","164,372","164,775","3,076"
402,Pinheirinho,"26,645","27,274"," 83,119 "," 15,274 "," 20,519 ","14,057","108,762","107,251","2,651"
403,Miguel Badra,"39,187","39,508"," 116,935 "," 24,527 "," 31,932 ","20,726","189,948","190,124","3,271"
404,Suzano,"54,304","54,760"," 154,026 "," 46,205 "," 68,889 ","37,420","362,750","361,965","3,452"
405,Guaió,"8,819","9,146"," 26,148 "," 7,896 "," 9,356 ","7,023","44,026","44,151","8,721"
406,Ouro Fino,"5,989","6,199"," 17,595 "," 1,884 "," 5,062 ","3,677","23,797","24,509"," 5,223 "
407,Mogi das Cruzes,"30,460","30,460"," 81,670 "," 31,319 "," 44,102 ","21,417","162,424","161,233","1,358"
408,Estudantes,"16,324","16,324"," 39,902 "," 19,138 "," 29,548 ","10,327","80,866","80,798",996
409,Vila Oliveira,"13,018","13,018"," 36,115 "," 20,876 "," 23,036 ","10,071","67,089","66,044","2,915"
410,Brás Cubas,"42,286","42,286"," 122,895 "," 18,344 "," 39,568 ","18,857","145,700","145,978","2,148"
411,Jundiapeba,"19,405","19,405"," 58,830 "," 10,447 "," 13,254 ","11,942","73,822","74,615","2,375"
412,Jardim Graziella,"7,381","7,381"," 22,353 "," 5,430 "," 10,160 ","4,662","29,952","31,416","3,986"
413,Itapeti,"4,693","4,693"," 13,877 "," 1,968 "," 6,654 ","2,816","17,478","17,478","15,937"
414,Sabaúna,"6,626","6,626"," 19,317 "," 2,671 "," 5,351 ","3,898","17,351","17,294","4,423"
415,César de Souza,"14,406","14,406"," 40,322 "," 7,110 "," 17,255 ","8,311","55,747","55,513","2,933"
416,Taiaçupeba,"9,251","9,251"," 26,887 "," 4,015 "," 7,225 ","6,784","22,657","22,362","19,667"
417,Quatinga-Barroso,,0, - , - , 221 ,0,439,178," 14,692 "
418,Biritiba-Mirim,"10,946","10,946"," 30,225 "," 5,518 "," 6,524 ","5,389","30,474","30,656"," 11,079 "
419,Pico da Esplanada,,0, - , - , 86 ,0,31,31,"20,734"
420,Salesópolis,"6,209","6,209"," 15,327 "," 2,701 "," 4,788 ","2,980","16,716","16,244","13,629"
421,Parque Nascentes do Tietê,,0, - , - , -   ,0,104,104,"28,967"
422,Guararema,"11,906","11,906"," 32,006 "," 6,558 "," 14,190 ","9,049","47,994","47,977"," 19,023 "
423,Vila Luis Carlos,,0, - , - , -   ,0,-,-,"8,121"
424,Santa Paula,"19,332","19,332"," 50,317 "," 15,969 "," 24,349 ","16,570","113,394","112,918",295
425,Vila Gerti,"21,137","21,137"," 56,816 "," 9,107 "," 20,871 ","18,063","94,977","94,559",380
426,Estrada das Lágrimas,"14,102","14,333"," 38,382 "," 14,895 "," 9,376 ","13,177","71,556","71,912", 360 
427,Santo Antônio,"2,899","2,899"," 7,795 "," 4,047 "," 12,134 ","2,087","30,877","30,997", 134 
428,São Caetano do Sul,"6,101","6,101"," 16,486 "," 7,186 "," 44,119 ","3,799","74,066","74,294",368
429,Santo André,"29,165","29,165"," 71,448 "," 43,862 "," 109,302 ","28,837","253,928","255,490",795
430,Vila Gilda,"14,325","14,325"," 36,627 "," 2,837 "," 12,244 ","14,325","51,178","49,919",292
431,Valparaíso,"10,264","10,264"," 26,663 "," 13,696 "," 7,996 ","8,732","44,088","44,088", 247 
432,Sacadura Cabral,"9,004","9,177"," 25,264 "," 3,282 "," 4,515 ","4,675","27,801","26,624",180
433,Campestre,"12,163","12,163"," 30,843 "," 4,626 "," 20,796 ","13,032","50,321","50,321",287
434,Utinga,"19,912","19,912"," 50,970 "," 10,408 "," 24,908 ","17,179","74,560","74,020",566
435,Vila Lucinda,"20,781","20,781"," 54,471 "," 13,566 "," 17,567 ","20,781","74,635","75,209",458
436,Parque Oratório,"22,932","22,932"," 61,959 "," 8,470 "," 25,481 ","16,442","67,801","66,481",579
437,Parque das Nações,"16,535","16,535"," 45,410 "," 6,823 "," 19,380 ","14,551","66,982","68,662",528
438,Jardim do Estádio,"44,153","44,153"," 119,720 "," 12,511 "," 49,954 ","34,061","169,328","170,702","1,142"
439,Carijós,"44,093","44,093"," 117,151 "," 12,253 "," 38,945 ","37,479","182,954","182,204",914
440,Parque do Pedroso,"43,581","44,273"," 124,982 "," 16,479 "," 23,111 ","22,136","147,840","147,644","3,165"
441,Paranapiacaba,851,851," 2,521 ", 200 ," 1,995 ",370,"2,973","2,973","8,465"
442,Capuava,"15,827","15,827"," 41,817 "," 7,697 "," 41,079 ","10,750","96,712","97,922","1,957"
443,Mauá,"43,104","43,104"," 114,594 "," 37,532 "," 61,036 ","31,694","232,224","232,265","1,131"
444,Jardim Zaíra,"54,622","54,622"," 152,817 "," 20,600 "," 31,083 ","23,897","162,212","160,280","1,240"
445,Barão de Mauá,"31,793","31,793"," 88,046 "," 12,980 "," 12,211 ","25,953","94,037","93,288",605
446,Estrada do Carneiro,"9,986","9,986"," 28,136 ", 512 ," 3,656 ","5,910","21,446","21,738","1,268"
447,Ribeirão Pires,"28,753","28,753"," 79,005 "," 22,408 "," 45,367 ","19,906","138,792","134,608","5,257"
448,Jardim Santa Luzia,"8,624","8,624"," 24,597 "," 2,719 "," 5,765 ","7,160","25,518","27,298","2,520"
449,Ouro Fino Paulista,"4,907","4,907"," 14,090 "," 1,397 "," 3,914 ","3,827","15,438","15,054","2,156"
450,Parque Sete Pontes,"4,289","4,289"," 12,232 "," 2,190 "," 2,760 ","3,174","17,069","16,854","1,886"
451,Rio Grande da Serra,"11,719","11,719"," 32,676 "," 7,895 "," 12,396 ","7,813","57,231","57,698","1,756"
452,Planalto,"37,316","37,316"," 98,014 "," 31,563 "," 60,285 ","35,243","185,520","187,872","1,109"
453,Paulicéia,"21,023","21,023"," 54,751 "," 15,229 "," 36,065 ","20,603","110,022","110,022", 805 
454,Rudge Ramos,"17,191","17,191"," 41,790 "," 19,737 "," 31,759 ","17,816","110,076","108,830", 471 
455,Baeta Neves,"22,042","22,466"," 54,855 "," 33,236 "," 44,939 ","20,346","121,785","124,612",536
456,São Bernardo do Campo,"35,826","35,826"," 89,836 "," 30,578 "," 64,532 ","33,808","227,207","224,618",743
457,Montanhão,"64,406","64,406"," 175,455 "," 25,619 "," 36,108 ","47,231","209,712","206,322","1,055"
458,Demarchi,"34,541","34,541"," 92,815 "," 24,814 "," 46,355 ","26,047","170,984","172,403","1,059"
459,Riacho Grande,"17,423","17,423"," 49,947 "," 5,270 "," 12,206 ","11,721","56,003","55,850","3,065"
460,Caminho do Mar,"7,396","7,396"," 20,614 "," 3,088 "," 4,273 ","4,191","23,107","24,388","3,926"
461,Bairro dos Finco,,0, - , - , 378 ,0,"3,188","3,188","24,226"
462,Reservatório Billings,"54,647","54,647"," 151,757 "," 27,716 "," 37,422 ","30,511","190,808","192,689","4,043"
463,Diadema,"26,160","26,160"," 69,737 "," 32,784 "," 58,565 ","15,502","175,494","176,652",493
464,Jardim das Nações,"35,907","35,907"," 97,180 "," 16,354 "," 37,758 ","16,158","132,195","131,151",591
465,Piraporinha,"39,488","39,488"," 107,862 "," 17,639 "," 31,471 ","21,539","167,947","167,696",764
466,Vila Conceição,"19,715","20,094"," 54,066 "," 17,776 "," 20,921 ","9,858","103,397","103,706",371
467,Eldorado,"26,160","26,160"," 71,387 "," 12,140 "," 21,145 ","13,820","96,933","96,205",867
468,Taboão da Serra,"26,743","26,743"," 71,854 "," 29,155 "," 33,149 ","23,072","132,589","131,533",527
469,Jardim Irapuã,"18,363","18,363"," 49,769 "," 11,044 "," 14,512 ","12,687","51,495","52,305",407
470,Parque Pinheiros,"34,540","34,540"," 96,964 "," 18,889 "," 33,211 ","17,910","111,813","112,636",723
471,Parque Industrial,"22,310","22,310"," 61,840 "," 12,088 "," 17,506 ","7,139","59,689","60,514",386
472,Santo Eduardo,"22,390","22,390"," 62,915 "," 8,964 "," 9,440 ","7,165","70,888","71,559",319
473,São Marcos,"41,851","41,851"," 119,059 "," 31,054 "," 27,894 ","20,926","189,418","193,210","1,868"
474,Embu das Artes,"19,476","19,476"," 55,595 "," 13,166 "," 35,988 ","9,915","90,677","91,310","1,469"
475,Ressaca,"6,310","6,310"," 18,664 "," 3,455 "," 7,525 ","4,405","24,311","24,468","3,399"
476,Itapecerica da Serra,"51,130","51,130"," 148,550 "," 34,210 "," 54,594 ","30,252","180,837","178,519","7,479"
477,Jardim Petrópolis,"1,904","1,904"," 5,326 ", 918 ," 2,893 ","1,523","4,758","4,893","4,132"
478,Embu-Mirim,"2,750","2,750"," 8,117 "," 2,195 "," 4,106 ","1,742","9,574","9,825"," 3,510 "
