 Tabela 14 ,,,,
"Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de Emprego , Empregos com Endereço Fixo ,, Empregos Sem Endereço Fixo(*) , Total de Empregos 
, Fora da Residência , Na Residência ,,
,,,,
 430 ," 9,569 "," 2,674 ", -   ," 12,244 "
 431 ," 4,356 "," 3,417 ", 223 ," 7,996 "
 432 ," 2,602 "," 1,639 ", 274 ," 4,515 "
 433 ," 16,783 "," 2,318 "," 1,695 "," 20,796 "
 434 ," 17,505 "," 3,605 "," 3,797 "," 24,908 "
 435 ," 13,766 "," 2,325 "," 1,476 "," 17,567 "
 436 ," 16,541 "," 4,691 "," 4,249 "," 25,481 "
 437 ," 18,037 "," 1,343 ", -   ," 19,380 "
 438 ," 39,687 "," 5,962 "," 4,305 "," 49,954 "
 439 ," 28,224 "," 7,762 "," 2,959 "," 38,945 "
 440 ," 14,042 "," 3,392 "," 5,677 "," 23,111 "
 441 ," 1,816 ", 67 , 113 ," 1,995 "
 442 ," 38,033 "," 2,535 ", 511 ," 41,079 "
 443 ," 50,755 "," 8,586 "," 1,696 "," 61,036 "
 444 ," 21,372 "," 6,475 "," 3,236 "," 31,083 "
 445 ," 7,306 "," 2,982 "," 1,922 "," 12,211 "
 446 ," 2,513 ", 829 , 313 ," 3,656 "
 447 ," 38,553 "," 3,042 "," 3,772 "," 45,367 "
 448 ," 3,465 "," 1,280 "," 1,020 "," 5,765 "
 449 ," 3,101 ", 664 , 148 ," 3,914 "
 450 ," 1,923 ", 646 , 190 ," 2,760 "
 451 ," 11,259 "," 1,137 ", -   ," 12,396 "
 452 ," 44,577 "," 8,214 "," 7,494 "," 60,285 "
 453 ," 31,454 "," 3,914 ", 698 ," 36,065 "
 454 ," 28,414 "," 1,438 "," 1,907 "," 31,759 "
 455 ," 40,181 "," 4,497 ", 260 ," 44,939 "
 456 ," 57,594 "," 4,292 "," 2,646 "," 64,532 "
 457 ," 19,043 "," 5,192 "," 11,873 "," 36,108 "
 458 ," 32,819 "," 7,009 "," 6,527 "," 46,355 "
 459 ," 8,578 "," 1,044 "," 2,585 "," 12,206 "
 460 ," 2,858 ", 637 , 778 ," 4,273 "
 461 , 378 , -   , -   , 378 
 462 ," 25,396 "," 4,998 "," 7,028 "," 37,422 "
 463 ," 50,798 "," 5,453 "," 2,313 "," 58,565 "
 464 ," 23,189 "," 9,451 "," 5,117 "," 37,758 "
 465 ," 27,931 "," 1,295 "," 2,245 "," 31,471 "
 466 ," 17,373 "," 1,860 "," 1,688 "," 20,921 "
 467 ," 15,500 "," 2,504 "," 3,141 "," 21,145 "
 468 ," 25,772 "," 3,578 "," 3,798 "," 33,149 "
 469 ," 6,119 "," 1,526 "," 6,867 "," 14,512 "
 470 ," 10,273 "," 9,701 "," 13,237 "," 33,211 "
 471 ," 10,137 "," 2,415 "," 4,954 "," 17,506 "
 472 ," 4,795 "," 2,537 "," 2,108 "," 9,440 "
 473 ," 15,587 "," 6,717 "," 5,590 "," 27,894 "
 474 ," 29,391 "," 4,126 "," 2,471 "," 35,988 "
 475 ," 5,499 "," 1,286 ", 740 ," 7,525 "
 476 ," 24,652 "," 14,500 "," 15,442 "," 54,594 "
 477 ," 1,247 "," 1,056 ", 590 ," 2,893 "
 478 ," 3,015 ", 468 , 623 ," 4,106 "
 479 ," 4,236 "," 2,038 "," 1,219 "," 7,493 "
 480 ," 11,828 "," 4,314 "," 4,042 "," 20,185 "
 481 ," 2,053 "," 1,387 "," 2,211 "," 5,650 "
 482 , 167 , 260 , 337 , 764 
 483 ," 4,551 "," 1,406 "," 3,758 "," 9,715 "
 484 , -   , -   , -   , -   
 485 , -   , -   , -   , -   
 486 ," 60,009 "," 7,822 "," 5,442 "," 73,273 "
 487 ," 43,809 "," 4,500 "," 2,650 "," 50,959 "
 488 ," 85,897 ", 400 ," 1,124 "," 87,422 "
 489 ," 7,078 ", -   , 623 ," 7,702 "
 490 ," 7,253 "," 1,805 "," 3,090 "," 12,148 "
 491 ," 10,438 "," 3,340 "," 3,581 "," 17,360 "
 492 ," 11,116 "," 1,278 "," 1,465 "," 13,859 "
 493 ," 8,116 ", 195 , 331 ," 8,642 "
 494 ," 14,209 "," 9,073 "," 4,906 "," 28,188 "
 495 ," 21,252 "," 3,672 "," 1,568 "," 26,493 "
 496 ," 14,507 "," 2,699 "," 4,353 "," 21,559 "
 497 ," 8,612 ", 812 , 753 ," 10,177 "
 498 ," 10,202 "," 3,533 "," 3,369 "," 17,104 "
 499 ," 44,548 ", 435 , 527 ," 45,510 "
 500 ," 31,971 "," 2,567 ", 911 ," 35,449 "
 501 ," 13,150 "," 2,542 "," 1,543 "," 17,234 "
 502 ," 31,124 "," 3,405 "," 3,233 "," 37,762 "
 503 ," 6,857 "," 2,076 "," 1,127 "," 10,061 "
 504 ," 10,592 "," 2,534 ", 870 ," 13,996 "
 505 ," 10,863 "," 11,168 "," 3,579 "," 25,610 "
 506 ," 8,925 "," 5,320 "," 1,231 "," 15,477 "
 507 ," 8,070 ", 834 , 242 ," 9,145 "
 508 ," 13,059 "," 1,196 ", 251 ," 14,506 "
 509 ," 13,904 "," 8,214 "," 7,931 "," 30,049 "
 510 ," 10,322 "," 2,571 "," 1,699 "," 14,592 "
 511 ," 10,341 "," 2,859 "," 4,122 "," 17,322 "
 512 ," 15,529 "," 2,088 ", 748 ," 18,366 "
 513 ," 12,107 ", 674 , 993 ," 13,775 "
 514 ," 11,077 "," 6,141 "," 8,172 "," 25,390 "
 515 , 349 , 946 , 246 ," 1,542 "
 516 ," 32,556 "," 7,792 "," 1,408 "," 41,756 "
 517 ," 23,227 "," 2,753 ", 481 ," 26,461 "
 518 ," 35,476 "," 8,508 "," 9,666 "," 53,651 "
 519 , 743 , 610 , 849 ," 2,203 "
 520 , 101 , -   , -   , 101 
 521 ," 9,314 "," 9,030 "," 4,498 "," 22,842 "
 522 ," 17,515 "," 5,577 "," 2,839 "," 25,931 "
 523 , 547 , 201 , 295 ," 1,042 "
 524 ," 16,007 "," 4,862 "," 3,623 "," 24,492 "
 525 ," 29,753 "," 3,339 "," 3,141 "," 36,233 "
 526 ," 49,545 "," 11,428 "," 3,385 "," 64,358 "
 527 ," 2,834 "," 1,501 "," 1,024 "," 5,359 "
,,,,
 Total RMSP ," 7,937,121 "," 1,486,737 "," 1,041,848 "," 10,465,706 "
,,,,
 Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023 ,,,,
,,,,
Notas:,,,,
"(*)  Foi atribuida como  zona de emprego da pessoa sem endereço fixo de trabalho, a zona de residência",,,,
,,,,
Os empregos internos à RMSP foram processadas com a seguinte condição:,,,,
zona de trabalho i >=1 e zona de trabalho i <= 527; i = 1 e 2 ,,,,
