 Tabela 14 ,,,,
"Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de Emprego , Empregos com Endereço Fixo ,, Empregos Sem Endereço Fixo(*) , Total de Empregos 
, Fora da Residência , Na Residência ,,
,,,,
 98 ," 6,117 ", 33 , 514 ," 6,664 "
 99 ," 24,433 ", 551 , 740 ," 25,724 "
 100 ," 51,932 "," 1,355 "," 1,938 "," 55,226 "
 101 ," 9,778 "," 1,854 ", 431 ," 12,062 "
 102 ," 8,791 "," 1,556 ", 268 ," 10,615 "
 103 ," 4,834 ", 330 , 101 ," 5,265 "
 104 ," 3,099 ", 822 , 150 ," 4,071 "
 105 ," 9,568 ", 895 ," 1,376 "," 11,839 "
 106 ," 26,460 ", 309 , 165 ," 26,935 "
 107 ," 10,914 "," 3,004 "," 1,887 "," 15,805 "
 108 ," 14,496 ", 636 , 805 ," 15,938 "
 109 ," 24,367 "," 16,340 "," 3,661 "," 44,369 "
 110 ," 20,082 "," 3,392 "," 1,551 "," 25,025 "
 111 ," 12,085 "," 4,354 ", 982 ," 17,421 "
 112 ," 15,559 "," 3,041 "," 1,904 "," 20,504 "
 113 ," 21,781 "," 2,628 ", 720 ," 25,129 "
 114 , -   , -   , -   , -   
 115 ," 11,238 "," 4,345 "," 2,617 "," 18,199 "
 116 ," 23,482 "," 8,041 "," 3,645 "," 35,169 "
 117 ," 12,946 "," 5,784 "," 3,398 "," 22,128 "
 118 ," 3,293 "," 1,609 ", 438 ," 5,339 "
 119 ," 13,337 "," 7,390 "," 5,079 "," 25,806 "
 120 , -   , -   , -   , -   
 121 ," 5,671 "," 4,555 "," 3,869 "," 14,095 "
 122 ," 1,760 "," 5,580 "," 2,234 "," 9,574 "
 123 ," 2,942 "," 3,006 "," 1,000 "," 6,948 "
 124 ," 6,794 "," 3,555 "," 2,496 "," 12,845 "
 125 ," 8,677 "," 1,779 "," 2,655 "," 13,111 "
 126 ," 10,688 "," 1,129 ", 186 ," 12,003 "
 127 ," 22,593 "," 4,030 "," 2,512 "," 29,135 "
 128 ," 9,412 ", 241 , 129 ," 9,781 "
 129 ," 14,482 ", 436 , 66 ," 14,984 "
 130 ," 5,132 ", 273 , 215 ," 5,621 "
 131 ," 10,060 ", 32 ," 1,404 "," 11,495 "
 132 ," 3,183 ", -   , 236 ," 3,419 "
 133 ," 18,348 "," 3,808 "," 1,440 "," 23,596 "
 134 ," 11,362 "," 1,740 "," 1,318 "," 14,419 "
 135 ," 13,037 "," 6,146 ", 651 ," 19,835 "
 136 ," 15,276 "," 4,918 "," 1,247 "," 21,441 "
 137 ," 10,064 "," 5,042 "," 3,931 "," 19,037 "
 138 ," 14,281 ", 303 , 745 ," 15,329 "
 139 ," 5,244 "," 2,274 ", 800 ," 8,318 "
 140 ," 7,290 "," 3,734 ", 318 ," 11,342 "
 141 ," 21,896 "," 2,112 "," 8,346 "," 32,355 "
 142 ," 9,793 "," 1,850 "," 1,884 "," 13,526 "
 143 , -   , -   , -   , -   
 144 ," 20,735 "," 7,193 "," 4,032 "," 31,960 "
 145 ," 1,265 ", 660 , 733 ," 2,658 "
 146 , -   , -   , -   , -   
 147 ," 7,514 "," 1,809 ", 251 ," 9,574 "
 148 ," 5,814 "," 1,293 ", 969 ," 8,076 "
 149 , -   , -   , -   , -   
 150 ," 9,029 "," 3,795 "," 2,675 "," 15,498 "
 151 ," 10,940 "," 3,318 "," 2,924 "," 17,183 "
 152 ," 7,292 "," 3,390 "," 1,128 "," 11,810 "
 153 ," 6,300 "," 1,445 ", 367 ," 8,113 "
 154 ," 19,570 "," 3,804 "," 3,780 "," 27,155 "
 155 ," 3,076 "," 1,821 "," 2,170 "," 7,067 "
 156 ," 12,689 "," 5,097 ", 538 ," 18,323 "
 157 ," 1,591 "," 1,320 ", 633 ," 3,545 "
 158 ," 7,924 "," 7,458 "," 1,510 "," 16,892 "
 159 ," 14,648 "," 3,785 "," 4,736 "," 23,169 "
 160 ," 11,745 "," 3,398 "," 2,533 "," 17,676 "
 161 ," 28,326 "," 5,307 "," 1,470 "," 35,103 "
 162 ," 20,694 "," 3,486 "," 1,603 "," 25,784 "
 163 ," 18,941 "," 3,946 "," 2,309 "," 25,196 "
 164 ," 16,227 "," 1,926 ", 348 ," 18,501 "
 165 ," 8,729 ", 190 , 569 ," 9,489 "
 166 ," 32,290 "," 2,432 "," 1,605 "," 36,327 "
 167 ," 33,538 "," 2,730 ", 647 ," 36,914 "
 168 ," 21,917 "," 2,953 "," 1,655 "," 26,525 "
 169 ," 18,408 "," 3,547 "," 1,506 "," 23,461 "
 170 ," 30,167 "," 3,459 ", 748 ," 34,375 "
 171 ," 10,888 "," 3,204 "," 1,489 "," 15,581 "
 172 ," 5,010 "," 2,977 "," 1,002 "," 8,988 "
 173 ," 7,684 "," 2,348 ", 792 ," 10,824 "
 174 ," 5,579 "," 2,996 ", 66 ," 8,641 "
 175 ," 4,254 "," 4,700 "," 1,548 "," 10,502 "
 176 ," 7,539 "," 4,241 "," 1,171 "," 12,950 "
 177 ," 1,346 ", 853 , 740 ," 2,939 "
 178 , 601 , -   , -   , 601 
 179 , -   , -   , -   , -   
 180 ," 7,281 "," 3,243 ", 175 ," 10,699 "
 181 ," 11,149 "," 3,677 "," 5,045 "," 19,872 "
 182 ," 6,880 "," 2,246 "," 2,603 "," 11,729 "
 183 ," 5,480 "," 3,332 "," 4,062 "," 12,875 "
 184 ," 3,538 "," 1,671 "," 1,197 "," 6,406 "
 185 ," 2,778 "," 1,912 ", 841 ," 5,531 "
 186 ," 1,809 ", 594 , 501 ," 2,904 "
 187 ," 3,734 "," 4,805 "," 1,303 "," 9,841 "
 188 ," 8,681 "," 2,471 ", 920 ," 12,072 "
 189 ," 10,000 "," 1,997 ", 403 ," 12,400 "
 190 ," 15,141 "," 4,357 ", 555 ," 20,052 "
 191 ," 8,178 ", -   , 386 ," 8,564 "
 192 ," 6,485 "," 3,422 "," 1,853 "," 11,760 "
 193 ," 3,840 "," 1,254 ", 811 ," 5,905 "
 194 ," 4,584 "," 2,019 "," 1,291 "," 7,894 "
 195 ," 8,724 "," 1,960 "," 2,265 "," 12,949 "
 196 ," 3,306 ", 927 ," 2,492 "," 6,725 "
 197 ," 6,738 "," 1,799 ", 533 ," 9,070 "
 198 ," 23,056 "," 1,330 ", 777 ," 25,162 "
 199 ," 8,787 "," 7,859 "," 7,047 "," 23,693 "
 200 ," 3,229 "," 1,524 ", 238 ," 4,991 "
 201 ," 6,954 "," 2,737 "," 2,294 "," 11,985 "
 202 ," 8,923 "," 3,823 "," 3,332 "," 16,078 "
 203 ," 3,537 "," 4,456 "," 3,619 "," 11,612 "
 204 ," 16,778 "," 11,742 "," 4,154 "," 32,674 "
 205 ," 11,417 "," 6,844 "," 4,952 "," 23,214 "
 206 ," 12,057 "," 4,652 "," 1,864 "," 18,573 "
 207 ," 9,533 "," 3,432 "," 4,515 "," 17,479 "
 208 ," 28,956 "," 5,945 ", 988 ," 35,890 "
 209 ," 12,563 "," 2,787 "," 2,868 "," 18,217 "
 210 ," 16,197 "," 3,131 "," 2,947 "," 22,276 "
 211 ," 11,746 "," 5,131 "," 1,265 "," 18,143 "
 212 ," 9,441 "," 5,932 "," 3,892 "," 19,264 "
 213 ," 18,637 "," 2,901 "," 3,154 "," 24,692 "
 214 ," 11,888 "," 4,051 "," 1,503 "," 17,442 "
 215 ," 12,691 "," 4,040 "," 1,822 "," 18,553 "
 216 ," 7,707 "," 2,664 "," 2,623 "," 12,994 "
 217 ," 6,132 ", 959 ," 1,690 "," 8,780 "
 218 ," 11,836 "," 3,332 ", 165 ," 15,333 "
 219 ," 4,203 "," 2,323 "," 3,419 "," 9,945 "
 220 ," 5,714 "," 3,114 ", 840 ," 9,668 "
 221 ," 15,096 "," 5,525 "," 3,800 "," 24,421 "
 222 ," 10,103 "," 4,503 "," 2,776 "," 17,382 "
 223 ," 7,139 "," 1,200 "," 1,322 "," 9,661 "
 224 ," 1,354 ", -   , -   ," 1,354 "
 225 ," 11,735 "," 3,520 "," 4,029 "," 19,284 "
 226 ," 7,413 "," 4,164 "," 1,765 "," 13,342 "
 227 ," 20,222 ", 432 ," 1,438 "," 22,092 "
 228 ," 2,917 "," 2,729 "," 3,625 "," 9,271 "
 229 ," 14,958 "," 4,766 "," 3,833 "," 23,557 "
 230 ," 12,129 "," 1,814 "," 2,679 "," 16,622 "
 231 ," 4,794 "," 1,253 "," 5,708 "," 11,755 "
 232 ," 4,095 "," 4,194 "," 2,309 "," 10,599 "
 233 ," 6,332 "," 1,576 "," 1,476 "," 9,384 "
 234 ," 5,688 "," 7,629 "," 3,009 "," 16,326 "
 235 ," 11,615 "," 5,382 ", 793 ," 17,790 "
 236 ," 11,510 "," 1,503 ", 310 ," 13,323 "
 237 ," 12,013 "," 1,399 ", 177 ," 13,589 "
 238 ," 10,172 "," 2,122 ", 614 ," 12,909 "
 239 ," 17,265 "," 1,848 ", 283 ," 19,396 "
 240 ," 13,282 ", 756 ," 1,271 "," 15,309 "
 241 ," 11,126 ", 676 , 455 ," 12,257 "
 242 ," 11,044 "," 6,338 ", 660 ," 18,042 "
 243 ," 22,799 "," 2,960 "," 1,566 "," 27,326 "
 244 ," 10,767 "," 3,534 ", 321 ," 14,622 "
 245 ," 3,041 ", 795 , 433 ," 4,269 "
 246 ," 3,515 "," 3,329 "," 1,212 "," 8,055 "
 247 ," 16,368 "," 3,792 ", 467 ," 20,627 "
 248 , 907 , -   , -   , 907 
 249 ," 4,909 "," 2,333 ", 571 ," 7,813 "
 250 ," 10,642 "," 4,956 ", 498 ," 16,096 "
 251 ," 4,874 "," 1,922 ", -   ," 6,795 "
 252 ," 3,679 "," 1,853 ", 779 ," 6,311 "
 253 ," 5,264 ", 236 , 157 ," 5,658 "
 254 ," 27,704 "," 4,457 "," 1,055 "," 33,216 "
 255 ," 15,442 "," 1,433 "," 4,746 "," 21,622 "
 256 ," 3,804 "," 3,607 "," 1,029 "," 8,440 "
 257 ," 5,614 "," 4,624 "," 1,631 "," 11,869 "
 258 ," 8,834 "," 9,584 "," 6,414 "," 24,832 "
 259 ," 3,492 "," 1,185 "," 1,024 "," 5,701 "
 260 ," 4,177 ", 708 ," 2,397 "," 7,282 "
 261 ," 14,797 "," 5,365 "," 2,765 "," 22,927 "
 262 ," 9,873 "," 6,226 "," 1,864 "," 17,963 "
 263 ," 13,981 "," 4,967 "," 2,325 "," 21,273 "
 264 ," 25,585 "," 3,008 "," 6,673 "," 35,266 "
 265 ," 12,863 "," 3,520 "," 1,621 "," 18,004 "
 266 ," 1,774 "," 1,310 ", 369 ," 3,452 "
 267 ," 13,505 "," 2,867 ", 664 ," 17,036 "
 268 ," 6,923 "," 1,285 ", 872 ," 9,079 "
 269 ," 16,520 "," 2,371 "," 1,498 "," 20,389 "
 270 ," 11,265 ", 661 , 374 ," 12,300 "
 271 ," 12,644 ", -   , 93 ," 12,736 "
 272 ," 9,964 "," 2,162 "," 3,268 "," 15,394 "
 273 ," 14,189 "," 2,624 "," 2,940 "," 19,753 "
 274 ," 37,290 "," 3,570 "," 1,352 "," 42,211 "
 275 ," 13,871 "," 2,000 "," 2,465 "," 18,336 "
 276 ," 10,722 "," 3,046 "," 2,670 "," 16,438 "
 277 ," 12,012 "," 5,448 "," 2,651 "," 20,111 "
 278 ," 14,294 "," 5,350 "," 5,634 "," 25,279 "
 279 ," 5,189 "," 6,417 "," 2,703 "," 14,309 "
 280 ," 20,434 "," 1,260 ", 662 ," 22,356 "
 281 ," 16,208 "," 2,929 ", 141 ," 19,278 "
 282 ," 15,264 "," 1,555 "," 2,725 "," 19,544 "
 283 ," 5,512 "," 1,673 "," 1,029 "," 8,214 "
 284 ," 7,356 "," 2,598 ", 956 ," 10,911 "
 285 ," 7,344 "," 7,464 "," 11,786 "," 26,594 "
 286 ," 21,552 ", 687 ," 1,562 "," 23,801 "
 287 ," 15,932 "," 1,714 "," 1,140 "," 18,786 "
 288 ," 9,026 "," 1,590 ", 783 ," 11,399 "
 289 ," 14,606 "," 2,759 "," 3,221 "," 20,587 "
 290 ," 8,027 "," 5,847 "," 3,001 "," 16,875 "
 291 ," 5,779 "," 7,096 "," 9,654 "," 22,528 "
 292 ," 6,430 "," 3,076 "," 5,962 "," 15,467 "
 293 ," 10,936 "," 6,650 "," 3,168 "," 20,755 "
 294 ," 8,715 "," 9,906 "," 15,968 "," 34,589 "
 295 ," 13,201 "," 13,290 "," 9,943 "," 36,434 "
 296 , 389 , 956 ," 1,034 "," 2,379 "
 297 ," 1,313 ", 474 , 975 ," 2,762 "
 298 ," 25,260 "," 13,866 "," 20,128 "," 59,254 "
 299 , 401 , 582 , 948 ," 1,931 "
 300 , 86 , -   , -   , 86 
 301 ," 111,333 "," 5,487 "," 3,908 "," 120,728 "
 302 ," 24,733 ", 467 , 312 ," 25,512 "
 303 ," 24,917 "," 2,691 ", 259 ," 27,868 "
 304 ," 28,226 "," 1,139 ", 688 ," 30,053 "
 305 ," 19,737 "," 3,534 "," 2,610 "," 25,881 "
 306 ," 15,763 "," 6,192 "," 5,285 "," 27,240 "
 307 ," 8,322 "," 2,683 "," 1,678 "," 12,683 "
 308 ," 13,036 "," 3,680 "," 5,916 "," 22,632 "
 309 ," 2,693 "," 1,914 "," 1,161 "," 5,768 "
 310 ," 2,341 "," 3,822 "," 3,486 "," 9,649 "
 311 ," 4,267 "," 1,831 ", 668 ," 6,765 "
 312 ," 12,211 "," 3,941 "," 5,996 "," 22,149 "
 313 ," 10,326 "," 1,725 "," 6,540 "," 18,591 "
 314 ," 2,240 "," 1,487 "," 2,081 "," 5,808 "
 315 ," 10,629 "," 10,557 "," 7,139 "," 28,325 "
 316 ," 14,733 "," 4,520 "," 7,455 "," 26,707 "
 317 ," 18,088 "," 1,156 ", 734 ," 19,979 "
 318 ," 9,338 ", 436 , 316 ," 10,090 "
 319 ," 16,001 "," 4,835 ", 881 ," 21,717 "
 320 ," 17,956 "," 1,034 ", 402 ," 19,392 "
 321 ," 8,254 "," 2,040 "," 5,136 "," 15,429 "
 322 ," 20,879 "," 2,865 "," 2,478 "," 26,222 "
 323 ," 17,596 "," 4,175 ", 779 ," 22,550 "
 324 ," 6,917 "," 2,286 "," 3,528 "," 12,732 "
 325 ," 7,114 "," 8,145 "," 3,652 "," 18,911 "
 326 ," 10,153 "," 1,812 "," 5,391 "," 17,356 "
 327 ," 4,145 "," 3,888 ", 836 ," 8,869 "
 328 ," 6,982 "," 3,379 ", 553 ," 10,914 "
 329 ," 10,168 "," 3,710 ", 412 ," 14,291 "
 330 ," 17,093 "," 4,192 ", 336 ," 21,621 "
 331 ," 8,257 "," 4,223 ", 893 ," 13,374 "
 332 ," 10,514 "," 3,476 "," 5,306 "," 19,297 "
 333 ," 8,267 "," 5,948 "," 3,239 "," 17,454 "
 334 ," 5,804 "," 2,494 "," 1,586 "," 9,884 "
 335 ," 8,735 "," 5,586 "," 2,909 "," 17,230 "
 336 ," 6,346 "," 4,213 "," 3,372 "," 13,931 "
