Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 55 ," 9,127 ", -   , -   ," 2,672 ", 300 , 149 , 329 ," 2,902 "," 15,479 "
 56 ," 10,707 ", 130 , -   ," 4,494 "," 2,014 "," 1,343 ", 238 ," 1,493 "," 20,419 "
 57 ," 12,757 ", -   , -   ," 4,896 ", 810 , -   , 583 ," 3,174 "," 22,219 "
 58 ," 18,313 ", 239 , -   ," 5,940 "," 2,244 "," 1,293 "," 1,037 "," 5,261 "," 34,327 "
 59 ," 26,482 ", 512 , -   ," 9,345 "," 5,076 "," 1,113 "," 2,052 "," 5,541 "," 50,121 "
 60 ," 12,308 ", 44 , -   ," 5,153 ", 392 , -   , 180 ," 2,599 "," 20,675 "
 61 ," 13,489 ", -   , -   ," 6,094 ", 473 , -   ," 3,255 "," 3,227 "," 26,538 "
 62 ," 2,783 ", -   , -   ," 1,090 ", 167 , 15 , 276 , 608 ," 4,939 "
 63 ," 1,106 ", -   , -   , 490 , 42 , 95 , 34 , 283 ," 2,050 "
 64 ," 17,419 ", 104 , 359 ," 5,336 "," 1,214 "," 1,509 "," 1,899 "," 3,500 "," 31,340 "
 65 ," 14,510 ", -   , 77 ," 5,884 ", 853 , 974 , 124 ," 3,890 "," 26,312 "
 66 ," 5,838 ", 105 , -   ," 1,777 ", 465 , 400 , 656 ," 1,141 "," 10,382 "
 67 ," 5,741 ", 31 , -   ," 1,455 ", 58 , 675 , 246 , 704 ," 8,911 "
 68 ," 13,625 ", 49 , 178 ," 5,134 "," 1,275 "," 1,447 ", 889 ," 3,005 "," 25,600 "
 69 ," 5,941 ", -   , -   ," 1,795 ", 707 , 421 , 94 ," 1,694 "," 10,652 "
 70 ," 7,627 ", -   , 242 ," 2,421 ", 942 , 495 , 260 ," 1,384 "," 13,371 "
 71 ," 18,113 ", 344 , -   ," 4,441 "," 1,061 "," 1,159 "," 1,971 "," 4,212 "," 31,301 "
 72 ," 5,820 ", 254 , -   ," 2,931 "," 1,375 ", 746 , 259 ," 1,795 "," 13,179 "
 73 ," 5,254 ", -   , 82 ," 1,607 ", 306 , 419 , 490 ," 1,712 "," 9,870 "
 74 ," 5,834 ", 33 , 33 ," 2,788 ", 336 , 431 , 532 ," 1,538 "," 11,524 "
 75 ," 7,608 ", 86 , 41 ," 2,459 ", 386 , 674 , 314 ," 1,670 "," 13,239 "
 76 ," 5,478 ", 66 , 64 ," 1,661 ", 108 , 352 , 229 ," 1,291 "," 9,249 "
 77 ," 13,177 ", -   , -   ," 4,396 ", 548 , 972 , 725 ," 2,515 "," 22,332 "
 78 ," 9,399 ", -   , 57 ," 3,804 ", 588 , 683 ," 1,063 "," 2,400 "," 17,995 "
 79 ," 5,748 ", -   , -   ," 1,676 ", 288 , 368 , 33 ," 1,440 "," 9,554 "
 80 ," 10,806 ", -   , 45 ," 3,873 "," 1,011 ", 934 , 304 ," 2,101 "," 19,075 "
 81 ," 6,946 ", -   , 73 ," 2,097 ", 491 , 629 , 171 ," 1,504 "," 11,912 "
 82 ," 7,857 ", 78 , 13 ," 2,037 ", 463 , 565 , 133 ," 1,251 "," 12,398 "
 83 ," 13,378 ", 309 , 117 ," 4,107 ", 966 ," 1,080 ", 417 ," 3,004 "," 23,379 "
 84 ," 9,015 ", 137 , 79 ," 3,193 ", 366 , 641 , 499 ," 2,768 "," 16,698 "
 85 ," 2,338 ", 130 , -   , 721 , 122 , 198 , 149 , 634 ," 4,291 "
 86 ," 1,564 ", 34 , 38 , 593 , 113 , 113 , 145 , 431 ," 3,031 "
 87 ," 10,269 ", 197 , -   ," 2,696 ", 535 , 614 , 153 ," 2,285 "," 16,749 "
 88 ," 23,618 ", 233 , -   ," 5,740 "," 2,090 "," 1,805 ", 494 ," 5,152 "," 39,132 "
 89 ," 7,110 ", 274 , -   ," 2,708 ", 429 , 254 , 206 ," 1,344 "," 12,325 "
 90 ," 6,843 ", 295 , -   ," 2,451 ", 869 , 508 , 288 ," 1,456 "," 12,709 "
 91 ," 5,131 "," 1,201 ", 216 ," 2,390 "," 2,007 ", 665 , 763 ," 1,967 "," 14,340 "
 92 ," 1,595 ", 44 , -   , 650 , 357 , 188 , 46 , 607 ," 3,486 "
 93 ," 5,804 ", -   , -   ," 1,738 ", 345 , 543 , 256 ," 1,666 "," 10,352 "
 94 ," 3,284 ", 353 , 33 , 714 , 254 , 280 , 144 ," 1,028 "," 6,089 "
 95 ," 7,823 ", 504 , -   ," 2,795 "," 1,092 ", 546 , 786 ," 2,826 "," 16,371 "
 96 ," 3,406 ", 88 , -   ," 1,088 ", 514 , 343 , 202 , 785 ," 6,426 "
 97 ," 8,845 ", -   , -   ," 3,178 ", 701 , 747 , 209 ," 1,810 "," 15,490 "
 98 ," 4,361 ", 438 , -   ," 1,664 ", 435 , 224 , 386 ," 1,324 "," 8,832 "
 99 ," 4,221 ", 406 , -   ," 1,638 ", 449 , 807 , 329 , 896 ," 8,747 "
 100 ," 14,570 ", 980 , -   ," 3,994 ", 494 , 621 , 522 ," 2,527 "," 23,708 "
 101 ," 10,458 "," 1,103 ", -   ," 4,364 "," 1,711 ", 759 , 959 ," 2,211 "," 21,565 "
 102 ," 6,897 ", -   , -   ," 2,271 ", 398 , 502 , 196 ," 1,791 "," 12,055 "
 103 ," 1,369 ", -   , 31 , 496 , 56 , 93 , 59 , 399 ," 2,503 "
 104 ," 3,692 ", -   , -   , 774 , 210 , 314 , 287 ," 1,113 "," 6,389 "
 105 ," 7,583 ", 61 , -   ," 1,544 ", 905 , 779 , 350 ," 1,779 "," 13,001 "
 106 ," 2,926 ", 870 , -   , 746 ," 1,020 ", 346 , 166 , 929 ," 7,004 "
 107 ," 10,178 ", 124 , -   ," 1,662 ", 473 , 820 , 355 ," 2,749 "," 16,361 "
 108 ," 2,718 ", 79 , -   , 698 , 526 , 285 , 318 , 662 ," 5,285 "
 109 ," 52,402 "," 4,721 ", 691 ," 19,747 "," 8,659 "," 5,422 "," 4,784 "," 23,222 "," 119,648 "
 110 ," 35,203 ", -   , -   ," 11,001 "," 6,333 "," 6,146 "," 1,021 "," 4,838 "," 64,542 "
 111 ," 27,394 ", -   , -   ," 8,521 "," 4,551 "," 2,262 "," 1,146 "," 7,357 "," 51,231 "
 112 ," 13,585 "," 3,377 ", 241 ," 5,835 "," 5,489 "," 2,370 "," 3,812 "," 5,152 "," 39,861 "
 113 ," 10,671 "," 1,090 ", -   ," 4,675 "," 2,443 "," 2,278 "," 1,174 "," 3,013 "," 25,344 "
 114 , - , - , - , - , - , - , - , - , -   
 115 ," 20,520 "," 3,907 ", -   ," 5,494 "," 3,450 "," 3,762 "," 4,803 "," 10,023 "," 51,960 "
 116 ," 65,149 "," 10,019 ", 404 ," 15,912 "," 22,103 "," 11,989 "," 6,689 "," 32,643 "," 164,908 "
 117 ," 29,689 "," 3,854 "," 2,930 "," 3,702 "," 5,948 "," 4,469 "," 3,063 "," 8,326 "," 61,982 "
 118 ," 5,877 "," 1,029 ", 61 , 966 ," 1,208 "," 1,666 "," 1,835 "," 2,608 "," 15,250 "
 119 ," 32,936 "," 6,987 ", 500 ," 5,160 "," 14,119 "," 7,256 "," 3,916 "," 19,030 "," 89,903 "
 120 , - , - , - , - , - , - , - , - , -   
 121 ," 32,188 "," 2,971 ", 463 ," 7,598 "," 12,572 "," 7,918 "," 4,183 "," 14,456 "," 82,349 "
 122 ," 22,300 "," 1,042 ", 724 ," 3,879 "," 3,734 "," 3,636 "," 2,863 "," 9,631 "," 47,809 "
 123 ," 29,342 "," 2,307 ", -   ," 4,450 "," 5,573 "," 7,280 "," 2,348 "," 11,328 "," 62,629 "
 124 ," 27,991 ", 750 , -   ," 5,576 "," 5,366 "," 5,013 "," 2,070 "," 9,763 "," 56,530 "
 125 ," 25,477 "," 1,033 ", 316 ," 8,547 "," 4,584 "," 1,611 "," 2,274 "," 8,112 "," 51,953 "
 126 ," 17,830 ", 943 , -   ," 5,815 "," 2,772 "," 2,541 ", 454 ," 3,939 "," 34,294 "
 127 ," 29,090 ", 537 , 182 ," 7,054 "," 5,165 "," 1,261 "," 2,192 "," 8,923 "," 54,403 "
 128 ," 1,311 ", 45 , -   , 418 , 81 , -   , 66 , 225 ," 2,146 "
 129 ," 1,898 ", 59 , -   , 958 , 220 , 160 , 61 , 468 ," 3,824 "
 130 ," 3,179 ", 19 , -   , 632 , 396 , 397 , 407 , 625 ," 5,655 "
 131 , 782 , 9 , -   , 258 , 146 , 120 , 26 , 88 ," 1,429 "
 132 , - , - , - , - , - , - , - , - , -   
