Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 226 ," 35,720 ", 785 , 497 ," 11,804 "," 9,835 "," 6,496 "," 7,287 "," 11,983 "," 84,407 "
 227 ," 26,805 "," 1,355 ", -   ," 4,810 "," 10,424 "," 5,982 "," 3,415 "," 11,280 "," 64,071 "
 228 ," 23,440 "," 3,253 ", -   ," 4,333 "," 3,705 "," 3,563 "," 1,344 "," 8,324 "," 47,961 "
 229 ," 58,178 "," 6,773 "," 1,735 "," 8,425 "," 14,200 "," 11,656 "," 10,656 "," 22,557 "," 134,180 "
 230 ," 19,522 "," 4,590 ", 624 ," 7,811 "," 9,084 "," 4,797 "," 3,931 "," 14,463 "," 64,822 "
 231 ," 20,526 "," 3,425 ", -   ," 3,105 "," 3,575 "," 5,071 "," 4,629 "," 8,814 "," 49,146 "
 232 ," 20,661 ", 922 , -   ," 3,466 "," 7,256 "," 5,818 "," 2,587 "," 6,119 "," 46,829 "
 233 ," 23,309 "," 3,181 ", 246 ," 5,059 "," 7,978 "," 5,204 "," 2,327 "," 10,139 "," 57,445 "
 234 ," 24,625 "," 6,607 ", 910 ," 6,601 "," 13,681 "," 5,667 "," 7,119 "," 10,623 "," 75,832 "
 235 ," 27,887 "," 2,301 ", 515 ," 4,247 "," 13,278 "," 6,205 "," 6,136 "," 15,425 "," 75,994 "
 236 ," 5,964 ", 344 , 365 ," 2,121 ", 605 , 508 , 508 ," 1,657 "," 12,072 "
 237 ," 5,971 ", 236 , 139 ," 2,226 ", 599 , 270 , 406 ," 1,237 "," 11,084 "
 238 ," 8,161 ", 463 , -   ," 3,439 "," 2,801 "," 1,437 ", 676 ," 3,047 "," 20,023 "
 239 ," 7,460 ", 665 , -   ," 2,041 ", 384 , 485 ," 1,514 "," 2,215 "," 14,764 "
 240 ," 9,221 ", 590 , -   ," 3,983 ", 833 ," 1,005 "," 2,001 "," 2,823 "," 20,456 "
 241 ," 6,360 ", 179 , 52 ," 1,622 ", 213 , 451 , 622 ," 1,365 "," 10,864 "
 242 ," 16,031 ", 597 , 207 ," 4,047 "," 2,736 "," 1,863 ", 530 ," 3,885 "," 29,897 "
 243 ," 24,946 ", -   , 406 ," 6,769 "," 2,114 "," 2,348 "," 2,041 "," 7,171 "," 45,794 "
 244 ," 37,502 "," 1,226 ", 916 ," 8,358 "," 4,352 "," 1,300 "," 2,679 "," 10,847 "," 67,180 "
 245 ," 10,357 ", 282 , -   ," 4,486 "," 3,772 "," 2,831 ", 838 ," 2,516 "," 25,081 "
 246 ," 16,573 ", 397 , -   ," 4,117 "," 1,595 ", 595 ," 1,412 "," 5,507 "," 30,196 "
 247 ," 36,110 ", -   , -   ," 14,515 "," 16,586 "," 11,942 "," 8,743 "," 11,786 "," 99,681 "
 248 , - , - , - , - , - , - , - , - , -   
 249 ," 16,923 ", 477 , 177 ," 10,062 ", 953 ," 2,206 "," 2,189 "," 6,134 "," 39,120 "
 250 ," 10,749 ", 604 , -   ," 2,825 ", 132 ," 1,440 "," 1,279 "," 2,858 "," 19,888 "
 251 ," 10,598 ", 191 , -   ," 4,013 "," 3,275 "," 1,827 "," 1,395 "," 3,731 "," 25,031 "
 252 ," 11,525 ", 282 , -   ," 3,147 "," 1,978 "," 1,105 "," 1,085 "," 2,563 "," 21,686 "
 253 ," 2,399 ", 65 , 46 ," 1,220 ", 594 , 291 , 313 , 678 ," 5,606 "
 254 ," 18,050 ", 896 , -   ," 7,399 "," 1,648 "," 1,754 "," 1,786 "," 3,625 "," 35,158 "
 255 ," 24,945 "," 2,503 ", 580 ," 13,920 "," 2,403 "," 2,384 "," 9,401 "," 11,416 "," 67,552 "
 256 ," 13,016 ", 839 , -   ," 4,341 "," 3,858 "," 1,102 ", 558 ," 4,169 "," 27,883 "
 257 ," 22,717 "," 1,288 "," 1,254 "," 7,166 "," 4,284 ", 527 ," 1,226 "," 5,932 "," 44,393 "
 258 ," 31,181 "," 7,544 ", -   ," 11,632 "," 4,311 "," 4,413 "," 2,991 "," 7,119 "," 69,192 "
 259 ," 15,262 "," 1,248 ", -   ," 4,970 "," 3,361 "," 2,623 "," 2,532 "," 4,705 "," 34,701 "
 260 ," 25,604 "," 1,341 ", -   ," 3,357 "," 2,457 ", 769 ," 1,665 "," 8,083 "," 43,276 "
 261 ," 22,656 "," 4,357 ", -   ," 6,770 "," 2,747 "," 3,751 "," 3,077 "," 10,120 "," 53,479 "
 262 ," 31,756 "," 3,169 ", -   ," 10,775 "," 8,783 "," 6,568 "," 5,518 "," 12,607 "," 79,176 "
 263 ," 23,654 "," 3,938 ", -   ," 6,637 "," 8,899 "," 6,369 "," 4,728 "," 8,486 "," 62,710 "
 264 ," 34,883 "," 1,352 ", -   ," 7,535 "," 2,394 "," 4,761 "," 3,746 "," 9,635 "," 64,306 "
 265 ," 18,771 "," 2,689 ", -   ," 5,266 "," 2,972 "," 2,368 "," 4,490 "," 6,281 "," 42,838 "
 266 ," 9,233 ", 255 , 100 ," 2,422 "," 2,144 ", 963 ," 1,333 "," 3,563 "," 20,014 "
 267 ," 12,568 ", 780 , 190 ," 3,328 "," 6,968 "," 2,021 "," 2,192 "," 4,344 "," 32,392 "
 268 ," 6,836 ", 134 , 57 ," 2,064 ", 487 , 651 , 617 ," 2,057 "," 12,903 "
 269 ," 16,027 ", 553 , -   ," 4,888 ", 596 ," 1,349 ", 359 ," 5,581 "," 29,352 "
 270 ," 5,310 ", 124 , -   ," 1,588 ", 275 , 562 , 352 ," 1,274 "," 9,486 "
 271 , - , - , - , - , - , - , - , - , -   
 272 ," 10,302 ", 46 , 46 ," 4,217 "," 1,502 "," 1,526 ", 618 ," 2,827 "," 21,083 "
 273 ," 34,446 ", 196 , 242 ," 7,921 "," 1,781 "," 1,461 "," 1,361 "," 14,457 "," 61,865 "
 274 ," 17,489 "," 1,033 ", -   ," 5,345 "," 1,969 "," 2,535 ", 613 ," 2,827 "," 31,810 "
 275 ," 21,063 ", 551 , -   ," 4,225 "," 2,962 ", 437 ," 1,190 "," 8,024 "," 38,452 "
 276 ," 43,146 "," 1,594 ", 500 ," 11,740 "," 4,901 "," 6,146 "," 5,089 "," 15,066 "," 88,181 "
 277 ," 28,334 "," 1,034 ", 603 ," 9,587 "," 6,473 "," 3,876 "," 3,374 "," 4,348 "," 57,629 "
 278 ," 54,277 "," 4,128 ", 199 ," 11,293 "," 17,258 "," 8,966 "," 4,434 "," 22,392 "," 122,947 "
 279 ," 36,161 "," 1,568 ", -   ," 10,427 "," 5,637 "," 5,566 "," 2,329 "," 13,145 "," 74,833 "
 280 ," 10,762 ", 147 , -   ," 6,493 "," 1,926 "," 1,301 "," 2,256 "," 2,679 "," 25,563 "
 281 ," 17,622 ", 927 , -   ," 11,665 "," 1,197 "," 1,682 "," 1,478 "," 5,074 "," 39,645 "
 282 ," 16,116 ", 849 , -   ," 8,803 "," 2,429 "," 1,680 "," 2,884 "," 3,473 "," 36,235 "
 283 ," 9,515 ", 368 , 101 ," 3,564 ", 557 ," 1,500 ", 286 ," 1,471 "," 17,362 "
 284 ," 23,708 ", 601 , 556 ," 6,825 "," 6,471 "," 3,167 "," 3,647 "," 7,479 "," 52,453 "
 285 ," 46,999 "," 6,083 "," 1,857 "," 10,956 "," 12,552 "," 9,991 "," 6,285 "," 20,474 "," 115,198 "
 286 ," 5,364 ", 427 , 48 ," 2,074 ", 955 , 434 , 668 ," 1,541 "," 11,511 "
 287 ," 12,329 ", -   , 114 ," 5,887 ", 734 ," 1,057 "," 2,195 "," 5,170 "," 27,485 "
 288 ," 7,862 ", 458 , 275 ," 2,365 "," 1,568 "," 1,166 ", 793 ," 3,773 "," 18,261 "
 289 ," 21,729 "," 1,669 ", -   ," 4,539 "," 4,710 "," 1,758 "," 1,398 "," 9,043 "," 44,846 "
 290 ," 26,797 ", -   , 813 ," 6,734 "," 2,336 "," 2,305 "," 3,737 "," 10,159 "," 52,880 "
 291 ," 31,472 "," 5,680 "," 2,446 "," 7,592 "," 4,606 "," 3,939 "," 2,730 "," 12,542 "," 71,006 "
 292 ," 30,840 "," 2,772 ", -   ," 5,573 "," 2,607 "," 5,702 "," 3,775 "," 13,811 "," 65,079 "
 293 ," 27,820 "," 1,920 ", 455 ," 6,569 "," 17,780 ", 975 ," 3,741 "," 17,643 "," 76,903 "
 294 ," 29,770 "," 18,950 ", -   ," 8,188 "," 12,763 "," 8,274 "," 5,258 "," 18,569 "," 101,771 "
 295 ," 49,259 "," 12,886 ", 861 ," 10,077 "," 11,308 "," 9,564 "," 7,528 "," 27,858 "," 129,341 "
 296 ," 8,141 ", 951 , -   ," 1,754 "," 1,361 "," 1,758 "," 2,900 "," 4,476 "," 21,341 "
 297 ," 1,822 ", 956 , -   , 482 , 659 , 593 , 507 ," 1,303 "," 6,321 "
 298 ," 44,603 "," 25,684 ", -   ," 16,637 "," 13,246 "," 6,342 "," 7,631 "," 37,050 "," 151,193 "
 299 ," 4,552 ", 949 , -   ," 1,136 ", 969 , 710 , 972 ," 2,439 "," 11,727 "
 300 , - , - , - , - , - , - , - , - , -   
 301 ," 21,955 ", 321 , -   ," 9,060 "," 1,918 "," 1,661 "," 1,397 "," 5,373 "," 41,686 "
 302 ," 5,834 ", 341 , -   ," 2,124 ", 590 , 529 ," 1,083 "," 2,049 "," 12,550 "
 303 ," 9,367 ", 386 , 134 ," 4,002 ", 842 , 697 , 755 ," 2,824 "," 19,007 "
 304 ," 7,022 ", 136 , 88 ," 2,552 ", 507 , 822 ," 1,067 "," 2,033 "," 14,227 "
 305 ," 36,926 "," 1,968 ", -   ," 6,263 "," 5,439 "," 6,207 "," 4,626 "," 11,975 "," 73,405 "
 306 ," 57,424 "," 3,494 ", 295 ," 9,224 "," 12,411 "," 8,933 "," 5,302 "," 16,565 "," 113,649 "
 307 ," 30,718 "," 1,439 ", -   ," 10,416 "," 9,032 "," 6,735 "," 8,637 "," 11,792 "," 78,768 "
 308 ," 46,863 "," 3,271 ", 395 ," 11,693 "," 8,726 "," 10,076 "," 11,406 "," 21,715 "," 114,145 "
 309 ," 14,930 "," 2,458 ", -   ," 2,856 "," 7,375 "," 5,614 "," 1,586 "," 4,713 "," 39,532 "
 310 ," 27,699 ", 889 , -   ," 5,197 "," 3,193 "," 4,483 "," 6,145 "," 13,258 "," 60,864 "
 311 ," 9,979 "," 1,402 ", -   ," 1,978 "," 4,520 "," 2,113 "," 1,635 "," 4,355 "," 25,981 "
 312 ," 34,870 "," 1,564 ", -   ," 6,020 "," 7,595 "," 6,184 "," 5,963 "," 16,453 "," 78,648 "
 313 ," 20,673 "," 2,303 ", 450 ," 3,139 "," 1,479 "," 6,786 "," 1,937 "," 3,158 "," 39,927 "
 314 ," 9,356 ", 242 , 238 ," 1,844 "," 2,460 "," 1,348 "," 1,353 "," 4,191 "," 21,032 "
 315 ," 40,729 "," 4,791 ", 429 ," 8,374 "," 11,019 "," 20,505 "," 6,369 "," 4,144 "," 96,360 "
 316 ," 52,937 "," 5,694 ", -   ," 12,050 "," 9,451 "," 9,113 "," 6,900 "," 24,029 "," 120,175 "
 317 ," 6,850 ", 132 , 109 ," 1,845 ", 573 , 800 , 265 ," 2,294 "," 12,869 "
 318 ," 1,400 ", 6 , -   , 294 , 95 , 205 , 150 , 496 ," 2,645 "
 319 ," 11,399 ", 130 , 138 ," 2,663 "," 1,760 "," 1,218 ", 309 ," 3,448 "," 21,066 "
 320 ," 4,084 ", 135 , 39 , 885 , 373 , 612 , 538 ," 1,529 "," 8,196 "
 321 ," 36,258 "," 3,721 ", -   ," 6,073 "," 5,690 "," 5,283 "," 5,658 "," 11,675 "," 74,358 "
 322 ," 23,987 ", 700 , 110 ," 1,313 "," 2,498 "," 2,732 ", 224 ," 8,399 "," 39,963 "
 323 ," 33,330 ", 138 , -   ," 4,952 "," 2,254 "," 3,827 "," 2,435 "," 11,603 "," 58,539 "
 324 ," 37,208 "," 1,744 ", -   ," 6,107 "," 3,109 "," 5,025 "," 3,895 "," 12,642 "," 69,730 "
 325 ," 37,979 ", 726 , -   ," 7,320 "," 5,495 "," 5,001 "," 3,861 "," 11,673 "," 72,054 "
 326 ," 18,289 "," 1,945 ", 616 ," 3,860 "," 2,296 "," 3,236 "," 2,811 "," 6,156 "," 39,209 "
 327 ," 26,090 "," 2,001 ", 481 ," 6,237 "," 11,480 "," 4,349 "," 2,175 "," 8,222 "," 61,036 "
 328 ," 13,953 ", 465 , -   ," 3,204 ", 597 ," 1,574 ", 903 ," 5,266 "," 25,962 "
 329 ," 11,628 ", 789 , 96 ," 2,301 "," 2,257 "," 1,830 ", 367 ," 3,563 "," 22,831 "
 330 ," 15,579 ", 664 , 130 ," 4,523 "," 2,218 "," 1,851 "," 1,542 "," 5,550 "," 32,057 "
 331 ," 23,428 ", 201 ," 1,001 "," 8,267 "," 5,498 "," 6,631 ", 227 , 721 ," 45,973 "
 332 ," 22,783 "," 1,983 ", 298 ," 4,302 "," 2,943 "," 4,327 "," 3,584 "," 7,583 "," 47,802 "
 333 ," 20,512 "," 1,687 ", -   ," 5,864 "," 2,741 "," 2,649 "," 2,827 "," 8,668 "," 44,948 "
 334 ," 12,744 ", 55 , -   ," 2,475 "," 4,298 "," 1,058 "," 1,541 "," 5,742 "," 27,913 "
 335 ," 24,106 "," 1,398 ", -   ," 3,540 ", 805 ," 4,694 "," 1,461 "," 6,397 "," 42,401 "
 336 ," 17,661 "," 1,612 ", 144 ," 6,664 "," 1,993 "," 2,344 "," 1,954 "," 9,137 "," 41,509 "
 337 ," 24,542 ", 399 , -   ," 7,476 "," 1,974 "," 4,368 "," 1,432 "," 10,802 "," 50,992 "
 338 ," 13,047 ", -   , -   ," 2,502 "," 1,102 "," 1,669 "," 1,028 "," 2,682 "," 22,031 "
 339 ," 17,343 "," 1,952 ", -   ," 2,773 "," 4,173 "," 3,119 ", 761 ," 4,606 "," 34,727 "
 340 , - , - , - , - , - , - , - , - , -   
 341 ," 3,900 ", 141 , -   ," 1,743 ", 292 , 66 , 196 ," 1,068 "," 7,406 "
 342 ," 5,434 ", 124 , -   ," 1,595 ", 452 , -   , 648 ," 1,151 "," 9,403 "
 343 ," 11,149 ", -   ," 2,666 "," 8,954 "," 5,041 "," 3,579 "," 3,275 "," 1,527 "," 36,191 "
 344 ," 2,521 ", -   , -   , 695 , 412 , 139 , 258 ," 1,271 "," 5,296 "
 345 ," 23,280 ", 870 , -   ," 6,512 "," 2,996 "," 4,730 "," 2,971 "," 8,768 "," 50,127 "
 346 ," 17,907 "," 2,860 ", -   ," 4,739 "," 2,354 "," 2,052 "," 3,600 "," 8,167 "," 41,680 "
 347 , - , - , - , - , - , - , - , - , -   
 348 ," 40,981 ", -   , -   ," 7,704 "," 9,708 "," 8,270 "," 5,925 "," 13,404 "," 85,991 "
 349 ," 4,042 ", 140 , 37 , 558 ," 1,434 "," 1,154 ", 756 ," 1,570 "," 9,691 "
 350 , - , - , - , - , - , - , - , - , -   
 351 ," 28,095 ", 384 , -   ," 8,295 "," 11,613 "," 5,196 "," 5,478 "," 13,734 "," 72,796 "
 352 ," 40,647 ", 517 , 707 ," 7,537 "," 6,308 "," 3,934 ", 796 ," 14,776 "," 75,223 "
 353 , - , - , - , - , - , - , - , - , -   
 354 , - , - , - , - , - , - , - , - , -   
 355 , - , - , - , - , - , - , - , - , -   
 356 ," 26,359 ", 793 , 425 ," 5,291 "," 6,497 "," 2,616 "," 3,564 "," 9,640 "," 55,185 "
 357 ," 44,894 ", 300 , 887 ," 10,936 "," 13,991 "," 9,674 "," 6,995 "," 19,563 "," 107,239 "
 358 ," 2,557 ", 158 , -   , 638 , 992 , 484 , 356 ," 1,361 "," 6,546 "
 359 ," 18,842 ", 151 , 161 ," 3,650 "," 2,882 "," 2,939 "," 1,351 "," 8,493 "," 38,468 "
 360 ," 11,590 ", -   , -   ," 2,269 ", 867 ," 1,041 ", 152 ," 3,729 "," 19,648 "
 361 ," 11,785 ", -   , 252 ," 1,514 "," 1,580 "," 1,078 "," 1,588 "," 4,418 "," 22,215 "
 362 ," 6,720 ", -   , -   ," 2,137 "," 1,742 ", 681 ," 1,175 "," 3,343 "," 15,797 "
 363 ," 9,701 ", -   , 55 ," 1,885 ", 986 , 584 , 875 ," 3,877 "," 17,962 "
 364 ," 23,633 ", 745 , -   ," 4,784 "," 1,920 "," 1,122 "," 1,454 "," 5,546 "," 39,203 "
 365 ," 4,349 ", 173 , -   , 943 , 498 , 727 , 556 ," 1,460 "," 8,706 "
 366 ," 4,496 ", -   , 120 ," 1,101 ", 443 , 584 , 699 ," 1,812 "," 9,255 "
 367 ," 16,807 ", 608 , -   ," 5,334 "," 4,629 "," 2,784 "," 2,847 "," 9,230 "," 42,238 "
 368 ," 15,644 ", -   , -   ," 5,170 "," 2,187 "," 2,059 "," 1,355 "," 8,569 "," 34,983 "
 369 ," 18,103 ", 455 , -   ," 5,229 "," 2,790 "," 2,587 "," 4,162 "," 9,480 "," 42,807 "
 370 ," 31,111 ", -   , 486 ," 6,659 "," 2,167 "," 3,575 "," 2,014 "," 8,862 "," 54,874 "
 371 ," 45,359 ", -   ," 1,429 "," 11,800 "," 8,750 "," 4,588 "," 3,795 "," 21,941 "," 97,662 "
 372 ," 31,437 ", -   , -   ," 8,021 "," 3,801 "," 5,660 "," 5,221 "," 13,755 "," 67,895 "
 373 ," 28,022 ", 684 , -   ," 5,608 "," 4,068 "," 2,919 "," 3,601 "," 9,473 "," 54,374 "
 374 ," 21,234 "," 1,947 ", 284 ," 6,996 "," 8,120 "," 3,894 "," 7,462 "," 11,683 "," 61,621 "
 375 , - , - , - , - , - , - , - , - , -   
 376 ," 36,504 "," 1,752 ", -   ," 6,204 "," 2,485 "," 6,453 "," 6,904 "," 12,189 "," 72,491 "
 377 ," 20,933 "," 1,333 ", -   ," 5,269 "," 3,366 "," 2,500 "," 5,300 "," 8,966 "," 47,667 "
 378 ," 76,650 "," 2,171 "," 1,592 "," 25,207 "," 18,059 "," 13,261 "," 23,976 "," 36,877 "," 197,792 "
 379 ," 34,313 "," 7,213 "," 1,333 "," 15,235 "," 13,809 "," 7,591 "," 11,794 "," 14,172 "," 105,461 "
 380 ," 28,270 ", 629 , -   ," 5,458 "," 6,084 "," 1,837 "," 5,582 "," 9,086 "," 56,947 "
 381 ," 47,407 ", -   , 906 ," 13,326 "," 10,041 "," 7,306 "," 8,669 "," 16,601 "," 104,256 "
 382 , - , - , - , - , - , - , - , - , -   
 383 ," 47,056 ", -   , 387 ," 8,375 "," 9,992 "," 6,513 "," 8,581 "," 17,751 "," 98,655 "
 384 ," 43,332 ", -   , 513 ," 7,985 "," 5,319 "," 5,003 "," 4,719 "," 14,826 "," 81,697 "
 385 ," 15,781 ", -   , 797 ," 2,815 "," 1,438 "," 1,894 "," 2,517 "," 4,348 "," 29,591 "
 386 , - , - , - , - , - , - , - , - , -   
 387 ," 2,418 ", -   , -   , 619 , -   , 271 , 274 , 619 ," 4,201 "
 388 ," 36,562 "," 1,912 ", -   ," 7,744 "," 1,358 "," 5,385 "," 8,332 "," 15,895 "," 77,189 "
 389 ," 4,334 ", 156 , -   ," 1,019 ", 542 , 453 , 491 , 387 ," 7,383 "
 390 ," 18,709 ", -   , -   ," 6,331 "," 3,925 "," 2,459 "," 3,430 "," 8,287 "," 43,142 "
 391 ," 4,106 ", -   , -   ," 1,897 "," 1,588 ", 626 , 791 ," 1,932 "," 10,940 "
 392 , - , - , - , - , - , - , - , - , -   
 393 , - , - , - , - , - , - , - , - , -   
 394 ," 34,653 "," 7,891 ", -   ," 6,910 "," 12,552 "," 7,307 "," 1,621 "," 13,002 "," 83,937 "
 395 , - , - , - , - , - , - , - , - , -   
 396 ," 43,849 "," 4,646 ", 690 ," 8,436 "," 10,896 "," 12,027 "," 6,423 "," 12,418 "," 99,385 "
 397 ," 8,926 "," 1,930 ", -   ," 2,212 "," 2,331 "," 1,117 ", 868 ," 4,126 "," 21,511 "
 398 ," 36,717 "," 6,263 ", -   ," 9,083 "," 7,081 "," 6,700 "," 5,155 "," 12,969 "," 83,968 "
 399 ," 40,093 "," 8,189 ", 514 ," 6,982 "," 12,280 "," 8,250 "," 8,034 "," 18,056 "," 102,397 "
 400 ," 27,102 "," 4,238 ", -   ," 6,011 "," 6,660 "," 5,240 "," 4,165 "," 13,183 "," 66,599 "
 401 ," 43,185 "," 8,174 ", 553 ," 11,039 "," 14,251 "," 9,662 "," 15,239 "," 23,559 "," 125,663 "
 402 ," 32,210 "," 4,836 ", -   ," 7,806 "," 9,055 "," 6,693 "," 7,036 "," 15,483 "," 83,119 "
 403 ," 52,231 "," 3,579 ", -   ," 12,168 "," 11,128 "," 6,561 "," 9,202 "," 22,066 "," 116,935 "
 404 ," 70,676 "," 7,186 ", 323 ," 20,191 "," 8,659 "," 11,563 "," 8,872 "," 26,555 "," 154,026 "
 405 ," 10,679 ", 796 , -   ," 3,884 "," 1,590 "," 1,848 "," 2,271 "," 5,081 "," 26,148 "
 406 ," 6,507 "," 1,533 ", 123 ," 1,525 "," 1,293 "," 2,094 "," 1,922 "," 2,597 "," 17,595 "
 407 ," 32,777 "," 1,486 ", -   ," 10,528 "," 6,942 "," 7,305 "," 4,852 "," 17,779 "," 81,670 "
 408 ," 15,796 "," 1,307 ", 497 ," 4,928 "," 5,072 "," 2,280 "," 3,172 "," 6,851 "," 39,902 "
 409 ," 16,863 ", 832 , -   ," 5,664 "," 1,847 "," 2,399 "," 3,028 "," 5,483 "," 36,115 "
 410 ," 46,007 "," 9,032 ", -   ," 16,908 "," 14,632 "," 9,011 "," 8,475 "," 18,830 "," 122,895 "
 411 ," 22,825 "," 1,905 ", -   ," 7,584 "," 7,402 "," 5,291 "," 3,411 "," 10,412 "," 58,830 "
 412 ," 7,372 "," 1,539 ", -   ," 3,126 "," 2,567 "," 1,149 "," 1,709 "," 4,891 "," 22,353 "
 413 ," 5,506 ", 441 , -   ," 1,624 "," 1,759 ", 887 ," 1,222 "," 2,439 "," 13,877 "
 414 ," 7,411 ", 864 , 485 ," 2,937 "," 2,088 "," 1,164 ", 978 ," 3,389 "," 19,317 "
 415 ," 17,163 "," 1,232 ", -   ," 5,184 "," 3,212 "," 2,761 "," 3,270 "," 7,499 "," 40,322 "
 416 ," 8,751 ", 816 , -   ," 2,526 "," 5,310 "," 1,727 "," 4,209 "," 3,547 "," 26,887 "
 417 , - , - , - , - , - , - , - , - , -   
 418 ," 7,999 "," 2,307 ", -   ," 5,103 "," 4,743 "," 1,908 "," 3,096 "," 5,068 "," 30,225 "
 419 , - , - , - , - , - , - , - , - , -   
 420 ," 5,433 ", 354 , -   ," 2,331 "," 1,800 "," 1,248 "," 1,789 "," 2,373 "," 15,327 "
 421 , - , - , - , - , - , - , - , - , -   
 422 ," 13,121 ", 760 , -   ," 4,607 "," 2,025 "," 2,127 "," 3,551 "," 5,816 "," 32,006 "
 423 , - , - , - , - , - , - , - , - , -   
 424 ," 21,516 ", 661 , -   ," 11,042 "," 3,900 "," 2,606 ", 992 ," 9,599 "," 50,317 "
 425 ," 26,447 ", 358 , -   ," 8,742 "," 5,031 "," 2,667 "," 4,784 "," 8,787 "," 56,816 "
 426 ," 14,092 ", 372 , 341 ," 8,922 "," 6,112 "," 1,428 ", 885 ," 6,231 "," 38,382 "
 427 ," 3,330 ", 349 , -   ," 1,658 ", 730 , 212 , 277 ," 1,239 "," 7,795 "
 428 ," 8,430 ", 302 , -   ," 2,015 "," 1,890 ", 782 , 793 ," 2,275 "," 16,486 "
 429 ," 39,507 ", 238 , -   ," 11,562 "," 5,797 "," 5,015 "," 1,106 "," 8,223 "," 71,448 "
 430 ," 17,147 ", 597 , 470 ," 8,037 "," 3,897 "," 1,968 ", 813 ," 3,697 "," 36,627 "
 431 ," 12,557 ", -   , 212 ," 5,791 "," 1,775 "," 2,091 "," 2,748 "," 1,489 "," 26,663 "
 432 ," 10,987 ", 501 , -   ," 3,790 "," 2,751 "," 2,084 "," 1,956 "," 3,196 "," 25,264 "
 433 ," 15,228 ", 581 , 739 ," 3,746 "," 1,613 "," 1,416 "," 1,870 "," 5,651 "," 30,843 "
 434 ," 25,585 "," 1,323 ", -   ," 9,540 "," 3,966 "," 4,019 "," 1,491 "," 5,046 "," 50,970 "
 435 ," 27,137 ", 326 , -   ," 9,285 "," 3,764 "," 3,124 "," 2,161 "," 8,674 "," 54,471 "
 436 ," 28,614 "," 2,412 ", -   ," 8,831 "," 7,589 "," 2,955 "," 2,508 "," 9,049 "," 61,959 "
 437 ," 19,641 "," 1,780 ", 283 ," 7,987 "," 3,714 "," 2,117 "," 2,186 "," 7,701 "," 45,410 "
 438 ," 49,501 "," 3,836 ", -   ," 19,685 "," 17,766 "," 5,609 "," 6,311 "," 17,013 "," 119,720 "
 439 ," 60,023 "," 1,562 "," 2,378 "," 18,241 "," 8,821 "," 7,335 "," 5,153 "," 13,638 "," 117,151 "
 440 ," 48,273 "," 9,829 ", -   ," 23,177 "," 12,727 "," 10,895 "," 5,245 "," 14,837 "," 124,982 "
 441 , 948 , 161 , 16 , 617 , 192 , 63 , 156 , 367 ," 2,521 "
 442 ," 19,845 "," 1,171 ", 305 ," 4,839 "," 4,394 "," 2,889 "," 2,295 "," 6,080 "," 41,817 "
 443 ," 47,578 "," 3,244 ", 947 ," 13,901 "," 12,525 "," 9,348 "," 10,580 "," 16,470 "," 114,594 "
 444 ," 58,705 "," 8,535 ", 748 ," 20,353 "," 23,491 "," 13,179 "," 11,137 "," 16,669 "," 152,817 "
 445 ," 39,648 ", 994 , -   ," 10,948 "," 9,442 "," 7,830 "," 5,755 "," 13,429 "," 88,046 "
 446 ," 10,244 ", 924 , 892 ," 1,877 "," 5,068 "," 1,764 "," 2,548 "," 4,818 "," 28,136 "
 447 ," 32,864 "," 3,272 ", 497 ," 15,748 "," 5,762 "," 3,587 "," 5,491 "," 11,784 "," 79,005 "
 448 ," 10,400 "," 1,108 ", 67 ," 4,003 "," 1,841 ", 635 ," 2,141 "," 4,402 "," 24,597 "
 449 ," 5,887 ", 501 , 60 ," 1,915 ", 637 , 969 ," 1,564 "," 2,557 "," 14,090 "
 450 ," 6,671 ", 475 , 94 ," 1,796 ", 317 , -   , 535 ," 2,344 "," 12,232 "
 451 ," 15,526 ", 128 , 545 ," 3,889 "," 2,207 "," 1,887 "," 2,634 "," 5,860 "," 32,676 "
 452 ," 41,209 "," 8,061 ", -   ," 10,247 "," 7,246 "," 3,879 "," 6,801 "," 20,571 "," 98,014 "
 453 ," 27,899 ", 223 , -   ," 5,887 "," 5,963 "," 2,203 "," 3,229 "," 9,348 "," 54,751 "
 454 ," 23,541 ", 747 , -   ," 4,350 "," 2,386 "," 2,220 ", 970 ," 7,576 "," 41,790 "
 455 ," 29,369 "," 1,215 ", -   ," 5,659 "," 4,834 "," 2,566 "," 1,166 "," 10,047 "," 54,855 "
 456 ," 44,077 "," 1,344 ", 196 ," 15,263 "," 5,870 "," 2,980 "," 3,067 "," 17,038 "," 89,836 "
 457 ," 72,637 "," 6,336 "," 1,983 "," 23,491 "," 24,073 "," 7,989 "," 9,921 "," 29,025 "," 175,455 "
 458 ," 38,777 "," 4,629 ", -   ," 12,219 "," 9,004 "," 7,255 "," 5,960 "," 14,971 "," 92,815 "
