 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
 244 ," 5,006 ", 780 , 385 , -   ," 7,169 ", 618 , 665 , -   ," 14,622 "
 245 ," 1,967 ", 667 , 229 , -   ," 1,405 ", -   , -   , -   ," 4,269 "
 246 ," 2,969 ", 81 , 27 ," 1,222 "," 3,315 ", -   , 87 , 355 ," 8,055 "
 247 ," 13,166 ", 81 , 367 , -   ," 6,546 ", 467 , -   , -   ," 20,627 "
 248 , 907 , -   , -   , -   , -   , -   , -   , -   , 907 
 249 ," 2,848 ", 160 , -   , -   ," 4,804 ", -   , -   , -   ," 7,813 "
 250 ," 6,171 ", 160 , 79 , 300 ," 8,396 ", 990 , -   , -   ," 16,096 "
 251 ," 2,838 ", 395 , -   , 420 ," 3,143 ", -   , -   , -   ," 6,795 "
 252 ," 2,407 ", 764 , 131 , 142 ," 2,740 ", 39 , 88 , -   ," 6,311 "
 253 ," 4,973 ", 20 , 20 , -   , 559 , -   , 84 , -   ," 5,658 "
 254 ," 21,755 ", 46 ," 1,959 ", 746 ," 8,372 ", 190 , 147 , -   ," 33,216 "
 255 ," 9,735 "," 1,249 "," 2,334 ", 979 ," 7,102 ", 185 , 24 , 14 ," 21,622 "
 256 ," 3,086 ", -   , -   , -   ," 5,229 ", -   , 126 , -   ," 8,440 "
 257 ," 3,907 ", 386 , -   , -   ," 7,577 ", -   , -   , -   ," 11,869 "
 258 ," 6,159 ", 131 , 518 , -   ," 16,979 ", -   ," 1,045 ", -   ," 24,832 "
 259 ," 2,563 ", 265 , -   , -   ," 1,590 ", 180 , 457 , 645 ," 5,701 "
 260 ," 1,638 ", 595 , -   , -   ," 5,049 ", -   , -   , -   ," 7,282 "
 261 ," 9,743 "," 2,548 ", -   , -   ," 10,636 ", -   , -   , -   ," 22,927 "
 262 ," 4,530 ", -   ," 1,622 ", -   ," 11,811 ", -   , -   , -   ," 17,963 "
 263 ," 10,578 "," 2,258 ", -   , -   ," 8,034 ", -   , 403 , -   ," 21,273 "
 264 ," 15,968 "," 3,680 ", 867 , 319 ," 14,431 ", -   , -   , -   ," 35,266 "
 265 ," 8,168 ", 417 , 164 , -   ," 9,255 ", -   , -   , -   ," 18,004 "
 266 , 531 , 123 , 285 , 85 ," 2,428 ", -   , -   , -   ," 3,452 "
 267 ," 8,977 "," 1,870 ", 970 , 409 ," 4,347 ", 283 , 179 , -   ," 17,036 "
 268 ," 4,527 ", 238 , -   , 100 ," 4,077 ", -   , 109 , 28 ," 9,079 "
 269 ," 10,806 "," 3,357 ", 310 , 662 ," 4,926 ", 328 , -   , -   ," 20,389 "
 270 ," 5,921 ", 467 , 409 ," 1,077 "," 4,426 ", -   , -   , -   ," 12,300 "
 271 ," 11,792 ", -   , 64 , -   , 873 , -   , 7 , -   ," 12,736 "
 272 ," 11,301 ", 294 , 52 , 493 ," 3,175 ", -   , 79 , -   ," 15,394 "
 273 ," 11,752 "," 1,267 ", -   , 55 ," 6,344 ", 35 , 301 , -   ," 19,753 "
 274 ," 29,205 ", 198 ," 4,323 ", 523 ," 7,963 ", -   , -   , -   ," 42,211 "
 275 ," 10,658 "," 1,437 ", 120 , 442 ," 5,679 ", -   , -   , -   ," 18,336 "
 276 ," 4,493 "," 1,045 "," 2,613 ", 64 ," 7,871 ", 353 , -   , -   ," 16,438 "
 277 ," 6,630 ", 399 , 772 , -   ," 10,596 ", 452 , 216 ," 1,046 "," 20,111 "
 278 ," 8,815 "," 3,801 ", 473 ," 1,056 "," 11,133 ", -   , -   , -   ," 25,279 "
 279 ," 3,271 ", 870 , -   , 219 ," 9,699 ", -   , 126 , 126 ," 14,309 "
 280 ," 18,263 ", 173 , 217 , 445 ," 2,621 ", 637 , -   , -   ," 22,356 "
 281 ," 14,469 ", 806 , 31 , -   ," 3,609 ", -   , 137 , 226 ," 19,278 "
 282 ," 12,506 ", 898 , 602 ," 1,209 "," 4,143 ", 185 , -   , -   ," 19,544 "
 283 ," 2,790 ", -   , -   , 189 ," 3,562 "," 1,351 ", 322 , -   ," 8,214 "
 284 ," 5,384 ", 677 , 676 , -   ," 4,174 ", -   , -   , -   ," 10,911 "
 285 ," 4,351 "," 2,041 ", 309 , -   ," 17,486 ", -   , 435 ," 1,972 "," 26,594 "
 286 ," 19,346 ", 599 , 695 , -   ," 3,040 ", -   , 71 , 49 ," 23,801 "
 287 ," 10,648 "," 1,351 "," 1,322 ", -   ," 4,870 ", 467 , 129 , -   ," 18,786 "
 288 ," 4,991 "," 1,281 ", 28 , 691 ," 4,093 ", -   , 314 , -   ," 11,399 "
 289 ," 9,833 ", 553 , 842 , -   ," 9,072 ", 260 , 26 , -   ," 20,587 "
 290 ," 4,206 ", 281 , 587 , -   ," 10,254 ", -   ," 1,051 ", 496 ," 16,875 "
 291 ," 3,387 "," 1,365 ", 206 ," 1,062 "," 16,509 ", -   , -   , -   ," 22,528 "
 292 ," 2,823 "," 2,460 ", 616 , 236 ," 9,333 ", -   , -   , -   ," 15,467 "
 293 ," 7,646 "," 1,292 "," 3,111 ", 28 ," 8,544 ", -   , 135 , -   ," 20,755 "
 294 ," 2,850 "," 2,662 "," 1,151 "," 2,031 "," 25,896 ", -   , -   , -   ," 34,589 "
 295 ," 4,404 ", 963 ," 2,599 ", -   ," 26,826 ", -   ," 1,642 ", -   ," 36,434 "
 296 , 242 , 590 , -   , -   ," 1,546 ", -   , -   , -   ," 2,379 "
 297 ," 1,070 ", 108 , 28 , -   ," 1,404 ", 107 , 45 , -   ," 2,762 "
 298 ," 14,530 ", 856 ," 2,635 ", 792 ," 37,796 ", -   ," 1,168 "," 1,478 "," 59,254 "
 299 , 193 , 177 , 102 , -   ," 1,459 ", -   , -   , -   ," 1,931 "
 300 , -   , -   , -   , -   , 86 , -   , -   , -   , 86 
 301 ," 97,483 "," 2,260 ", 394 , 503 ," 16,758 ", 409 ," 2,279 ", 642 ," 120,728 "
 302 ," 17,852 "," 1,502 ", 321 ," 1,620 "," 4,044 ", -   , 173 , -   ," 25,512 "
 303 ," 17,467 "," 1,329 "," 1,582 ", 678 ," 5,747 ", 395 , 566 , 104 ," 27,868 "
 304 ," 22,080 ", 139 , 465 , 788 ," 5,436 ", 349 , 797 , -   ," 30,053 "
 305 ," 11,813 "," 1,688 "," 2,176 "," 1,469 "," 8,499 ", 237 , -   , -   ," 25,881 "
 306 ," 7,402 "," 2,889 ", 900 , 605 ," 13,523 ", 473 , 816 , 632 ," 27,240 "
 307 ," 4,030 "," 1,578 ", 274 , -   ," 6,801 ", -   , -   , -   ," 12,683 "
 308 ," 5,020 "," 5,444 ", 606 , -   ," 11,562 ", -   , -   , -   ," 22,632 "
 309 ," 1,551 ", 971 , 506 , 319 ," 2,312 ", -   , 108 , -   ," 5,768 "
 310 ," 1,330 ", 556 , -   , -   ," 7,763 ", -   , -   , -   ," 9,649 "
 311 ," 1,737 "," 1,394 ", 759 , 227 ," 2,607 ", -   , 40 , -   ," 6,765 "
 312 ," 6,231 "," 1,217 ", 798 , -   ," 11,225 "," 1,174 "," 1,504 ", -   ," 22,149 "
 313 ," 6,412 "," 1,081 ", 910 , 566 ," 9,527 ", -   , 95 , -   ," 18,591 "
 314 ," 1,462 ", 208 , 200 , -   ," 3,938 ", -   , -   , -   ," 5,808 "
 315 ," 4,847 "," 3,650 ", 789 , -   ," 18,691 ", 348 , -   , -   ," 28,325 "
 316 ," 9,165 "," 2,055 "," 1,078 ", 797 ," 13,612 ", -   , -   , -   ," 26,707 "
 317 ," 12,682 ", 952 , 594 , 879 ," 4,095 ", 395 , 382 , -   ," 19,979 "
 318 ," 7,062 ", 7 , -   ," 1,217 "," 1,516 ", 266 , 23 , -   ," 10,090 "
 319 ," 13,439 ", 974 ," 1,199 ", 630 ," 4,649 ", 322 , 367 , 138 ," 21,717 "
 320 ," 14,237 ", 348 , 616 , 647 ," 3,298 ", 152 , 94 , -   ," 19,392 "
 321 ," 3,812 "," 1,524 ", 208 , 99 ," 8,285 ", -   ," 1,501 ", -   ," 15,429 "
 322 ," 15,471 "," 1,294 ", 340 ," 1,096 "," 6,876 ", 675 , 240 , 229 ," 26,222 "
 323 ," 12,176 "," 2,226 ", -   , 454 ," 6,783 ", 393 , 231 , 288 ," 22,550 "
 324 ," 3,755 ", 957 , 428 , 694 ," 6,455 ", 442 , -   , -   ," 12,732 "
 325 ," 6,221 ", 916 , 110 , 825 ," 10,839 ", -   , -   , -   ," 18,911 "
 326 ," 8,667 ", 671 , 42 , 542 ," 7,435 ", -   , -   , -   ," 17,356 "
 327 ," 1,817 ", 755 , 228 , -   ," 6,069 ", -   , -   , -   ," 8,869 "
 328 ," 4,156 ", 755 , 63 ," 1,817 "," 2,861 "," 1,174 ", 87 , -   ," 10,914 "
 329 ," 5,963 ", 912 , 136 , 250 ," 7,030 ", -   , -   , -   ," 14,291 "
 330 ," 13,511 ", 633 , 768 ," 2,648 "," 3,978 ", 83 , -   , -   ," 21,621 "
 331 ," 5,913 ", 907 , 96 ," 2,362 "," 3,626 ", 124 , 346 , -   ," 13,374 "
 332 ," 5,156 ", 336 , 103 , 692 ," 10,778 ", -   , 472 ," 1,759 "," 19,297 "
 333 ," 4,390 "," 1,688 ", 236 , 775 ," 9,820 ", 308 , 237 , -   ," 17,454 "
 334 ," 3,585 ", -   , 523 , 792 ," 3,858 ", -   ," 1,126 ", -   ," 9,884 "
 335 ," 4,674 ", -   , 622 ," 1,640 "," 8,834 ", 105 ," 1,355 ", -   ," 17,230 "
 336 ," 3,682 ", 304 , 654 ," 1,678 "," 7,412 ", -   , 60 , 142 ," 13,931 "
 337 ," 6,248 ", 952 , 557 ," 1,032 "," 6,780 ", -   , -   , -   ," 15,568 "
 338 ," 6,140 ", 283 , 35 , 363 ," 3,656 ", 268 , -   , -   ," 10,745 "
 339 ," 15,166 "," 3,015 ", 54 , -   ," 4,043 ", -   , 345 , -   ," 22,623 "
 340 ," 14,308 "," 2,981 "," 7,515 "," 1,482 ", 598 , 42 , -   , -   ," 26,926 "
 341 ," 13,298 ", 531 , 169 , 566 ," 3,997 ", 220 , 720 , -   ," 19,501 "
 342 ," 2,728 ", 101 , 270 , 469 ," 1,304 ", -   , -   , -   ," 4,873 "
 343 ," 6,329 "," 1,107 ", 369 ," 1,123 "," 4,894 ", 107 , -   , -   ," 13,929 "
 344 , 832 , -   , -   , 199 , 492 , -   , -   , -   ," 1,524 "
 345 ," 12,292 "," 3,040 ", 482 , 260 ," 7,732 ", 904 , 866 , -   ," 25,575 "
 346 ," 2,365 "," 1,797 ", 489 , -   ," 5,024 ", 245 , -   , -   ," 9,920 "
 347 , 631 , -   , -   , -   , -   , -   , -   , -   , 631 
 348 ," 35,398 "," 4,191 "," 2,502 ", 108 ," 8,216 ", -   , 764 , 64 ," 51,244 "
 349 ," 12,526 ", -   , -   , 25 ," 1,027 ", -   , -   , -   ," 13,578 "
 350 , 300 , -   , -   , -   , -   , -   , -   , -   , 300 
 351 ," 11,396 "," 2,009 ", 943 , -   ," 5,193 ", -   , 519 , -   ," 20,059 "
 352 ," 6,368 ", 259 , 971 , 515 ," 6,673 ", -   , 285 , -   ," 15,071 "
 353 , 519 , -   , 708 , -   , -   , -   , -   , -   ," 1,227 "
 354 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 355 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 356 ," 5,132 "," 1,742 "," 1,637 ", -   ," 5,065 ", 724 , -   , -   ," 14,299 "
 357 ," 6,743 ", 158 , 425 , -   ," 11,518 ", -   , -   , -   ," 18,843 "
 358 , -   , 310 , -   , -   , 383 , -   , 54 , -   , 747 
 359 ," 10,414 ", 161 ," 1,495 ", -   ," 8,075 ", 90 , -   , -   ," 20,235 "
 360 , 443 , -   , -   ," 1,315 "," 4,390 ", 252 , -   , -   ," 6,400 "
 361 ," 3,527 ", -   , -   , -   ," 4,745 ", -   , -   , -   ," 8,272 "
 362 ," 2,495 ", -   , -   , -   ," 2,575 ", -   , -   , -   ," 5,070 "
 363 ," 23,838 "," 1,123 "," 1,950 ", 933 ," 8,680 ", 418 , 170 , 232 ," 37,343 "
 364 ," 21,807 ", 382 ," 2,619 ", 317 ," 7,746 ", 121 ," 1,356 ", 440 ," 34,786 "
 365 ," 33,997 ", 80 , 490 , 29 ," 2,129 ", 41 , 106 , 53 ," 36,924 "
 366 ," 10,052 ", 768 , 50 , 85 , 837 , 53 , 8 , -   ," 11,853 "
 367 ," 25,733 "," 1,267 ", 139 , 501 ," 3,684 "," 1,179 ", -   , -   ," 32,503 "
 368 ," 8,728 ", -   , 86 , 121 ," 3,266 ", 133 , -   , -   ," 12,334 "
 369 ," 10,789 ", 142 ," 2,037 ", -   ," 5,894 ", -   , -   , -   ," 18,863 "
 370 ," 7,771 ", 96 , -   , 423 ," 11,669 ", -   , 408 , -   ," 20,369 "
 371 ," 22,738 "," 1,362 ", -   , 186 ," 9,247 ", 485 , 907 , -   ," 34,925 "
 372 ," 1,815 ", -   , -   , 441 ," 4,609 ", -   , -   , -   ," 6,865 "
 373 ," 14,018 ", -   , 33 , 679 ," 9,806 ", -   , -   , -   ," 24,535 "
 374 ," 19,052 ", 16 , 55 , -   ," 15,735 ", 223 , 284 , -   ," 35,364 "
 375 ," 27,021 "," 1,230 ", 584 , -   , 835 , -   , -   , -   ," 29,670 "
 376 ," 19,593 "," 1,173 "," 1,071 ", 801 ," 15,255 ", 694 , 109 , -   ," 38,694 "
 377 ," 16,358 ", -   , 166 , 136 ," 7,790 ", -   , 174 , -   ," 24,623 "
 378 ," 29,643 ", 629 , 589 ," 1,316 "," 30,209 ", -   ," 1,564 "," 1,080 "," 65,030 "
 379 ," 26,895 "," 1,418 ", -   , 335 ," 15,970 ", -   , -   , -   ," 44,618 "
 380 ," 3,787 ", 108 , -   , -   ," 6,025 ", -   , -   , 205 ," 10,125 "
 381 ," 6,494 ", 843 , 358 , -   ," 8,146 ", -   , 984 , 467 ," 17,293 "
 382 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 383 ," 3,786 ", -   , 24 , -   ," 14,087 ", -   , 469 ," 2,061 "," 20,427 "
 384 ," 5,068 ", 842 , 166 , 134 ," 15,563 ", -   , 97 , -   ," 21,871 "
 385 ," 1,134 ", -   , 277 , -   ," 4,232 ", -   , -   , -   ," 5,643 "
 386 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 387 ," 2,848 ", 821 , -   , -   ," 1,370 ", -   , -   , -   ," 5,039 "
 388 ," 25,141 "," 1,987 "," 2,236 ", -   ," 12,322 ", 333 , 390 , -   ," 42,408 "
 389 ," 1,267 ", 194 , -   , -   ," 4,091 ", -   , -   , -   ," 5,553 "
 390 ," 8,393 ", 128 , 493 , 579 ," 6,630 ", -   , 144 , -   ," 16,367 "
 391 , 956 , -   , -   , -   ," 2,346 ", -   , 180 , -   ," 3,483 "
 392 , 186 , -   , -   , -   , -   , -   , -   , -   , 186 
 393 , -   , -   , -   , -   , 310 , -   , -   , -   , 310 
 394 ," 8,204 ", 874 , 881 , 424 ," 12,870 ", -   ," 2,054 "," 2,019 "," 27,326 "
 395 , -   , -   , -   , -   , 349 , -   , -   , -   , 349 
 396 ," 8,393 "," 2,632 ", 405 ," 1,245 "," 11,670 ", 162 , -   , -   ," 24,507 "
 397 , 581 , 71 , -   , -   ," 2,607 ", -   , -   , -   ," 3,259 "
 398 ," 20,733 "," 2,346 "," 2,552 ", -   ," 13,839 ", 362 , -   , -   ," 39,833 "
 399 ," 13,534 "," 2,466 "," 1,560 "," 1,098 "," 15,116 ", -   , 777 , -   ," 34,551 "
 400 ," 13,266 "," 2,368 ", 445 , 556 ," 9,979 ", -   , 168 , -   ," 26,781 "
 401 ," 13,938 "," 2,668 "," 3,128 ", -   ," 14,195 ", -   , 410 , 429 ," 34,769 "
 402 ," 9,460 "," 2,515 ", -   , -   ," 7,600 ", 719 , 225 , -   ," 20,519 "
 403 ," 18,814 "," 1,273 ", 959 , -   ," 9,790 ", 29 , 874 , 194 ," 31,932 "
 404 ," 30,339 "," 4,662 "," 6,626 "," 3,291 "," 21,254 "," 1,302 "," 1,415 ", -   ," 68,889 "
 405 ," 4,439 "," 1,525 ", 496 , -   ," 2,898 ", -   , -   , -   ," 9,356 "
 406 ," 1,330 ", 227 , 167 , -   ," 3,339 ", -   , -   , -   ," 5,062 "
 407 ," 25,125 "," 2,473 "," 1,149 ", -   ," 13,114 ", 332 ," 1,908 ", -   ," 44,102 "
 408 ," 20,461 ", 168 , 695 , -   ," 7,682 ", 337 , 205 , -   ," 29,548 "
 409 ," 12,461 ", -   ," 2,653 ", -   ," 7,922 ", -   , -   , -   ," 23,036 "
 410 ," 20,478 "," 2,813 ", 619 , -   ," 15,195 ", 50 , 412 , -   ," 39,568 "
 411 ," 3,437 ", 554 , 792 , 287 ," 8,185 ", -   , -   , -   ," 13,254 "
 412 ," 5,046 ", -   , -   , 160 ," 4,658 ", 178 , 118 , -   ," 10,160 "
 413 ," 3,232 ", -   , -   , -   ," 3,062 ", -   , 289 , 71 ," 6,654 "
 414 ," 1,621 ", -   , 138 , 130 ," 3,332 ", -   , 130 , -   ," 5,351 "
 415 ," 7,110 "," 1,113 "," 1,602 ", 158 ," 7,158 ", 114 , -   , -   ," 17,255 "
 416 , 856 , 212 , 495 , -   ," 4,217 ", 343 ," 1,101 ", -   ," 7,225 "
 417 , 221 , -   , -   , -   , -   , -   , -   , -   , 221 
 418 ," 1,781 ", -   , 199 , -   ," 4,544 ", -   , -   , -   ," 6,524 "
 419 , 86 , -   , -   , -   , -   , -   , -   , -   , 86 
 420 , 426 , 136 , 711 , 88 ," 3,164 ", -   , -   , 263 ," 4,788 "
 421 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 422 ," 5,796 "," 1,655 ", 706 , 258 ," 5,191 ", -   , 583 , -   ," 14,190 "
 423 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 424 ," 15,738 ", 93 , 597 , 106 ," 7,161 ", 260 , 394 , -   ," 24,349 "
 425 ," 10,078 "," 1,476 "," 1,736 ", 739 ," 6,842 ", -   , -   , -   ," 20,871 "
 426 ," 5,199 ", 177 , 882 , 270 ," 2,822 ", -   , 26 , -   ," 9,376 "
 427 ," 6,060 "," 1,115 ", 712 , -   ," 4,018 ", 230 , -   , -   ," 12,134 "
 428 ," 36,880 ", 464 ," 1,289 ", 79 ," 5,408 ", -   , -   , -   ," 44,119 "
 429 ," 75,149 "," 3,079 "," 6,753 "," 4,449 "," 15,571 "," 1,678 "," 1,483 "," 1,141 "," 109,302 "
 430 ," 6,688 ", 122 , 963 , -   ," 4,256 ", 215 , -   , -   ," 12,244 "
 431 ," 4,085 ", -   , 138 , -   ," 3,463 ", -   , 152 , 158 ," 7,996 "
 432 ," 1,313 ", 573 , -   , -   ," 2,628 ", -   , -   , -   ," 4,515 "
 433 ," 14,575 ", -   , 194 , 371 ," 4,596 "," 1,060 ", -   , -   ," 20,796 "
 434 ," 13,890 ", 238 , 515 , 923 ," 9,343 ", -   , -   , -   ," 24,908 "
 435 ," 11,791 ", 240 , 251 , 19 ," 5,109 ", -   , 158 , -   ," 17,567 "
 436 ," 9,940 "," 1,231 ", 921 , 440 ," 12,496 ", -   , -   , 452 ," 25,481 "
 437 ," 9,637 "," 3,138 ", 201 , 128 ," 6,277 ", -   , -   , -   ," 19,380 "
 438 ," 26,707 "," 6,240 ", 897 ," 2,118 "," 13,504 ", 488 , -   , -   ," 49,954 "
 439 ," 18,534 ", 238 ," 1,024 "," 2,051 "," 15,705 "," 1,393 ", -   , -   ," 38,945 "
 440 ," 7,067 "," 2,685 ", 350 , -   ," 11,937 ", 923 , 149 , -   ," 23,111 "
 441 , 685 , 29 , 256 , -   ," 1,006 ", 20 , -   , -   ," 1,995 "
 442 ," 33,466 "," 3,897 "," 1,135 ", -   ," 2,582 ", -   , -   , -   ," 41,079 "
 443 ," 34,306 "," 2,756 "," 5,481 ", 732 ," 16,496 ", 476 , 595 , 195 ," 61,036 "
 444 ," 9,609 "," 6,586 "," 1,299 ", -   ," 12,943 ", -   , 367 , 278 ," 31,083 "
 445 ," 2,356 ", 593 ," 1,050 ", 711 ," 6,838 ", -   , 163 , 501 ," 12,211 "
 446 , 688 , 458 , -   , -   ," 2,509 ", -   , -   , -   ," 3,656 "
 447 ," 25,184 "," 2,083 "," 3,210 ", 58 ," 14,832 ", -   , -   , -   ," 45,367 "
 448 ," 2,822 ", 123 , 193 , 245 ," 2,382 ", -   , -   , -   ," 5,765 "
 449 ," 2,334 ", 783 , -   , -   , 796 , -   , -   , -   ," 3,914 "
 450 , 806 , 213 , 168 , -   ," 1,572 ", -   , -   , -   ," 2,760 "
 451 ," 6,721 ", 540 , 385 , -   ," 3,508 ", 947 , 295 , -   ," 12,396 "
 452 ," 33,966 "," 3,193 "," 1,784 ", -   ," 20,349 ", 993 , -   , -   ," 60,285 "
 453 ," 21,428 ", -   , 498 , 308 ," 12,503 ", 565 , 763 , -   ," 36,065 "
 454 ," 19,897 "," 1,611 ", 725 , 65 ," 7,940 ", 749 , 772 , -   ," 31,759 "
 455 ," 24,991 "," 2,887 ", 436 ," 1,950 "," 13,931 ", -   , 584 , 158 ," 44,939 "
 456 ," 40,722 "," 2,605 "," 4,381 ", 730 ," 15,733 ", 361 , -   , -   ," 64,532 "
 457 ," 10,987 ", 796 , 809 , 70 ," 22,829 ", 618 , -   , -   ," 36,108 "
 458 ," 27,473 ", 649 ," 1,586 ", -   ," 16,647 ", -   , -   , -   ," 46,355 "
 459 ," 5,552 ", 815 , 825 , -   ," 5,015 ", -   , -   , -   ," 12,206 "
 460 ," 1,139 ", 679 , 246 , -   ," 2,020 ", -   , 190 , -   ," 4,273 "
 461 , 325 , -   , -   , -   , 53 , -   , -   , -   , 378 
 462 ," 18,917 ", 456 ," 1,142 ", -   ," 15,302 "," 1,604 ", -   , -   ," 37,422 "
 463 ," 29,997 "," 2,725 "," 4,057 ", 435 ," 17,747 "," 3,017 ", 587 , -   ," 58,565 "
 464 ," 19,836 "," 2,196 ", -   , -   ," 14,712 ", 603 , 411 , -   ," 37,758 "
 465 ," 21,480 ", 537 , 28 , -   ," 9,014 ", 411 , -   , -   ," 31,471 "
 466 ," 11,844 "," 2,581 ", 596 , 577 ," 5,323 ", -   , -   , -   ," 20,921 "
 467 ," 10,745 "," 3,384 ", 537 , -   ," 6,480 ", -   , -   , -   ," 21,145 "
 468 ," 21,868 ", -   ," 2,018 "," 1,296 "," 7,167 ", -   , 800 , -   ," 33,149 "
 469 ," 4,175 ", 384 , 446 , -   ," 9,195 ", -   , 312 , -   ," 14,512 "
 470 ," 8,418 ", 999 , -   , -   ," 22,981 ", -   , -   , 814 ," 33,211 "
 471 ," 7,633 ", 270 , 477 , -   ," 7,480 ", 133 , 528 , 985 ," 17,506 "
 472 ," 2,565 "," 1,968 ", 323 , -   ," 4,583 ", -   , -   , -   ," 9,440 "
 473 ," 7,625 ", 422 ," 1,864 "," 1,938 "," 12,023 "," 1,381 ", 859 ," 1,781 "," 27,894 "
 474 ," 20,024 "," 3,638 "," 3,215 ", 605 ," 6,073 ", 264 ," 2,170 ", -   ," 35,988 "
 475 ," 5,025 ", -   , -   , 27 ," 2,088 ", 320 , 66 , -   ," 7,525 "
 476 ," 13,336 "," 2,758 "," 3,574 ", 261 ," 33,295 ", 263 , 554 , 554 ," 54,594 "
 477 , 741 , 28 , -   , -   ," 2,125 ", -   , -   , -   ," 2,893 "
 478 ," 2,398 ", 140 , 45 , -   ," 1,256 ", -   , 267 , -   ," 4,106 "
 479 ," 2,481 ", 562 ," 1,299 ", 130 ," 2,806 ", 93 , 123 , -   ," 7,493 "
 480 ," 7,891 ", 652 , 830 , -   ," 10,602 ", -   , 211 , -   ," 20,185 "
 481 , 806 , 429 , 109 , -   ," 4,091 ", -   , 215 , -   ," 5,650 "
 482 , 42 , -   , -   , -   , 722 , -   , -   , -   , 764 
 483 ," 3,558 ", 358 , 504 , -   ," 5,295 ", -   , -   , -   ," 9,715 "
 484 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 485 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 486 ," 37,231 "," 1,668 "," 8,882 "," 3,320 "," 21,639 ", 534 , -   , -   ," 73,273 "
 487 ," 29,621 "," 4,402 ", 540 ," 3,021 "," 11,690 ", 780 , 904 , -   ," 50,959 "
 488 ," 77,177 "," 2,038 ", 173 , 595 ," 7,201 ", 236 , -   , -   ," 87,422 "
 489 ," 6,022 ", -   , 187 , -   ," 1,492 ", -   , -   , -   ," 7,702 "
 490 ," 3,512 "," 2,017 ", 742 , 669 ," 4,953 ", 215 , -   , 41 ," 12,148 "
 491 ," 4,994 "," 1,853 "," 1,390 ", 56 ," 9,067 ", -   , -   , -   ," 17,360 "
 492 ," 6,360 ", 610 , 578 , 335 ," 5,976 ", -   , -   , -   ," 13,859 "
 493 ," 6,627 ", 99 , -   , 168 ," 1,749 ", -   , -   , -   ," 8,642 "
 494 ," 6,276 "," 2,191 ", 372 , 311 ," 19,037 ", -   , -   , -   ," 28,188 "
 495 ," 12,844 ", 189 ," 1,626 ", -   ," 11,199 ", 568 , 66 , -   ," 26,493 "
 496 ," 7,313 ", 489 , 91 , 436 ," 12,857 ", -   , 374 , -   ," 21,559 "
 497 ," 5,142 ", 684 , -   , 242 ," 4,109 ", -   , -   , -   ," 10,177 "
 498 ," 2,633 "," 1,769 ", 868 ," 2,663 "," 8,878 ", 293 , -   , -   ," 17,104 "
 499 ," 33,372 "," 1,730 "," 3,146 ", 822 ," 6,181 ", 69 , 189 , -   ," 45,510 "
 500 ," 27,578 ", 721 , -   , 460 ," 6,293 ", 115 , 281 , -   ," 35,449 "
 501 ," 8,317 ", 641 , 420 , 457 ," 7,400 ", -   , -   , -   ," 17,234 "
 502 ," 19,003 "," 1,951 "," 3,348 ", 168 ," 9,146 ", 919 ," 3,227 ", -   ," 37,762 "
 503 ," 3,672 "," 1,440 ", -   , -   ," 4,948 ", -   , -   , -   ," 10,061 "
 504 ," 5,302 "," 1,039 ", 907 , 269 ," 6,480 ", -   , -   , -   ," 13,996 "
 505 ," 4,814 "," 1,453 ", 292 , 69 ," 17,090 ", 136 , 839 , 916 ," 25,610 "
 506 ," 5,300 "," 1,302 ", 677 , -   ," 7,842 ", -   , -   , 355 ," 15,477 "
 507 ," 6,214 ", 395 , 476 , -   ," 1,989 ", -   , 71 , -   ," 9,145 "
 508 ," 9,772 "," 1,043 "," 1,394 ", -   ," 2,139 ", -   , 158 , -   ," 14,506 "
 509 ," 7,331 "," 1,248 ", 825 , 331 ," 18,109 ", -   , 603 ," 1,602 "," 30,049 "
 510 ," 7,132 ", 925 , 428 , 388 ," 5,719 ", -   , -   , -   ," 14,592 "
 511 ," 7,291 ", 817 , 226 , 568 ," 7,564 ", -   , 615 , 240 ," 17,322 "
 512 ," 14,419 ", 118 , -   , -   ," 3,445 ", -   , 151 , 232 ," 18,366 "
 513 ," 9,380 "," 1,356 ", 521 , -   ," 2,165 ", 130 , 112 , 112 ," 13,775 "
 514 ," 7,043 ", -   , 376 , -   ," 17,963 ", 8 , -   , -   ," 25,390 "
 515 , -   , 189 , -   , -   ," 1,353 ", -   , -   , -   ," 1,542 "
