 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
 55 ," 7,269 ", 887 , 96 , 913 ," 5,228 ", 711 , -   , 779 ," 15,883 "
 56 ," 12,863 "," 1,875 ", 132 , 344 ," 5,599 ", 188 , 45 , 37 ," 21,083 "
 57 ," 34,729 "," 1,235 ", 172 ," 1,262 "," 7,895 ", 94 , 298 , -   ," 45,685 "
 58 ," 8,477 ", 455 ," 1,181 ", 375 ," 7,005 ", 279 , -   , -   ," 17,772 "
 59 ," 16,209 "," 2,344 ", -   ," 1,213 "," 7,856 ", 322 , 657 , 897 ," 29,497 "
 60 ," 8,591 "," 2,655 ", 199 , 590 ," 4,674 ", 468 , 6 , -   ," 17,182 "
 61 ," 11,718 "," 1,001 ", -   , 612 ," 4,527 ", 124 , 199 , -   ," 18,180 "
 62 ," 8,080 ", 411 ," 1,436 ", 274 ," 5,101 ", 99 , 33 , -   ," 15,433 "
 63 ," 11,658 ", 58 ," 1,655 ", 317 ," 1,209 ", -   , -   , -   ," 14,897 "
 64 ," 27,788 "," 2,580 ", 61 , 927 ," 10,087 ", 656 , 55 , -   ," 42,155 "
 65 ," 10,665 ", 408 ," 1,217 ", 274 ," 4,774 ", 177 , -   , -   ," 17,515 "
 66 ," 18,020 ", 795 , 109 , 862 ," 3,566 ", 432 , 535 , 39 ," 24,359 "
 67 ," 8,802 ", 905 , -   , 405 ," 1,954 ", 122 , 31 , 105 ," 12,324 "
 68 ," 61,095 "," 2,555 ", 107 ," 2,282 "," 11,869 ", 979 , 179 , 277 ," 79,343 "
 69 ," 31,522 "," 1,581 ", 10 ," 2,090 "," 4,771 ", 742 , 200 , 151 ," 41,067 "
 70 ," 16,975 "," 1,092 ", 46 , 597 ," 5,405 ", 121 , 410 , -   ," 24,646 "
 71 ," 16,464 ", 923 , 161 ," 2,427 "," 7,528 ", 21 , 265 , -   ," 27,790 "
 72 ," 23,188 ", 30 , -   , 674 ," 3,560 ", 362 , -   , -   ," 27,814 "
 73 ," 130,196 "," 4,476 ", -   ," 1,606 "," 15,543 "," 1,509 ", 54 , -   ," 153,383 "
 74 ," 42,848 ", 586 , 529 ," 2,025 "," 5,574 ", 196 , 584 , -   ," 52,343 "
 75 ," 9,023 ", -   , 254 , 661 ," 3,473 ", 381 ," 1,300 ", 280 ," 15,372 "
 76 ," 11,643 ", -   , -   , 289 ," 2,847 ", 450 , 22 , 18 ," 15,268 "
 77 ," 27,047 "," 1,659 "," 6,638 "," 1,006 "," 5,922 "," 1,071 ", 299 , -   ," 43,641 "
 78 ," 15,211 ", 677 , 155 , 405 ," 9,035 ", 264 , -   , -   ," 25,746 "
 79 ," 34,849 ", 157 ," 2,473 "," 1,968 "," 4,552 ", 78 ," 1,038 ", -   ," 45,116 "
 80 ," 20,200 "," 2,773 ", 706 , 824 ," 5,771 ", 418 , 346 , -   ," 31,037 "
