 Tabela 17 ,,,,,
 Viagens Diárias Produzidas por Tipo e Zona de Origem – 2023 ,,,,,
 Região Metropolitana de São Paulo ,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,
,,,,,
, Viagens Produzidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Origem ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
 326 ," 24,216 "," 30,940 "," 55,156 "," 23,287 "," 78,443 "
 327 ," 27,506 "," 21,498 "," 49,004 "," 24,705 "," 73,709 "
 328 ," 8,019 "," 22,371 "," 30,391 "," 2,750 "," 33,140 "
 329 ," 10,818 "," 15,769 "," 26,587 "," 3,920 "," 30,507 "
 330 ," 19,924 "," 29,098 "," 49,022 "," 8,479 "," 57,501 "
 331 ," 13,427 "," 14,289 "," 27,716 "," 12,113 "," 39,829 "
 332 ," 19,528 "," 24,850 "," 44,378 "," 13,891 "," 58,269 "
 333 ," 22,487 "," 20,113 "," 42,600 "," 5,889 "," 48,489 "
 334 ," 9,760 "," 10,628 "," 20,388 "," 10,559 "," 30,947 "
 335 ," 20,693 "," 16,017 "," 36,710 "," 13,844 "," 50,555 "
 336 ," 13,204 "," 30,122 "," 43,326 "," 8,783 "," 52,109 "
 337 ," 16,099 "," 48,384 "," 64,483 "," 6,534 "," 71,017 "
 338 ," 10,972 "," 20,081 "," 31,053 "," 6,197 "," 37,250 "
 339 ," 24,398 "," 11,941 "," 36,339 "," 16,508 "," 52,847 "
 340 ," 35,943 "," 25,050 "," 60,993 "," 5,963 "," 66,955 "
 341 ," 10,142 "," 20,911 "," 31,053 "," 1,826 "," 32,878 "
 342 ," 7,842 "," 11,710 "," 19,552 "," 4,610 "," 24,162 "
 343 ," 12,105 "," 26,168 "," 38,273 "," 11,654 "," 49,927 "
 344 , 775 ," 5,114 "," 5,889 ", 61 ," 5,950 "
 345 ," 20,941 "," 53,746 "," 74,687 "," 17,855 "," 92,542 "
 346 ," 15,616 "," 12,424 "," 28,040 "," 14,512 "," 42,552 "
 347 , 338 ," 1,093 "," 1,431 ", -   ," 1,431 "
 348 ," 57,486 "," 59,780 "," 117,266 "," 38,905 "," 156,171 "
 349 ," 12,440 "," 8,433 "," 20,872 "," 3,954 "," 24,826 "
 350 , 997 , -   , 997 , -   , 997 
 351 ," 25,052 "," 30,764 "," 55,816 "," 39,202 "," 95,018 "
 352 ," 22,063 "," 39,835 "," 61,898 "," 26,790 "," 88,688 "
 353 , -   ," 3,591 "," 3,591 ", -   ," 3,591 "
 354 , - , - , -   , -   , -   
 355 , - , - , -   , -   , -   
 356 ," 29,086 "," 18,722 "," 47,808 "," 39,701 "," 87,509 "
 357 ," 42,551 "," 15,711 "," 58,262 "," 47,318 "," 105,580 "
 358 ," 1,879 "," 1,949 "," 3,828 "," 1,822 "," 5,649 "
 359 ," 10,547 "," 48,744 "," 59,291 "," 34,383 "," 93,674 "
 360 , 772 ," 20,752 "," 21,524 ", -   ," 21,524 "
 361 ," 8,822 "," 17,019 "," 25,841 "," 14,995 "," 40,835 "
 362 ," 5,065 "," 11,130 "," 16,194 "," 6,470 "," 22,664 "
 363 ," 44,939 "," 26,611 "," 71,549 "," 16,502 "," 88,051 "
 364 ," 34,774 "," 42,048 "," 76,822 "," 25,116 "," 101,938 "
 365 ," 18,340 "," 15,188 "," 33,528 "," 9,374 "," 42,902 "
 366 ," 8,439 "," 6,856 "," 15,294 "," 3,606 "," 18,900 "
 367 ," 27,181 "," 36,360 "," 63,541 "," 19,874 "," 83,416 "
 368 ," 22,290 "," 22,844 "," 45,134 "," 9,317 "," 54,451 "
 369 ," 17,951 "," 26,061 "," 44,012 "," 40,643 "," 84,654 "
 370 ," 29,148 "," 33,504 "," 62,652 "," 27,596 "," 90,247 "
 371 ," 47,977 "," 41,104 "," 89,081 "," 48,020 "," 137,102 "
 372 ," 32,073 "," 22,345 "," 54,418 "," 25,963 "," 80,381 "
 373 ," 14,028 "," 15,122 "," 29,150 "," 27,963 "," 57,113 "
 374 ," 25,127 "," 30,407 "," 55,535 "," 24,986 "," 80,521 "
 375 ," 14,837 "," 20,578 "," 35,415 "," 3,254 "," 38,668 "
 376 ," 37,229 "," 35,704 "," 72,933 "," 54,853 "," 127,786 "
 377 ," 23,679 "," 20,458 "," 44,138 "," 38,631 "," 82,768 "
 378 ," 74,416 "," 52,548 "," 126,963 "," 118,916 "," 245,879 "
 379 ," 36,475 "," 49,165 "," 85,640 "," 61,460 "," 147,099 "
 380 ," 23,180 "," 25,637 "," 48,817 "," 21,118 "," 69,936 "
 381 ," 51,461 "," 34,067 "," 85,528 "," 38,299 "," 123,827 "
 382 , - , - , -   , -   , -   
 383 ," 37,573 "," 31,839 "," 69,412 "," 46,601 "," 116,013 "
 384 ," 41,067 "," 31,961 "," 73,027 "," 38,293 "," 111,320 "
 385 ," 14,401 "," 6,414 "," 20,815 "," 8,035 "," 28,850 "
 386 , - , - , -   , -   , -   
 387 ," 1,912 "," 4,400 "," 6,312 "," 3,110 "," 9,422 "
 388 ," 39,483 "," 48,358 "," 87,841 "," 50,133 "," 137,974 "
 389 ," 3,101 "," 6,139 "," 9,240 "," 2,159 "," 11,399 "
 390 ," 16,985 "," 23,221 "," 40,206 "," 33,629 "," 73,835 "
 391 ," 2,617 "," 6,661 "," 9,278 ", 668 ," 9,947 "
 392 , -   , 220 , 220 , -   , 220 
 393 , -   , 632 , 632 , -   , 632 
 394 ," 47,204 "," 48,039 "," 95,243 "," 55,116 "," 150,359 "
 395 , -   , -   , -   , 412 , 412 
 396 ," 43,501 "," 46,029 "," 89,530 "," 56,554 "," 146,084 "
 397 ," 6,396 "," 7,527 "," 13,923 "," 19,457 "," 33,380 "
 398 ," 31,792 "," 72,743 "," 104,534 "," 71,592 "," 176,126 "
 399 ," 37,244 "," 39,769 "," 77,013 "," 83,198 "," 160,211 "
 400 ," 37,859 "," 50,854 "," 88,712 "," 50,047 "," 138,759 "
 401 ," 43,622 "," 49,254 "," 92,877 "," 71,495 "," 164,372 "
 402 ," 34,687 "," 24,268 "," 58,955 "," 49,807 "," 108,762 "
 403 ," 55,106 "," 54,730 "," 109,836 "," 80,112 "," 189,948 "
 404 ," 76,859 "," 167,089 "," 243,948 "," 118,802 "," 362,750 "
 405 ," 19,355 "," 10,778 "," 30,133 "," 13,893 "," 44,026 "
 406 ," 6,482 "," 6,143 "," 12,625 "," 11,172 "," 23,797 "
 407 ," 50,818 "," 65,049 "," 115,867 "," 46,557 "," 162,424 "
 408 ," 26,964 "," 24,640 "," 51,604 "," 29,262 "," 80,866 "
 409 ," 26,733 "," 27,458 "," 54,191 "," 12,898 "," 67,089 "
 410 ," 46,306 "," 45,490 "," 91,796 "," 53,904 "," 145,700 "
 411 ," 15,903 "," 17,968 "," 33,871 "," 39,952 "," 73,822 "
 412 ," 10,583 "," 8,048 "," 18,631 "," 11,321 "," 29,952 "
 413 ," 5,764 "," 6,952 "," 12,717 "," 4,762 "," 17,478 "
 414 ," 6,989 "," 5,474 "," 12,464 "," 4,887 "," 17,351 "
 415 ," 21,136 "," 18,736 "," 39,872 "," 15,875 "," 55,747 "
 416 ," 9,472 "," 8,191 "," 17,663 "," 4,995 "," 22,657 "
 417 , -   , 439 , 439 , -   , 439 
 418 ," 5,724 "," 10,696 "," 16,420 "," 14,054 "," 30,474 "
 419 , 31 , -   , 31 , -   , 31 
 420 ," 2,063 "," 4,716 "," 6,779 "," 9,937 "," 16,716 "
 421 , -   , 104 , 104 , -   , 104 
 422 ," 5,414 "," 16,328 "," 21,742 "," 26,251 "," 47,994 "
 423 , - , - , -   , -   , -   
 424 ," 17,751 "," 54,468 "," 72,219 "," 41,175 "," 113,394 "
 425 ," 11,936 "," 43,791 "," 55,727 "," 39,251 "," 94,977 "
 426 ," 10,996 "," 40,238 "," 51,235 "," 20,321 "," 71,556 "
 427 ," 6,743 "," 19,464 "," 26,207 "," 4,670 "," 30,877 "
 428 ," 27,995 "," 30,736 "," 58,731 "," 15,334 "," 74,066 "
 429 ," 55,873 "," 156,934 "," 212,806 "," 41,121 "," 253,928 "
 430 ," 9,918 "," 29,853 "," 39,770 "," 11,408 "," 51,178 "
 431 ," 7,310 "," 31,931 "," 39,240 "," 4,847 "," 44,088 "
 432 ," 4,006 "," 10,148 "," 14,154 "," 13,647 "," 27,801 "
 433 ," 7,731 "," 31,874 "," 39,605 "," 10,716 "," 50,321 "
 434 ," 17,320 "," 40,210 "," 57,530 "," 17,030 "," 74,560 "
 435 ," 9,894 "," 41,540 "," 51,434 "," 23,200 "," 74,635 "
 436 ," 10,473 "," 41,809 "," 52,281 "," 15,520 "," 67,801 "
 437 ," 9,966 "," 35,612 "," 45,579 "," 21,404 "," 66,982 "
 438 ," 32,662 "," 100,168 "," 132,831 "," 36,498 "," 169,328 "
 439 ," 20,451 "," 107,854 "," 128,305 "," 54,650 "," 182,954 "
 440 ," 27,598 "," 48,534 "," 76,132 "," 71,709 "," 147,840 "
 441 ," 1,263 ", 985 ," 2,249 ", 724 ," 2,973 "
 442 ," 30,971 "," 46,560 "," 77,531 "," 19,181 "," 96,712 "
 443 ," 51,796 "," 118,700 "," 170,496 "," 61,727 "," 232,224 "
 444 ," 51,673 "," 47,897 "," 99,570 "," 62,642 "," 162,212 "
 445 ," 25,341 "," 36,291 "," 61,632 "," 32,405 "," 94,037 "
 446 ," 11,327 "," 6,347 "," 17,674 "," 3,771 "," 21,446 "
 447 ," 55,111 "," 54,224 "," 109,334 "," 29,458 "," 138,792 "
 448 ," 10,576 "," 10,857 "," 21,433 "," 4,085 "," 25,518 "
 449 ," 6,953 "," 6,190 "," 13,143 "," 2,295 "," 15,438 "
 450 ," 4,962 "," 5,760 "," 10,722 "," 6,346 "," 17,069 "
 451 ," 21,610 "," 12,474 "," 34,084 "," 23,147 "," 57,231 "
 452 ," 39,591 "," 91,247 "," 130,838 "," 54,682 "," 185,520 "
 453 ," 15,261 "," 47,835 "," 63,096 "," 46,926 "," 110,022 "
 454 ," 19,845 "," 77,669 "," 97,515 "," 12,561 "," 110,076 "
 455 ," 24,844 "," 79,989 "," 104,833 "," 16,952 "," 121,785 "
 456 ," 46,196 "," 142,193 "," 188,389 "," 38,818 "," 227,207 "
 457 ," 53,740 "," 113,342 "," 167,082 "," 42,630 "," 209,712 "
 458 ," 33,421 "," 91,019 "," 124,440 "," 46,544 "," 170,984 "
 459 ," 19,164 "," 21,703 "," 40,867 "," 15,136 "," 56,003 "
 460 ," 11,668 "," 6,878 "," 18,546 "," 4,560 "," 23,107 "
 461 ," 1,877 "," 1,312 "," 3,188 ", -   ," 3,188 "
 462 ," 53,492 "," 71,111 "," 124,603 "," 66,205 "," 190,808 "
 463 ," 39,261 "," 80,867 "," 120,128 "," 55,366 "," 175,494 "
 464 ," 16,137 "," 51,601 "," 67,737 "," 64,458 "," 132,195 "
 465 ," 30,073 "," 52,848 "," 82,920 "," 85,027 "," 167,947 "
 466 ," 14,261 "," 43,108 "," 57,369 "," 46,028 "," 103,397 "
 467 ," 17,765 "," 38,287 "," 56,052 "," 40,882 "," 96,933 "
 468 ," 38,955 "," 69,408 "," 108,363 "," 24,226 "," 132,589 "
 469 ," 18,419 "," 19,471 "," 37,891 "," 13,604 "," 51,495 "
 470 ," 27,002 "," 42,440 "," 69,442 "," 42,371 "," 111,813 "
 471 ," 17,541 "," 18,045 "," 35,585 "," 24,103 "," 59,689 "
 472 ," 16,279 "," 18,386 "," 34,665 "," 36,223 "," 70,888 "
 473 ," 41,576 "," 65,987 "," 107,562 "," 81,856 "," 189,418 "
 474 ," 27,158 "," 34,649 "," 61,807 "," 28,870 "," 90,677 "
 475 ," 6,207 "," 8,773 "," 14,980 "," 9,330 "," 24,311 "
 476 ," 55,608 "," 41,423 "," 97,031 "," 83,806 "," 180,837 "
 477 ," 2,412 "," 1,785 "," 4,197 ", 561 ," 4,758 "
 478 ," 4,601 "," 3,613 "," 8,214 "," 1,360 "," 9,574 "
 479 ," 4,747 "," 6,575 "," 11,322 "," 7,281 "," 18,603 "
 480 ," 23,956 "," 18,807 "," 42,763 "," 14,156 "," 56,919 "
 481 ," 12,317 "," 7,639 "," 19,957 "," 6,689 "," 26,646 "
 482 ," 2,900 "," 2,248 "," 5,148 "," 1,477 "," 6,625 "
 483 ," 9,027 "," 12,081 "," 21,109 "," 11,599 "," 32,707 "
 484 , - , - , -   , -   , -   
 485 , - , - , -   , -   , -   
 486 ," 64,940 "," 86,906 "," 151,846 "," 67,538 "," 219,384 "
 487 ," 24,845 "," 71,074 "," 95,920 "," 28,880 "," 124,800 "
 488 ," 22,729 "," 49,599 "," 72,328 "," 4,481 "," 76,809 "
 489 ," 1,770 "," 2,850 "," 4,621 ", 729 ," 5,350 "
 490 ," 13,651 "," 30,344 "," 43,995 "," 24,711 "," 68,706 "
 491 ," 27,617 "," 24,750 "," 52,368 "," 29,399 "," 81,766 "
 492 ," 21,695 "," 17,758 "," 39,453 "," 8,442 "," 47,895 "
 493 ," 5,193 "," 5,710 "," 10,903 "," 2,248 "," 13,152 "
 494 ," 30,716 "," 42,708 "," 73,424 "," 64,334 "," 137,757 "
 495 ," 39,516 "," 50,048 "," 89,564 "," 39,692 "," 129,257 "
 496 ," 21,474 "," 35,333 "," 56,808 "," 29,504 "," 86,312 "
 497 ," 10,538 "," 24,869 "," 35,407 "," 23,201 "," 58,608 "
 498 ," 7,534 "," 27,074 "," 34,608 "," 31,929 "," 66,537 "
 499 ," 41,832 "," 36,318 "," 78,150 "," 10,302 "," 88,452 "
 500 ," 21,707 "," 37,913 "," 59,620 "," 10,965 "," 70,584 "
 501 ," 18,266 "," 34,707 "," 52,973 "," 9,953 "," 62,926 "
 502 ," 29,325 "," 64,169 "," 93,494 "," 19,946 "," 113,440 "
 503 ," 13,294 "," 13,596 "," 26,890 "," 15,484 "," 42,374 "
 504 ," 27,582 "," 17,098 "," 44,680 "," 47,465 "," 92,145 "
 505 ," 40,265 "," 41,415 "," 81,680 "," 42,151 "," 123,832 "
 506 ," 26,923 "," 33,334 "," 60,257 "," 43,863 "," 104,119 "
 507 ," 6,004 "," 9,885 "," 15,889 "," 5,401 "," 21,289 "
 508 ," 16,608 "," 8,363 "," 24,972 "," 7,498 "," 32,470 "
 509 ," 40,666 "," 39,077 "," 79,743 "," 37,402 "," 117,145 "
 510 ," 25,626 "," 18,987 "," 44,612 "," 15,785 "," 60,397 "
 511 ," 23,391 "," 25,180 "," 48,571 "," 17,513 "," 66,084 "
 512 ," 19,874 "," 12,532 "," 32,406 "," 13,786 "," 46,193 "
 513 ," 5,207 "," 12,770 "," 17,977 "," 7,707 "," 25,684 "
 514 ," 26,017 "," 61,003 "," 87,021 "," 34,505 "," 121,525 "
 515 ," 2,022 "," 4,595 "," 6,618 "," 4,814 "," 11,431 "
 516 ," 13,679 "," 46,820 "," 60,499 "," 8,128 "," 68,627 "
 517 ," 11,500 "," 37,199 "," 48,698 "," 10,697 "," 59,395 "
 518 ," 41,192 "," 89,721 "," 130,914 "," 46,370 "," 177,283 "
 519 ," 3,244 "," 1,902 "," 5,146 "," 4,462 "," 9,608 "
 520 , -   , -   , -   , 991 , 991 
 521 ," 9,904 "," 27,568 "," 37,472 "," 6,528 "," 44,000 "
 522 ," 11,922 "," 39,916 "," 51,839 "," 33,645 "," 85,483 "
 523 , 817 ," 7,390 "," 8,207 ", -   ," 8,207 "
 524 ," 33,376 "," 55,494 "," 88,869 "," 69,430 "," 158,300 "
 525 ," 63,805 "," 54,519 "," 118,324 "," 73,045 "," 191,369 "
 526 ," 45,910 "," 127,908 "," 173,818 "," 53,165 "," 226,982 "
 527 ," 7,477 "," 7,984 "," 15,461 "," 14,980 "," 30,441 "
,,,,,
 Total RMSP ," 12,263,797 "," 12,868,912 "," 25,132,709 "," 10,528,353 "," 35,661,062 "
,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,
,,,,,
Notas:,,,,,
,,,,,
"São considerados como modo coletivo: metrô, trem, ônibus, transporte fretado e transporte escolar.",,,,,
,,,,,
"São considerados como modo individual: automóvel, táxi, motocicleta e outros.",,,,,
,,,,,
Modo não-motorizado é a soma dos modos a pé e bicicleta.,,,,,
,,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,,
