Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 72 , 250 , 350 ," 2,549 "," 2,346 "," 7,685 "," 13,179 "
 73 , 455 , 991 , 986 ," 2,059 "," 5,379 "," 9,870 "
 74 , 120 , 110 ," 2,076 "," 3,051 "," 6,167 "," 11,524 "
 75 , -   ," 2,252 "," 5,186 "," 2,858 "," 2,943 "," 13,239 "
 76 , -   , 363 ," 3,032 "," 2,806 "," 3,048 "," 9,249 "
 77 , 467 ," 3,770 "," 5,251 "," 4,718 "," 8,127 "," 22,332 "
 78 , 57 , 136 ," 4,635 "," 4,156 "," 9,010 "," 17,995 "
 79 , 364 , 819 ," 2,083 "," 1,432 "," 4,857 "," 9,554 "
 80 , 50 ," 1,445 "," 6,466 "," 5,370 "," 5,745 "," 19,075 "
 81 , -   , 105 , 910 ," 1,866 "," 9,030 "," 11,912 "
 82 , 374 , 642 ," 3,888 "," 3,645 "," 3,849 "," 12,398 "
 83 , 118 ," 2,589 "," 6,778 "," 5,968 "," 7,926 "," 23,379 "
 84 , 61 ," 2,306 "," 6,311 "," 4,286 "," 3,733 "," 16,698 "
 85 , 19 , 213 , 809 , 990 ," 2,259 "," 4,291 "
 86 , 11 , 101 ," 1,438 "," 1,065 ", 416 ," 3,031 "
 87 , 67 ," 2,043 "," 4,534 "," 3,190 "," 6,916 "," 16,749 "
 88 , 88 ," 3,556 "," 11,516 "," 8,790 "," 15,182 "," 39,132 "
 89 , 154 ," 3,189 "," 6,180 "," 1,200 "," 1,601 "," 12,325 "
 90 , 214 ," 1,568 "," 4,555 "," 2,004 "," 4,368 "," 12,709 "
 91 ," 4,719 "," 4,123 "," 4,923 ", 576 , -   ," 14,340 "
 92 , 147 , 610 ," 1,086 ", 500 ," 1,142 "," 3,486 "
 93 , 424 ," 1,046 "," 4,156 "," 2,296 "," 2,431 "," 10,352 "
 94 , 271 , 75 ," 2,395 ", 733 ," 2,615 "," 6,089 "
 95 , -   ," 1,029 "," 2,252 "," 3,367 "," 9,722 "," 16,371 "
 96 , 199 , 495 ," 1,265 "," 1,043 "," 3,425 "," 6,426 "
 97 , -   , 303 ," 2,266 "," 2,437 "," 10,483 "," 15,490 "
 98 ," 1,069 "," 1,940 "," 3,081 "," 2,481 ", 261 ," 8,832 "
 99 , 906 ," 2,287 "," 3,712 "," 1,616 ", 227 ," 8,747 "
 100 , 425 ," 4,904 "," 9,804 "," 1,381 "," 7,194 "," 23,708 "
 101 ," 2,049 "," 5,207 "," 5,384 "," 4,653 "," 4,273 "," 21,565 "
 102 , -   ," 1,586 "," 1,663 ", 473 ," 8,333 "," 12,055 "
 103 , -   , 116 , 263 , 190 ," 1,934 "," 2,503 "
 104 , 48 , 277 ," 1,517 "," 2,033 "," 2,514 "," 6,389 "
 105 , 107 ," 1,970 "," 2,104 "," 2,374 "," 6,445 "," 13,001 "
 106 ," 3,655 "," 2,927 ", 422 , -   , -   ," 7,004 "
 107 , 203 , 783 ," 3,679 "," 4,275 "," 7,421 "," 16,361 "
 108 , 915 ," 1,403 "," 1,584 ", 667 , 715 ," 5,285 "
 109 ," 15,232 "," 33,550 "," 52,222 "," 10,938 "," 7,707 "," 119,648 "
 110 ," 6,282 "," 12,260 "," 39,745 "," 5,033 "," 1,222 "," 64,542 "
 111 ," 4,760 "," 11,889 "," 17,090 "," 6,419 "," 11,073 "," 51,231 "
 112 ," 12,352 "," 18,047 "," 9,124 ", 337 , -   ," 39,861 "
 113 ," 2,922 "," 10,905 "," 10,158 ", 790 , 570 ," 25,344 "
 114 , - , - , - , - , - , -   
 115 ," 13,528 "," 20,981 "," 14,153 "," 3,297 ", -   ," 51,960 "
 116 ," 25,568 "," 95,001 "," 41,262 "," 3,077 ", -   ," 164,908 "
 117 ," 11,882 "," 33,733 "," 15,230 "," 1,136 ", -   ," 61,982 "
 118 ," 3,638 "," 7,907 "," 3,704 ", -   , -   ," 15,250 "
 119 ," 22,293 "," 41,126 "," 26,484 ", -   , -   ," 89,903 "
 120 , - , - , - , - , - , -   
 121 ," 25,253 "," 45,071 "," 12,025 ", -   , -   ," 82,349 "
 122 ," 13,926 "," 21,612 "," 11,387 ", 884 , -   ," 47,809 "
 123 ," 13,910 "," 32,188 "," 9,815 "," 6,716 ", -   ," 62,629 "
 124 ," 5,127 "," 25,470 "," 20,151 "," 2,371 "," 3,411 "," 56,530 "
 125 ," 3,036 "," 22,773 "," 21,178 "," 3,634 "," 1,332 "," 51,953 "
 126 ," 2,915 "," 12,612 "," 13,317 "," 4,159 "," 1,292 "," 34,294 "
 127 ," 1,379 "," 14,239 "," 27,214 "," 10,155 "," 1,416 "," 54,403 "
 128 , 179 , 356 ," 1,180 ", 184 , 247 ," 2,146 "
 129 , 124 ," 1,579 "," 1,439 ", 484 , 198 ," 3,824 "
 130 ," 1,248 "," 1,696 "," 1,920 ", 377 , 414 ," 5,655 "
 131 , 290 , 529 , 567 , 42 , -   ," 1,429 "
 132 , - , - , - , - , - , -   
 133 , -   ," 6,828 "," 18,314 "," 4,180 "," 9,462 "," 38,784 "
 134 , 617 ," 4,094 "," 15,940 "," 5,152 "," 6,263 "," 32,066 "
 135 ," 2,732 "," 4,865 "," 14,694 "," 5,575 "," 6,794 "," 34,660 "
 136 ," 7,018 "," 5,036 "," 9,966 "," 6,563 "," 3,511 "," 32,094 "
 137 ," 3,095 "," 23,331 "," 14,378 "," 4,142 "," 5,496 "," 50,443 "
 138 ," 1,359 "," 4,988 "," 4,893 ", 670 , -   ," 11,911 "
 139 ," 7,599 "," 5,537 "," 6,958 "," 4,166 "," 3,308 "," 27,568 "
 140 ," 8,944 "," 14,134 "," 15,883 "," 4,827 "," 1,153 "," 44,941 "
 141 ," 12,249 "," 32,975 "," 29,944 "," 3,976 "," 3,587 "," 82,731 "
 142 ," 19,689 "," 31,057 "," 8,723 "," 4,728 ", -   ," 64,197 "
 143 , - , - , - , - , - , -   
 144 ," 14,734 "," 18,744 "," 39,528 "," 22,134 "," 3,107 "," 98,247 "
 145 , 491 ," 2,114 "," 2,854 "," 1,656 ", 879 ," 7,994 "
 146 , - , - , - , - , - , -   
 147 ," 4,441 "," 10,515 "," 8,743 "," 2,110 "," 3,485 "," 29,295 "
 148 ," 1,113 "," 4,912 "," 7,754 "," 4,854 "," 2,353 "," 20,986 "
 149 , - , - , - , - , - , -   
 150 ," 6,836 "," 21,706 "," 23,133 ", -   , -   ," 51,675 "
 151 ," 32,477 "," 41,806 "," 21,399 "," 3,596 ", 212 ," 99,491 "
 152 ," 3,524 "," 5,351 "," 16,179 "," 7,211 "," 3,561 "," 35,826 "
 153 , 434 ," 2,849 "," 8,681 "," 1,409 "," 3,684 "," 17,057 "
 154 ," 2,224 "," 12,742 "," 17,396 "," 13,010 "," 3,778 "," 49,150 "
 155 ," 4,256 "," 15,172 "," 9,400 ", 687 , 433 ," 29,948 "
 156 ," 8,022 "," 9,793 "," 23,300 ", -   ," 1,395 "," 42,510 "
 157 ," 1,306 "," 7,346 "," 7,993 ", 397 , -   ," 17,041 "
 158 ," 9,224 "," 21,107 "," 16,916 "," 6,225 "," 1,892 "," 55,364 "
 159 ," 4,599 "," 29,395 "," 19,785 "," 8,652 ", -   ," 62,431 "
 160 ," 10,182 "," 12,937 "," 19,757 "," 1,911 "," 2,647 "," 47,435 "
 161 ," 9,748 "," 23,835 "," 12,185 "," 1,141 ", 940 ," 47,849 "
 162 ," 2,373 "," 6,483 "," 5,572 "," 1,058 ", 471 ," 15,956 "
 163 , 966 ," 12,753 "," 20,161 "," 7,023 "," 1,433 "," 42,336 "
 164 ," 1,507 "," 3,441 "," 2,476 ", 619 , -   ," 8,043 "
 165 , 315 ," 1,695 "," 1,326 ", 83 , 96 ," 3,515 "
 166 , 791 ," 1,472 "," 14,813 "," 7,092 "," 6,772 "," 30,940 "
 167 , 390 ," 2,439 "," 6,215 "," 2,795 "," 3,720 "," 15,559 "
 168 ," 2,111 "," 2,825 "," 12,158 "," 4,593 "," 3,695 "," 25,381 "
 169 ," 6,240 "," 6,985 "," 12,162 "," 1,907 "," 1,877 "," 29,171 "
 170 ," 5,553 "," 9,033 "," 17,340 "," 6,199 "," 4,041 "," 42,167 "
 171 ," 6,738 "," 8,205 "," 18,708 "," 3,792 "," 1,672 "," 39,115 "
 172 ," 4,495 "," 8,621 "," 11,385 "," 1,437 ", 506 ," 26,444 "
 173 , 449 ," 9,005 "," 14,848 "," 2,972 ", 742 ," 28,017 "
 174 ," 6,831 "," 30,021 "," 7,414 "," 1,168 "," 1,467 "," 46,902 "
