Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 304 , 268 ," 3,422 "," 4,579 "," 2,178 "," 3,780 "," 14,227 "
 305 ," 21,417 "," 30,229 "," 15,430 "," 2,472 "," 3,857 "," 73,405 "
 306 ," 23,729 "," 50,196 "," 34,377 "," 2,462 "," 2,885 "," 113,649 "
 307 ," 22,704 "," 46,474 "," 9,589 ", -   , -   ," 78,768 "
 308 ," 28,330 "," 51,767 "," 34,048 ", -   , -   ," 114,145 "
 309 ," 13,540 "," 19,327 "," 6,665 ", -   , -   ," 39,532 "
 310 ," 5,831 "," 31,946 "," 19,768 "," 3,319 ", -   ," 60,864 "
 311 ," 10,231 "," 11,904 "," 3,311 ", 535 , -   ," 25,981 "
 312 ," 14,855 "," 44,702 "," 19,091 ", -   , -   ," 78,648 "
 313 ," 5,858 "," 16,195 "," 11,645 "," 6,229 ", -   ," 39,927 "
 314 ," 4,568 "," 11,037 "," 5,150 ", 276 , -   ," 21,032 "
 315 ," 29,270 "," 41,706 "," 23,034 "," 2,350 ", -   ," 96,360 "
 316 ," 27,557 "," 66,350 "," 22,806 "," 1,854 "," 1,608 "," 120,175 "
 317 , 249 , 715 ," 4,012 "," 4,373 "," 3,521 "," 12,869 "
 318 , 17 , 84 , 129 , 222 ," 2,193 "," 2,645 "
 319 ," 1,032 "," 5,088 "," 6,618 "," 3,975 "," 4,353 "," 21,066 "
 320 , 517 , 347 , 643 , 754 ," 5,935 "," 8,196 "
 321 ," 24,127 "," 28,535 "," 9,910 "," 2,445 "," 9,341 "," 74,358 "
 322 ," 1,383 "," 1,515 "," 12,322 "," 10,503 "," 14,240 "," 39,963 "
 323 , 90 ," 1,772 "," 9,148 "," 16,853 "," 30,675 "," 58,539 "
 324 ," 3,669 "," 22,382 "," 29,277 "," 10,052 "," 4,351 "," 69,730 "
 325 ," 4,893 "," 47,430 "," 19,732 ", -   , -   ," 72,054 "
 326 ," 2,759 "," 20,483 "," 12,077 "," 3,889 ", -   ," 39,209 "
 327 ," 11,719 "," 26,661 "," 18,019 "," 2,803 "," 1,834 "," 61,036 "
 328 , 958 ," 1,546 "," 4,325 "," 6,198 "," 12,935 "," 25,962 "
 329 ," 1,695 "," 3,243 "," 8,841 "," 3,960 "," 5,093 "," 22,831 "
 330 , 988 ," 2,073 "," 10,455 "," 11,430 "," 7,111 "," 32,057 "
 331 ," 6,981 "," 10,864 "," 15,282 "," 6,177 "," 6,669 "," 45,973 "
 332 ," 5,593 "," 20,530 "," 20,163 ", -   ," 1,515 "," 47,802 "
 333 ," 6,646 "," 21,555 "," 12,815 "," 3,085 ", 847 ," 44,948 "
 334 ," 3,260 "," 11,141 "," 11,562 ", -   ," 1,950 "," 27,913 "
 335 ," 7,770 "," 8,673 "," 15,958 "," 1,634 "," 8,366 "," 42,401 "
 336 ," 7,648 "," 5,152 "," 18,294 "," 8,036 "," 2,379 "," 41,509 "
 337 ," 3,202 "," 8,783 "," 11,421 "," 8,698 "," 18,887 "," 50,992 "
 338 ," 1,690 "," 8,539 "," 3,923 "," 4,786 "," 3,093 "," 22,031 "
 339 ," 3,378 "," 18,547 "," 8,029 "," 2,566 "," 2,206 "," 34,727 "
 340 , - , - , - , - , - , -   
 341 , 243 ," 1,498 "," 2,626 ", 910 ," 2,128 "," 7,406 "
 342 , 623 ," 1,434 "," 4,604 "," 1,463 "," 1,279 "," 9,403 "
 343 ," 5,915 "," 7,385 "," 11,877 "," 6,590 "," 4,424 "," 36,191 "
 344 , -   ," 1,267 ", 867 , 377 ," 2,786 "," 5,296 "
 345 ," 1,223 "," 13,445 "," 12,239 "," 9,936 "," 13,283 "," 50,127 "
 346 ," 8,276 "," 18,195 "," 10,475 "," 1,672 "," 3,062 "," 41,680 "
 347 , - , - , - , - , - , -   
 348 ," 15,590 "," 32,668 "," 37,733 ", -   , -   ," 85,991 "
 349 ," 1,473 "," 6,707 ", 379 , 423 , 709 ," 9,691 "
 350 , - , - , - , - , - , -   
 351 ," 13,739 "," 35,740 "," 20,209 "," 3,108 ", -   ," 72,796 "
 352 ," 19,693 "," 15,261 "," 35,184 "," 5,086 ", -   ," 75,223 "
 353 , - , - , - , - , - , -   
 354 , - , - , - , - , - , -   
 355 , - , - , - , - , - , -   
 356 ," 21,045 "," 19,618 "," 12,403 "," 2,119 ", -   ," 55,185 "
 357 ," 21,916 "," 47,866 "," 37,457 ", -   , -   ," 107,239 "
 358 ," 1,824 "," 4,476 ", 246 , -   , -   ," 6,546 "
 359 ," 4,642 "," 16,609 "," 13,134 "," 1,333 "," 2,750 "," 38,468 "
 360 , 304 , 607 ," 1,690 "," 1,519 "," 15,528 "," 19,648 "
 361 ," 1,303 "," 10,921 "," 9,991 ", -   , -   ," 22,215 "
 362 ," 4,169 "," 7,965 "," 3,227 ", 436 , -   ," 15,797 "
 363 , 71 ," 5,015 "," 7,420 "," 2,848 "," 2,608 "," 17,962 "
 364 ," 1,440 "," 19,316 "," 12,124 "," 2,956 "," 3,367 "," 39,203 "
 365 ," 1,942 "," 4,636 "," 1,896 ", 65 , 167 ," 8,706 "
 366 , 384 ," 2,652 "," 5,086 "," 1,109 ", 25 ," 9,255 "
 367 ," 3,076 "," 29,824 "," 6,154 "," 2,525 ", 659 ," 42,238 "
 368 ," 1,040 "," 13,368 "," 17,140 "," 1,787 "," 1,648 "," 34,983 "
 369 ," 3,243 "," 19,063 "," 18,459 "," 2,042 ", -   ," 42,807 "
 370 ," 3,153 "," 18,588 "," 26,053 "," 1,861 "," 5,219 "," 54,874 "
 371 ," 6,364 "," 28,169 "," 59,245 "," 3,495 ", 388 ," 97,662 "
 372 ," 7,443 "," 35,022 "," 20,025 "," 2,031 "," 3,374 "," 67,895 "
 373 ," 5,034 "," 23,790 "," 24,946 ", 605 , -   ," 54,374 "
 374 ," 20,600 "," 20,370 "," 20,074 ", 578 , -   ," 61,621 "
 375 , - , - , - , - , - , -   
 376 ," 15,107 "," 42,818 "," 14,566 ", -   , -   ," 72,491 "
 377 ," 7,151 "," 21,170 "," 19,346 ", -   , -   ," 47,667 "
 378 ," 53,914 "," 114,770 "," 27,152 "," 1,957 ", -   ," 197,792 "
 379 ," 53,477 "," 33,477 "," 17,161 ", -   ," 1,346 "," 105,461 "
 380 ," 5,025 "," 35,604 "," 11,225 "," 3,138 "," 1,955 "," 56,947 "
 381 ," 10,400 "," 66,282 "," 21,689 "," 3,546 "," 2,340 "," 104,256 "
 382 , - , - , - , - , - , -   
 383 ," 17,569 "," 45,444 "," 31,550 "," 4,092 ", -   ," 98,655 "
 384 ," 18,669 "," 46,513 "," 14,658 "," 1,858 ", -   ," 81,697 "
 385 ," 5,160 "," 16,421 "," 6,844 ", -   ," 1,167 "," 29,591 "
 386 , - , - , - , - , - , -   
 387 , 590 ," 2,937 ", 674 , -   , -   ," 4,201 "
 388 ," 18,411 "," 33,462 "," 25,316 ", -   , -   ," 77,189 "
 389 , 407 ," 3,031 ", 441 ," 1,088 "," 2,415 "," 7,383 "
 390 ," 4,226 "," 26,374 "," 11,009 ", 668 , 864 ," 43,142 "
 391 ," 1,161 "," 5,736 "," 4,043 ", -   , -   ," 10,940 "
 392 , - , - , - , - , - , -   
 393 , - , - , - , - , - , -   
 394 ," 24,138 "," 29,715 "," 24,276 "," 3,988 "," 1,819 "," 83,937 "
 395 , - , - , - , - , - , -   
 396 ," 26,422 "," 47,654 "," 18,927 "," 5,070 "," 1,312 "," 99,385 "
 397 ," 4,771 "," 10,763 "," 5,676 ", -   , 300 ," 21,511 "
 398 ," 23,949 "," 26,182 "," 26,935 "," 4,377 "," 2,525 "," 83,968 "
 399 ," 26,849 "," 44,959 "," 23,865 "," 6,724 ", -   ," 102,397 "
 400 ," 22,115 "," 29,919 "," 9,751 "," 3,117 "," 1,696 "," 66,599 "
 401 ," 21,516 "," 78,749 "," 25,399 ", -   , -   ," 125,663 "
 402 ," 29,207 "," 38,780 "," 14,072 ", -   ," 1,060 "," 83,119 "
 403 ," 20,245 "," 61,971 "," 30,520 "," 4,198 ", -   ," 116,935 "
 404 ," 26,279 "," 44,837 "," 47,113 "," 19,953 "," 15,845 "," 154,026 "
 405 ," 5,001 "," 13,465 "," 5,341 "," 2,341 ", -   ," 26,148 "
 406 ," 4,465 "," 8,427 "," 4,323 ", 379 , -   ," 17,595 "
 407 ," 10,311 "," 25,445 "," 35,491 ", 967 ," 9,456 "," 81,670 "
 408 ," 12,358 "," 12,107 "," 10,347 "," 5,090 ", -   ," 39,902 "
 409 ," 3,653 "," 8,060 "," 12,006 "," 5,857 "," 6,540 "," 36,115 "
 410 ," 44,901 "," 57,424 "," 20,570 ", -   , -   ," 122,895 "
 411 ," 18,543 "," 33,222 "," 5,828 ", -   ," 1,237 "," 58,830 "
 412 ," 6,878 "," 8,448 "," 3,200 ", 709 ," 3,118 "," 22,353 "
 413 ," 3,602 "," 4,294 "," 5,016 ", 965 , -   ," 13,877 "
 414 ," 3,018 "," 8,597 "," 6,385 "," 1,316 ", -   ," 19,317 "
 415 ," 2,191 "," 23,133 "," 9,914 "," 4,879 ", 205 ," 40,322 "
 416 ," 6,144 "," 15,065 "," 5,678 ", -   , -   ," 26,887 "
 417 , - , - , - , - , - , -   
 418 ," 10,369 "," 14,065 "," 5,360 ", 431 , -   ," 30,225 "
 419 , - , - , - , - , - , -   
 420 ," 3,724 "," 7,462 "," 3,480 ", 122 , 540 ," 15,327 "
 421 , - , - , - , - , - , -   
 422 ," 4,770 "," 10,827 "," 13,075 "," 3,334 ", -   ," 32,006 "
 423 , - , - , - , - , - , -   
 424 ," 4,314 "," 9,813 "," 14,631 "," 8,550 "," 13,009 "," 50,317 "
 425 ," 3,197 "," 22,582 "," 20,434 "," 6,229 "," 4,374 "," 56,816 "
 426 ," 4,492 "," 6,790 "," 19,760 "," 3,705 "," 3,635 "," 38,382 "
 427 , 479 ," 3,169 "," 2,312 "," 1,128 ", 708 ," 7,795 "
 428 ," 2,317 "," 6,664 "," 4,157 "," 1,858 "," 1,490 "," 16,486 "
 429 ," 1,427 "," 16,344 "," 28,797 "," 11,873 "," 13,007 "," 71,448 "
 430 ," 2,199 "," 8,761 "," 19,882 "," 5,069 ", 716 ," 36,627 "
 431 ," 1,436 "," 10,424 "," 10,215 "," 3,550 "," 1,038 "," 26,663 "
 432 ," 4,715 "," 14,480 "," 4,699 ", 360 ," 1,010 "," 25,264 "
 433 , 920 ," 8,356 "," 13,078 "," 4,266 "," 4,222 "," 30,843 "
 434 ," 3,179 "," 16,788 "," 21,621 "," 2,976 "," 6,405 "," 50,970 "
 435 ," 4,213 "," 19,188 "," 19,385 "," 7,996 "," 3,689 "," 54,471 "
 436 ," 5,606 "," 34,544 "," 16,498 "," 3,726 "," 1,585 "," 61,959 "
 437 ," 7,991 "," 20,106 "," 13,459 "," 2,851 "," 1,002 "," 45,410 "
 438 ," 28,503 "," 44,319 "," 36,127 "," 10,771 ", -   ," 119,720 "
 439 ," 18,572 "," 29,062 "," 38,781 "," 10,305 "," 20,431 "," 117,151 "
 440 ," 45,788 "," 43,431 "," 25,251 "," 10,511 ", -   ," 124,982 "
 441 , 474 ," 1,325 ", 527 , 194 , -   ," 2,521 "
 442 ," 9,964 "," 14,773 "," 15,751 "," 1,329 ", -   ," 41,817 "
 443 ," 19,955 "," 51,433 "," 29,445 "," 13,326 ", 434 ," 114,594 "
 444 ," 40,521 "," 73,593 "," 37,990 ", -   , 713 ," 152,817 "
 445 ," 16,903 "," 29,508 "," 28,365 "," 9,263 "," 4,006 "," 88,046 "
 446 ," 6,697 "," 13,478 "," 4,049 ", -   ," 3,913 "," 28,136 "
 447 ," 11,546 "," 32,398 "," 26,056 "," 5,698 "," 3,307 "," 79,005 "
 448 ," 3,295 "," 12,285 "," 6,705 "," 1,830 ", 482 ," 24,597 "
 449 ," 2,389 "," 6,824 "," 4,191 ", 550 , 137 ," 14,090 "
 450 ," 1,057 "," 4,723 "," 6,246 ", 206 , -   ," 12,232 "
 451 ," 3,865 "," 15,929 "," 12,197 ", 685 , -   ," 32,676 "
 452 ," 2,059 "," 34,932 "," 46,081 "," 7,965 "," 6,976 "," 98,014 "
 453 ," 1,229 "," 16,516 "," 25,367 "," 4,932 "," 6,707 "," 54,751 "
 454 ," 1,803 "," 4,358 "," 20,570 "," 12,172 "," 2,888 "," 41,790 "
 455 ," 5,271 "," 13,076 "," 18,395 "," 10,617 "," 7,496 "," 54,855 "
 456 ," 5,893 "," 31,068 "," 14,620 "," 24,226 "," 14,029 "," 89,836 "
 457 ," 38,442 "," 67,751 "," 44,160 "," 23,001 "," 2,100 "," 175,455 "
 458 ," 18,386 "," 31,446 "," 33,226 "," 5,606 "," 4,151 "," 92,815 "
 459 ," 13,954 "," 20,586 "," 12,169 "," 3,238 ", -   ," 49,947 "
 460 ," 3,018 "," 11,642 "," 3,960 "," 1,994 ", -   ," 20,614 "
 461 , - , - , - , - , - , -   
 462 ," 28,881 "," 66,645 "," 47,445 "," 8,786 ", -   ," 151,757 "
 463 ," 11,769 "," 31,335 "," 19,218 ", 377 ," 7,038 "," 69,737 "
 464 ," 28,317 "," 32,012 "," 36,850 ", -   , -   ," 97,180 "
 465 ," 37,962 "," 24,164 "," 40,664 "," 5,072 ", -   ," 107,862 "
 466 ," 13,109 "," 23,387 "," 17,570 ", -   , -   ," 54,066 "
 467 ," 21,241 "," 28,319 "," 14,560 "," 4,599 "," 2,668 "," 71,387 "
 468 ," 4,879 "," 12,225 "," 36,764 "," 12,785 "," 5,200 "," 71,854 "
 469 ," 5,376 "," 16,599 "," 23,381 "," 3,022 "," 1,391 "," 49,769 "
 470 ," 4,992 "," 25,281 "," 61,096 "," 1,405 "," 4,190 "," 96,964 "
 471 ," 10,126 "," 29,653 "," 20,214 "," 1,847 ", -   ," 61,840 "
 472 ," 22,975 "," 23,892 "," 14,427 "," 1,622 ", -   ," 62,915 "
 473 ," 29,675 "," 51,919 "," 28,744 "," 7,214 "," 1,506 "," 119,059 "
 474 ," 16,864 "," 27,479 "," 8,932 "," 1,079 "," 1,241 "," 55,595 "
 475 ," 6,949 "," 4,970 "," 5,000 ", 130 ," 1,615 "," 18,664 "
 476 ," 37,477 "," 50,771 "," 49,671 "," 10,056 ", 575 ," 148,550 "
 477 ," 1,207 "," 2,913 ", 826 , 381 , -   ," 5,326 "
 478 ," 2,041 "," 3,247 "," 2,829 ", -   , -   ," 8,117 "
 479 ," 3,780 "," 5,133 "," 4,491 "," 2,034 ", 881 ," 16,319 "
 480 ," 9,158 "," 22,040 "," 6,372 "," 2,370 "," 1,549 "," 41,490 "
 481 ," 1,551 "," 10,993 "," 6,938 "," 1,363 ", 732 ," 21,577 "
 482 , 801 ," 2,391 "," 1,775 ", 116 , -   ," 5,083 "
 483 ," 4,410 "," 12,727 "," 8,418 "," 2,237 ", -   ," 27,792 "
 484 , - , - , - , - , - , -   
 485 , - , - , - , - , - , -   
 486 ," 39,706 "," 29,274 "," 43,683 "," 11,036 "," 1,747 "," 125,446 "
 487 ," 3,197 "," 13,401 "," 16,073 "," 2,587 "," 23,014 "," 58,272 "
 488 , - , - , - , - , - , -   
 489 , - , - , - , - , - , -   
 490 ," 13,630 "," 18,567 "," 11,142 "," 2,011 "," 3,426 "," 48,776 "
 491 ," 14,255 "," 17,924 "," 22,566 "," 6,397 ", -   ," 61,142 "
 492 ," 5,485 "," 11,166 "," 7,538 "," 1,385 "," 2,421 "," 27,996 "
 493 , 353 , 576 ," 1,200 ", -   ," 1,600 "," 3,729 "
 494 ," 51,343 "," 54,558 "," 21,266 "," 3,215 "," 1,055 "," 131,437 "
 495 ," 32,733 "," 36,509 "," 20,503 "," 5,897 "," 4,184 "," 99,825 "
 496 ," 21,858 "," 22,965 "," 21,127 "," 4,348 ", -   ," 70,298 "
 497 ," 10,586 "," 12,840 "," 14,494 "," 2,638 "," 1,189 "," 41,747 "
 498 ," 12,627 "," 14,287 "," 12,070 "," 6,868 "," 5,201 "," 51,053 "
 499 , 438 ," 1,594 "," 1,743 ", 987 , 566 ," 5,328 "
 500 , 178 ," 5,822 "," 9,600 "," 2,893 "," 1,049 "," 19,543 "
 501 ," 1,955 "," 9,055 "," 21,853 "," 3,791 "," 7,043 "," 43,697 "
 502 ," 8,095 "," 17,497 "," 16,608 "," 11,306 "," 7,468 "," 60,974 "
 503 ," 5,665 "," 15,359 "," 23,670 ", -   , -   ," 44,695 "
 504 ," 1,196 "," 39,977 "," 30,772 ", -   , -   ," 71,946 "
 505 ," 9,699 "," 51,066 "," 52,224 "," 11,715 "," 1,998 "," 126,702 "
 506 ," 35,242 "," 14,850 "," 28,820 "," 2,279 ", 935 ," 82,126 "
 507 , 530 ," 7,458 "," 9,442 ", 16 , -   ," 17,446 "
 508 ," 2,151 "," 5,449 "," 5,643 "," 2,390 ", 691 ," 16,324 "
 509 ," 23,917 "," 66,709 "," 28,382 "," 4,382 "," 1,695 "," 125,085 "
 510 ," 1,317 "," 32,152 "," 9,331 "," 2,546 ", -   ," 45,346 "
 511 , 722 ," 28,122 "," 19,653 "," 2,813 ", -   ," 51,309 "
 512 ," 3,489 "," 24,621 "," 7,580 ", 584 , -   ," 36,274 "
 513 ," 3,242 "," 4,289 "," 1,067 ", 450 , 269 ," 9,317 "
 514 ," 16,263 "," 48,776 "," 23,045 "," 11,779 ", -   ," 99,863 "
 515 , 144 ," 2,537 "," 5,231 ", 879 ," 2,606 "," 11,397 "
 516 ," 5,085 "," 3,583 "," 13,688 "," 6,408 "," 9,774 "," 38,538 "
 517 ," 3,114 "," 4,592 "," 6,352 "," 9,007 "," 3,097 "," 26,162 "
 518 ," 44,997 "," 66,736 "," 37,320 "," 7,290 "," 3,040 "," 159,384 "
 519 ," 2,655 "," 5,162 "," 1,052 ", -   , -   ," 8,870 "
 520 , - , - , - , - , - , -   
 521 ," 23,346 "," 18,708 "," 6,691 ", 783 , -   ," 49,527 "
 522 ," 9,961 "," 20,091 "," 15,122 "," 5,746 ", 579 ," 51,499 "
 523 , 191 , 569 ," 1,300 ", 867 ," 2,151 "," 5,077 "
 524 ," 16,253 "," 47,558 "," 40,594 "," 1,968 ", -   ," 106,373 "
 525 ," 21,117 "," 43,333 "," 51,835 "," 10,735 ", -   ," 127,020 "
 526 ," 10,139 "," 55,319 "," 22,687 "," 4,600 "," 66,630 "," 159,375 "
 527 ," 1,505 "," 9,776 "," 6,203 ", -   ," 1,185 "," 18,670 "
,,,,,,
 Total RMSP ," 3,753,636 "," 8,137,657 "," 6,496,267 "," 1,546,482 "," 1,302,809 "," 21,236,852 "
,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,
,,,,,,
 (*) Em Reais de Outubro/2023 ,,,,,,
