 Tabela 4 ,,,,
 População por Sexo e Zona de Residência – 2023 ,,,,
 Região Metropolitana de São Paulo ,,,,
 Pesquisa Origem e Destino 2023 ,,,,
 Companhia do Metropolitano de São Paulo  ,,,,
,,,,
 Zona de , População por Sexo ,,,
 Residência , Masculino , Feminino , Não respondeu , Total 
,,,,
 457 ," 88,033 "," 87,422 ", -   ," 175,455 "
 458 ," 45,940 "," 46,875 ", -   ," 92,815 "
 459 ," 23,172 "," 26,775 ", -   ," 49,947 "
 460 ," 11,053 "," 9,561 ", -   ," 20,614 "
 461 , - , - , - , -   
 462 ," 75,108 "," 76,649 ", -   ," 151,757 "
 463 ," 36,486 "," 33,251 ", -   ," 69,737 "
 464 ," 47,184 "," 49,996 ", -   ," 97,180 "
 465 ," 45,302 "," 62,560 ", -   ," 107,862 "
 466 ," 24,778 "," 29,288 ", -   ," 54,066 "
 467 ," 32,065 "," 39,322 ", -   ," 71,387 "
 468 ," 30,534 "," 41,320 ", -   ," 71,854 "
 469 ," 24,916 "," 24,486 ", 368 ," 49,769 "
 470 ," 43,583 "," 53,381 ", -   ," 96,964 "
 471 ," 26,798 "," 35,042 ", -   ," 61,840 "
 472 ," 33,499 "," 29,416 ", -   ," 62,915 "
 473 ," 53,573 "," 65,486 ", -   ," 119,059 "
 474 ," 26,204 "," 29,391 ", -   ," 55,595 "
 475 ," 10,391 "," 8,273 ", -   ," 18,664 "
 476 ," 68,519 "," 80,031 ", -   ," 148,550 "
 477 ," 2,481 "," 2,845 ", -   ," 5,326 "
 478 ," 4,491 "," 3,626 ", -   ," 8,117 "
 479 ," 7,829 "," 8,490 ", -   ," 16,319 "
 480 ," 15,954 "," 25,536 ", -   ," 41,490 "
 481 ," 10,179 "," 11,398 ", -   ," 21,577 "
 482 ," 2,149 "," 2,868 ", 66 ," 5,083 "
 483 ," 13,567 "," 14,225 ", -   ," 27,792 "
 484 , - , - , - , -   
 485 , - , - , - , -   
 486 ," 55,114 "," 70,332 ", -   ," 125,446 "
 487 ," 28,656 "," 29,616 ", -   ," 58,272 "
 488 , - , - , - , -   
 489 , - , - , - , -   
 490 ," 24,271 "," 24,505 ", -   ," 48,776 "
 491 ," 28,331 "," 32,811 ", -   ," 61,142 "
 492 ," 14,828 "," 13,168 ", -   ," 27,996 "
 493 ," 2,301 "," 1,428 ", -   ," 3,729 "
 494 ," 57,211 "," 74,226 ", -   ," 131,437 "
 495 ," 45,577 "," 54,248 ", -   ," 99,825 "
 496 ," 35,316 "," 34,982 ", -   ," 70,298 "
 497 ," 20,579 "," 21,168 ", -   ," 41,747 "
 498 ," 25,835 "," 25,218 ", -   ," 51,053 "
 499 ," 2,821 "," 2,507 ", -   ," 5,328 "
 500 ," 9,833 "," 9,710 ", -   ," 19,543 "
 501 ," 22,959 "," 20,738 ", -   ," 43,697 "
 502 ," 26,163 "," 34,811 ", -   ," 60,974 "
 503 ," 23,458 "," 21,237 ", -   ," 44,695 "
 504 ," 30,574 "," 41,372 ", -   ," 71,946 "
 505 ," 61,223 "," 65,479 ", -   ," 126,702 "
 506 ," 38,378 "," 43,748 ", -   ," 82,126 "
 507 ," 7,517 "," 9,929 ", -   ," 17,446 "
 508 ," 9,516 "," 6,808 ", -   ," 16,324 "
 509 ," 61,749 "," 63,336 ", -   ," 125,085 "
 510 ," 19,049 "," 26,297 ", -   ," 45,346 "
 511 ," 20,339 "," 30,970 ", -   ," 51,309 "
 512 ," 18,096 "," 18,178 ", -   ," 36,274 "
 513 ," 4,382 "," 4,935 ", -   ," 9,317 "
 514 ," 49,433 "," 50,430 ", -   ," 99,863 "
 515 ," 4,805 "," 6,592 ", -   ," 11,397 "
 516 ," 17,628 "," 20,910 ", -   ," 38,538 "
 517 ," 13,526 "," 12,636 ", -   ," 26,162 "
 518 ," 80,916 "," 78,468 ", -   ," 159,384 "
 519 ," 3,589 "," 5,281 ", -   ," 8,870 "
 520 , - , - , - , -   
 521 ," 30,653 "," 18,874 ", -   ," 49,527 "
 522 ," 23,259 "," 28,240 ", -   ," 51,499 "
 523 ," 2,736 "," 2,341 ", -   ," 5,077 "
 524 ," 46,708 "," 58,423 "," 1,241 "," 106,373 "
 525 ," 57,684 "," 69,336 ", -   ," 127,020 "
 526 ," 74,487 "," 84,888 ", -   ," 159,375 "
 527 ," 8,932 "," 9,738 ", -   ," 18,670 "
,,,,
 Total RMSP ," 10,036,106 "," 11,189,866 "," 10,881 "," 21,236,852 "
,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,
