Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 462 ," 14,907 "," 22,515 ", -   ," 37,422 "
 463 ," 8,282 "," 50,283 ", -   ," 58,565 "
 464 ," 13,700 "," 24,057 ", -   ," 37,758 "
 465 ," 19,333 "," 12,137 ", -   ," 31,471 "
 466 ," 10,503 "," 10,418 ", -   ," 20,921 "
 467 ," 8,186 "," 12,959 ", -   ," 21,145 "
 468 ," 4,300 "," 28,848 ", -   ," 33,149 "
 469 ," 5,609 "," 8,903 ", -   ," 14,512 "
 470 ," 7,117 "," 26,094 ", -   ," 33,211 "
 471 ," 4,614 "," 12,892 ", -   ," 17,506 "
 472 , 291 ," 9,148 ", -   ," 9,440 "
 473 ," 3,754 "," 24,140 ", -   ," 27,894 "
 474 ," 10,961 "," 25,028 ", -   ," 35,988 "
 475 ," 2,053 "," 5,120 ", 353 ," 7,525 "
 476 ," 8,335 "," 45,514 ", 745 ," 54,594 "
 477 , 100 ," 2,793 ", -   ," 2,893 "
 478 ," 1,045 "," 3,061 ", -   ," 4,106 "
 479 , 372 ," 6,965 ", 156 ," 7,493 "
 480 ," 5,339 "," 14,846 ", -   ," 20,185 "
 481 ," 1,211 "," 4,439 ", -   ," 5,650 "
 482 , 196 , 539 , 30 , 764 
 483 ," 2,544 "," 7,171 ", -   ," 9,715 "
 484 , -   , -   , -   , -   
 485 , -   , -   , -   , -   
 486 ," 21,434 "," 51,839 ", -   ," 73,273 "
 487 ," 10,231 "," 40,728 ", -   ," 50,959 "
 488 ," 19,693 "," 66,866 ", 863 ," 87,422 "
 489 , 836 ," 6,866 ", -   ," 7,702 "
 490 ," 1,975 "," 10,173 ", -   ," 12,148 "
 491 , 212 ," 17,147 ", -   ," 17,360 "
 492 ," 2,142 "," 11,717 ", -   ," 13,859 "
 493 ," 2,182 "," 5,888 ", 573 ," 8,642 "
 494 ," 7,107 "," 21,080 ", -   ," 28,188 "
 495 ," 3,302 "," 23,191 ", -   ," 26,493 "
 496 ," 4,992 "," 16,567 ", -   ," 21,559 "
 497 ," 3,587 "," 6,590 ", -   ," 10,177 "
 498 ," 3,039 "," 14,065 ", -   ," 17,104 "
 499 ," 5,179 "," 40,331 ", -   ," 45,510 "
 500 ," 1,214 "," 34,234 ", -   ," 35,449 "
 501 ," 1,104 "," 16,130 ", -   ," 17,234 "
 502 ," 5,242 "," 32,520 ", -   ," 37,762 "
 503 , 819 ," 9,241 ", -   ," 10,061 "
 504 , -   ," 13,996 ", -   ," 13,996 "
 505 ," 2,708 "," 22,902 ", -   ," 25,610 "
 506 ," 3,324 "," 12,153 ", -   ," 15,477 "
 507 ," 1,361 "," 7,784 ", -   ," 9,145 "
 508 ," 2,543 "," 11,962 ", -   ," 14,506 "
 509 ," 3,453 "," 26,596 ", -   ," 30,049 "
 510 ," 2,080 "," 12,513 ", -   ," 14,592 "
 511 ," 1,960 "," 15,362 ", -   ," 17,322 "
 512 ," 6,282 "," 12,083 ", -   ," 18,366 "
 513 ," 6,569 "," 7,206 ", -   ," 13,775 "
 514 ," 10,656 "," 14,653 ", 82 ," 25,390 "
 515 , 51 ," 1,491 ", -   ," 1,542 "
 516 ," 6,087 "," 35,480 ", 189 ," 41,756 "
 517 ," 12,072 "," 14,389 ", -   ," 26,461 "
 518 ," 12,081 "," 39,793 "," 1,777 "," 53,651 "
 519 , 509 ," 1,593 ", 101 ," 2,203 "
 520 , -   , 101 , -   , 101 
 521 ," 2,277 "," 17,234 "," 3,331 "," 22,842 "
 522 ," 4,482 "," 21,018 ", 431 ," 25,931 "
 523 , 125 , 917 , -   ," 1,042 "
 524 ," 4,830 "," 19,662 ", -   ," 24,492 "
 525 ," 11,852 "," 24,380 ", -   ," 36,233 "
 526 ," 16,704 "," 47,654 ", -   ," 64,358 "
 527 ," 1,554 "," 3,805 ", -   ," 5,359 "
,,,,
Total RMSP," 1,685,309 "," 8,762,817 "," 17,579 "," 10,465,706 "
,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,
,,,                                                                                                              ,
Nota:,,,,
,,,,
Os empregos internos à RMSP foram processadas com a seguinte condição:,,,,
zona de trabalho i >=1 e zona de trabalho i <= 527; i = 1 e 2 ,,,,
