Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 105 , 500 ," 11,340 ", -   ," 11,839 "
 106 ," 3,654 "," 22,772 ", 509 ," 26,935 "
 107 , 579 ," 15,226 ", -   ," 15,805 "
 108 ," 1,098 "," 14,840 ", -   ," 15,938 "
 109 ," 3,744 "," 40,624 ", -   ," 44,369 "
 110 ," 1,739 "," 23,286 ", -   ," 25,025 "
 111 ," 1,330 "," 16,091 ", -   ," 17,421 "
 112 ," 3,351 "," 17,152 ", -   ," 20,504 "
 113 ," 5,270 "," 19,859 ", -   ," 25,129 "
 114 , -   , -   , -   , -   
 115 ," 4,363 "," 13,836 ", -   ," 18,199 "
 116 ," 5,112 "," 30,057 ", -   ," 35,169 "
 117 ," 2,249 "," 19,880 ", -   ," 22,128 "
 118 ," 1,169 "," 4,170 ", -   ," 5,339 "
 119 ," 3,644 "," 22,162 ", -   ," 25,806 "
 120 , -   , -   , -   , -   
 121 ," 2,191 "," 11,904 ", -   ," 14,095 "
 122 , 937 ," 8,637 ", -   ," 9,574 "
 123 , 188 ," 6,760 ", -   ," 6,948 "
 124 ," 2,822 "," 10,022 ", -   ," 12,845 "
 125 ," 1,799 "," 11,312 ", -   ," 13,111 "
 126 , 917 ," 11,086 ", -   ," 12,003 "
 127 ," 2,194 "," 26,941 ", -   ," 29,135 "
 128 , 402 ," 9,379 ", -   ," 9,781 "
 129 , 385 ," 14,599 ", -   ," 14,984 "
 130 , 128 ," 5,493 ", -   ," 5,621 "
 131 ," 1,753 "," 9,742 ", -   ," 11,495 "
 132 , 448 ," 2,971 ", -   ," 3,419 "
 133 ," 1,423 "," 22,173 ", -   ," 23,596 "
