Tabela 19,,,,,,,,,,
Viagens Diárias Produzidas a Pé por Razão de Escolha do Modo e Zona de Origem – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,Viagens a Pé por Razão da Escolha do Modo,,,,,,,,,
Zona de Origem,Pequena Distância,Condução Cara,Ponto/ Estação Distante,Condução Demora para Passar,Viagem Demorada,Condução Lotada,Atividade Física,Medo de Contágio,Outros Motivos,Total
,,,,,,,,,,
 276 ," 27,383 "," 2,698 ", -   , -   , -   , -   ," 1,851 ", -   , -   ," 31,932 "
 277 ," 7,773 ", 193 , -   , -   , -   , -   , -   , -   , -   ," 7,966 "
 278 ," 66,153 "," 1,757 "," 1,602 ", 932 , -   , -   , 687 , -   ," 1,081 "," 72,212 "
 279 ," 21,538 ", 743 , -   , -   , -   , -   , -   , -   , -   ," 22,281 "
 280 ," 6,533 ", -   , -   , -   , -   , -   , 241 , -   , -   ," 6,774 "
 281 ," 9,083 ", -   , -   , 236 , -   , -   ," 1,074 ", -   , -   ," 10,394 "
 282 ," 13,138 ", -   , -   , 465 , -   , 362 ," 1,074 ", -   , -   ," 15,039 "
 283 ," 4,101 ", -   , -   , -   , -   , -   , 241 , -   , 497 ," 4,838 "
 284 ," 11,793 ", 192 , -   , -   , -   ," 4,490 ", 136 , -   , -   ," 16,611 "
 285 ," 17,946 "," 1,276 "," 1,602 ", 497 , -   , -   , -   , -   , -   ," 21,322 "
 286 ," 2,738 ", -   , -   , -   , -   , -   , 566 , -   , -   ," 3,304 "
 287 ," 8,815 ", -   , -   , -   , -   , -   , 460 , -   , -   ," 9,276 "
 288 ," 11,954 ", 513 , -   , -   , -   , -   , 60 , -   , -   ," 12,528 "
 289 ," 16,963 ", -   , -   , -   , -   , -   , 60 , -   , -   ," 17,023 "
 290 ," 10,438 ", -   , -   , -   , -   , -   , -   , -   , 497 ," 10,935 "
 291 ," 17,058 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,058 "
 292 ," 36,320 ", -   , -   , -   , -   , -   , -   , -   , -   ," 36,320 "
 293 ," 23,429 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,429 "
 294 ," 47,850 "," 1,433 ", -   , -   , -   , -   , -   , -   , -   ," 49,283 "
 295 ," 56,285 ", -   , -   , -   , -   , -   , -   , -   , -   ," 56,285 "
 296 ," 2,635 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,635 "
 297 , 284 , -   , -   , -   , -   , -   , -   , -   , -   , 284 
 298 ," 67,931 "," 7,078 ", 647 , -   , -   , -   , 174 , -   ," 1,031 "," 76,860 "
 299 , 859 , -   , -   , -   , -   , -   , -   , -   , -   , 859 
 300 , - , - , - , - , - , - , - , - , - , -   
 301 ," 17,141 ", -   , -   , -   , -   , -   , 92 , -   , -   ," 17,234 "
 302 ," 3,085 ", -   , -   , -   , -   , -   ," 1,129 ", -   , -   ," 4,214 "
 303 ," 7,135 ", 41 , -   , -   , -   , -   , -   , -   , -   ," 7,177 "
 304 ," 3,080 ", -   , -   , -   , -   , -   , 106 , -   , -   ," 3,186 "
 305 ," 30,273 ", 835 , 292 , -   , -   , -   , -   , -   , -   ," 31,400 "
 306 ," 52,657 ", 413 ," 7,850 ", -   , -   , -   ," 1,024 ", -   ," 1,045 "," 62,990 "
 307 ," 14,643 ", -   , -   , 310 , -   , -   , -   , -   , -   ," 14,954 "
 308 ," 51,442 "," 1,797 ", -   , -   , -   , -   , -   , -   , -   ," 53,239 "
 309 ," 31,476 ", -   , -   , -   , -   , -   , -   , -   , -   ," 31,476 "
 310 ," 27,712 ", -   , -   , -   , -   , -   , -   , -   , -   ," 27,712 "
 311 ," 18,561 ", -   , -   , 214 , -   , -   , -   , -   , -   ," 18,776 "
 312 ," 43,585 ", -   , -   , -   , -   , -   , 830 , -   , -   ," 44,415 "
 313 ," 23,422 "," 1,906 ", -   , -   , -   , -   , 688 , -   , -   ," 26,016 "
 314 ," 10,189 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,189 "
 315 ," 32,398 "," 4,240 ", -   ," 5,108 ", -   , -   , 252 , -   , -   ," 41,998 "
 316 ," 52,908 "," 2,908 ", 692 , -   , -   , -   , 520 , -   , -   ," 57,029 "
 317 ," 4,488 ", -   , -   , -   , -   , -   , 400 , -   , -   ," 4,887 "
 318 , 519 , -   , -   , -   , -   , -   , 33 , -   , -   , 552 
 319 ," 4,415 ", -   , -   , -   , 69 , -   , 246 , -   , 301 ," 5,032 "
 320 ," 1,628 ", 406 , -   , -   , -   , -   , 25 , -   , -   ," 2,059 "
 321 ," 48,568 "," 1,077 "," 1,083 ", -   , -   , -   , 634 , -   , 301 ," 51,663 "
 322 ," 11,422 ", 563 , -   , -   , -   , 74 , 762 , -   , -   ," 12,821 "
 323 ," 6,567 ", 47 , -   , -   , -   , -   , 840 , -   , -   ," 7,454 "
 324 ," 21,981 ", -   , 292 , -   , -   , -   ," 1,260 ", -   , -   ," 23,533 "
 325 ," 37,888 ", -   , -   , -   , -   , -   ," 1,517 ", -   , -   ," 39,405 "
 326 ," 23,287 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,287 "
 327 ," 24,114 ", -   , -   , -   , -   , -   , -   , -   , 591 ," 24,705 "
 328 ," 2,061 ", 423 , -   , -   , -   , -   , 266 , -   , -   ," 2,750 "
 329 ," 2,110 ", -   , -   , 114 , -   , -   , 290 , -   , -   ," 2,514 "
 330 ," 7,647 ", -   , 497 , -   , -   , -   , -   , -   , -   ," 8,143 "
 331 ," 11,845 ", -   , -   , -   , -   , -   , 268 , -   , -   ," 12,113 "
 332 ," 13,891 ", -   , -   , -   , -   , -   , -   , -   , -   ," 13,891 "
 333 ," 5,889 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,889 "
 334 ," 10,293 ", 266 , -   , -   , -   , -   , -   , -   , -   ," 10,559 "
 335 ," 12,334 ", -   , -   , 124 , -   , -   , -   , -   , -   ," 12,458 "
 336 ," 7,611 ", -   , -   , -   , -   ," 1,172 ", -   , -   , -   ," 8,783 "
 337 ," 3,590 ", -   , -   , -   , -   , -   , 216 , -   , 205 ," 4,011 "
 338 ," 5,120 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,120 "
 339 ," 12,151 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,151 "
 340 ," 3,714 ", -   , -   , -   , -   , -   , 124 , -   , -   ," 3,838 "
 341 ," 1,600 ", -   , -   , -   , -   , -   , 9 , -   , -   ," 1,608 "
 342 ," 3,042 ", -   , 36 , 124 , -   , -   , 503 , -   , -   ," 3,705 "
 343 ," 11,572 ", -   , -   , -   , -   , -   , 82 , -   , -   ," 11,654 "
 344 , 61 , -   , -   , -   , -   , -   , -   , -   , -   , 61 
 345 ," 17,404 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,404 "
 346 ," 11,434 ", 516 , -   , -   , -   , -   , -   , -   , -   ," 11,950 "
 347 , - , - , - , - , - , - , - , - , - , -   
 348 ," 36,444 ", 847 , -   , -   , -   , -   , -   , -   , -   ," 37,291 "
 349 ," 3,723 ", -   , -   , 230 , -   , -   , -   , -   , -   ," 3,954 "
 350 , - , - , - , - , - , - , - , - , - , -   
 351 ," 37,713 ", -   , -   , -   , -   , -   , 570 , -   , -   ," 38,283 "
 352 ," 25,888 ", -   , -   , -   , -   , -   , 903 , -   , -   ," 26,790 "
 353 , - , - , - , - , - , - , - , - , - , -   
 354 , - , - , - , - , - , - , - , - , - , -   
 355 , - , - , - , - , - , - , - , - , - , -   
 356 ," 37,061 "," 1,091 ", -   , 473 , -   , -   , 759 , -   , 316 ," 39,701 "
 357 ," 42,518 "," 1,704 ", 952 , 473 , -   , -   , 177 , -   , -   ," 45,824 "
 358 ," 1,822 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,822 "
 359 ," 31,980 ", -   , -   , -   , -   , -   , -   , -   , -   ," 31,980 "
 360 , - , - , - , - , - , - , - , - , - , -   
 361 ," 12,267 ", -   , 875 , -   , -   , -   , -   , -   , 666 ," 13,808 "
 362 ," 5,930 ", -   , -   , -   , -   , -   , -   , -   , 540 ," 6,470 "
 363 ," 15,231 ", 160 , -   , -   , -   , -   , -   , -   , -   ," 15,391 "
 364 ," 23,820 ", 160 , -   , -   , -   , -   , 405 , -   , -   ," 24,385 "
 365 ," 6,921 ", -   , 48 , -   , -   , -   , -   , -   , -   ," 6,969 "
 366 ," 3,284 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,284 "
 367 ," 16,242 "," 3,140 ", -   , -   , -   , -   , 493 , -   , -   ," 19,874 "
 368 ," 8,268 ", 462 , 349 , 237 , -   , -   , -   , -   , -   ," 9,317 "
 369 ," 38,808 ", -   , -   , -   , -   , -   , 493 , -   , -   ," 39,300 "
 370 ," 25,789 ", 168 , -   ," 1,638 ", -   , -   , -   , -   , -   ," 27,596 "
 371 ," 47,433 ", -   , 349 , 237 , -   , -   , -   , -   , -   ," 48,020 "
 372 ," 23,430 "," 1,845 ", -   , -   , -   , -   , -   , -   , -   ," 25,275 "
 373 ," 27,963 ", -   , -   , -   , -   , -   , -   , -   , -   ," 27,963 "
 374 ," 19,336 ", -   , -   , -   , -   , -   , -   , -   , -   ," 19,336 "
 375 , 808 , 770 , -   , -   , -   , -   , -   , -   , -   ," 1,578 "
 376 ," 44,164 ", 770 , -   ," 4,154 ", -   , -   , -   , -   , -   ," 49,088 "
 377 ," 33,455 ", -   , -   , -   , -   , -   , -   , -   , -   ," 33,455 "
 378 ," 100,667 "," 2,220 ", -   ," 1,631 ", -   , -   , -   , -   , -   ," 104,518 "
 379 ," 55,551 ", -   , 48 , 480 , -   , -   , 36 , -   , -   ," 56,116 "
 380 ," 20,033 ", -   , -   ," 1,085 ", -   , -   , -   , -   , -   ," 21,118 "
 381 ," 34,007 "," 4,291 ", -   , -   , -   , -   , -   , -   , -   ," 38,299 "
 382 , - , - , - , - , - , - , - , - , - , -   
 383 ," 43,475 ", -   , -   ," 1,727 ", -   , -   , -   , -   , -   ," 45,202 "
 384 ," 35,701 ", -   , -   , -   , -   , -   , -   , -   , -   ," 35,701 "
 385 ," 6,733 ", -   , -   , -   , -   , -   , 232 , -   , -   ," 6,964 "
 386 , - , - , - , - , - , - , - , - , - , -   
 387 ," 1,240 ", -   , 53 , 189 , -   , -   , -   , -   , -   ," 1,482 "
 388 ," 39,884 "," 1,505 ", -   ," 4,309 ", -   , -   , -   , -   , -   ," 45,698 "
 389 ," 2,159 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,159 "
 390 ," 28,240 ", -   , 999 , -   , -   , -   , -   , -   , -   ," 29,239 "
 391 , 668 , -   , -   , -   , -   , -   , -   , -   , -   , 668 
 392 , - , - , - , - , - , - , - , - , - , -   
 393 , - , - , - , - , - , - , - , - , - , -   
 394 ," 51,511 "," 2,724 ", -   , -   , -   , -   , 882 , -   , -   ," 55,116 "
 395 , 412 , -   , -   , -   , -   , -   , -   , -   , -   , 412 
 396 ," 54,840 ", -   , -   , -   , -   , -   , 882 , -   , -   ," 55,722 "
 397 ," 18,768 ", 248 , -   , -   , -   , -   , 357 , -   , 84 ," 19,457 "
 398 ," 57,564 "," 6,243 ", 382 , 288 , -   , -   , -   , -   , 84 ," 64,562 "
 399 ," 73,210 "," 1,890 "," 3,517 ", -   , -   , -   , -   , -   , -   ," 78,618 "
 400 ," 44,107 "," 1,861 ", -   , 188 , -   , -   , 152 , -   , 803 ," 47,111 "
 401 ," 61,734 "," 3,824 ", -   , -   , -   , -   , -   , -   , -   ," 65,557 "
 402 ," 42,879 ", -   , -   ," 1,123 ", -   , -   , -   , -   , 355 ," 44,358 "
 403 ," 71,508 ", 239 , -   , -   , -   , -   , -   , -   , -   ," 71,747 "
 404 ," 101,773 "," 1,160 ", 382 , 288 , -   , -   , 296 , -   , -   ," 103,899 "
 405 ," 10,142 ", -   , -   , -   , -   , -   , -   , -   ," 1,169 "," 11,311 "
 406 ," 9,908 ", -   , 328 , -   , -   , -   , 308 , -   , 202 ," 10,747 "
 407 ," 41,845 ", 879 , -   , -   , -   , -   , 580 , -   ," 2,834 "," 46,137 "
 408 ," 23,635 ", -   , -   , -   , -   , -   , 335 , -   , -   ," 23,970 "
 409 ," 12,898 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,898 "
 410 ," 40,731 "," 1,154 ", -   ," 7,007 "," 1,380 ", 339 , -   , -   , -   ," 50,611 "
 411 ," 30,638 ", -   , -   , 673 , -   , -   , -   , -   , -   ," 31,311 "
 412 ," 10,739 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,739 "
 413 ," 4,553 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,553 "
 414 ," 4,887 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,887 "
 415 ," 12,043 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,043 "
 416 ," 3,339 ", 275 , -   , -   ," 1,380 ", -   , -   , -   , -   ," 4,995 "
 417 , - , - , - , - , - , - , - , - , - , -   
 418 ," 12,823 ", 902 , -   , -   , -   , -   , 329 , -   , -   ," 14,054 "
 419 , - , - , - , - , - , - , - , - , - , -   
 420 ," 7,585 ", -   , -   , 229 , -   , -   , 144 , -   ," 1,979 "," 9,937 "
 421 , - , - , - , - , - , - , - , - , - , -   
 422 ," 24,044 ", -   , -   , -   , -   , -   , -   , -   , -   ," 24,044 "
 423 , - , - , - , - , - , - , - , - , - , -   
 424 ," 33,603 ", 93 , -   , -   , -   , -   ," 4,326 ", -   ," 2,291 "," 40,312 "
 425 ," 37,262 ", 213 , -   , -   , -   , -   , 798 , -   , -   ," 38,273 "
 426 ," 17,636 ", 447 , -   , -   , -   , -   , 771 , -   , 686 ," 19,541 "
 427 ," 3,391 ", 210 , -   , 192 , -   , -   , 483 , -   , 85 ," 4,362 "
 428 ," 12,862 ", 93 , -   , 192 , -   , -   ," 1,615 ", -   , -   ," 14,762 "
 429 ," 35,614 ", -   , -   , -   , -   , -   ," 4,853 ", -   , -   ," 40,467 "
 430 ," 11,111 ", 297 , -   , -   , -   , -   , -   , -   , -   ," 11,408 "
 431 ," 4,847 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,847 "
 432 ," 12,218 ", -   , -   , 452 , -   , -   , -   , -   , 546 ," 13,216 "
 433 ," 10,485 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,485 "
 434 ," 15,032 ", -   , -   , 336 , -   , -   ," 1,408 ", -   , -   ," 16,776 "
 435 ," 19,427 "," 2,328 ", -   , -   , -   , -   , 660 , -   , -   ," 22,415 "
 436 ," 13,741 ", 235 , -   , -   , -   , -   , 660 , -   , -   ," 14,635 "
 437 ," 19,294 ", 235 , -   , -   , -   , -   , -   , -   ," 1,089 "," 20,618 "
 438 ," 30,740 "," 1,890 ", -   , -   , -   , -   ," 3,014 ", -   , 200 ," 35,844 "
 439 ," 54,013 ", -   , -   , 637 , -   , -   , -   , -   , -   ," 54,650 "
 440 ," 66,861 "," 1,838 ", -   , -   , -   , -   , 894 , -   ," 1,860 "," 71,454 "
 441 , 657 , -   , -   , -   , -   , -   , -   , -   , -   , 657 
 442 ," 16,983 ", 408 , -   , 319 , -   , -   , 583 , -   , -   ," 18,294 "
 443 ," 49,425 ", 408 , -   , 647 , -   , -   , 769 , -   ," 7,467 "," 58,717 "
 444 ," 46,393 "," 3,653 ", -   , 329 , -   , -   ," 4,415 ", -   ," 3,687 "," 58,476 "
 445 ," 23,387 ", -   , -   , -   , -   , -   ," 1,134 ", -   ," 7,883 "," 32,405 "
 446 ," 2,850 ", -   , -   , -   , -   , 231 , -   , -   , 691 ," 3,771 "
 447 ," 23,062 "," 5,972 ", -   , -   , -   , -   , 424 , -   , -   ," 29,458 "
 448 ," 4,085 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,085 "
 449 ," 1,820 ", 475 , -   , -   , -   , -   , -   , -   , -   ," 2,295 "
 450 ," 5,300 ", 547 , -   , -   , -   , -   , -   , -   , -   ," 5,847 "
 451 ," 22,555 ", 264 , -   , -   , -   , -   , -   , -   , -   ," 22,819 "
 452 ," 49,893 ", -   , -   , -   , -   , -   ," 3,176 ", -   , -   ," 53,069 "
 453 ," 43,359 ", 477 , -   , -   ," 1,154 ", -   , 278 , -   ," 1,659 "," 46,926 "
 454 ," 10,333 ", 467 , 658 , -   , -   , -   , 665 , -   , -   ," 12,123 "
 455 ," 12,890 ", -   , -   , -   , -   , -   ," 3,623 ", -   , -   ," 16,514 "
 456 ," 25,221 "," 5,895 ", 940 , -   , -   ," 1,485 "," 3,488 ", -   ," 1,614 "," 38,643 "
 457 ," 28,753 "," 7,517 "," 1,647 ", 818 , -   , -   ," 1,377 ", -   , -   ," 40,113 "
 458 ," 43,220 ", -   ," 1,122 ", 717 , -   ," 1,485 ", -   , -   , -   ," 46,544 "
 459 ," 14,312 ", 825 , -   , -   , -   , -   , -   , -   , -   ," 15,136 "
 460 ," 3,424 ", -   , -   , -   , -   , -   , 365 , -   , -   ," 3,789 "
 461 , - , - , - , - , - , - , - , - , - , -   
 462 ," 56,460 "," 3,142 "," 1,122 ", 445 , -   , -   ," 1,633 ", -   , -   ," 62,801 "
 463 ," 45,446 ", 779 , 315 , 497 , -   , -   ," 1,114 ", -   , 605 ," 48,757 "
 464 ," 60,959 ", -   , 635 , 354 , -   , -   ," 1,114 ", -   ," 1,396 "," 64,458 "
 465 ," 47,250 "," 17,112 "," 1,011 "," 2,163 "," 2,551 ", -   ," 4,497 ", -   , -   ," 74,584 "
 466 ," 38,684 "," 2,552 ", 682 ," 2,652 ", -   , -   , 341 , -   , -   ," 44,911 "
 467 ," 26,109 "," 5,421 ", 375 ," 1,609 "," 1,268 ", -   , 398 , -   , -   ," 35,179 "
 468 ," 22,389 ", -   , -   , -   , -   , -   , -   , -   , -   ," 22,389 "
 469 ," 12,359 ", 588 , -   , -   , -   , -   , 658 , -   , -   ," 13,604 "
 470 ," 39,224 "," 2,270 ", -   , -   , -   , -   , -   , -   , -   ," 41,494 "
 471 ," 23,139 ", -   , -   , -   , -   , -   , 514 , -   , 450 ," 24,103 "
 472 ," 34,706 "," 1,135 ", -   , -   , -   , -   , -   , -   , 382 ," 36,223 "
 473 ," 70,690 "," 7,401 ", -   , -   , -   , -   ," 3,383 ", -   , 382 ," 81,856 "
 474 ," 24,950 "," 1,223 ", -   , -   , -   , -   , 137 , -   , -   ," 26,311 "
 475 ," 9,136 ", -   , -   , -   , -   , -   , -   , -   , -   ," 9,136 "
 476 ," 75,187 "," 4,688 "," 1,954 "," 1,095 ", -   , -   , 476 , -   , 406 ," 83,806 "
 477 , 561 , -   , -   , -   , -   , -   , -   , -   , -   , 561 
 478 ," 1,360 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,360 "
 479 ," 6,999 ", -   , -   , -   , -   , -   , -   , -   , 283 ," 7,281 "
 480 ," 11,027 ", -   , -   , -   , -   , -   , 491 , -   ," 1,277 "," 12,795 "
 481 ," 6,330 ", 360 , -   , -   , -   , -   , -   , -   , -   ," 6,689 "
 482 ," 1,477 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,477 "
 483 ," 10,436 ", 362 , 94 , -   , -   , -   , 306 , -   , 401 ," 11,599 "
 484 , - , - , - , - , - , - , - , - , - , -   
 485 , - , - , - , - , - , - , - , - , - , -   
 486 ," 64,218 ", 324 , -   , -   , -   , -   ," 2,995 ", -   , -   ," 67,538 "
 487 ," 28,684 ", -   , -   , -   , -   , -   , -   , -   , -   ," 28,684 "
 488 ," 4,481 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,481 "
 489 , 508 , 221 , -   , -   , -   , -   , -   , -   , -   , 729 
 490 ," 23,011 ", 169 , -   , -   , -   , 201 , 462 , 727 , -   ," 24,570 "
 491 ," 27,367 ", -   , -   , -   , -   , -   , -   , -   ," 2,032 "," 29,399 "
 492 ," 6,256 ", 619 , -   , 169 , -   , -   , -   , -   , -   ," 7,044 "
 493 ," 2,014 ", 38 , -   , -   , -   , -   , -   , -   , -   ," 2,052 "
 494 ," 62,627 "," 1,245 ", -   , -   , -   , -   , 462 , -   , -   ," 64,334 "
 495 ," 39,153 ", -   , -   , -   , -   , -   , -   , -   , 540 ," 39,692 "
 496 ," 26,238 "," 1,247 ", -   ," 1,243 ", -   , -   , 776 , -   , -   ," 29,504 "
 497 ," 19,314 ", 648 , -   , -   , -   , -   , -   , -   , -   ," 19,962 "
 498 ," 27,337 ", 538 , -   , -   , -   , -   , 748 , -   , -   ," 28,623 "
 499 ," 9,189 ", 954 , -   , -   , -   , -   , 125 , -   , -   ," 10,268 "
 500 ," 10,931 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,931 "
 501 ," 9,748 ", -   , -   , -   , -   , -   , -   , -   , 205 ," 9,953 "
 502 ," 13,910 ", -   , -   , -   , -   , -   , 392 , -   , -   ," 14,302 "
 503 ," 15,484 ", -   , -   , -   , -   , -   , -   , -   , -   ," 15,484 "
 504 ," 45,164 "," 2,301 ", -   , -   , -   , -   , -   , -   , -   ," 47,465 "
 505 ," 41,812 ", 339 , -   , -   , -   , -   , -   , -   , -   ," 42,151 "
 506 ," 42,163 ", 417 , -   , -   , -   , -   , -   , -   , -   ," 42,580 "
 507 ," 3,682 ", 261 , -   , 274 , -   , -   , -   , -   , -   ," 4,217 "
 508 ," 6,699 ", -   , -   , -   , -   , -   , 320 , -   , -   ," 7,018 "
 509 ," 31,302 "," 4,762 ", -   , -   , -   , -   , -   , -   , -   ," 36,064 "
 510 ," 14,712 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,712 "
 511 ," 17,094 ", -   , -   , -   , -   , -   , -   , -   , 420 ," 17,513 "
 512 ," 13,151 ", -   , -   , -   , -   , -   , -   , -   , -   ," 13,151 "
 513 ," 6,428 ", -   , -   , -   , -   , -   , -   , -   , 124 ," 6,552 "
 514 ," 33,350 ", -   , -   , -   , -   , -   , -   , -   , -   ," 33,350 "
 515 ," 4,444 ", 169 , -   , -   , -   , 201 , -   , -   , -   ," 4,814 "
 516 ," 8,128 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,128 "
 517 ," 8,797 ", -   , -   , -   , -   , -   , 873 , -   , -   ," 9,670 "
 518 ," 39,841 ", 823 , 601 , -   , -   , -   ," 1,485 ", -   , 686 ," 43,436 "
 519 ," 3,922 ", 119 , -   , -   , -   , -   , -   , -   , -   ," 4,041 "
 520 , 991 , -   , -   , -   , -   , -   , -   , -   , -   , 991 
 521 ," 5,042 "," 1,486 ", -   , -   , -   , -   , -   , -   , -   ," 6,528 "
 522 ," 30,744 "," 2,901 ", -   , -   , -   , -   , -   , -   , -   ," 33,645 "
 523 , - , - , - , - , - , - , - , - , - , -   
 524 ," 69,364 ", -   , -   , 67 , -   , -   , -   , -   , -   ," 69,430 "
 525 ," 73,045 ", -   , -   , -   , -   , -   , -   , -   , -   ," 73,045 "
 526 ," 53,024 ", -   , -   , -   , -   , -   , -   , -   , -   ," 53,024 "
 527 ," 14,980 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,980 "
,,,,,,,,,,
 Total RMSP ," 9,428,356 "," 233,979 "," 46,209 "," 70,739 "," 13,036 "," 12,210 "," 169,397 ", 727 ," 81,833 "," 10,056,485 "
,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,,
,,,,,,,,,,
Nota:,,,,,,,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,,,,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,,,,,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,,,,,,,
