Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
40," 1,715 "," 1,878 "," 8,090 "," 8,550 ", 473 ," 1,216 ", 822 ," 7,866 ", -   ," 1,071 ", 768 ," 32,449 "
41," 3,416 "," 4,777 "," 9,071 "," 11,051 "," 1,607 "," 3,638 "," 1,630 "," 18,758 ", -   ," 1,081 ", -   ," 55,028 "
42," 1,822 "," 2,166 "," 2,162 ", 388 ," 1,318 ", -   ," 2,291 "," 6,126 ", -   ," 1,071 ", 61 ," 17,405 "
43," 1,876 "," 5,039 "," 19,917 "," 15,506 "," 1,546 "," 3,415 ", 796 ," 25,648 ", -   ," 2,769 ", 804 ," 77,316 "
44," 1,726 "," 3,105 "," 16,249 "," 4,325 ", 494 ," 13,354 "," 2,025 "," 11,180 ", -   , 391 ," 1,148 "," 53,996 "
45," 6,042 "," 4,225 "," 19,627 "," 16,079 "," 2,634 "," 1,912 "," 2,798 "," 30,296 ", -   ," 3,447 ", 407 ," 87,466 "
46," 1,831 "," 5,609 "," 6,527 "," 11,609 ", 889 , 515 ," 1,081 "," 28,952 ", -   ," 1,401 ", 25 ," 58,440 "
47," 1,402 "," 1,965 "," 5,079 "," 4,550 ", 149 , 613 , -   ," 17,487 ", -   , 543 , 634 ," 32,422 "
48," 1,004 "," 3,471 "," 6,407 "," 3,652 ", 800 , 350 ," 3,450 "," 17,980 ", -   ," 1,979 ", -   ," 39,094 "
49," 1,733 ", 465 ," 13,952 "," 5,025 ", 178 ," 2,752 ", 262 ," 12,405 ", 64 , 591 , 42 ," 37,469 "
50, 206 ," 1,334 "," 1,491 "," 2,579 "," 1,623 "," 1,058 ", 286 ," 8,787 ", -   , 118 , -   ," 17,482 "
51, -   , 825 ," 5,183 "," 5,137 ", 942 , 865 , 76 ," 14,358 ", -   , 972 , -   ," 28,359 "
52," 1,568 ", 363 ," 8,452 "," 1,392 ", 335 , 366 , 598 ," 8,492 ", -   ," 2,355 ", 182 ," 24,103 "
53, 576 ," 2,565 "," 22,453 "," 9,857 ", 69 ," 4,002 "," 2,843 "," 9,705 ", -   ," 2,257 "," 1,588 "," 55,916 "
54," 1,135 "," 3,104 "," 24,315 "," 4,253 "," 2,131 "," 10,683 ", 366 ," 7,798 ", -   ," 1,744 "," 3,648 "," 59,177 "
55, 953 ," 1,404 "," 12,647 "," 16,746 "," 1,017 "," 2,175 "," 1,370 "," 14,006 ", -   , 823 , 119 ," 51,261 "
56, 581 ," 3,948 "," 11,708 "," 13,833 "," 1,724 "," 1,852 "," 1,230 "," 16,472 ", 216 ," 1,594 ", 615 ," 53,774 "
57," 1,002 "," 2,106 "," 32,416 "," 4,808 "," 1,489 "," 3,657 "," 3,481 "," 16,291 ", 219 , 918 , 642 ," 67,029 "
58, 662 ," 1,161 "," 15,561 "," 6,525 "," 2,639 ", 886 ," 1,252 "," 29,930 ", -   ," 2,997 "," 1,351 "," 62,963 "
59, 981 ," 4,503 "," 18,336 "," 9,052 "," 4,765 ", 777 ," 3,099 "," 38,674 ", -   ," 4,241 "," 1,216 "," 85,642 "
60, 446 ," 3,154 "," 13,223 "," 3,714 "," 1,981 "," 1,642 ", 240 ," 16,247 ", -   ," 1,165 ", 33 ," 41,844 "
61," 1,478 "," 3,775 "," 10,839 "," 7,360 ", 576 ," 1,430 "," 1,952 "," 22,271 ", -   ," 2,879 ", 358 ," 52,917 "
62, 864 , 822 ," 17,226 "," 6,027 ", 176 ," 5,404 "," 4,216 "," 4,065 ", -   , 442 , -   ," 39,244 "
63," 1,276 ", 328 ," 11,485 ", 703 , -   ," 13,082 ", 419 ," 1,860 ", -   , 152 , -   ," 29,304 "
64," 3,050 "," 4,947 "," 33,098 "," 8,435 "," 2,428 "," 3,988 "," 1,981 "," 28,210 ", -   ," 1,904 "," 2,348 "," 90,389 "
65, 847 ," 1,979 "," 12,606 "," 14,943 ", 806 , 63 , 503 ," 20,540 ", -   , 731 , 440 ," 53,456 "
66," 2,978 "," 5,426 "," 18,305 "," 12,752 "," 1,763 ", 812 ," 4,500 "," 10,579 ", -   ," 3,244 ", 796 ," 61,155 "
67," 3,317 "," 1,086 "," 7,310 "," 1,113 ", 240 ," 1,965 ", 521 ," 8,243 ", -   , 584 , 488 ," 24,867 "
