Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
343," 12,937 "," 25,902 "," 38,839 "," 11,654 "," 50,492 "
344, 775 ," 5,114 "," 5,889 ", 61 ," 5,950 "
345," 20,704 "," 52,542 "," 73,246 "," 17,855 "," 91,101 "
346," 15,798 "," 12,424 "," 28,222 "," 14,512 "," 42,735 "
347, 338 ," 1,093 "," 1,431 ", -   ," 1,431 "
348," 57,213 "," 58,365 "," 115,577 "," 39,043 "," 154,621 "
349," 12,192 "," 8,433 "," 20,625 "," 3,816 "," 24,440 "
350, 997 , -   , 997 , -   , 997 
351," 22,511 "," 30,981 "," 53,493 "," 39,202 "," 92,695 "
352," 21,916 "," 39,762 "," 61,678 "," 26,790 "," 88,468 "
353, -   ," 3,591 "," 3,591 ", -   ," 3,591 "
354, - , - , -   , -   , -   
355, - , - , -   , -   , -   
356," 29,770 "," 18,843 "," 48,613 "," 39,701 "," 88,314 "
357," 41,286 "," 15,672 "," 56,958 "," 47,318 "," 104,276 "
358," 1,822 "," 1,868 "," 3,690 "," 1,822 "," 5,511 "
359," 10,666 "," 47,987 "," 58,654 "," 34,383 "," 93,036 "
360, 772 ," 20,752 "," 21,524 ", -   ," 21,524 "
361," 8,822 "," 17,019 "," 25,841 "," 14,995 "," 40,835 "
362," 4,539 "," 11,130 "," 15,669 "," 6,470 "," 22,139 "
363," 44,219 "," 27,426 "," 71,646 "," 16,904 "," 88,550 "
364," 38,966 "," 37,861 "," 76,827 "," 25,116 "," 101,942 "
365," 18,545 "," 14,465 "," 33,010 "," 9,374 "," 42,384 "
366," 9,614 "," 8,382 "," 17,997 "," 3,606 "," 21,603 "
367," 27,151 "," 35,327 "," 62,478 "," 21,177 "," 83,655 "
368," 21,571 "," 22,672 "," 44,243 "," 9,317 "," 53,560 "
369," 17,660 "," 25,611 "," 43,271 "," 39,913 "," 83,184 "
370," 27,925 "," 34,671 "," 62,596 "," 27,182 "," 89,778 "
371," 49,365 "," 39,065 "," 88,430 "," 48,638 "," 137,068 "
372," 31,292 "," 23,001 "," 54,292 "," 25,963 "," 80,255 "
373," 14,463 "," 16,047 "," 30,510 "," 27,963 "," 58,473 "
374," 24,333 "," 34,046 "," 58,380 "," 24,093 "," 82,473 "
375," 16,167 "," 13,103 "," 29,270 "," 4,146 "," 33,416 "
376," 36,336 "," 36,305 "," 72,640 "," 54,853 "," 127,493 "
377," 23,051 "," 20,170 "," 43,221 "," 38,631 "," 81,852 "
378," 75,125 "," 51,812 "," 126,937 "," 118,147 "," 245,084 "
379," 36,663 "," 50,029 "," 86,692 "," 60,635 "," 147,327 "
380," 22,467 "," 26,350 "," 48,817 "," 21,118 "," 69,936 "
381," 51,010 "," 34,174 "," 85,184 "," 38,299 "," 123,483 "
382, - , - , -   , -   , -   
383," 37,461 "," 31,958 "," 69,419 "," 46,601 "," 116,020 "
384," 44,375 "," 33,119 "," 77,494 "," 38,293 "," 115,787 "
385," 14,697 "," 5,486 "," 20,183 "," 8,035 "," 28,218 "
386, - , - , -   , -   , -   
387," 1,865 "," 4,447 "," 6,312 "," 3,110 "," 9,422 "
388," 38,892 "," 48,882 "," 87,774 "," 50,133 "," 137,907 "
389," 3,101 "," 6,211 "," 9,312 "," 2,159 "," 11,471 "
390," 16,926 "," 23,221 "," 40,146 "," 33,629 "," 73,776 "
391," 2,617 "," 6,661 "," 9,278 ", 668 ," 9,947 "
392, -   , 220 , 220 , -   , 220 
393, -   , 632 , 632 , -   , 632 
394," 47,483 "," 48,385 "," 95,868 "," 54,722 "," 150,590 "
395, -   , -   , -   , 412 , 412 
396," 41,854 "," 46,352 "," 88,206 "," 57,305 "," 145,511 "
397," 7,123 "," 7,247 "," 14,370 "," 19,100 "," 33,470 "
398," 29,963 "," 74,385 "," 104,348 "," 71,592 "," 175,940 "
399," 38,458 "," 41,244 "," 79,702 "," 83,774 "," 163,476 "
400," 36,788 "," 52,183 "," 88,971 "," 49,272 "," 138,242 "
401," 43,586 "," 49,694 "," 93,280 "," 71,495 "," 164,775 "
402," 33,432 "," 23,812 "," 57,244 "," 50,006 "," 107,251 "
403," 55,377 "," 55,083 "," 110,459 "," 79,664 "," 190,124 "
404," 78,189 "," 164,527 "," 242,716 "," 119,249 "," 361,965 "
405," 19,312 "," 10,946 "," 30,258 "," 13,893 "," 44,151 "
406," 6,569 "," 6,769 "," 13,337 "," 11,172 "," 24,509 "
407," 48,729 "," 65,852 "," 114,580 "," 46,653 "," 161,233 "
408," 27,231 "," 24,640 "," 51,871 "," 28,927 "," 80,798 "
409," 25,888 "," 27,019 "," 52,906 "," 13,138 "," 66,044 "
410," 46,585 "," 45,490 "," 92,075 "," 53,904 "," 145,978 "
411," 16,315 "," 18,349 "," 34,664 "," 39,952 "," 74,615 "
412," 11,722 "," 8,374 "," 20,096 "," 11,321 "," 31,416 "
413," 5,764 "," 6,952 "," 12,717 "," 4,762 "," 17,478 "
414," 6,611 "," 5,796 "," 12,406 "," 4,887 "," 17,294 "
415," 21,625 "," 18,013 "," 39,638 "," 15,875 "," 55,513 "
416," 9,298 "," 8,070 "," 17,368 "," 4,995 "," 22,362 "
417, -   , 178 , 178 , -   , 178 
418," 5,724 "," 10,879 "," 16,602 "," 14,054 "," 30,656 "
419, 31 , -   , 31 , -   , 31 
420," 1,920 "," 4,387 "," 6,307 "," 9,937 "," 16,244 "
421, -   , 104 , 104 , -   , 104 
422," 5,397 "," 16,328 "," 21,725 "," 26,251 "," 47,977 "
423, - , - , -   , -   , -   
424," 16,990 "," 55,123 "," 72,113 "," 40,805 "," 112,918 "
425," 12,802 "," 43,696 "," 56,499 "," 38,060 "," 94,559 "
426," 9,613 "," 42,549 "," 52,163 "," 19,749 "," 71,912 "
427," 6,803 "," 19,021 "," 25,824 "," 5,173 "," 30,997 "
428," 27,943 "," 30,040 "," 57,983 "," 16,312 "," 74,294 "
429," 54,394 "," 160,278 "," 214,672 "," 40,818 "," 255,490 "
430," 8,341 "," 29,866 "," 38,207 "," 11,711 "," 49,919 "
431," 7,310 "," 31,931 "," 39,240 "," 4,847 "," 44,088 "
432," 4,245 "," 8,159 "," 12,403 "," 14,220 "," 26,624 "
433," 7,786 "," 31,819 "," 39,605 "," 10,716 "," 50,321 "
434," 18,266 "," 38,724 "," 56,990 "," 17,030 "," 74,020 "
435," 10,469 "," 41,540 "," 52,009 "," 23,200 "," 75,209 "
436," 11,743 "," 39,217 "," 50,961 "," 15,520 "," 66,481 "
437," 9,095 "," 39,254 "," 48,349 "," 20,313 "," 68,662 "
438," 35,233 "," 98,972 "," 134,205 "," 36,498 "," 170,702 "
439," 21,467 "," 106,087 "," 127,554 "," 54,650 "," 182,204 "
440," 26,003 "," 49,933 "," 75,936 "," 71,709 "," 147,644 "
441," 1,263 ", 985 ," 2,249 ", 724 ," 2,973 "
442," 30,953 "," 47,106 "," 78,059 "," 19,863 "," 97,922 "
443," 51,570 "," 118,916 "," 170,486 "," 61,780 "," 232,265 "
444," 50,980 "," 46,425 "," 97,405 "," 62,875 "," 160,280 "
445," 25,175 "," 35,708 "," 60,883 "," 32,405 "," 93,288 "
446," 11,716 "," 6,250 "," 17,966 "," 3,771 "," 21,738 "
447," 53,873 "," 51,153 "," 105,027 "," 29,581 "," 134,608 "
448," 10,803 "," 12,411 "," 23,214 "," 4,085 "," 27,298 "
449," 6,887 "," 5,872 "," 12,759 "," 2,295 "," 15,054 "
450," 4,853 "," 5,654 "," 10,507 "," 6,346 "," 16,854 "
451," 21,971 "," 12,580 "," 34,551 "," 23,147 "," 57,698 "
452," 37,900 "," 95,914 "," 133,815 "," 54,057 "," 187,872 "
453," 14,445 "," 49,940 "," 64,384 "," 45,637 "," 110,022 "
454," 18,327 "," 77,468 "," 95,794 "," 13,036 "," 108,830 "
455," 30,153 "," 77,331 "," 107,484 "," 17,128 "," 124,612 "
456," 44,645 "," 140,984 "," 185,629 "," 38,989 "," 224,618 "
457," 54,066 "," 108,507 "," 162,574 "," 43,748 "," 206,322 "
458," 32,389 "," 92,917 "," 125,306 "," 47,097 "," 172,403 "
459," 17,795 "," 23,360 "," 41,155 "," 14,695 "," 55,850 "
460," 11,668 "," 8,160 "," 19,828 "," 4,560 "," 24,388 "
461," 1,877 "," 1,312 "," 3,188 ", -   ," 3,188 "
462," 54,756 "," 71,839 "," 126,595 "," 66,094 "," 192,689 "
463," 40,396 "," 78,569 "," 118,965 "," 57,687 "," 176,652 "
464," 15,852 "," 50,841 "," 66,693 "," 64,458 "," 131,151 "
465," 27,231 "," 55,438 "," 82,669 "," 85,027 "," 167,696 "
466," 15,928 "," 43,913 "," 59,841 "," 43,865 "," 103,706 "
467," 17,055 "," 38,268 "," 55,323 "," 40,882 "," 96,205 "
468," 41,873 "," 66,369 "," 108,242 "," 23,291 "," 131,533 "
469," 20,056 "," 17,710 "," 37,766 "," 14,539 "," 52,305 "
470," 27,046 "," 43,219 "," 70,265 "," 42,371 "," 112,636 "
471," 17,527 "," 19,849 "," 37,375 "," 23,139 "," 60,514 "
472," 17,128 "," 18,071 "," 35,199 "," 36,360 "," 71,559 "
473," 43,552 "," 66,837 "," 110,390 "," 82,820 "," 193,210 "
474," 26,405 "," 35,998 "," 62,403 "," 28,906 "," 91,310 "
475," 6,364 "," 8,947 "," 15,311 "," 9,157 "," 24,468 "
476," 54,169 "," 41,638 "," 95,808 "," 82,712 "," 178,519 "
477," 2,563 "," 1,769 "," 4,332 ", 561 ," 4,893 "
478," 4,926 "," 3,539 "," 8,465 "," 1,360 "," 9,825 "
479," 4,778 "," 6,575 "," 11,353 "," 7,281 "," 18,634 "
480," 24,033 "," 18,729 "," 42,762 "," 14,156 "," 56,918 "
481," 12,157 "," 8,726 "," 20,883 "," 6,689 "," 27,573 "
482," 2,900 "," 2,248 "," 5,148 "," 1,477 "," 6,625 "
483," 8,971 "," 12,081 "," 21,052 "," 11,599 "," 32,651 "
484, - , - , -   , -   , -   
485, - , - , -   , -   , -   
486," 62,351 "," 86,882 "," 149,233 "," 67,830 "," 217,063 "
487," 25,511 "," 70,987 "," 96,498 "," 28,880 "," 125,378 "
488," 23,178 "," 51,303 "," 74,481 "," 4,578 "," 79,059 "
489," 1,770 "," 2,850 "," 4,621 ", 729 ," 5,350 "
490," 12,861 "," 29,292 "," 42,153 "," 24,711 "," 66,864 "
491," 28,458 "," 24,750 "," 53,208 "," 29,306 "," 82,514 "
492," 21,034 "," 18,005 "," 39,039 "," 8,187 "," 47,226 "
493," 4,744 "," 5,838 "," 10,581 "," 2,211 "," 12,792 "
494," 31,509 "," 41,923 "," 73,432 "," 64,559 "," 137,991 "
495," 39,379 "," 49,971 "," 89,350 "," 39,153 "," 128,503 "
496," 21,140 "," 37,284 "," 58,424 "," 27,898 "," 86,321 "
497," 10,233 "," 24,298 "," 34,531 "," 23,565 "," 58,096 "
498," 7,871 "," 25,798 "," 33,668 "," 32,946 "," 66,615 "
499," 42,572 "," 37,268 "," 79,840 "," 9,694 "," 89,534 "
500," 22,370 "," 37,153 "," 59,522 "," 11,311 "," 70,833 "
501," 18,296 "," 34,744 "," 53,040 "," 9,953 "," 62,992 "
502," 31,623 "," 62,494 "," 94,117 "," 20,142 "," 114,259 "
503," 13,136 "," 12,837 "," 25,973 "," 15,845 "," 41,817 "
504," 26,904 "," 17,458 "," 44,362 "," 47,105 "," 91,467 "
505," 38,971 "," 41,137 "," 80,108 "," 42,691 "," 122,799 "
506," 26,541 "," 34,268 "," 60,810 "," 43,511 "," 104,320 "
507," 6,434 "," 9,604 "," 16,038 "," 5,304 "," 21,341 "
508," 17,703 "," 9,232 "," 26,935 "," 7,498 "," 34,433 "
509," 38,921 "," 37,860 "," 76,781 "," 37,402 "," 114,183 "
510," 25,271 "," 19,413 "," 44,683 "," 16,152 "," 60,835 "
511," 23,176 "," 25,678 "," 48,854 "," 17,233 "," 66,087 "
512," 19,305 "," 12,532 "," 31,837 "," 13,786 "," 45,624 "
513," 5,319 "," 12,537 "," 17,856 "," 7,968 "," 25,824 "
514," 25,227 "," 59,510 "," 84,737 "," 34,505 "," 119,242 "
515," 2,022 "," 4,531 "," 6,553 "," 4,712 "," 11,266 "
516," 13,801 "," 46,996 "," 60,797 "," 8,128 "," 68,925 "
517," 11,653 "," 36,552 "," 48,205 "," 10,697 "," 58,902 "
518," 42,388 "," 88,786 "," 131,175 "," 46,370 "," 177,544 "
519," 3,244 "," 1,902 "," 5,146 "," 4,462 "," 9,608 "
520, -   , -   , -   , 991 , 991 
521," 9,904 "," 27,568 "," 37,472 "," 6,528 "," 44,000 "
522," 11,922 "," 39,916 "," 51,839 "," 33,645 "," 85,483 "
523, 840 ," 7,221 "," 8,060 ", -   ," 8,060 "
524," 32,876 "," 57,369 "," 90,246 "," 69,364 "," 159,610 "
525," 62,813 "," 54,951 "," 117,764 "," 73,045 "," 190,809 "
526," 45,253 "," 130,115 "," 175,368 "," 53,165 "," 228,533 "
527," 7,603 "," 7,892 "," 15,495 "," 14,980 "," 30,475 "
,,,,,
 Total RMSP ," 12,263,797 "," 12,868,912 "," 25,132,709 "," 10,528,353 "," 35,661,062 "
,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,
,,,,,
Notas:,,,,,
,,,,,
"São considerados como modo coletivo: metrô, trem, ônibus, transporte fretado e transporte escolar.",,,,,
,,,,,
"São considerados como modo individual: automóvel, táxi, motocicleta e outros.",,,,,
,,,,,
Modo não-motorizado é a soma dos modos a pé e bicicleta.,,,,,
,,,,,
Viagem a pé é aquela realizada a pé da origem ao destino; não se complementa com nenhum outro modo de transporte.  ,,,,,
"Foram consideradas todas as viagens a pé pelos motivos trabalho e escola, independentemente da distância percorrida;",,,,,
"para os demais motivos, quando a distância da viagem a pé  foi superior a 500 metros.",,,,,
