Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 41 , 617 ," 1,739 "," 6,680 "," 6,550 "," 1,413 ", 785 ," 1,577 "," 34,903 ", 126 , 779 , -   ," 55,169 "
 42 , 269 , 989 ," 1,672 "," 2,771 ", 173 , 51 , 218 ," 11,091 ", -   , 51 , 122 ," 17,408 "
 43 , 899 ," 3,845 "," 9,170 "," 10,664 "," 1,074 ", 979 ," 1,497 "," 45,224 ", -   ," 1,510 "," 1,187 "," 76,050 "
 44 , 28 ," 1,023 "," 5,974 "," 2,867 ", 313 ," 1,033 ", 33 ," 36,518 ", -   ," 3,800 "," 1,165 "," 52,753 "
 45 ," 1,285 "," 1,508 "," 10,688 "," 12,930 "," 2,347 "," 3,126 "," 1,357 "," 52,616 ", -   ," 1,518 ", 280 ," 87,656 "
 46 ," 1,452 "," 4,223 "," 9,594 "," 12,865 ", 947 , 183 ," 1,307 "," 26,205 ", 325 , 423 , -   ," 57,525 "
 47 , 653 ," 3,005 "," 9,729 "," 2,498 "," 1,021 ", 621 ," 1,325 "," 13,583 ", -   , -   , -   ," 32,435 "
 48 , -   , 794 ," 6,710 "," 7,525 "," 2,533 ", 255 ," 1,021 "," 18,874 ", -   , -   , 728 ," 38,439 "
 49 , 290 , 653 ," 5,111 "," 3,383 ", 632 ," 1,483 ", 963 ," 23,787 ", -   , 423 , 747 ," 37,471 "
 50 , 920 , 781 ," 2,227 "," 1,866 "," 1,972 ", 770 , 190 ," 8,676 ", -   , 70 , -   ," 17,472 "
 51 , 743 ," 1,260 "," 4,622 "," 5,403 "," 1,041 ", 963 , 678 ," 12,966 ", -   , 683 , -   ," 28,359 "
 52 , 85 , 979 ," 4,564 "," 1,415 "," 1,074 "," 1,272 ", 364 ," 13,344 ", -   ," 1,100 ", 151 ," 24,350 "
 53 , 114 , 856 ," 7,295 "," 3,097 ", 320 , 816 , 992 ," 39,013 ", -   , 747 ," 2,818 "," 56,068 "
 54 , 483 , 363 ," 5,486 "," 2,048 "," 1,597 ", 218 ," 2,110 "," 42,123 ", -   , 246 ," 1,790 "," 56,464 "
 55 , 941 , 445 ," 6,624 "," 4,087 ", 966 , 260 , 873 ," 34,272 ", -   ," 1,609 ", 642 ," 50,720 "
 56 ," 1,020 ", 583 ," 5,150 "," 5,141 "," 1,387 ", 177 ," 2,621 "," 36,179 ", -   ," 1,882 ", 130 ," 54,270 "
 57 , 419 , 683 ," 5,885 "," 5,981 "," 1,667 "," 1,506 "," 2,382 "," 48,838 ", -   ," 1,298 ", 941 ," 69,599 "
 58 , 923 ," 1,538 "," 11,761 "," 9,467 "," 1,859 "," 1,845 "," 4,723 "," 28,281 ", -   ," 1,416 "," 1,606 "," 63,418 "
 59 ," 1,497 "," 3,090 "," 14,272 "," 9,408 "," 4,908 "," 1,922 "," 2,883 "," 43,084 ", -   ," 3,729 "," 1,134 "," 85,926 "
 60 ," 1,041 "," 1,151 "," 6,363 "," 3,855 "," 2,985 "," 1,591 ", 39 ," 23,958 ", -   , 342 , 33 ," 41,358 "
 61 ," 1,903 ", 557 ," 9,172 "," 4,081 "," 4,481 ", 926 ," 1,523 "," 27,304 ", 219 ," 2,652 ", 395 ," 53,213 "
 62 , 84 , 457 ," 2,375 "," 1,203 ", 403 , 345 , 314 ," 33,675 ", -   , 547 , 520 ," 39,924 "
 63 , 113 , 100 ," 1,106 ", 354 ," 2,791 ", 339 , 116 ," 23,264 ", -   , 965 , -   ," 29,149 "
 64 ," 1,605 "," 2,458 "," 10,926 "," 11,620 "," 2,531 "," 1,344 "," 2,202 "," 53,170 ", -   ," 3,476 "," 1,912 "," 91,245 "
 65 , 736 , 826 ," 11,559 "," 6,181 ", 427 , 867 ," 1,608 "," 29,749 ", -   ," 1,031 ", 492 ," 53,476 "
 66 , 516 , 783 ," 5,272 "," 2,994 ", 655 , 456 ," 1,082 "," 47,476 ", -   , 578 ," 1,056 "," 60,868 "
 67 , 479 , 455 ," 3,719 "," 2,130 ", 781 , 244 , 616 ," 16,335 ", -   , 712 , 19 ," 25,490 "
 68 , 451 ," 1,114 "," 13,543 "," 7,556 ", 533 ," 1,000 "," 2,355 "," 73,436 ", -   , 910 ," 3,390 "," 104,288 "
 69 , 960 ," 1,083 "," 4,727 "," 5,340 ", 478 ," 1,162 "," 1,084 "," 44,471 ", -   , 874 ," 2,354 "," 62,534 "
 70 , 294 ," 1,537 "," 4,742 "," 5,763 ", -   , 934 , 611 ," 35,327 ", -   , 549 ," 2,874 "," 52,632 "
 71 ," 2,308 "," 1,138 "," 13,551 "," 7,717 "," 3,873 ", 188 ," 9,348 "," 40,579 ", -   ," 1,024 "," 1,804 "," 81,530 "
 72 , 240 , 218 ," 4,641 "," 4,714 "," 1,279 ", 789 ," 1,000 "," 24,678 ", 130 , 621 ," 1,318 "," 39,627 "
 73 , 487 , 532 ," 16,803 "," 8,885 ", 196 ," 1,424 ", 777 ," 113,697 ", -   ," 1,088 "," 8,242 "," 152,132 "
 74 , 126 , 495 ," 6,422 "," 4,143 ", 635 , 628 , 790 ," 57,022 ", -   , 698 ," 1,817 "," 72,776 "
 75 , 258 , 837 ," 3,949 "," 3,007 ", 420 , 816 ," 1,398 "," 15,117 ", -   ," 1,564 ", 68 ," 27,434 "
 76 , 130 , 602 ," 4,237 "," 2,104 ", 325 , 384 , 599 ," 22,245 ", -   , 334 , 379 ," 31,340 "
 77 , 333 , 324 ," 9,954 "," 5,051 "," 3,025 "," 1,958 "," 2,128 "," 58,053 ", -   ," 1,278 "," 1,503 "," 83,607 "
 78 , 516 , 623 ," 7,203 "," 4,362 ", 782 ," 1,290 "," 1,221 "," 27,279 ", -   , 370 ," 1,302 "," 44,947 "
 79 , 288 , 723 ," 5,229 "," 5,098 ", 528 , 447 ," 1,594 "," 61,103 ", -   ," 1,460 "," 2,193 "," 78,663 "
 80 , 414 ," 1,321 "," 6,419 "," 5,065 "," 1,231 "," 1,377 "," 2,378 "," 38,044 ", -   , 464 ," 1,767 "," 58,479 "
 81 , 306 , 379 ," 5,058 "," 4,246 ", 479 , 845 ," 2,053 "," 42,284 ", -   , 701 , 962 ," 57,313 "
 82 , 945 , 576 ," 8,484 "," 4,975 ", 676 , 707 ," 2,871 "," 85,073 ", -   ," 1,477 "," 5,153 "," 110,938 "
 83 , 610 , 799 ," 11,475 "," 7,603 "," 1,315 ", 916 ," 2,280 "," 39,498 ", -   ," 1,752 "," 2,167 "," 68,414 "
 84 , 238 , 425 ," 6,706 "," 5,366 ", 613 , 368 ," 1,796 "," 29,425 ", -   ," 1,740 "," 1,678 "," 48,355 "
 85 , 113 , 221 ," 1,671 "," 1,285 "," 1,090 ", 163 , 439 ," 7,098 ", -   , 599 , 340 ," 13,018 "
 86 , 87 , 57 , 953 , 723 , 179 , 238 , 575 ," 4,555 ", -   , 44 , -   ," 7,410 "
 87 , 222 , 578 ," 5,694 "," 5,425 ", 916 , 270 ," 1,935 "," 20,319 ", 93 ," 1,283 ", 85 ," 36,821 "
 88 , 942 ," 2,234 "," 18,476 "," 13,063 "," 2,600 "," 1,401 "," 3,778 "," 38,078 ", -   ," 3,163 "," 1,404 "," 85,138 "
 89 , 226 , 385 ," 4,702 "," 3,157 ", 965 , 640 , 431 ," 3,723 ", -   , 183 , -   ," 14,412 "
 90 , 546 , 396 ," 4,576 "," 2,955 "," 1,126 "," 1,473 ", 980 ," 13,640 ", -   , 665 , 240 ," 26,598 "
 91 , 778 ," 2,059 "," 4,067 "," 2,499 ", 54 , 953 ," 2,137 "," 38,193 ", -   ," 1,722 ", 976 ," 53,438 "
 92 , 52 , 555 ," 1,322 "," 1,633 ", 36 , -   ," 1,973 "," 32,883 ", 36 , 384 ," 1,624 "," 40,499 "
 93 , 165 , 263 ," 5,588 "," 3,698 "," 1,670 "," 1,311 "," 3,769 "," 55,146 ", -   , 724 ," 1,256 "," 73,590 "
 94 , 85 , 726 ," 4,874 "," 2,271 ", 336 , 395 , 888 ," 27,836 ", -   , 528 ," 1,554 "," 39,493 "
