Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 176 ," 1,414 "," 3,842 "," 10,169 "," 6,600 ", 420 ," 1,870 "," 1,258 "," 25,248 ", -   ," 1,860 ", -   ," 52,682 "
 177 , 449 ," 1,342 "," 5,053 "," 4,718 ", 478 ," 1,296 ", 230 ," 5,047 ", 91 , 436 , -   ," 19,140 "
 178 , -   , -   , -   , -   , -   , -   , -   ," 8,743 ", -   , -   , -   ," 8,743 "
 179 , - , - , - , - , - , - , - , - , - , - , - , -   
 180 ," 5,749 "," 6,098 "," 19,157 "," 26,763 "," 2,354 "," 1,675 "," 2,639 "," 34,157 ", -   ," 3,331 ", 57 ," 101,981 "
 181 ," 3,904 "," 3,018 "," 11,411 "," 12,527 "," 1,276 "," 2,906 ", 875 ," 33,400 ", -   ," 1,747 ", -   ," 71,065 "
 182 ," 1,937 "," 3,789 "," 13,277 "," 19,887 ", 155 ," 5,012 ", -   ," 25,255 ", -   , 610 , 612 ," 70,534 "
 183 ," 1,435 "," 2,618 "," 14,785 "," 13,406 ", 830 ," 1,699 "," 1,813 "," 15,017 ", 472 ," 5,465 ", -   ," 57,540 "
 184 , 462 ," 1,004 "," 6,567 "," 6,492 ", 653 ," 2,522 "," 1,617 "," 9,038 ", -   ," 1,666 ", -   ," 30,020 "
 185 , 671 ," 2,723 "," 5,940 "," 10,479 ", 140 , 965 , 524 ," 18,379 ", 137 ," 1,845 ", -   ," 41,802 "
 186 , 139 ," 1,135 "," 3,899 "," 3,868 ", 89 , 427 , 258 ," 7,588 ", -   , -   , -   ," 17,405 "
 187 ," 2,538 "," 3,332 "," 14,873 "," 23,452 "," 4,377 "," 2,266 "," 2,061 "," 21,616 ", -   ," 1,314 ", 399 ," 76,228 "
 188 ," 1,993 "," 2,555 "," 8,142 "," 16,273 "," 1,775 "," 1,759 ", 692 ," 38,234 ", -   ," 1,622 ", 97 ," 73,142 "
 189 , 662 ," 4,782 "," 13,195 "," 19,896 "," 1,678 "," 2,510 ", -   ," 29,446 ", 936 , 553 , 469 ," 74,128 "
 190 , 911 ," 2,375 "," 10,057 "," 6,911 "," 2,294 "," 1,799 "," 3,354 "," 35,236 ", -   ," 1,995 "," 1,012 "," 65,944 "
 191 , -   , -   , -   ," 2,585 ", -   , 597 , -   ," 31,024 ", -   , 165 , 198 ," 34,569 "
 192 ," 1,488 "," 2,401 "," 9,180 "," 11,798 "," 2,781 "," 1,951 ", 561 ," 16,727 ", -   ," 2,889 ", 944 ," 50,721 "
 193 , 425 , 972 ," 6,324 "," 6,762 ", -   , 854 , 308 ," 8,819 ", -   , 313 , -   ," 24,777 "
 194 ," 1,168 "," 3,024 "," 3,401 "," 7,382 "," 1,036 ", 743 , 464 ," 12,747 ", -   ," 1,608 ", -   ," 31,573 "
 195 , -   ," 5,109 "," 13,523 "," 13,800 ", 407 , 196 , 191 ," 19,844 ", -   ," 1,350 ", -   ," 54,419 "
 196 , -   ," 1,401 "," 10,875 "," 20,209 "," 2,196 ", 850 , -   ," 19,222 ", -   ," 1,145 ", 447 ," 56,345 "
 197 ," 1,428 "," 1,140 "," 8,062 "," 8,895 ", 586 , 635 , 276 ," 21,935 ", -   , 98 , -   ," 43,054 "
 198 , 83 ," 3,760 "," 9,678 "," 11,685 "," 1,456 "," 1,648 "," 1,352 "," 55,736 ", 849 ," 1,505 ", 237 ," 87,988 "
 199 ," 3,783 "," 9,630 "," 28,482 "," 38,582 "," 2,186 ", 972 , 144 ," 49,580 ", -   ," 3,368 ", -   ," 136,726 "
 200 , 769 ," 4,569 "," 8,632 "," 16,499 "," 1,110 ", 553 ," 1,132 "," 12,927 ", -   ," 2,025 ", -   ," 48,216 "
 201 ," 1,014 "," 3,062 "," 19,255 "," 27,947 ", 808 ," 1,869 ", -   ," 50,569 ", -   ," 1,886 ", -   ," 106,408 "
 202 ," 4,451 "," 4,242 "," 25,264 "," 39,349 "," 4,156 "," 2,451 "," 2,488 "," 44,561 ", -   , 568 , -   ," 127,529 "
 203 , 827 ," 4,463 "," 15,313 "," 24,720 "," 2,648 "," 3,693 ", 218 ," 26,874 ", 250 , 724 , 211 ," 79,942 "
 204 ," 4,672 "," 13,736 "," 19,612 "," 28,148 "," 4,865 "," 8,082 "," 2,646 "," 51,569 ", -   ," 7,716 ", 416 ," 141,463 "
 205 ," 4,422 "," 13,789 "," 24,187 "," 37,511 ", 619 , 473 , 327 ," 48,209 ", -   ," 2,062 ", -   ," 131,600 "
 206 ," 1,275 "," 2,520 "," 13,922 "," 17,969 ", 563 ," 1,539 ", -   ," 35,360 ", 190 ," 1,900 ", 121 ," 75,360 "
 207 ," 2,117 "," 9,256 "," 26,232 "," 30,701 "," 3,640 "," 1,476 ", 657 ," 67,516 ", -   ," 6,855 ", -   ," 148,449 "
 208 ," 2,935 "," 7,463 "," 10,143 "," 7,671 "," 1,921 "," 1,967 "," 5,138 "," 43,012 ", -   , 484 , 281 ," 81,014 "
 209 ," 4,835 "," 3,895 "," 17,131 "," 9,586 "," 1,262 "," 2,515 "," 1,220 "," 28,186 ", -   , 205 , 141 ," 68,975 "
 210 , 805 ," 5,465 "," 5,316 "," 3,796 ", 991 ," 1,914 "," 1,546 "," 41,346 ", -   ," 1,314 ", -   ," 62,494 "
 211 ," 2,857 "," 5,244 "," 17,269 "," 11,074 "," 1,438 "," 1,874 "," 3,055 "," 25,031 ", -   ," 2,377 ", -   ," 70,218 "
 212 ," 2,370 "," 2,882 "," 11,454 "," 11,316 "," 1,951 "," 1,167 ", 331 ," 21,900 ", -   ," 2,058 ", -   ," 55,428 "
 213 ," 1,557 "," 4,579 "," 17,773 "," 10,561 "," 2,875 "," 2,372 "," 1,356 "," 33,998 ", -   , -   , 216 ," 75,286 "
 214 , 933 ," 3,768 "," 5,145 "," 1,732 ", 546 , 396 , 470 ," 22,278 ", -   ," 3,210 ", -   ," 38,479 "
 215 , 976 ," 5,038 "," 8,786 "," 11,212 "," 1,305 ", 810 , 994 ," 27,144 ", -   ," 2,994 ", 655 ," 59,915 "
 216 ," 2,216 ", 221 ," 11,629 "," 14,870 "," 1,172 "," 2,211 "," 1,607 "," 25,908 ", -   , 687 , 329 ," 60,851 "
 217 , 548 ," 1,197 "," 5,270 "," 7,431 ", 486 , 300 , 372 ," 17,626 ", -   , 122 , -   ," 33,353 "
 218 ," 1,176 "," 8,339 "," 17,853 "," 19,856 "," 4,835 "," 5,893 "," 2,309 "," 45,008 ", -   ," 2,871 ", 195 ," 108,335 "
 219 ," 4,395 "," 3,871 "," 13,352 "," 16,622 "," 1,997 "," 1,945 "," 1,879 "," 23,645 ", -   ," 1,219 ", 304 ," 69,229 "
 220 ," 1,389 "," 5,060 "," 6,689 "," 12,598 "," 1,833 "," 1,578 "," 2,265 "," 16,081 ", -   ," 2,191 ", 259 ," 49,942 "
 221 , 881 ," 4,349 "," 8,693 "," 17,182 ", -   ," 1,107 ", 224 ," 39,665 ", -   , 284 , 835 ," 73,218 "
 222 ," 3,748 "," 5,556 "," 11,569 "," 13,839 ", 220 ," 4,237 "," 2,640 "," 27,676 ", -   ," 2,598 ", -   ," 72,083 "
 223 ," 4,694 "," 2,495 "," 8,519 "," 7,202 ", 770 , 185 ," 1,768 "," 19,232 ", -   ," 1,613 ", -   ," 46,477 "
 224 , -   , -   , -   , -   , -   , -   , -   ," 7,445 ", -   , -   , -   ," 7,445 "
 225 ," 2,509 "," 3,623 "," 11,189 "," 13,864 "," 1,339 ", 810 , 734 ," 24,713 ", 256 ," 1,062 ", 406 ," 60,506 "
 226 ," 2,707 "," 8,017 "," 18,734 "," 23,690 "," 2,278 "," 3,986 "," 6,164 "," 43,643 ", -   ," 4,336 ", -   ," 113,556 "
 227 ," 5,123 "," 4,706 "," 13,690 "," 21,357 "," 4,586 "," 1,176 "," 1,102 "," 40,710 ", -   ," 5,818 ", -   ," 98,268 "
 228 ," 4,016 "," 2,185 "," 13,446 "," 16,298 "," 1,471 ", 664 ," 1,495 "," 16,954 ", -   ," 4,450 ", 689 ," 61,667 "
 229 ," 7,644 "," 10,529 "," 44,965 "," 53,622 "," 2,955 "," 4,490 "," 3,052 "," 76,933 ", -   ," 7,395 ", 341 ," 211,926 "
 230 ," 1,002 "," 5,614 "," 13,969 "," 25,698 "," 4,183 "," 4,160 ", -   ," 36,916 ", -   ," 3,674 ", -   ," 95,215 "
 231 ," 4,128 "," 7,153 "," 7,637 "," 10,890 "," 1,513 ", 739 , 446 ," 15,998 ", -   , 273 , -   ," 48,778 "
 232 ," 3,828 "," 3,873 "," 9,880 "," 15,600 "," 2,146 "," 2,058 "," 3,343 "," 27,191 ", -   , 915 , 369 ," 69,202 "
 233 ," 4,682 "," 6,676 "," 15,639 "," 18,881 ", 681 ," 1,469 ", 116 ," 30,535 ", 804 ," 2,917 ", -   ," 82,400 "
 234 ," 4,349 "," 6,211 "," 11,189 "," 23,847 "," 1,949 "," 3,810 "," 1,746 "," 24,176 ", -   ," 4,690 ", -   ," 81,967 "
 235 ," 5,234 "," 9,172 "," 8,774 "," 20,186 "," 2,379 ", 940 ," 1,446 "," 36,713 ", 461 , 275 , 25 ," 85,608 "
 236 , -   ," 1,010 "," 4,477 "," 3,471 ", 942 , 759 , 432 ," 20,918 ", -   ," 1,267 ", 112 ," 33,387 "
 237 , 215 ," 2,041 "," 3,346 "," 2,666 ", 757 , 508 ," 1,277 "," 25,298 ", -   , 993 ," 2,461 "," 39,562 "
 238 ," 1,069 "," 1,159 "," 5,814 "," 3,134 ", 762 ," 1,042 "," 1,837 "," 15,456 ", -   ," 1,347 ", 526 ," 32,146 "
 239 , 366 ," 1,310 "," 8,190 "," 4,062 "," 2,624 "," 1,549 "," 2,559 "," 36,763 ", -   , 858 ," 2,139 "," 60,422 "
 240 , 949 ," 2,421 "," 5,624 "," 5,036 ", 617 , 371 ," 2,819 "," 23,107 ", -   ," 1,487 ", -   ," 42,429 "
 241 ," 1,541 "," 1,281 "," 4,449 "," 4,350 ", 913 , 52 , 717 ," 17,375 ", -   , 852 , 277 ," 31,807 "
 242 ," 2,102 "," 2,320 "," 8,252 "," 7,737 "," 1,347 "," 2,628 "," 3,005 "," 16,984 ", 656 ," 1,406 "," 1,368 "," 47,806 "
 243 ," 5,047 "," 3,334 "," 12,768 "," 13,662 "," 1,957 ", 444 , 444 ," 57,547 ", -   , 536 , 549 ," 96,289 "
 244 ," 4,747 "," 15,690 "," 18,537 "," 20,301 ", 828 ," 1,777 "," 5,240 "," 24,820 ", -   , -   , 730 ," 92,669 "
 245 ," 1,275 "," 2,578 "," 5,386 "," 4,982 "," 2,682 ", 757 , -   ," 7,328 ", -   , 201 , -   ," 25,190 "
 246 ," 1,696 "," 4,432 "," 8,148 "," 6,922 ", 517 ," 2,401 ", 409 ," 16,238 ", -   ," 2,161 ", 131 ," 43,055 "
 247 ," 5,868 "," 2,270 "," 22,844 "," 27,575 ", 524 , 873 ," 4,473 "," 40,178 ", -   ," 1,369 ", -   ," 105,975 "
 248 , -   , -   , 215 , -   , -   , -   , -   ," 1,280 ", -   , -   , -   ," 1,495 "
 249 ," 1,429 "," 8,320 "," 7,531 "," 7,682 "," 4,097 "," 1,888 ", 829 ," 16,641 ", -   ," 3,418 "," 1,543 "," 53,378 "
 250 , -   ," 1,155 "," 7,789 "," 8,892 ", 659 ," 1,921 ", 300 ," 25,631 ", -   , 468 , 40 ," 46,854 "
 251 ," 1,124 "," 3,673 "," 5,406 "," 5,958 "," 1,151 ", 307 ," 1,690 "," 11,803 ", -   , 511 , -   ," 31,624 "
 252 , 407 ," 3,011 "," 8,692 "," 4,245 "," 1,277 "," 1,692 ", 567 ," 11,053 ", -   ," 3,465 ", 164 ," 34,573 "
 253 , 778 , 431 ," 1,027 "," 1,576 ", 160 , 160 , 282 ," 8,856 ", 21 , 199 , -   ," 13,488 "
 254 ," 2,767 "," 6,528 "," 8,883 "," 8,144 "," 2,220 "," 4,603 "," 1,832 "," 64,263 ", -   ," 1,758 ", -   ," 100,999 "
 255 ," 1,539 "," 8,327 "," 16,281 "," 20,196 "," 1,861 "," 1,231 "," 3,680 "," 37,605 ", -   ," 1,153 ", -   ," 91,873 "
 256 , 338 ," 2,809 "," 8,800 "," 12,854 "," 1,033 "," 2,268 ", 762 ," 17,712 ", -   ," 1,636 ", -   ," 48,212 "
 257 ," 3,004 "," 2,996 "," 15,704 "," 11,071 ", 204 ," 1,398 ", 765 ," 16,603 ", -   , 300 , -   ," 52,044 "
 258 ," 7,374 ", 828 ," 19,877 "," 12,682 "," 3,087 "," 3,600 ", 491 ," 29,041 ", -   ," 4,520 ", 236 ," 81,737 "
 259 ," 1,597 "," 5,221 "," 7,056 "," 11,648 "," 1,876 ", -   , 394 ," 7,294 ", -   , 812 , -   ," 35,897 "
 260 ," 1,382 "," 2,077 "," 25,747 "," 11,663 ", 714 ," 1,544 "," 2,313 "," 16,696 ", -   ," 1,651 ", -   ," 63,786 "
 261 ," 1,844 "," 7,615 "," 11,850 "," 16,307 "," 1,693 ", 708 ," 2,086 "," 39,266 ", 568 ," 2,039 ", -   ," 83,977 "
 262 ," 12,163 "," 5,829 "," 6,843 "," 17,032 "," 1,967 "," 4,220 "," 3,000 "," 22,441 ", -   , 165 , -   ," 73,661 "
 263 ," 6,245 "," 4,189 "," 14,623 "," 18,899 "," 1,597 "," 3,316 "," 1,337 "," 44,300 ", -   ," 1,099 ", -   ," 95,605 "
 264 , 781 ," 7,447 "," 25,650 "," 20,357 "," 2,233 ", -   , 668 ," 55,301 ", -   ," 2,304 "," 1,591 "," 116,332 "
 265 ," 2,814 "," 7,437 "," 8,942 "," 16,473 ", 944 ," 1,641 ", 423 ," 37,503 ", 705 ," 3,234 "," 1,730 "," 81,846 "
 266 ," 1,316 ", 805 ," 5,183 "," 7,211 ", 404 , 999 ," 1,266 "," 8,912 ", -   ," 1,190 ", -   ," 27,287 "
 267 ," 1,446 "," 3,342 "," 5,406 "," 10,165 ", 124 ," 1,802 "," 2,108 "," 31,095 ", -   ," 1,011 ", 320 ," 56,819 "
 268 , 497 ," 1,183 "," 4,883 "," 4,302 "," 1,161 "," 1,090 ", 303 ," 14,312 ", -   , 600 , 370 ," 28,702 "
 269 , 766 ," 3,174 "," 8,229 "," 9,657 "," 1,720 ", 958 ," 3,195 "," 29,489 ", -   ," 1,377 "," 1,125 "," 59,689 "
 270 , 473 , 401 ," 4,677 "," 2,359 ", 519 , 619 , 800 ," 14,268 ", -   , 127 , 118 ," 24,360 "
 271 , -   , -   , -   , 420 , 784 , -   , -   ," 13,406 ", -   , 69 , 402 ," 15,082 "
 272 , 771 , 835 ," 6,962 "," 7,679 ", 972 , 788 , 961 ," 20,720 ", -   , 775 , 214 ," 40,677 "
 273 ," 1,525 "," 4,965 "," 25,901 "," 19,524 ", 183 ," 2,611 "," 1,690 "," 30,886 ", -   , 959 , 245 ," 88,489 "
 274 ," 1,037 "," 4,299 "," 12,073 "," 8,768 "," 2,150 "," 1,764 "," 3,035 "," 61,230 ", -   ," 2,229 ", 553 ," 97,138 "
 275 ," 1,215 "," 2,769 "," 11,306 "," 12,307 "," 2,372 "," 3,211 ", 96 ," 41,402 ", -   , 405 , 187 ," 75,269 "
 276 ," 6,070 "," 11,527 "," 32,705 "," 35,910 "," 6,256 "," 7,857 "," 2,280 "," 36,362 ", -   ," 2,506 ", 574 ," 142,047 "
 277 ," 1,595 "," 1,346 "," 11,948 "," 14,992 ", 381 ," 1,572 "," 2,735 "," 30,633 ", -   ," 4,669 ", -   ," 69,872 "
 278 ," 4,063 "," 10,904 "," 38,838 "," 37,968 "," 3,533 "," 7,967 "," 6,779 "," 60,470 ", 495 ," 8,626 ", 320 ," 179,963 "
 279 ," 4,825 "," 8,256 "," 19,434 "," 17,760 "," 1,055 "," 1,985 "," 2,674 "," 17,433 ", -   ," 3,362 ", -   ," 76,783 "
 280 , 944 ," 2,025 "," 6,145 "," 6,988 "," 1,938 ", -   , 171 ," 38,068 ", -   , -   , 958 ," 57,237 "
 281 , 391 ," 4,121 "," 9,181 "," 9,108 "," 1,400 "," 1,448 ", 352 ," 32,218 ", 294 , 745 , 753 ," 60,011 "
 282 , 811 ," 5,187 "," 6,489 "," 7,731 "," 2,495 "," 3,751 ", 635 ," 29,196 ", -   , 978 , -   ," 57,273 "
 283 , 699 , 922 ," 6,616 "," 4,213 ", 797 , 613 ," 1,952 "," 7,242 ", -   , -   , 164 ," 23,216 "
 284 ," 2,856 "," 5,167 "," 17,267 "," 6,789 ", 957 , 519 ," 1,337 "," 31,146 ", -   ," 2,317 ", 143 ," 68,497 "
 285 ," 6,288 "," 3,140 "," 27,540 "," 36,312 ", 363 ," 1,020 "," 1,167 "," 22,344 ", -   , 249 , -   ," 98,423 "
 286 , 850 , 841 ," 3,366 "," 2,563 ", 826 , 339 , 345 ," 31,892 ", -   , 477 , -   ," 41,499 "
 287 , 991 , 404 ," 10,608 "," 10,003 ", -   ," 1,461 "," 1,466 "," 29,415 ", -   ," 2,449 ", 630 ," 57,427 "
 288 , 527 , 585 ," 5,815 "," 5,619 "," 1,431 ", 580 , 333 ," 37,520 ", -   , 650 , 486 ," 53,546 "
 289 , 765 ," 1,794 "," 13,339 "," 19,536 "," 1,557 "," 1,113 "," 1,043 "," 45,249 ", -   , 709 , -   ," 85,105 "
 290 ," 1,706 "," 1,203 "," 18,899 "," 13,004 "," 2,099 "," 2,648 "," 1,126 "," 22,185 ", -   ," 6,670 ", 147 ," 69,688 "
 291 ," 3,437 "," 3,137 "," 18,231 "," 22,142 "," 1,352 "," 2,204 ", -   ," 33,960 ", -   ," 3,132 ", -   ," 87,595 "
 292 ," 1,125 "," 3,116 "," 19,221 "," 27,455 "," 1,649 ", 849 , -   ," 32,672 ", -   , -   , -   ," 86,088 "
 293 , 225 ," 1,820 "," 17,125 "," 16,864 "," 2,313 "," 2,711 ", -   ," 29,852 ", -   ," 2,773 ", -   ," 73,683 "
 294 ," 2,485 "," 6,557 "," 16,357 "," 27,526 ", 794 ," 1,510 "," 1,852 "," 43,898 ", -   ," 4,567 ", -   ," 105,546 "
 295 ," 4,218 "," 5,291 "," 25,595 "," 46,560 "," 3,975 "," 2,169 "," 3,022 "," 50,872 ", -   , 662 , -   ," 142,365 "
 296 , -   ," 1,167 "," 2,505 "," 1,184 ", 484 , -   , -   ," 2,785 ", -   , 47 , -   ," 8,171 "
 297 , 165 , -   ," 1,430 "," 2,090 ", 215 , -   , 55 ," 3,487 ", -   , 30 , -   ," 7,472 "
 298 ," 3,612 "," 6,488 "," 30,920 "," 60,043 "," 2,663 "," 6,879 "," 2,301 "," 95,375 "," 1,562 "," 2,674 ", 142 ," 212,658 "
 299 , -   , 924 ," 3,389 "," 2,648 ", 128 , 149 , -   ," 1,577 ", -   , 26 , -   ," 8,839 "
 300 , -   , -   , -   , -   , -   , -   , -   , 112 , -   , -   , -   , 112 
 301 ," 1,874 "," 5,648 "," 12,400 "," 8,663 "," 2,773 ", 897 ," 1,536 "," 132,252 ", -   ," 1,060 "," 5,100 "," 172,202 "
 302 ," 1,578 ", 139 ," 4,243 "," 3,533 "," 1,569 ", 265 ," 1,371 "," 36,963 ", -   , 425 , 240 ," 50,327 "
 303 ," 1,042 "," 2,219 "," 6,426 "," 6,162 ", 694 , 116 , 511 ," 59,702 ", -   , 478 ," 1,268 "," 78,618 "
 304 , 409 , 873 ," 4,117 "," 3,369 ", 400 , 380 , 720 ," 42,463 ", -   , 667 , 269 ," 53,666 "
 305 ," 1,282 "," 11,415 "," 26,719 "," 27,389 "," 1,788 ", 454 , 418 ," 57,848 ", -   , 855 , 299 ," 128,466 "
 306 ," 4,609 "," 6,498 "," 43,261 "," 37,617 "," 3,069 "," 4,102 "," 5,869 "," 57,084 ", -   ," 4,750 ", 869 ," 167,729 "
 307 ," 6,517 "," 11,467 "," 16,112 "," 14,243 "," 2,084 "," 9,100 ", -   ," 20,281 ", -   , 460 , -   ," 80,265 "
 308 ," 4,530 "," 13,406 "," 33,204 "," 33,125 ", 698 ," 3,416 ", 714 ," 43,264 ", 619 , -   , -   ," 132,977 "
 309 , 712 ," 2,091 "," 12,217 "," 21,455 ", 958 ," 2,654 ", 263 ," 23,874 ", -   ," 3,094 ", -   ," 67,317 "
 310 ," 3,039 "," 4,669 "," 17,425 "," 19,647 ", 556 ," 1,454 ", 260 ," 20,547 ", -   ," 2,041 ", -   ," 69,639 "
 311 , 180 ," 2,614 "," 6,083 "," 6,487 "," 1,341 ", 695 , 616 ," 12,951 ", -   , 986 , -   ," 31,952 "
 312 ," 4,508 "," 12,340 "," 23,706 "," 23,759 "," 1,136 "," 1,277 ", 742 ," 51,503 ", -   , 193 , -   ," 119,164 "
 313 ," 1,024 "," 1,667 "," 9,966 "," 16,409 "," 1,564 ", 933 ," 3,442 "," 43,063 ", -   ," 1,823 ", 624 ," 80,514 "
 314 ," 1,124 ", 790 ," 7,129 "," 6,971 ", 933 ," 1,255 "," 1,143 "," 14,733 ", -   ," 1,331 ", 272 ," 35,681 "
 315 ," 1,856 "," 3,032 "," 24,735 "," 26,394 "," 6,103 "," 3,031 "," 2,337 "," 48,838 ", -   ," 1,772 ", -   ," 118,096 "
 316 ," 5,780 "," 12,200 "," 30,832 "," 34,065 "," 3,239 "," 2,659 ", -   ," 42,813 ", -   ," 5,062 ", -   ," 136,651 "
 317 , 523 , 732 ," 4,611 "," 5,568 ", 508 , 364 , 371 ," 27,618 ", -   ," 1,024 ", 311 ," 41,630 "
 318 , 89 , 245 , 669 , 900 , 154 , 164 , 211 ," 13,721 ", -   , 100 , 47 ," 16,300 "
 319 , 494 , 450 ," 5,754 "," 7,825 "," 1,425 "," 1,026 ", 800 ," 23,357 ", -   ," 1,774 ", 165 ," 43,071 "
 320 , 215 , 655 ," 2,877 "," 3,424 ", 991 , 351 , 698 ," 30,515 ", -   , 465 , -   ," 40,189 "
 321 ," 3,305 "," 10,956 "," 27,762 "," 22,168 "," 2,802 "," 2,296 "," 3,614 "," 34,343 ", 158 ," 3,261 ", 206 ," 110,870 "
 322 , 877 ," 2,735 "," 13,689 "," 19,579 ", 929 ," 1,660 "," 2,820 "," 38,965 ", -   , 705 , 379 ," 82,337 "
 323 ," 1,311 "," 3,386 "," 22,017 "," 17,901 "," 1,586 "," 2,013 "," 2,004 "," 35,634 ", -   , 437 , -   ," 86,289 "
 324 , 841 ," 5,495 "," 28,561 "," 24,130 "," 1,324 "," 5,693 ", 555 ," 27,098 ", -   ," 2,948 ", -   ," 96,646 "
 325 ," 2,858 "," 2,796 "," 25,027 "," 16,910 ", -   ," 1,351 "," 7,008 "," 35,848 ", -   , 576 , 302 ," 92,677 "
 326 , 921 ," 3,962 "," 12,324 "," 20,809 ", 583 , 864 , -   ," 36,365 ", -   ," 2,564 ", 51 ," 78,443 "
 327 ," 4,090 "," 5,193 "," 12,150 "," 17,683 "," 1,932 "," 4,733 "," 2,437 "," 20,450 ", 584 ," 4,456 ", -   ," 73,709 "
 328 ," 1,254 "," 1,732 "," 9,375 "," 7,841 "," 1,011 ", 897 ," 1,325 "," 8,735 ", -   , 700 , 270 ," 33,140 "
 329 ," 1,225 "," 1,104 "," 5,839 "," 6,357 ", 556 , 279 ," 1,025 "," 11,052 ", -   ," 2,676 ", 394 ," 30,507 "
 330 , 560 ," 1,530 "," 9,128 "," 9,821 ", 842 , 692 ," 1,694 "," 32,463 ", -   , 772 , -   ," 57,501 "
 331 ," 3,466 "," 2,855 "," 9,640 "," 8,679 ", -   , 398 , 383 ," 13,386 ", -   , 598 , 423 ," 39,829 "
 332 ," 1,021 "," 7,126 "," 10,919 "," 12,283 "," 2,575 "," 1,193 ", 431 ," 19,929 ", -   ," 2,793 ", -   ," 58,269 "
 333 , -   ," 4,168 "," 9,100 "," 12,378 ", 751 , 415 , -   ," 20,860 ", -   , 598 , 220 ," 48,489 "
 334 , 751 ," 3,361 "," 4,856 "," 7,626 "," 1,103 "," 1,049 ", 547 ," 10,916 ", -   , 738 , -   ," 30,947 "
 335 ," 1,879 "," 2,805 "," 12,953 "," 9,656 ", 583 ," 1,732 ", 452 ," 19,100 ", -   ," 1,394 ", -   ," 50,555 "
 336 , 499 ," 3,005 "," 9,651 "," 18,095 ", 775 ," 3,170 ", 279 ," 11,423 ", -   ," 5,212 ", -   ," 52,109 "
 337 ," 2,348 "," 3,995 "," 14,946 "," 19,247 ", 857 ," 1,470 "," 1,422 "," 23,679 ", -   ," 2,998 ", 55 ," 71,017 "
 338 ," 1,122 "," 1,009 "," 9,116 "," 5,575 ", 194 , 395 ," 2,888 "," 16,254 ", -   , 509 , 188 ," 37,250 "
 339 ," 1,223 "," 3,230 "," 12,760 "," 10,219 ", 228 , 844 , 278 ," 22,493 ", -   ," 1,572 ", -   ," 52,847 "
 340 , -   , 456 ," 2,600 "," 1,414 ", 94 , 391 , 331 ," 60,271 ", -   , 401 , 998 ," 66,955 "
 341 , 222 , 775 ," 3,861 "," 3,152 ", 555 , 44 , 371 ," 22,405 ", 41 ," 1,185 ", 268 ," 32,878 "
 342 ," 1,413 ", 223 ," 3,926 "," 3,554 ", 934 , 758 ," 1,144 "," 11,293 ", -   , 917 , -   ," 24,162 "
 343 , -   ," 2,250 "," 9,020 "," 10,464 "," 1,200 "," 1,102 ", 381 ," 25,016 ", -   , 191 , 303 ," 49,927 "
 344 , 221 , 209 ," 1,453 "," 2,262 ", 149 , -   , 20 ," 1,558 ", -   , 78 , -   ," 5,950 "
 345 ," 2,154 "," 3,596 "," 20,135 "," 22,420 ", -   , 305 , -   ," 43,507 ", -   , -   , 426 ," 92,542 "
 346 ," 3,286 "," 3,483 "," 11,443 "," 8,298 "," 1,179 "," 1,291 ", -   ," 13,571 ", -   , -   , -   ," 42,552 "
 347 , -   , -   , -   , -   , -   , -   , -   ," 1,431 ", -   , -   , -   ," 1,431 "
 348 ," 14,762 "," 9,448 "," 17,203 "," 27,264 "," 1,558 "," 4,725 "," 1,465 "," 76,290 ", -   ," 2,602 ", 855 ," 156,171 "
 349 , 398 , 575 ," 1,962 "," 6,184 ", 68 , 151 , -   ," 14,941 ", -   , 546 , -   ," 24,826 "
 350 , -   , -   , -   , -   , -   , -   , -   , 997 , -   , -   , -   , 997 
 351 ," 3,876 "," 7,037 "," 11,286 "," 22,077 ", 331 ," 2,893 "," 2,980 "," 43,136 ", -   ," 1,402 ", -   ," 95,018 "
 352 ," 3,611 "," 10,368 "," 15,940 "," 22,421 ", -   , 540 ," 2,646 "," 32,326 ", -   , 223 , 613 ," 88,688 "
 353 , -   , -   , -   , 613 , -   , -   , -   ," 2,979 ", -   , -   , -   ," 3,591 "
 354 , - , - , - , - , - , - , - , - , - , - , - , -   
 355 , - , - , - , - , - , - , - , - , - , - , - , -   
 356 , 678 ," 4,728 "," 15,674 "," 23,744 ", 232 , 584 ," 1,775 "," 37,637 ", -   ," 2,458 ", -   ," 87,509 "
 357 ," 6,599 "," 11,749 "," 14,052 "," 27,586 "," 1,198 "," 1,829 ", 696 ," 39,246 ", -   ," 2,625 ", -   ," 105,580 "
 358 , 168 , 62 ," 1,407 "," 2,126 ", 27 , 27 , 546 , 127 , -   ," 1,159 ", -   ," 5,649 "
