Tabela 7,,,,,
Famílias por Número de Automóveis Particulares e Zona de Residência – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
Zona de Residência,Famílias por Número de Automóveis Particulares,,,,Total de famílias
,Nenhum,1,2,3 ou mais,
,,,,,
150,"9,337","6,916","1,037",0,"17,291"
151,"21,635","13,362",0,0,"34,997"
152,"5,886","7,007","1,401",0,"14,294"
153,784,"5,224",522,131,"6,661"
154,"7,110","10,665","1,422",0,"19,197"
155,"7,321","2,013",549,0,"9,883"
156,"5,516","9,000",871,0,"15,387"
157,"3,089","2,288",572,0,"5,949"
158,"9,789","9,789",783,0,"20,362"
159,"13,465","7,818",869,434,"22,586"
160,"8,410","8,410","1,911",382,"19,114"
161,"11,647","5,647",353,0,"17,647"
162,"3,837","1,857",495,0,"6,189"
163,"5,816","9,305",872,291,"16,284"
164,"1,891","1,109",196,65,"3,261"
165,530,742,53,0,"1,325"
166,"1,949","9,015","1,706",244,"12,914"
167,"1,696","3,393","1,091",121,"6,301"
168,"3,263","6,090","1,088",218,"10,658"
169,"4,865","5,879","1,014",0,"11,758"
170,"7,256","6,954","1,209",0,"15,419"
171,"6,583","5,685","1,795",898,"14,961"
172,"4,968","4,395",764,0,"10,127"
173,"4,363","5,453",727,0,"10,543"
174,"8,018","8,018","1,002",0,"17,039"
175,"5,365","7,243",805,0,"13,413"
176,"12,179","4,608",658,0,"17,445"
177,"3,381","1,771",80,0,"5,232"
178,,,,0,0
179,,,,0,0
180,"15,792","8,573",451,0,"24,816"
181,"8,939","7,152",894,0,"16,985"
182,"6,344","8,013","2,003",334,"16,694"
183,"6,287","9,430",629,0,"16,345"
184,"3,716","3,716",485,323,"8,239"
185,"5,415","3,249",722,0,"9,385"
186,"1,392","1,759",440,73,"3,664"
187,"10,697","6,204",0,0,"16,902"
188,"4,970","4,572",398,199,"10,139"
189,"10,447","6,965",696,0,"18,108"
190,"4,869","8,200",769,0,"13,838"
191,,,,0,0
192,"7,114","6,019",821,0,"13,954"
193,"5,480","3,083",171,0,"8,734"
194,"6,061","2,387",551,0,"8,999"
195,"7,791","6,179",537,0,"14,508"
196,"6,166","5,455",474,0,"12,095"
197,"3,639","4,301",331,0,"8,271"
198,"4,647","4,131",688,0,"9,466"
199,"21,128","11,676","1,112",0,"33,916"
200,"8,158","3,263",0,0,"11,421"
201,"12,160","10,358","1,801",0,"24,319"
202,"13,379","10,512","2,867",0,"26,758"
203,"12,167","5,726",239,0,"18,131"
204,"21,502","17,541",566,0,"39,609"
205,"20,297","12,841",414,0,"33,553"
206,"7,517","6,404",278,0,"14,199"
207,"15,488","9,196",484,0,"25,168"
208,"7,794","8,729",624,0,"17,147"
209,"4,716","7,664","2,358",884,"15,623"
210,"3,289","7,589","2,277",0,"13,155"
211,"9,903","11,253","1,801",0,"22,957"
212,"8,883","5,158","1,433",0,"15,473"
213,"7,178","9,135",979,326,"17,618"
214,"5,797","3,261",725,0,"9,782"
215,"5,141","8,467","1,512",0,"15,120"
216,"5,584","8,230",882,0,"14,696"
217,"7,204","4,585",0,0,"11,789"
218,"16,810","8,150",0,0,"24,960"
219,"4,830","11,041","1,035",345,"17,251"
220,"6,122","4,408","1,714",245,"12,489"
221,"7,040","12,125",782,0,"19,948"
222,"5,055","8,425","3,370",337,"17,187"
223,"5,741","4,306",410,0,"10,457"
224,,,,0,0
225,"11,128","4,637",464,0,"16,229"
226,"17,679","11,560","1,020",340,"30,599"
227,"11,929","9,941",795,0,"22,665"
228,"11,034","4,681","1,003",0,"16,718"
229,"33,300","13,940",387,387,"48,014"
230,"17,733","5,011",0,0,"22,744"
231,"10,026","6,517",251,251,"17,044"
232,"8,221","7,340",587,0,"16,149"
233,"12,497","7,093",675,0,"20,265"
234,"16,309","9,102",379,0,"25,790"
235,"18,836","8,073",0,0,"26,909"
236,"2,328","2,161",416,83,"4,988"
237,"2,037","2,546",255,0,"4,837"
238,"4,009","3,368",962,0,"8,339"
239,"2,420","2,996",230,230,"5,877"
240,"2,534","4,646",704,282,"8,165"
241,"1,480","2,466",329,0,"4,275"
242,"5,845","4,762",649,0,"11,256"
243,"5,066","10,494","2,533",362,"18,455"
244,"13,530","9,797",933,0,"24,260"
245,"3,034","5,500",948,0,"9,482"
246,"5,891","4,208",842,421,"11,361"
247,"16,436","19,425","1,494",0,"37,355"
248,,,,0,0
249,"7,112","6,223",889,296,"14,521"
250,"2,102","3,924","1,261",280,"7,568"
251,"1,795","7,180","1,197",0,"10,172"
252,"2,739","4,181",865,288,"8,074"
253,"1,502",531,23,0,"2,056"
254,"3,750","8,035","2,143",268,"14,195"
255,"6,476","18,349","2,159",0,"26,984"
256,"5,518","4,881","1,061",0,"11,460"
257,"8,044","8,688",965,0,"17,698"
258,"11,654","11,168","2,913",0,"25,735"
259,"5,578","5,820",970,0,"12,369"
260,"9,818","5,216",0,307,"15,341"
261,"11,527","6,287","1,048",349,"19,211"
262,"18,637","9,867",0,0,"28,504"
263,"15,012","6,005",858,0,"21,875"
264,"11,198","11,198",896,448,"23,739"
265,"7,694","5,496","1,924",275,"15,389"
266,"3,230","3,652",421,0,"7,303"
267,"6,414","4,645",664,0,"11,723"
268,"1,260","2,724",919,204,"5,108"
269,"1,981","7,924","2,377",792,"13,074"
270,"1,760","2,182",493,0,"4,434"
271,,,,0,0
272,"3,060","4,973",918,0,"8,951"
273,"8,795","12,961","2,315",0,"24,071"
274,"6,156","5,928",684,0,"12,769"
275,"5,935","8,013","1,781",0,"15,729"
276,"18,338","11,327","2,697",0,"32,362"
277,"7,377","12,813","1,941",0,"22,132"
278,"30,525","13,293",739,0,"44,557"
279,"17,050","10,961",0,0,"28,011"
280,"2,619","5,641","1,007",604,"9,872"
281,"1,903","11,182","2,141",238,"15,464"
282,"3,955","7,416","2,225",0,"13,596"
283,897,"4,227","1,537",0,"6,660"
284,"11,242","6,370","1,124",375,"19,111"
285,"21,894","17,250","1,327",0,"40,470"
286,"1,487","2,712",437,0,"4,637"
287,"3,493","5,433",970,388,"10,284"
288,"1,755","3,259","1,253",376,"6,643"
289,"5,794","7,726","2,575",0,"16,095"
290,"7,406","7,777","3,333",0,"18,516"
291,"14,692","10,900",0,474,"26,066"
292,"10,286","11,628","1,342",0,"23,255"
293,"11,948","15,585",0,0,"27,533"
294,"21,844","13,208","1,016",0,"36,068"
295,"26,485","16,921","1,471",0,"44,878"
296,"5,162","2,294",0,0,"7,456"
297,354,"1,344",283,141,"2,122"
298,"29,726","19,592","1,351",0,"50,670"
299,"2,880","2,160",144,0,"5,184"
300,,,,0,0
301,"7,223","9,193",985,328,"17,730"
302,535,"2,208","1,405",535,"4,684"
303,"3,086","4,261",441,0,"7,788"
304,"1,428","3,366",918,102,"5,814"
