Tabela 2,,,,,,,,,,,,
População por Faixa Etária e Zona de Residência – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de,População por Faixa Etária  (em anos),,,,,,,,,,,
Residência,até 3,4 a 6,7 a 10,11 a 14,15 a 17,18 a 22,23 a 29,30 a 39,40 a 49,50 a 59,60 e mais, Total 
 70 ,495,304,438,0,37,831,918,"1,841","2,956","2,105","3,446","13,371"
 71 ,927,484,"2,148",719,945,"1,157","1,536","4,087","6,161","4,757","8,379","31,301"
 72 ,428,797,150,531,104,777,497,"1,806","2,685","1,913","3,491","13,179"
 73 ,419,329,240,467,300,324,659,"1,295","2,158","1,543","2,136","9,870"
 74 ,431,260,341,409,202,378,729,"1,705","2,191","1,611","3,266","11,524"
 75 ,303,462,429,494,129,624,713,"1,910","2,616","1,853","3,706","13,239"
 76 ,247,190,339,402,83,448,492,"1,334","1,821","1,293","2,601","9,249"
 77 ,747,225,"1,015",511,467,529,"1,499","3,382","4,641","2,983","6,334","22,332"
 78 ,379,578,549,779,466,438,"1,082","2,622","3,542","2,510","5,050","17,995"
 79 ,368,71,379,410,166,375,529,"1,382","1,902","1,303","2,669","9,554"
 80 ,0,582,890,705,266,828,"1,209","2,750","3,729","2,909","5,207","19,075"
 81 ,320,491,259,465,319,454,698,"1,624","2,279","1,717","3,287","11,912"
 82 ,279,644,0,574,319,468,768,"1,801","2,409","1,814","3,320","12,398"
 83 ,622,962,878,376,70,"1,380","1,412","3,239","4,547","3,428","6,465","23,379"
 84 ,458,405,810,481,355,970,983,"2,428","3,105","2,274","4,430","16,698"
 85 ,130,37,248,139,155,166,266,633,780,593,"1,144","4,291"
 86 ,105,0,139,104,102,116,196,470,578,372,850,"3,031"
 87 ,180,891,323,666,325,909,"1,071","2,490","3,060","2,332","4,501","16,749"
 88 ,870,"1,536","1,138","1,263",966,"1,524","2,729","5,891","7,236","5,330","10,649","39,132"
 89 ,223,0,348,565,256,667,870,"1,360","2,507","1,815","3,713","12,325"
 90 ,189,428,326,590,180,783,819,"1,925","2,366","1,804","3,298","12,709"
 91 ,544,120,591,350,716,855,"1,091","2,508","2,486","2,048","3,030","14,340"
 92 ,125,153,170,150,131,182,244,539,624,440,729,"3,486"
 93 ,212,450,361,472,148,766,811,"1,648","1,910","1,345","2,228","10,352"
 94 ,245,0,386,261,162,402,470,833,"1,158",817,"1,356","6,089"
 95 ,282,282,705,590,504,788,"1,064","2,238","2,438","2,455","5,026","16,371"
 96 ,220,62,185,259,105,408,409,840,"1,022",884,"2,033","6,426"
 97 ,381,290,626,418,409,796,"1,001","2,085","2,403","2,269","4,811","15,490"
 98 ,224,256,256,520,241,643,646,"1,028","1,746","1,111","2,161","8,832"
 99 ,326,400,224,335,135,575,618,"1,236","1,517","1,294","2,087","8,747"
 100 ,621,0,833,"1,141",182,"1,686","1,344","3,810","4,222","3,795","6,075","23,708"
 101 ,0,0,"1,503",395,365,"1,139","1,243","3,389","3,777","3,392","6,363","21,565"
 102 ,502,240,335,624,363,738,624,"1,598","2,090","1,785","3,157","12,055"
 103 ,70,23,106,133,71,96,198,333,402,379,691,"2,503"
 104 ,226,126,433,179,233,361,527,981,"1,265",918,"1,140","6,389"
 105 ,465,432,368,756,316,779,995,"1,915","2,520","2,018","2,437","13,001"
 106 ,346,148,350,296,226,348,717,"1,092","1,408","1,126",947,"7,004"
 107 ,309,911,548,768,371,744,"1,754","2,275","3,075","2,572","3,034","16,361"
 108 ,213,294,71,112,104,316,379,825,"1,064",850,"1,057","5,285"
 109 ,"5,422","2,786","7,153","5,722","5,407","6,878","11,672","19,266","17,098","15,246","22,998","119,648"
 110 ,"3,227","2,592",227,"2,051","1,643","6,072","6,620","8,166","11,745","9,787","12,411","64,542"
 111 ,"1,782",480,"1,521","2,996","2,268","3,365","4,742","9,808","7,697","6,144","10,428","51,231"
 112 ,"1,236","1,031","1,519","1,963","2,464",656,"4,130","7,438","7,360","5,451","6,613","39,861"
 113 ,859,888,959,"1,289",808,"1,341","2,194","3,446","4,242","3,426","5,893","25,344"
 114 ,-,-,-,-,-,-,-,-,-,-,-, -   
 115 ,"1,790","3,220","3,014","3,332","2,430","3,288","5,451","9,145","7,581","5,808","6,901","51,960"
