Tabela 2,,,,,,,,,,,,
População por Faixa Etária e Zona de Residência – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de,População por Faixa Etária  (em anos),,,,,,,,,,,
Residência,até 3,4 a 6,7 a 10,11 a 14,15 a 17,18 a 22,23 a 29,30 a 39,40 a 49,50 a 59,60 e mais, Total 
 278 ,"5,385","7,493","6,159","6,518","5,115","7,387","14,221","20,257","18,792","14,602","17,018","122,947"
 279 ,"3,082","3,023","4,957","4,635","1,710","5,680","9,360","9,755","12,387","9,357","10,887","74,833"
 280 ,"1,301",0,833,419,630,"1,564","1,929","3,879","4,834","3,577","6,597","25,563"
 281 ,"1,071",786,"1,023","1,705","1,108","1,773","3,028","5,481","6,821","5,971","10,878","39,645"
 282 ,"1,587",93,"1,757","1,112",604,"1,452","3,152","5,322","5,977","6,118","9,059","36,235"
 283 ,513,806,402,774,344,"1,234",923,"2,413","3,008","2,284","4,660","17,362"
 284 ,"1,712","1,455","2,866","2,842",885,"1,930","6,662","9,624","9,945","7,783","6,748","52,453"
 285 ,"7,082","1,596","8,364","5,936","6,185","7,973","12,144","20,318","18,278","13,537","13,785","115,198"
 286 ,206,370,142,653,604,96,915,"1,752","1,858","1,789","3,128","11,511"
 287 ,"1,057",698,"1,478","1,014","1,215","1,080","2,446","3,074","4,506","4,063","6,853","27,485"
 288 ,"1,166",475,"1,174",400,871,"1,000","1,779","2,873","3,005","2,500","3,018","18,261"
 289 ,"1,282","1,326","3,316","2,605","1,595","3,381","6,233","7,047","6,908","5,322","5,832","44,846"
 290 ,"2,305",490,"3,281","3,624","2,346","2,955","6,398","9,170","8,650","5,403","8,259","52,880"
 291 ,"3,939","2,653","1,974","3,792","2,978","2,687","8,997","12,345","12,224","8,956","10,462","71,006"
 292 ,"3,334","3,474","3,573","4,096","3,647","3,345","8,732","11,426","9,102","7,920","6,431","65,079"
 293 ,0,"3,638","4,379","4,328","3,489","8,292","8,663","13,828","12,832","9,570","7,886","76,903"
 294 ,"7,763","3,432","4,831","6,651","2,517","8,467","14,242","16,661","14,186","11,607","11,415","101,771"
 295 ,"7,396","5,545","7,615","8,041","4,255","12,229","14,595","21,279","18,823","14,788","14,774","129,341"
 296 ,"1,606",722,919,"1,554","1,144","1,498","2,578","3,356","3,161","2,483","2,320","21,341"
 297 ,444,208,238,275,133,348,"1,116","1,171","1,039",608,741,"6,321"
 298 ,"8,842","9,956","6,588","9,805","7,488","11,226","18,959","23,703","21,191","16,902","16,533","151,193"
 299 ,710,563,227,686,532,912,"1,819","1,808","1,408","1,252","1,810","11,727"
 300 ,-,-,-,-,-,-,-,-,-,-,-, -   
 301 ,"1,336",0,"1,515","1,563",585,"2,741","3,978","4,522","7,491","6,135","11,821","41,686"
 302 ,353,176,910,310,225,459,"1,298","1,686","2,033","1,834","3,267","12,550"
 303 ,78,898,601,726,471,975,"1,415","2,802","3,364","2,677","5,001","19,007"
 304 ,380,622,552,444,441,734,981,"1,925","2,321","2,096","3,731","14,227"
 305 ,"5,134","1,510","5,315","2,304","2,885","6,315","5,003","12,859","12,204","10,164","9,711","73,405"
 306 ,"5,947","3,688","7,034","5,363","3,561","6,838","14,462","19,179","18,558","13,755","15,264","113,649"
 307 ,"5,727","2,134","1,067","5,991","2,600","5,870","6,975","14,228","14,280","8,565","11,332","78,768"
 308 ,"6,757","5,540","5,720","7,580","5,758","7,383","14,587","18,336","17,267","12,994","12,225","114,145"
 309 ,"2,581","1,054","3,092","2,208","1,253","3,570","4,858","6,402","6,028","4,536","3,949","39,532"
 310 ,"3,895","2,436","3,781","3,533","2,925","4,306","7,552","9,778","9,209","6,930","6,518","60,864"
 311 ,932,"1,079","1,292","1,701","1,359","1,981","3,228","4,344","4,090","3,079","2,896","25,981"
 312 ,"5,052","5,786","3,357","4,627","3,159","2,427","10,947","13,484","12,698","8,658","8,453","78,648"
 313 ,"1,727","2,672","1,858","2,287","2,494",875,"5,287","7,751","6,217","4,227","4,533","39,927"
 314 ,"1,118",809,"1,092","1,117",707,"1,717","2,591","3,257","3,264","2,700","2,660","21,032"
 315 ,"5,016","7,506","4,017","4,942","1,183","9,462","12,532","12,548","15,870","12,365","10,921","96,360"
 316 ,"6,529","4,662","7,642","6,864","5,691","6,904","14,415","20,141","18,677","13,728","14,922","120,175"
 317 ,700,100,774,720,288,963,"1,021","1,891","2,096","1,637","2,680","12,869"
 318 ,130,69,173,114,56,214,207,366,407,363,547,"2,645"
 319 ,"1,113",367,"1,078","1,246",803,"1,013","2,060","2,889","3,326","2,961","4,212","21,066"
 320 ,246,404,483,405,262,582,608,"1,187","1,320","1,051","1,647","8,196"
 321 ,"3,765","2,755","3,155","2,724","2,036","5,605","9,953","13,154","12,674","9,543","8,993","74,358"
 322 ,"1,965","1,672","1,673","2,176","1,515","3,190","5,052","6,506","6,777","4,854","4,583","39,963"
 323 ,"2,504","2,200","3,616","2,335","2,258","4,618","6,920","9,751","10,005","7,472","6,860","58,539"
 324 ,"2,568","4,284","6,266",687,"3,415","6,146","6,028","10,940","12,451","8,729","8,215","69,730"
 325 ,"1,568","4,478","3,763","3,093","2,549","5,326","9,381","12,720","12,604","8,023","8,550","72,054"
 326 ,"1,566","2,810","1,220","1,741","1,790","2,931","3,756","6,470","6,755","4,496","5,674","39,209"
 327 ,"3,458","1,642","2,827","2,946","1,698","3,112","8,718","11,318","8,585","9,026","7,706","61,036"
 328 ,"1,388","1,746",0,"1,623",387,"1,813","2,785","4,065","4,493","3,146","4,516","25,962"
 329 ,954,217,872,818,"1,032","1,460","2,125","4,100","4,083","3,011","4,158","22,831"
 330 ,"1,620",554,"1,315","1,648",0,"1,971","3,586","5,199","5,796","4,097","6,271","32,057"
 331 ,"1,723","2,257",803,0,"1,657","3,598","3,206","8,247","8,834","6,202","9,444","45,973"
 332 ,"1,636","2,236","2,069","2,597",392,"3,762","4,924","9,640","8,334","5,854","6,358","47,802"
 333 ,"2,422","2,244","1,042","3,106","1,717","3,497","4,817","7,072","7,178","6,008","5,846","44,948"
 334 ,943,"1,202","1,655","1,958","1,365","1,989","2,741","4,270","5,312","2,429","4,049","27,913"
 335 ,"1,362","2,041","1,978","1,386","1,636","2,187","5,691","6,379","7,562","5,531","6,647","42,401"
 336 ,"1,332","2,298","2,580","2,959","1,472","2,418","3,664","5,490","7,049","5,844","6,403","41,509"
 337 ,"3,479","1,355","3,939","2,860","1,397","2,478","6,263","6,026","7,713","6,324","9,158","50,992"
 338 ,"1,126",0,736,878,371,"1,939","2,390","3,619","4,399","2,896","3,677","22,031"
 339 ,"1,763",344,"1,757","1,850","1,280","2,828","3,948","5,794","5,081","5,047","5,035","34,727"
 340 ,-,-,-,-,-,-,-,-,-,-,-, -   
 341 ,0,78,407,239,191,356,562,"1,302","1,408",963,"1,900","7,406"
 342 ,0,0,0,477,298,523,663,"1,774","1,960","1,382","2,325","9,403"
 343 ,"1,301","2,278",0,"1,527",0,"1,371","2,682","6,391","6,781","4,506","9,354","36,191"
 344 ,83,87,320,396,250,370,473,813,918,791,794,"5,296"
 345 ,0,"2,216","3,782","3,585","3,190","2,141","6,671","6,618","8,803","5,554","7,566","50,127"
 346 ,"2,052","1,748","1,302","2,879","1,679","3,628","4,155","6,300","6,817","5,126","5,995","41,680"
 347 ,-,-,-,-,-,-,-,-,-,-,-, -   
 348 ,"2,927","2,619","7,614","3,859","5,018","6,040","8,197","16,373","14,748","9,630","8,967","85,991"
 349 ,111,"1,050",401,544,333,506,"1,327","1,840","1,551","1,076",953,"9,691"
 350 ,-,-,-,-,-,-,-,-,-,-,-, -   
 351 ,"3,810","2,070","5,546","2,966","3,971","6,049","6,267","12,177","11,926","8,685","9,329","72,796"
 352 ,"3,195","2,846","2,351","5,474","3,270","7,994","7,911","13,737","12,816","6,014","9,615","75,223"
 353 ,-,-,-,-,-,-,-,-,-,-,-, -   
 354 ,-,-,-,-,-,-,-,-,-,-,-, -   
 355 ,-,-,-,-,-,-,-,-,-,-,-, -   
 356 ,"1,744","1,311","2,934","3,495","2,217","4,931","6,352","9,775","8,434","6,484","7,509","55,185"
 357 ,"7,313","2,206","7,212","6,847","4,427","10,064","12,667","17,707","14,636","10,596","13,565","107,239"
 358 ,484,162,324,480,0,789,828,"1,054",914,703,808,"6,546"
 359 ,"1,702","1,259","2,187","2,840","1,083","2,631","4,348","6,420","6,229","4,088","5,683","38,468"
 360 ,727,314,"1,392",117,0,"2,560","1,219","3,749","2,692","3,040","3,838","19,648"
 361 ,431,"1,271","1,550",909,"1,335","1,133","2,213","3,067","3,898","3,252","3,156","22,215"
 362 ,567,573,831,"1,038","1,013",262,"1,460","2,593","2,666","2,250","2,543","15,797"
 363 ,479,420,506,"1,288","1,059","1,796","1,483","3,302","3,290","1,719","2,620","17,962"
 364 ,124,514,"3,038","1,622","1,050","4,749","3,326","7,030","6,743","5,560","5,446","39,203"
 365 ,448,230,456,519,536,438,"1,019","1,435","1,366","1,080","1,179","8,706"
 366 ,326,450,394,419,505,673,"1,038","1,538","1,438","1,135","1,337","9,255"
 367 ,"1,258","1,851","4,806",401,"2,357","2,499","4,219","6,573","7,129","5,577","5,567","42,238"
 368 ,718,"2,128","1,976","2,030","1,522","2,836","3,482","5,721","5,425","4,313","4,832","34,983"
 369 ,"1,781","1,211","3,643","1,758","2,134","2,978","4,759","7,484","5,987","5,435","5,637","42,807"
 370 ,"1,726","3,104","3,370","1,900","1,763","3,726","6,788","9,946","8,172","7,209","7,169","54,874"
 371 ,"3,277","3,564","11,016",0,"3,801","7,685","10,400","17,523","15,015","11,977","13,405","97,662"
 372 ,"4,121","2,085","3,176","4,701","2,574","5,601","8,742","9,338","10,504","8,530","8,524","67,895"
 373 ,"2,919",843,"3,731","2,853","1,693","5,337","4,743","9,345","8,503","6,652","7,755","54,374"
 374 ,"3,554",598,"4,916","3,333","2,232","3,633","7,771","10,039","9,578","7,150","8,818","61,621"
 375 ,-,-,-,-,-,-,-,-,-,-,-, -   
 376 ,"4,140","3,008","3,646","4,529","3,514","5,270","8,664","12,803","9,298","9,608","8,011","72,491"
 377 ,"1,250","2,331","3,043","2,534","2,293","3,363","5,348","7,931","7,550","5,966","6,058","47,667"
 378 ,"9,161","7,065","12,914","10,028","5,552","16,192","22,736","32,162","30,917","23,948","27,118","197,792"
 379 ,"3,785","4,095","4,057","4,158","5,030","7,802","12,835","18,275","16,643","13,155","15,627","105,461"
 380 ,"1,225","1,422","4,096","1,164","1,161","7,131","5,935","9,634","9,658","7,634","7,887","56,947"
 381 ,"4,936","7,352","3,323","4,965","4,342","7,110","12,137","16,672","16,656","12,617","14,147","104,256"
 382 ,-,-,-,-,-,-,-,-,-,-,-, -   
 383 ,"5,123","1,979","4,575","4,881","6,617","7,320","8,720","17,394","16,560","13,089","12,397","98,655"
 384 ,"3,891","3,980","3,235","5,130","3,040","5,898","9,898","13,382","13,024","10,068","10,149","81,697"
 385 ,"1,894",265,"1,709","1,144","1,552","1,864","3,610","5,067","4,821","3,810","3,855","29,591"
 386 ,-,-,-,-,-,-,-,-,-,-,-, -   
 387 ,180,90,56,252,163,322,533,695,701,549,659,"4,201"
 388 ,"1,363","5,953","3,961","4,527","3,147","5,296","9,657","10,911","10,924","9,743","11,706","77,189"
 389 ,322,0,0,0,387,0,275,"1,908","1,918","1,312","1,261","7,383"
 390 ,983,"2,167","2,480","2,129","2,575","1,878","4,546","6,904","6,112","6,066","7,303","43,142"
 391 ,626,178,534,727,616,536,"1,182","1,625","1,635","1,429","1,853","10,940"
 392 ,-,-,-,-,-,-,-,-,-,-,-, -   
 393 ,-,-,-,-,-,-,-,-,-,-,-, -   
 394 ,"4,844","3,170","4,677","5,067","1,024","6,203","9,951","14,126","13,440","10,472","10,963","83,937"
 395 ,-,-,-,-,-,-,-,-,-,-,-, -   
 396 ,"5,348","3,443","6,002","5,970","2,928","9,446","10,729","16,345","14,651","11,837","12,686","99,385"
 397 ,692,"1,431",591,"1,359","1,171","1,228","2,607","2,632","3,359","3,066","3,375","21,511"
 398 ,"3,593","3,429","3,698","4,823","2,519","7,434","8,781","12,449","13,462","10,651","13,128","83,968"
 399 ,"4,924","6,627","4,658","6,094","5,210","7,438","12,016","17,145","14,555","11,714","12,015","102,397"
 400 ,"3,399","3,829","3,531","4,095","3,017","5,799","7,022","10,852","9,807","7,645","7,605","66,599"
 401 ,"6,556","7,405","6,942","6,700","5,698","11,164","13,517","19,982","18,010","14,761","14,929","125,663"
 402 ,"3,280","4,307","6,051","4,892","3,607","6,679","9,798","13,417","12,090","9,465","9,533","83,119"
 403 ,"4,583","3,539","7,309","6,465","4,785","10,672","12,067","18,670","18,538","14,050","16,256","116,935"
 404 ,"8,873","6,743","8,634","7,259","5,990","12,168","15,697","22,955","24,465","19,049","22,193","154,026"
 405 ,"1,004",947,"2,095","1,489","1,171","1,447","2,925","3,996","4,137","3,196","3,741","26,148"
 406 ,974,699,"1,372",625,704,"1,337","1,916","2,878","2,559","2,118","2,413","17,595"
 407 ,590,"6,300","4,705","5,373","4,235","6,985","6,075","11,951","13,962","9,385","12,110","81,670"
 408 ,"1,860",778,"1,716","2,728","2,308",630,"5,256","6,853","6,136","4,416","7,222","39,902"
 409 ,"2,399",465,"1,345",588,"2,761","2,619","4,475","4,958","6,467","4,809","5,228","36,115"
 410 ,"5,069","6,157","8,567","3,817","4,763","10,712","10,935","19,646","18,015","15,500","19,713","122,895"
 411 ,"2,684","2,416","3,335","3,142","2,663","4,990","5,248","9,230","8,960","7,282","8,879","58,830"
 412 ,"1,023",380,"2,242","1,202","1,276","1,052","1,567","2,859","4,280","2,585","3,888","22,353"
 413 ,887,284,740,714,467,"1,282","1,195","2,296","2,227","1,809","1,976","13,877"
 414 ,"1,164",650,"1,142",821,776,"1,369","2,065","3,010","2,922","2,377","3,022","19,317"
 415 ,"2,167","1,077","2,301","2,959","2,330","1,071","5,473","6,780","5,533","4,835","5,798","40,322"
 416 ,"1,727",556,"1,370","1,104",517,"3,130","1,680","4,465","4,334","3,523","4,481","26,887"
 417 ,-,-,-,-,-,-,-,-,-,-,-, -   
 418 ,"1,007","1,539","1,101","1,983","1,164","1,840","3,811","4,171","4,389","3,836","5,384","30,225"
 419 ,-,-,-,-,-,-,-,-,-,-,-, -   
 420 ,511,106,984,917,889,"1,054","1,369","2,171","2,279","2,087","2,961","15,327"
 421 ,-,-,-,-,-,-,-,-,-,-,-, -   
 422 ,"1,505","1,344","2,342","1,279","1,474","1,580","3,382","4,744","4,415","4,471","5,471","32,006"
 423 ,-,-,-,-,-,-,-,-,-,-,-, -   
 424 ,"1,202","1,847","1,923","1,926","1,951","3,648","2,696","6,001","8,818","7,343","12,961","50,317"
 425 ,730,"2,279","3,410","2,345","2,682","2,211","4,424","8,472","9,481","6,832","13,950","56,816"
 426 ,868,"1,095","1,731","1,735",434,"2,646","2,454","5,498","6,302","5,581","10,039","38,382"
 427 ,131,229,335,378,222,377,749,916,"1,339","1,115","2,003","7,795"
 428 ,251,376,968,439,549,595,"1,432","2,563","3,057","2,427","3,829","16,486"
 429 ,"2,609","2,818",996,"3,235","2,197","3,864","7,518","12,757","11,354","9,774","14,326","71,448"
 430 ,"1,759",953,743,767,655,"2,803","2,820","6,157","6,626","5,276","8,070","36,627"
 431 ,"1,220",524,883,335,617,"1,336","1,873","4,857","4,703","4,450","5,863","26,663"
 432 ,"1,353",417,"1,773",551,"1,090","1,561","2,356","4,145","4,077","3,211","4,730","25,264"
 433 ,892,"1,346","1,877",895,"1,351","1,212","3,427","5,175","5,269","3,498","5,900","30,843"
 434 ,"1,240",608,608,"3,177",923,"4,403","5,189","9,013","9,481","5,908","10,420","50,970"
 435 ,"2,209","2,238","2,385","2,185","2,768",643,"5,781","8,873","8,706","7,602","11,082","54,471"
 436 ,"1,645","2,040","2,960","2,613","2,746","4,253","4,998","11,145","10,349","8,669","10,542","61,959"
 437 ,945,"1,718","1,842","2,118","2,936",459,"4,474","7,077","6,887","7,123","9,832","45,410"
 438 ,"5,214",394,"3,191","5,087","4,962","9,879","10,220","17,645","20,916","17,569","24,644","119,720"
 439 ,"3,221","4,202","3,475","1,625","5,187","5,417","14,202","19,053","20,078","16,431","24,261","117,151"
 440 ,"2,119","6,089","5,101","5,614","6,070","6,559","11,861","20,956","20,420","17,045","23,147","124,982"
 441 ,74,132,75,98,51,184,285,432,355,352,483,"2,521"
 442 ,537,"2,484","1,168","2,616","1,435","3,454","5,087","7,923","7,218","4,404","5,493","41,817"
 443 ,"5,902","3,296","5,182","5,870","5,358","7,379","13,113","19,830","17,298","14,807","16,558","114,594"
 444 ,"8,127","2,306","6,122","8,006","4,994","13,944","16,441","26,405","24,048","19,716","22,707","152,817"
 445 ,0,"4,177","10,266",583,"4,096","6,679","9,292","15,853","13,601","10,780","12,717","88,046"
 446 ,"1,764",807,"2,144",891,781,"3,087","2,915","5,063","3,560","3,780","3,343","28,136"
 447 ,"2,771",787,"4,527","3,209","3,067","5,236","5,793","11,629","14,529","11,595","15,861","79,005"
 448 ,535,849,"1,522",955,"1,075",0,"2,758","3,795","4,472","3,636","4,998","24,597"
 449 ,605,543,678,818,268,701,"1,967","2,211","2,332","2,051","1,916","14,090"
 450 ,0,0,"1,186",676,695,"1,029","1,340","2,101","2,069","1,673","1,462","12,232"
 451 ,"1,725","1,040","1,839","2,101","1,712","1,823","4,156","5,194","5,080","4,115","3,892","32,676"
 452 ,"3,112","4,027","2,237","6,957","4,360","4,847","12,085","15,663","17,479","10,325","16,922","98,014"
 453 ,"1,639","1,953","1,565","3,543","1,883","5,203","4,863","8,255","9,289","8,571","7,987","54,751"
 454 ,"1,618","2,137","1,302","2,111",940,"2,919","4,615","6,960","7,028","5,780","6,379","41,790"
 455 ,"2,270","1,023","3,226","1,621","2,531","4,484","5,479","8,672","10,130","8,344","7,075","54,855"
 456 ,"2,980","2,251","4,644","4,488","3,579","7,539","8,659","11,828","15,762","13,492","14,614","89,836"
 457 ,"3,835","8,470","7,219","9,346","6,787","11,011","18,831","28,461","28,709","23,647","29,139","175,455"
 458 ,"3,363","3,619","4,926","4,284","3,022","4,731","8,973","15,385","15,541","13,410","15,561","92,815"
 459 ,"2,181","2,398","2,203","1,771","1,324","3,275","5,763","8,311","7,601","6,293","8,827","49,947"
 460 ,"1,088",954,614,816,633,"1,344","2,176","3,423","3,453","2,845","3,269","20,614"
 461 ,-,-,-,-,-,-,-,-,-,-,-, -   
 462 ,"4,053","5,957","7,749","7,225","4,651","11,090","15,928","23,773","25,188","20,333","25,808","151,757"
 463 ,"2,093",402,"4,200","4,094","2,900","3,992","8,524","10,834","12,247","9,794","10,658","69,737"
 464 ,"3,516","3,057","6,327","3,076","3,862","6,749","13,124","17,402","13,719","12,070","14,277","97,180"
 465 ,"5,685","1,754","6,650","5,066","6,155","7,182","11,908","17,505","18,542","13,374","14,041","107,862"
 466 ,"2,929","1,405","2,682","3,224","2,642","4,398","5,520","9,523","7,648","7,290","6,804","54,066"
 467 ,"3,762","1,637","2,827","4,450","3,737","2,186","10,828","12,165","11,781","9,271","8,744","71,387"
 468 ,"2,329","1,230","4,237","3,959","3,199","2,992","10,866","11,591","12,235","9,428","9,788","71,854"
 469 ,"2,761","1,484","2,995","2,408","2,259","3,908","5,593","8,067","8,843","4,999","6,452","49,769"
 470 ,"4,143","7,705",0,"5,640","4,092","9,476","10,286","16,573","15,757","12,141","11,151","96,964"
 471 ,"2,208","1,312","3,499","3,934","2,152","6,721","5,842","8,737","10,715","7,888","8,831","61,840"
 472 ,"3,835","3,321","1,975","4,805","2,994","6,517","6,219","10,827","8,063","7,561","6,797","62,915"
 473 ,"5,722","4,793","7,928","5,470","6,718","8,460","12,699","19,881","18,946","13,883","14,560","119,059"
 474 ,"2,074","3,093","3,466","3,352","2,162","4,740","6,155","8,718","10,019","5,143","6,673","55,595"
 475 ,965,"1,402",98,910,912,"1,338","2,173","2,937","3,125","2,235","2,570","18,664"
 476 ,"6,351","8,458","7,358","9,187","6,102","13,191","14,931","22,751","22,995","17,650","19,576","148,550"
 477 ,81,378,128,272,293,458,574,874,783,701,783,"5,326"
 478 ,350,394,620,492,289,431,"1,310","1,380","1,362",576,915,"8,117"
 479 ,250,840,735,972,892,"1,285",942,"2,501","2,646","2,309","2,947","16,319"
 480 ,254,"3,177","2,072","1,880",646,"2,752","5,597","6,656","7,372","5,782","5,302","41,490"
 481 ,"1,314",299,"1,527","1,272",979,"1,291","2,525","3,209","3,331","2,559","3,270","21,577"
 482 ,0,166,221,378,259,130,798,503,988,758,882,"5,083"
 483 ,"1,529","1,040","1,662","1,586","1,124","2,647","2,223","4,002","4,028","3,140","4,811","27,792"
 484 ,-,-,-,-,-,-,-,-,-,-,-, -   
 485 ,-,-,-,-,-,-,-,-,-,-,-, -   
 486 ,"5,814","6,522","6,272","7,508","5,786","9,873","13,324","22,181","20,735","13,038","14,392","125,446"
 487 ,0,"6,186","1,783","1,911","2,380","4,612","5,620","11,117","10,931","6,073","7,657","58,272"
 488 ,-,-,-,-,-,-,-,-,-,-,-, -   
 489 ,-,-,-,-,-,-,-,-,-,-,-, -   
 490 ,"2,214","3,330","1,330","3,233","1,712","3,713","4,838","9,074","8,676","5,202","5,454","48,776"
 491 ,"2,307","2,830","1,492","3,010","3,188","4,311","6,086","11,950","11,747","7,121","7,098","61,142"
 492 ,"1,469",863,"2,115","1,276","1,414","1,425","3,337","4,937","4,855","3,076","3,228","27,996"
 493 ,63,223,251,203,100,358,319,747,531,465,468,"3,729"
 494 ,"4,703","6,167","8,213","6,848","6,056","9,540","14,169","21,362","20,779","15,523","18,078","131,437"
 495 ,"2,322","4,351","6,791","4,618","3,242","8,830","11,287","16,082","16,418","12,546","13,338","99,825"
 496 ,"3,317","2,927","3,529","4,042","2,076","6,040","8,273","11,647","10,306","7,985","10,156","70,298"
 497 ,"1,484","1,728","2,519","2,840","2,637","2,837","3,980","6,559","5,927","5,145","6,091","41,747"
 498 ,"3,685",0,"3,440","3,715","1,354","3,535","5,415","8,336","7,177","7,219","7,178","51,053"
 499 ,190,123,309,273,165,437,587,899,837,678,830,"5,328"
 500 ,"1,027",482,952,914,907,"1,236","2,119","3,329","2,953","2,500","3,123","19,543"
 501 ,991,"2,502","3,201","1,860","1,751","1,767","3,111","8,901","4,658","6,698","8,257","43,697"
 502 ,"2,361","1,387","2,253","3,941","1,130","5,699","6,716","10,821","8,861","8,187","9,618","60,974"
 503 ,"2,268","1,778","3,253","1,156","1,796","2,719","5,400","6,547","7,467","5,734","6,576","44,695"
 504 ,"1,145","2,054","4,051","4,165","3,642","5,862","8,198","11,155","12,935","9,858","8,883","71,946"
 505 ,"2,094","11,403","4,568","5,506","6,127","7,999","13,480","20,678","19,550","15,767","19,531","126,702"
 506 ,"2,740","1,598","2,816","3,302","5,964","5,570","10,433","15,942","13,178","8,429","12,153","82,126"
 507 ,723,"1,127",335,965,"1,058",913,"1,891","2,916","2,718","2,195","2,603","17,446"
 508 ,808,0,185,"1,075",896,"1,332","1,526","2,948","2,740","2,329","2,484","16,324"
 509 ,"5,241","4,475","7,727","5,526","4,592","8,951","14,149","20,607","18,951","15,750","19,115","125,085"
 510 ,"2,571",572,"3,907","1,693","1,278","4,024","4,175","7,326","6,975","5,936","6,889","45,346"
 511 ,832,0,"2,199","2,932","1,825","5,212","5,235","7,668","9,407","7,599","8,400","51,309"
 512 ,"1,307","2,459",888,"1,950","1,417","3,162","3,733","5,845","5,716","4,649","5,147","36,274"
 513 ,365,233,680,586,236,426,959,"1,738","1,628","1,299","1,168","9,317"
 514 ,"4,652","4,051","7,681","4,927",0,"11,067","10,705","17,647","15,480","13,184","10,468","99,863"
 515 ,411,583,621,712,368,887,"1,432","1,927","1,805","1,307","1,343","11,397"
 516 ,"1,102","1,749",956,"2,875",892,"4,909","3,433","7,520","5,330","4,840","4,933","38,538"
 517 ,"1,043",978,"2,671",558,"1,473","2,210","2,032","3,628","4,572","3,499","3,497","26,162"
 518 ,"5,120","8,253","11,709","8,833","6,084","11,414","17,150","27,338","26,467","17,599","19,417","159,384"
 519 ,412,397,600,527,452,194,"1,335","1,561","1,245","1,058","1,088","8,870"
 520 ,-,-,-,-,-,-,-,-,-,-,-, -   
 521 ,"3,252","2,216","1,834","3,408","1,533","3,611","5,799","7,980","8,360","5,472","6,062","49,527"
 522 ,799,"1,303","4,232","2,621","2,179","3,810","3,333","9,097","10,004","6,190","7,932","51,499"
 523 ,363,0,191,307,133,267,870,612,937,668,729,"5,077"
 524 ,"5,242","5,583","7,902","4,921","4,394","6,806","14,346","18,927","15,965","12,252","10,035","106,373"
 525 ,"7,504","4,921","7,863","7,656","6,304","10,282","13,705","21,672","19,150","14,029","13,934","127,020"
 526 ,"8,576","5,357","9,599","10,406","9,345","6,805","17,911","24,037","27,139","18,620","21,579","159,375"
 527 ,975,"1,061","1,135","1,145","1,262","1,086","1,981","2,985","3,044","1,686","2,310","18,670"
,,,,,,,,,,,,
 Total RMSP ," 859,689 "," 791,592 "," 1,066,393 "," 1,039,823 "," 790,206 "," 1,456,608 "," 2,247,555 "," 3,464,560 "," 3,425,924 "," 2,688,489 "," 3,406,014 "," 21,236,852 "
,,,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,,,,
