Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 388 ," 93,194,492 "," 3,546 "," 1,207 "," 3,301 "
 389 ," 27,372,962 "," 11,477 "," 3,708 "," 6,779 "
 390 ," 83,059,522 "," 5,006 "," 1,925 "," 3,797 "
 391 ," 19,239,512 "," 4,514 "," 1,759 "," 3,935 "
 392 ,,,,
 393 ,,,,
 394 ," 142,296,836 "," 4,608 "," 1,695 "," 3,797 "
 395 ,,,,
 396 ," 134,152,533 "," 3,668 "," 1,350 "," 3,139 "
 397 ," 28,713,125 "," 3,968 "," 1,335 "," 3,250 "
 398 ," 142,504,552 "," 4,936 "," 1,697 "," 3,201 "
 399 ," 139,411,412 "," 4,014 "," 1,361 "," 3,301 "
 400 ," 82,698,892 "," 3,675 "," 1,242 "," 2,658 "
 401 ," 159,098,386 "," 3,829 "," 1,266 "," 3,540 "
 402 ," 99,707,806 "," 3,656 "," 1,200 "," 3,039 "
 403 ," 154,068,849 "," 3,900 "," 1,318 "," 3,540 "
 404 ," 322,182,425 "," 5,883 "," 2,092 "," 4,526 "
 405 ," 43,176,106 "," 4,721 "," 1,651 "," 4,072 "
 406 ," 25,218,781 "," 4,068 "," 1,433 "," 3,712 "
 407 ," 200,447,392 "," 6,581 "," 2,454 "," 5,294 "
 408 ," 87,209,235 "," 5,342 "," 2,186 "," 4,368 "
 409 ," 90,170,134 "," 6,927 "," 2,497 "," 5,388 "
 410 ," 134,477,454 "," 3,180 "," 1,094 "," 2,885 "
 411 ," 67,233,731 "," 3,465 "," 1,143 "," 2,920 "
 412 ," 47,952,937 "," 6,497 "," 2,145 "," 2,870 "
 413 ," 22,822,532 "," 4,863 "," 1,645 "," 4,072 "
 414 ," 30,131,468 "," 4,547 "," 1,560 "," 3,797 "
 415 ," 78,415,494 "," 5,443 "," 1,945 "," 4,220 "
 416 ," 37,806,846 "," 4,087 "," 1,406 "," 3,874 "
 417 ,,,,
 418 ," 39,161,697 "," 3,578 "," 1,296 "," 3,078 "
 419 ,,,,
 420 ," 25,894,836 "," 4,171 "," 1,689 "," 3,049 "
 421 ,,,,
 422 ," 66,585,628 "," 5,593 "," 2,080 "," 4,384 "
 423 ,,,,
 424 ," 212,869,248 "," 11,011 "," 4,231 "," 7,400 "
 425 ," 151,037,001 "," 7,146 "," 2,658 "," 5,779 "
 426 ," 119,524,551 "," 8,339 "," 3,114 "," 6,259 "
 427 ," 17,695,052 "," 6,104 "," 2,270 "," 4,684 "
 428 ," 40,005,136 "," 6,557 "," 2,427 "," 4,368 "
 429 ," 275,728,787 "," 9,454 "," 3,859 "," 7,130 "
 430 ," 101,489,934 "," 7,085 "," 2,771 "," 6,000 "
 431 ," 72,607,850 "," 7,074 "," 2,723 "," 5,254 "
 432 ," 41,944,315 "," 4,571 "," 1,660 "," 3,540 "
 433 ," 91,038,615 "," 7,485 "," 2,952 "," 5,890 "
 434 ," 134,023,365 "," 6,731 "," 2,629 "," 5,600 "
 435 ," 128,833,069 "," 6,200 "," 2,365 "," 4,750 "
 436 ," 123,722,114 "," 5,395 "," 1,997 "," 4,630 "
 437 ," 80,797,668 "," 4,886 "," 1,779 "," 3,825 "
 438 ," 199,968,441 "," 4,529 "," 1,670 "," 3,799 "
 439 ," 260,739,623 "," 5,913 "," 2,226 "," 4,160 "
 440 ," 171,486,563 "," 3,873 "," 1,372 "," 2,957 "
 441 ," 3,487,639 "," 4,098 "," 1,383 "," 3,310 "
 442 ," 71,081,292 "," 4,491 "," 1,700 "," 3,860 "
 443 ," 214,069,754 "," 4,966 "," 1,868 "," 4,368 "
 444 ," 216,901,933 "," 3,971 "," 1,419 "," 3,301 "
 445 ," 170,487,201 "," 5,362 "," 1,936 "," 4,684 "
 446 ," 44,941,595 "," 4,500 "," 1,597 "," 3,156 "
 447 ," 165,743,942 "," 5,764 "," 2,098 "," 4,036 "
 448 ," 44,075,286 "," 5,111 "," 1,792 "," 3,800 "
 449 ," 23,015,643 "," 4,690 "," 1,633 "," 3,814 "
 450 ," 21,457,328 "," 5,003 "," 1,754 "," 4,368 "
 451 ," 55,064,851 "," 4,699 "," 1,685 "," 4,684 "
 452 ," 252,307,596 "," 6,761 "," 2,574 "," 5,779 "
 453 ," 155,930,266 "," 7,417 "," 2,848 "," 6,500 "
 454 ," 152,879,993 "," 8,893 "," 3,658 "," 8,796 "
 455 ," 181,370,016 "," 8,073 "," 3,306 "," 6,000 "
 456 ," 314,223,244 "," 8,771 "," 3,498 "," 5,500 "
 457 ," 331,342,800 "," 5,145 "," 1,888 "," 4,186 "
 458 ," 198,032,794 "," 5,733 "," 2,134 "," 5,000 "
 459 ," 73,035,776 "," 4,192 "," 1,462 "," 3,250 "
 460 ," 32,682,251 "," 4,419 "," 1,585 "," 3,799 "
 461 ,,,,
 462 ," 224,737,504 "," 4,113 "," 1,481 "," 3,516 "
 463 ," 165,266,765 "," 6,318 "," 2,370 "," 4,368 "
 464 ," 136,623,265 "," 3,805 "," 1,406 "," 3,421 "
 465 ," 170,518,355 "," 4,318 "," 1,581 "," 3,700 "
 466 ," 81,236,056 "," 4,043 "," 1,503 "," 3,797 "
 467 ," 120,974,989 "," 4,624 "," 1,695 "," 3,540 "
 468 ," 204,310,559 "," 7,640 "," 2,843 "," 6,300 "
 469 ," 110,242,934 "," 6,004 "," 2,215 "," 5,388 "
 470 ," 196,855,225 "," 5,699 "," 2,030 "," 5,612 "
 471 ," 88,975,035 "," 3,988 "," 1,439 "," 3,540 "
 472 ," 78,301,928 "," 3,497 "," 1,245 "," 3,160 "
 473 ," 172,825,359 "," 4,130 "," 1,452 "," 3,520 "
 474 ," 78,066,927 "," 4,008 "," 1,404 "," 3,100 "
 475 ," 30,201,094 "," 4,786 "," 1,618 "," 2,840 "
 476 ," 241,350,381 "," 4,720 "," 1,625 "," 4,000 "
 477 ," 8,587,306 "," 4,510 "," 1,612 "," 3,830 "
 478 ," 10,998,122 "," 3,999 "," 1,355 "," 4,160 "
 479 ," 33,346,439 "," 5,612 "," 2,043 "," 4,900 "
 480 ," 157,472,069 "," 10,623 "," 3,795 "," 3,960 "
 481 ," 37,998,335 "," 5,118 "," 1,761 "," 4,100 "
 482 ," 8,714,156 "," 4,688 "," 1,714 "," 4,306 "
 483 ," 59,556,258 "," 4,632 "," 2,143 "," 4,000 "
 484 ,,,,
 485 ,,,,
 486 ," 215,534,435 "," 4,950 "," 1,718 "," 4,575 "
 487 ," 384,854,622 "," 16,678 "," 6,604 "," 6,648 "
 488 ,,,,
 489 ,,,,
 490 ," 82,062,144 "," 4,734 "," 1,682 "," 3,100 "
 491 ," 103,666,099 "," 4,847 "," 1,695 "," 4,368 "
 492 ," 49,695,740 "," 5,104 "," 1,775 "," 4,000 "
 493 ," 21,064,318 "," 18,285 "," 5,649 "," 10,000 "
 494 ," 179,327,300 "," 3,799 "," 1,364 "," 3,150 "
 495 ," 168,412,994 "," 4,623 "," 1,687 "," 3,401 "
 496 ," 96,293,863 "," 3,830 "," 1,370 "," 3,000 "
 497 ," 87,275,271 "," 5,934 "," 2,091 "," 3,925 "
 498 ," 149,640,739 "," 8,520 "," 2,931 "," 4,500 "
 499 ," 16,386,474 "," 7,889 "," 3,076 "," 6,198 "
 500 ," 70,968,797 "," 9,016 "," 3,631 "," 7,646 "
 501 ," 144,063,885 "," 8,978 "," 3,297 "," 6,889 "
 502 ," 169,176,991 "," 7,189 "," 2,775 "," 5,024 "
 503 ," 72,813,142 "," 4,758 "," 1,629 "," 4,200 "
 504 ," 125,227,797 "," 4,872 "," 1,741 "," 4,368 "
 505 ," 267,218,596 "," 5,929 "," 2,109 "," 5,024 "
 506 ," 157,326,877 "," 5,010 "," 1,916 "," 4,368 "
 507 ," 29,504,489 "," 4,943 "," 1,691 "," 4,684 "
 508 ," 45,817,678 "," 6,730 "," 2,807 "," 4,854 "
 509 ," 192,435,016 "," 4,378 "," 1,538 "," 3,797 "
 510 ," 78,260,965 "," 5,066 "," 1,726 "," 4,684 "
 511 ," 99,020,071 "," 5,331 "," 1,930 "," 4,526 "
 512 ," 55,972,762 "," 4,612 "," 1,543 "," 3,935 "
 513 ," 15,128,978 "," 4,231 "," 1,624 "," 3,000 "
 514 ," 163,737,493 "," 4,325 "," 1,640 "," 3,301 "
 515 ," 65,498,265 "," 16,957 "," 5,747 "," 6,648 "
 516 ," 170,524,672 "," 12,172 "," 4,425 "," 7,573 "
 517 ," 85,225,027 "," 9,334 "," 3,258 "," 7,400 "
 518 ," 233,633,911 "," 4,164 "," 1,466 "," 3,078 "
 519 ," 9,190,115 "," 3,096 "," 1,036 "," 2,870 "
 520 ,,,,
 521 ," 52,767,773 "," 3,180 "," 1,065 "," 2,400 "
 522 ," 83,792,142 "," 4,645 "," 1,627 "," 3,450 "
 523 ," 22,040,419 "," 12,279 "," 4,341 "," 10,750 "
 524 ," 179,791,779 "," 4,629 "," 1,690 "," 4,368 "
 525 ," 218,128,306 "," 4,908 "," 1,717 "," 4,456 "
 526 ," 1,334,300,221 "," 24,254 "," 8,372 "," 6,889 "
 527 ," 37,222,854 "," 5,995 "," 1,994 "," 4,349 "
,,,,
 Total RMSP ," 49,434,648,848 "," 6,279 "," 2,328 "," 4,368 "
,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,
,,,,
 (*) Em Reais de Outubro/2023 ,,,,
