Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 86 ," 15,580,355 "," 11,921 "," 5,140 "," 8,796 "
 87 ," 113,665,430 "," 14,837 "," 6,786 "," 10,851 "
 88 ," 256,904,785 "," 14,400 "," 6,565 "," 11,700 "
 89 ," 48,711,092 "," 8,755 "," 3,952 "," 6,648 "
 90 ," 76,068,698 "," 13,039 "," 5,985 "," 9,433 "
 91 ," 26,027,486 "," 4,176 "," 1,815 "," 3,799 "
 92 ," 17,766,822 "," 12,645 "," 5,097 "," 8,150 "
 93 ," 71,973,745 "," 15,226 "," 6,953 "," 9,217 "
 94 ," 34,124,515 "," 13,227 "," 5,604 "," 10,000 "
 95 ," 140,468,622 "," 19,464 "," 8,580 "," 15,398 "
 96 ," 49,865,555 "," 20,821 "," 7,760 "," 14,357 "
 97 ," 166,461,973 "," 25,379 "," 10,746 "," 21,851 "
 98 ," 22,130,928 "," 6,220 "," 2,506 "," 5,012 "
 99 ," 25,518,118 "," 6,882 "," 2,917 "," 6,198 "
 100 ," 102,255,590 "," 9,776 "," 4,313 "," 6,648 "
 101 ," 85,866,129 "," 9,094 "," 3,982 "," 6,550 "
 102 ," 151,682,342 "," 30,222 "," 12,583 "," 25,000 "
 103 ," 27,366,647 "," 33,012 "," 10,934 "," 26,000 "
 104 ," 42,223,194 "," 15,730 "," 6,609 "," 12,481 "
 105 ," 81,891,799 "," 14,831 "," 6,299 "," 14,357 "
 106 ," 6,944,156 "," 2,701 ", 991 ," 2,585 "
 107 ," 102,086,682 "," 15,458 "," 6,240 "," 14,357 "
 108 ," 14,963,760 "," 7,731 "," 2,831 "," 4,842 "
 109 ," 318,999,103 "," 7,170 "," 2,666 "," 5,000 "
 110 ," 169,757,879 "," 6,512 "," 2,630 "," 6,365 "
 111 ," 187,055,270 "," 9,546 "," 3,651 "," 6,000 "
 112 ," 53,249,548 "," 3,726 "," 1,336 "," 3,200 "
 113 ," 46,251,611 "," 4,898 "," 1,825 "," 4,136 "
 114 ,,,,
 115 ," 94,711,482 "," 5,135 "," 1,823 "," 3,900 "
 116 ," 261,062,352 "," 4,475 "," 1,583 "," 3,797 "
 117 ," 85,933,927 "," 3,961 "," 1,386 "," 3,520 "
 118 ," 19,833,109 "," 3,659 "," 1,301 "," 3,100 "
 119 ," 122,687,452 "," 3,860 "," 1,365 "," 3,400 "
 120 ,,,,
 121 ," 100,023,196 "," 3,413 "," 1,215 "," 3,000 "
 122 ," 60,459,352 "," 3,649 "," 1,265 "," 3,199 "
 123 ," 98,405,298 "," 4,306 "," 1,571 "," 3,540 "
 124 ," 116,681,718 "," 5,659 "," 2,064 "," 3,899 "
 125 ," 126,035,747 "," 6,341 "," 2,426 "," 5,024 "
