Tabela 23,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo e Zona de Destino – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,
,,,,,,,,,,,
42," 2,091 "," 3,155 "," 3,654 "," 3,159 "," 1,491 ", 51 ," 2,508 ", -   ," 1,123 ", 172 ," 17,405 "
43," 2,688 "," 8,316 "," 26,801 "," 25,340 "," 2,590 "," 4,004 "," 2,293 ", -   ," 4,481 ", 804 ," 77,316 "
44," 1,753 "," 3,961 "," 20,940 "," 5,361 ", 806 ," 14,387 "," 2,485 ", -   ," 3,153 "," 1,148 "," 53,996 "
45," 6,983 "," 5,680 "," 29,060 "," 27,919 "," 4,603 "," 3,852 "," 4,155 ", -   ," 4,808 ", 407 ," 87,466 "
46," 3,283 "," 9,542 "," 15,180 "," 23,427 "," 1,836 ", 515 ," 2,208 ", 325 ," 2,099 ", 25 ," 58,440 "
47," 2,055 "," 4,970 "," 13,617 "," 6,703 "," 1,157 "," 1,234 "," 1,325 ", -   , 726 , 634 ," 32,422 "
48," 1,004 "," 4,264 "," 13,008 "," 11,239 "," 2,758 ", 605 ," 4,237 ", -   ," 1,979 ", -   ," 39,094 "
49," 2,019 "," 1,118 "," 18,746 "," 8,410 ", 646 ," 4,235 "," 1,184 ", 64 ," 1,005 ", 42 ," 37,469 "
50," 1,125 "," 2,115 "," 3,551 "," 4,515 "," 3,595 "," 1,917 ", 476 , -   , 188 , -   ," 17,482 "
51, 749 ," 2,085 "," 9,711 "," 9,990 "," 1,983 "," 1,829 ", 754 , -   ," 1,259 ", -   ," 28,359 "
52," 1,715 "," 1,251 "," 12,233 "," 2,453 ", 971 , 801 ," 1,057 ", -   ," 3,290 ", 333 ," 24,103 "
53, 690 ," 3,461 "," 26,790 "," 11,675 ", 510 ," 4,819 "," 3,713 ", -   ," 2,670 "," 1,588 "," 55,916 "
54," 1,510 "," 3,431 "," 26,666 "," 6,165 "," 3,459 "," 10,878 "," 1,516 ", -   ," 1,874 "," 3,678 "," 59,177 "
55," 1,818 "," 1,834 "," 18,246 "," 20,389 "," 1,624 "," 2,834 "," 2,354 ", -   ," 1,829 ", 332 ," 51,261 "
56," 1,602 "," 4,273 "," 16,512 "," 18,745 "," 3,031 "," 2,029 "," 3,465 ", 216 ," 3,285 ", 615 ," 53,774 "
57," 1,421 "," 2,732 "," 37,685 "," 9,964 "," 2,993 "," 4,348 "," 5,446 ", 219 ," 1,405 ", 817 ," 67,029 "
58," 1,585 "," 2,699 "," 25,495 "," 15,937 "," 4,499 "," 2,397 "," 4,817 ", -   ," 4,018 "," 1,516 "," 62,963 "
59," 2,478 "," 7,592 "," 29,568 "," 17,793 "," 10,637 "," 2,566 "," 5,560 ", -   ," 8,231 "," 1,216 "," 85,642 "
60," 1,486 "," 4,055 "," 19,552 "," 7,074 "," 4,966 "," 3,233 ", 280 , -   ," 1,165 ", 33 ," 41,844 "
61," 3,339 "," 4,074 "," 18,193 "," 11,441 "," 4,815 "," 2,356 "," 2,696 ", 219 ," 5,427 ", 358 ," 52,917 "
62, 948 , 968 ," 19,027 "," 6,957 ", 536 ," 5,692 "," 4,434 ", -   , 681 , -   ," 39,244 "
63," 1,388 ", 438 ," 12,339 "," 1,048 ", 172 ," 13,209 ", 535 , -   , 175 , -   ," 29,304 "
64," 3,946 "," 6,719 "," 42,237 "," 17,923 "," 4,194 "," 4,887 "," 3,614 ", -   ," 4,521 "," 2,348 "," 90,389 "
65," 1,117 "," 2,783 "," 23,383 "," 20,601 "," 1,134 ", 930 ," 2,111 ", -   , 958 , 440 ," 53,456 "
66," 3,495 "," 5,905 "," 22,563 "," 14,755 "," 2,462 "," 1,169 "," 5,920 ", -   ," 3,892 ", 995 ," 61,155 "
67," 3,700 "," 1,541 "," 10,576 "," 3,101 "," 1,075 "," 2,127 "," 1,023 ", -   ," 1,161 ", 563 ," 24,867 "
68," 3,773 "," 3,675 "," 71,113 "," 9,662 "," 1,059 "," 2,369 "," 4,329 ", -   ," 2,704 "," 5,123 "," 103,808 "
69," 6,665 "," 7,504 "," 30,415 "," 7,177 "," 1,751 "," 2,431 "," 2,493 ", 294 ," 2,091 "," 2,372 "," 63,193 "
70, 873 ," 5,779 "," 23,167 "," 16,772 ", 106 ," 3,430 "," 2,621 ", -   , 930 , 633 ," 54,311 "
