Tabela 23,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo e Zona de Destino – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,
,,,,,,,,,,,
185, 939 ," 4,245 "," 8,438 "," 24,325 "," 1,067 "," 1,042 ", 98 , 137 ," 2,000 ", -   ," 42,291 "
186, 187 ," 1,170 "," 5,617 "," 6,536 ", 526 , 550 , 909 , -   ," 1,323 ", -   ," 16,818 "
187," 2,185 "," 3,900 "," 18,630 "," 38,907 "," 5,266 "," 2,837 "," 1,876 ", -   ," 1,314 ", 399 ," 75,314 "
188," 2,251 "," 3,071 "," 14,210 "," 44,585 "," 2,797 "," 3,295 ", 785 , -   ," 2,413 ", 97 ," 73,505 "
189," 2,348 "," 5,936 "," 19,636 "," 35,088 "," 1,829 "," 4,255 "," 3,845 ", 936 , 759 , 469 ," 75,102 "
190," 2,706 "," 6,565 "," 22,994 "," 13,937 "," 3,549 "," 4,860 "," 6,676 ", -   ," 3,833 ", 246 ," 65,366 "
191, 418 ," 3,381 "," 11,971 "," 7,965 ", 270 , -   ," 5,294 ", 791 ," 4,918 ", -   ," 35,008 "
192," 1,607 "," 3,599 "," 13,578 "," 19,421 "," 3,367 "," 2,105 "," 1,237 ", -   ," 4,920 ", 944 ," 50,777 "
193," 1,021 "," 1,085 "," 9,256 "," 8,312 "," 2,006 "," 1,075 ", 808 , -   , 905 , -   ," 24,468 "
194," 1,030 "," 5,412 "," 5,692 "," 14,114 "," 1,462 ", 776 , 773 , -   ," 2,208 ", -   ," 31,466 "
195, 930 ," 9,594 "," 18,386 "," 22,390 "," 1,619 ", 472 , 191 , -   ," 2,350 ", -   ," 55,934 "
196, 550 ," 2,560 "," 13,946 "," 32,445 "," 3,813 ", 850 , 85 , -   ," 1,307 ", 447 ," 56,003 "
197," 2,300 "," 3,985 "," 12,379 "," 20,951 ", 728 , 802 , 720 , -   ," 2,013 ", 237 ," 44,114 "
198," 1,547 "," 7,807 "," 31,194 "," 18,511 "," 6,786 "," 10,884 "," 4,100 ", 976 ," 5,267 ", 447 ," 87,519 "
199," 4,655 "," 10,260 "," 32,254 "," 80,337 "," 3,639 "," 1,061 ", 333 , -   ," 4,486 ", -   ," 137,025 "
200," 1,186 "," 4,569 "," 10,745 "," 25,745 "," 1,546 ", 883 ," 1,132 ", -   ," 2,075 ", 327 ," 48,208 "
201," 1,014 "," 4,856 "," 24,406 "," 63,425 ", 517 ," 2,741 "," 4,869 ", 849 ," 3,690 ", -   ," 106,367 "
202," 4,382 "," 7,491 "," 30,368 "," 68,690 "," 7,263 "," 4,021 "," 3,315 ", -   ," 1,095 ", -   ," 126,625 "
203, 827 ," 4,710 "," 18,711 "," 46,785 "," 2,648 "," 4,716 ", 218 , 250 , 724 , 211 ," 79,801 "
204," 5,938 "," 21,865 "," 34,609 "," 52,525 "," 7,392 "," 9,017 "," 3,944 ", -   ," 5,081 ", 416 ," 140,788 "
205," 4,157 "," 18,191 "," 32,596 "," 69,343 "," 1,032 ", 483 ," 1,056 ", -   ," 3,123 ", -   ," 129,981 "
206," 2,272 "," 6,733 "," 23,057 "," 30,553 "," 1,908 "," 1,450 "," 2,026 ", 190 ," 4,589 ", 121 ," 72,900 "
207," 2,729 "," 10,802 "," 32,166 "," 79,885 "," 8,277 "," 3,645 ", 673 , -   ," 7,962 ", -   ," 146,138 "
208," 7,786 "," 11,329 "," 32,879 "," 15,498 "," 2,142 "," 3,369 "," 5,068 ", 330 ," 2,291 ", 86 ," 80,778 "
209," 7,735 "," 8,624 "," 22,839 "," 20,029 "," 2,892 "," 3,796 "," 2,211 ", -   , 722 , 141 ," 68,988 "
210," 2,865 "," 14,316 "," 16,912 "," 17,119 "," 2,555 "," 4,096 "," 2,963 ", -   ," 2,485 ", -   ," 63,310 "
211," 4,258 "," 9,739 "," 28,691 "," 18,156 "," 1,594 "," 1,488 "," 3,057 ", -   ," 4,319 ", -   ," 71,303 "
212," 2,098 "," 6,368 "," 18,248 "," 22,305 "," 2,553 "," 1,191 ", 507 , -   ," 2,322 ", -   ," 55,592 "
213," 5,718 "," 11,099 "," 28,102 "," 20,693 "," 3,934 "," 2,655 "," 1,397 ", -   ," 1,158 ", 216 ," 74,972 "
214," 3,101 "," 6,145 "," 12,388 "," 10,068 ", 546 , 483 ," 1,281 ", 250 ," 4,050 ", -   ," 38,312 "
215," 1,416 "," 7,811 "," 20,646 "," 19,261 "," 1,725 "," 2,923 "," 1,418 ", -   ," 3,829 ", 655 ," 59,683 "
216," 3,282 "," 2,074 "," 16,579 "," 29,631 "," 1,635 "," 2,254 "," 1,607 ", -   ," 4,523 ", 329 ," 61,915 "
217," 1,170 "," 2,834 "," 8,483 "," 18,859 ", 627 , 832 , 78 , -   , 470 , -   ," 33,353 "
218," 2,740 "," 14,953 "," 22,047 "," 39,534 "," 9,854 "," 6,437 "," 5,431 ", -   ," 6,933 ", 422 ," 108,352 "
219," 6,727 "," 5,184 "," 16,589 "," 30,218 "," 2,694 "," 1,945 "," 2,433 ", -   ," 3,106 ", 304 ," 69,201 "
220," 2,892 "," 6,428 "," 10,800 "," 17,090 "," 2,309 "," 2,237 "," 2,473 ", -   ," 5,410 ", 259 ," 49,898 "
221," 3,767 "," 14,122 "," 15,402 "," 28,448 "," 5,418 "," 2,390 "," 1,106 ", -   ," 2,653 ", -   ," 73,307 "
222," 3,929 "," 7,687 "," 17,719 "," 25,123 ", 220 ," 6,312 "," 5,529 ", -   ," 4,284 ", 835 ," 71,639 "
223," 4,729 "," 3,355 "," 15,293 "," 10,961 "," 4,497 ", 440 ," 2,207 ", -   ," 4,486 ", 736 ," 46,703 "
224, 275 , -   ," 1,470 "," 4,634 ", -   , -   ," 1,067 ", -   , -   , -   ," 7,445 "
225," 5,371 "," 7,470 "," 18,439 "," 22,389 "," 2,609 ", 810 ," 1,493 ", 256 ," 1,639 ", 406 ," 60,883 "
226," 3,755 "," 9,592 "," 28,245 "," 49,736 "," 4,240 "," 4,539 "," 6,164 ", -   ," 7,500 ", -   ," 113,772 "
227," 6,469 "," 8,907 "," 26,971 "," 36,242 "," 7,520 "," 2,323 ", 522 , -   ," 8,538 ", -   ," 97,492 "
228," 4,039 "," 2,185 "," 17,600 "," 27,431 "," 1,558 "," 1,012 "," 2,746 ", -   ," 7,004 ", 689 ," 64,263 "
229," 9,160 "," 14,365 "," 55,870 "," 102,002 "," 3,147 "," 8,698 "," 5,369 ", -   ," 10,542 ", 681 ," 209,833 "
230," 2,687 "," 8,467 "," 17,487 "," 50,658 "," 3,817 "," 7,178 "," 1,201 ", -   ," 4,286 ", -   ," 95,781 "
231," 5,293 "," 9,319 "," 10,277 "," 16,274 "," 5,025 "," 1,031 ", 446 , -   , 982 , 131 ," 48,778 "
232," 3,277 "," 3,165 "," 13,181 "," 36,701 "," 2,507 "," 2,572 "," 5,513 ", -   ," 1,158 ", 369 ," 68,443 "
233," 4,866 "," 11,274 "," 22,426 "," 33,714 "," 1,836 "," 1,883 ", 116 , 804 ," 5,056 ", -   ," 81,975 "
234," 4,670 "," 6,803 "," 15,578 "," 39,673 "," 3,860 "," 4,354 "," 1,948 ", -   ," 5,119 ", -   ," 82,004 "
235," 8,044 "," 10,070 "," 16,362 "," 42,827 "," 2,658 "," 1,542 "," 4,301 ", 461 , 64 , 25 ," 86,354 "
236," 2,542 "," 1,897 "," 13,140 "," 10,095 "," 1,839 "," 2,103 ", 468 , -   ," 1,062 ", 823 ," 33,969 "
237," 1,977 "," 10,334 "," 8,859 "," 5,067 "," 3,872 "," 2,552 "," 3,307 ", 325 ," 3,253 "," 1,200 "," 40,746 "
238," 5,192 "," 2,449 "," 11,277 "," 6,076 ", 608 ," 1,139 "," 2,854 ", -   ," 2,240 ", 526 ," 32,363 "
239, 917 ," 2,584 "," 19,795 "," 19,570 "," 4,042 "," 4,143 "," 4,032 ", -   ," 2,672 "," 2,791 "," 60,546 "
240," 2,019 "," 4,655 "," 14,874 "," 8,498 "," 1,489 "," 2,669 "," 4,980 ", -   ," 2,158 ", -   ," 41,343 "
241," 5,956 "," 5,188 "," 9,821 "," 4,615 "," 2,371 ", 790 ," 1,949 ", -   ," 1,174 ", 47 ," 31,912 "
242," 5,872 "," 4,247 "," 12,955 "," 9,853 "," 1,530 "," 4,838 "," 4,633 ", 470 ," 1,829 "," 1,644 "," 47,870 "
243," 11,939 "," 9,351 "," 30,812 "," 36,212 "," 4,181 ", 833 ," 2,083 ", 548 ," 3,166 ", 870 ," 99,996 "
244," 4,576 "," 20,212 "," 21,723 "," 28,639 "," 1,931 "," 3,228 "," 7,167 ", 189 ," 1,198 ", 730 ," 89,593 "
245," 1,976 "," 3,332 "," 6,752 "," 8,667 "," 3,704 "," 1,254 ", -   , -   , 239 , -   ," 25,924 "
246," 1,693 "," 5,230 "," 10,986 "," 18,553 ", 517 ," 2,991 ", 409 , -   ," 2,709 ", 131 ," 43,218 "
247," 6,229 "," 6,820 "," 34,678 "," 45,147 "," 2,400 "," 1,933 "," 5,965 ", -   ," 2,170 ", 235 ," 105,577 "
248, -   , -   ," 1,053 ", -   , -   , -   , 227 , -   , -   , 215 ," 1,495 "
249," 3,584 "," 12,174 "," 7,287 "," 16,449 "," 5,140 "," 2,161 "," 1,105 ", -   ," 3,896 "," 1,543 "," 53,338 "
250, 286 ," 4,545 "," 15,853 "," 9,611 "," 5,781 "," 2,243 "," 3,352 ", -   ," 3,683 ", 205 ," 45,559 "
251," 1,360 "," 5,820 "," 9,131 "," 8,640 "," 2,216 ", 610 ," 3,306 ", -   , 596 , -   ," 31,679 "
252, 796 ," 3,135 "," 10,643 "," 10,840 "," 3,143 "," 2,225 ", 983 , -   ," 2,784 ", 37 ," 34,586 "
253," 2,370 "," 2,891 "," 3,434 "," 1,464 "," 1,207 "," 1,108 ", 109 , 21 , 472 , -   ," 13,076 "
254," 3,467 "," 14,449 "," 28,763 "," 36,414 "," 3,616 "," 6,638 "," 4,962 ", -   ," 4,754 ", -   ," 103,063 "
255," 5,107 "," 11,426 "," 25,559 "," 34,333 "," 4,201 "," 2,068 "," 5,032 ", -   ," 3,689 ", -   ," 91,414 "
256," 3,381 "," 3,097 "," 12,043 "," 18,689 "," 2,756 "," 4,048 "," 1,369 ", 307 ," 2,690 ", -   ," 48,380 "
257," 6,750 "," 4,103 "," 18,019 "," 18,772 ", 959 ," 1,398 "," 1,095 ", -   , 491 , -   ," 51,588 "
258," 11,677 "," 1,388 "," 24,434 "," 28,317 "," 3,287 "," 4,039 "," 1,060 ", -   ," 7,388 ", 486 ," 82,076 "
259," 1,480 "," 6,781 "," 7,914 "," 15,823 "," 1,781 ", -   , 394 , -   ," 1,340 ", -   ," 35,513 "
260," 1,619 "," 2,787 "," 29,514 "," 20,122 "," 1,090 "," 2,467 "," 4,504 ", -   ," 2,068 ", -   ," 64,171 "
261," 3,922 "," 12,544 "," 21,670 "," 30,704 "," 3,268 "," 2,584 "," 6,078 "," 1,135 "," 2,709 ", -   ," 84,614 "
262," 16,772 "," 3,809 "," 10,718 "," 28,523 "," 2,599 "," 5,104 "," 5,017 ", -   ," 1,152 ", -   ," 73,694 "
263," 11,483 "," 8,141 "," 20,981 "," 39,991 "," 4,633 "," 4,680 "," 3,119 ", -   ," 1,543 ", -   ," 94,571 "
264," 6,852 "," 12,764 "," 38,970 "," 36,094 "," 5,426 ", 654 ," 2,277 ", -   ," 10,847 "," 1,591 "," 115,475 "
265," 4,609 "," 11,397 "," 17,181 "," 31,774 "," 2,769 "," 3,892 "," 1,414 ", 705 ," 5,848 "," 1,730 "," 81,318 "
266," 1,490 "," 1,430 "," 6,787 "," 13,558 ", 241 ," 1,051 "," 1,063 ", -   ," 1,474 ", -   ," 27,093 "
267," 5,751 "," 8,223 "," 12,156 "," 20,654 ", 399 ," 2,332 "," 4,996 ", 989 ," 2,022 ", 320 ," 57,842 "
268," 1,734 "," 2,485 "," 9,959 "," 8,269 "," 2,415 "," 1,758 ", 269 , -   ," 1,306 ", 396 ," 28,591 "
269," 2,611 "," 4,926 "," 21,800 "," 13,477 "," 6,015 ", 839 ," 4,920 ", -   ," 1,888 "," 1,399 "," 57,874 "
270," 2,149 "," 1,922 "," 9,007 "," 4,652 "," 1,595 "," 1,316 "," 2,406 ", 251 , 516 , 520 ," 24,334 "
271, 525 , 656 ," 12,071 ", -   , -   , -   , 911 , -   ," 1,103 ", -   ," 15,265 "
272," 1,521 "," 1,927 "," 18,053 "," 13,921 "," 1,032 "," 1,162 "," 1,480 ", -   ," 1,188 ", 214 ," 40,497 "
273," 4,417 "," 10,853 "," 32,129 "," 33,312 ", 809 ," 4,413 "," 1,767 ", -   , 959 , 182 ," 88,840 "
274," 3,018 "," 6,366 "," 43,266 "," 21,429 "," 6,868 "," 4,114 "," 5,238 ", 126 ," 7,512 ", 751 ," 98,688 "
275," 1,722 "," 5,327 "," 22,446 "," 27,734 "," 2,538 "," 6,326 "," 4,820 ", -   ," 4,976 ", 426 ," 76,315 "
276," 7,509 "," 16,069 "," 37,675 "," 55,839 "," 10,265 "," 4,132 "," 5,880 ", -   ," 3,462 ", 604 ," 141,434 "
277, 379 ," 2,963 "," 23,038 "," 25,621 "," 1,024 "," 1,572 "," 5,595 ", -   ," 10,349 ", -   ," 70,542 "
278," 5,445 "," 15,124 "," 48,355 "," 69,014 "," 5,675 "," 8,445 "," 8,146 ", 495 ," 16,723 "," 1,858 "," 179,280 "
279," 5,131 "," 10,573 "," 20,018 "," 30,206 "," 1,299 "," 3,201 "," 2,874 ", -   ," 4,365 ", -   ," 77,666 "
280," 6,257 "," 4,582 "," 21,500 "," 18,507 "," 3,330 "," 1,294 "," 1,552 ", 123 , 820 , 164 ," 58,127 "
281, 861 ," 10,583 "," 17,925 "," 17,627 "," 4,850 "," 4,128 "," 1,312 ", 294 ," 1,186 "," 1,506 "," 60,270 "
282," 1,718 "," 11,010 "," 15,534 "," 14,720 "," 3,855 "," 4,020 "," 4,312 ", -   ," 2,181 ", -   ," 57,349 "
283," 3,064 "," 1,701 "," 7,762 "," 5,958 ", 797 ," 1,305 ", 527 , -   , 559 ," 1,024 "," 22,697 "
284," 3,116 "," 5,967 "," 23,250 "," 27,538 "," 1,398 "," 1,383 "," 1,337 ", -   ," 4,378 ", 143 ," 68,510 "
285," 7,627 "," 4,179 "," 30,381 "," 47,916 "," 1,012 "," 2,026 "," 2,067 ", -   ," 2,127 ", -   ," 97,335 "
286," 6,083 "," 7,269 "," 13,936 "," 9,332 "," 2,308 ", 539 , 716 , -   ," 1,636 ", -   ," 41,819 "
287," 4,849 "," 5,957 "," 21,992 "," 13,717 "," 2,781 "," 1,895 "," 2,461 ", -   ," 3,140 ", 630 ," 57,421 "
288, 522 , 529 ," 13,589 "," 32,882 "," 1,731 "," 1,364 ", 695 , -   ," 2,035 ", 486 ," 53,832 "
289," 2,473 "," 3,884 "," 26,339 "," 39,169 "," 5,999 "," 4,774 "," 1,326 ", -   ," 1,524 ", 267 ," 85,755 "
290," 1,425 "," 2,320 "," 26,042 "," 25,285 "," 2,099 "," 3,166 ", 936 , -   ," 6,713 ", 147 ," 68,133 "
291," 3,437 "," 4,638 "," 23,001 "," 38,317 "," 4,054 "," 4,161 "," 2,705 ", -   ," 6,444 ", -   ," 86,757 "
292," 1,125 "," 3,116 "," 27,419 "," 50,704 "," 1,649 ", 849 , 913 , 793 , 75 , -   ," 86,643 "
293, 225 ," 2,902 "," 27,132 "," 30,970 "," 3,547 "," 3,410 "," 2,288 ", 37 ," 4,178 ", -   ," 74,690 "
294," 2,485 "," 9,688 "," 20,088 "," 58,217 "," 4,622 "," 3,033 "," 2,786 ", -   ," 4,513 ", -   ," 105,433 "
295," 4,081 "," 6,089 "," 35,445 "," 84,277 "," 3,975 "," 2,169 "," 2,325 ", -   ," 1,304 ", -   ," 139,666 "
296, 59 ," 1,167 "," 3,191 "," 2,819 ", 484 , -   , 292 , -   , 47 , -   ," 8,059 "
297, 165 , 624 ," 2,230 "," 3,013 ", 215 , -   , 111 , -   ," 1,117 ", -   ," 7,475 "
298," 3,572 "," 12,790 "," 47,163 "," 120,199 "," 5,601 "," 8,941 "," 1,690 "," 2,579 "," 4,721 ", 142 ," 207,398 "
299, 214 , 792 ," 3,918 "," 3,355 ", 340 , 149 , 34 , -   , 84 , -   ," 8,887 "
300, -   , -   , 102 , 10 , -   , -   , -   , -   , -   , -   , 112 
301," 11,218 "," 20,658 "," 85,827 "," 32,311 "," 5,342 "," 3,620 "," 7,187 ", 544 ," 3,594 "," 4,369 "," 174,670 "
302," 2,788 "," 4,659 "," 24,681 "," 4,852 "," 1,426 "," 5,150 "," 2,241 ", -   ," 4,197 ", 169 ," 50,164 "
303," 1,602 "," 11,018 "," 23,286 "," 20,908 "," 6,411 "," 8,202 "," 3,270 ", -   ," 3,325 "," 1,102 "," 79,124 "
304," 2,330 "," 3,557 "," 23,398 "," 14,727 "," 1,879 "," 1,239 "," 2,127 ", 619 ," 3,501 ", 303 ," 53,679 "
305," 2,711 "," 15,023 "," 40,623 "," 55,107 "," 3,199 "," 4,832 ", 871 , -   ," 3,362 ", 855 ," 126,583 "
306," 6,760 "," 12,162 "," 49,876 "," 70,931 "," 5,873 "," 6,733 "," 6,615 ", -   ," 5,844 ", 869 ," 165,663 "
307," 10,787 "," 12,009 "," 18,445 "," 24,238 "," 2,260 "," 9,538 ", 477 , -   ," 1,566 ", 293 ," 79,613 "
308," 4,911 "," 18,961 "," 42,515 "," 57,656 ", 698 ," 5,407 "," 1,814 ", 619 , 996 , -   ," 133,579 "
309, 712 ," 2,220 "," 15,635 "," 39,742 "," 1,818 "," 3,025 ", 263 , -   ," 4,138 ", -   ," 67,553 "
310," 3,168 "," 5,524 "," 17,228 "," 35,139 "," 1,436 "," 1,530 ", 445 , -   ," 2,921 ", -   ," 67,391 "
311, 180 ," 4,285 "," 9,715 "," 13,277 "," 1,694 "," 1,632 ", 717 , -   ," 1,167 ", -   ," 32,667 "
312," 5,690 "," 14,974 "," 35,162 "," 48,717 "," 2,586 "," 5,457 "," 4,204 ", -   ," 1,385 ", -   ," 118,176 "
313," 1,702 "," 7,822 "," 15,648 "," 44,322 "," 4,105 ", 892 ," 5,304 ", 159 ," 2,954 ", 624 ," 83,532 "
314," 1,124 "," 3,693 "," 9,297 "," 12,418 "," 2,627 "," 2,926 ", 860 , -   ," 2,093 ", 272 ," 35,309 "
315," 1,856 "," 4,159 "," 33,540 "," 58,696 "," 7,118 "," 6,476 "," 3,850 ", -   ," 3,848 ", -   ," 119,543 "
316," 6,640 "," 14,351 "," 41,862 "," 58,749 "," 3,087 "," 4,435 ", 946 , -   ," 6,529 ", -   ," 136,600 "
317," 1,616 "," 3,525 "," 22,869 "," 5,964 "," 1,193 "," 2,816 "," 1,196 ", -   ," 1,737 ", 136 ," 41,055 "
318, 965 , 859 ," 7,948 "," 1,773 ", 313 ," 2,745 ", 679 , -   , 716 , 47 ," 16,045 "
319," 1,525 "," 2,946 "," 19,845 "," 9,027 "," 2,729 "," 1,160 "," 4,066 ", -   ," 2,676 ", 165 ," 44,140 "
320, 245 ," 3,054 "," 19,043 "," 11,721 "," 1,523 "," 2,380 "," 1,462 ", -   , 518 , 213 ," 40,160 "
321," 4,166 "," 14,688 "," 33,126 "," 40,614 "," 3,170 "," 3,813 "," 7,190 ", 158 ," 4,196 ", 206 ," 111,326 "
322," 2,813 "," 7,167 "," 28,765 "," 32,289 "," 3,747 "," 2,305 "," 3,125 ", -   ," 2,181 ", 813 ," 83,204 "
323," 3,474 "," 6,865 "," 33,213 "," 31,746 "," 2,682 "," 2,151 "," 4,973 ", -   , 774 , 111 ," 85,989 "
324," 1,639 "," 7,530 "," 33,685 "," 39,711 "," 2,672 "," 5,625 "," 2,625 ", -   ," 4,910 ", -   ," 98,397 "
325," 2,704 "," 4,696 "," 31,177 "," 38,008 "," 1,032 "," 2,599 "," 8,207 ", -   ," 3,311 ", 353 ," 92,086 "
326, 990 ," 7,349 "," 19,436 "," 40,387 "," 1,690 "," 4,625 ", 576 , -   ," 4,616 ", -   ," 79,667 "
327," 1,503 "," 2,854 "," 17,638 "," 30,364 "," 2,927 "," 3,564 "," 4,922 ", 584 ," 10,731 ", -   ," 75,087 "
328," 1,216 "," 3,784 "," 14,452 "," 8,484 "," 1,562 ", 897 ," 1,566 ", -   , 874 , 162 ," 32,997 "
329," 1,383 ", 714 ," 11,237 "," 11,658 ", 522 , 663 ," 1,911 ", -   , 694 , -   ," 28,781 "
330," 2,692 "," 5,242 "," 20,457 "," 20,383 "," 2,172 ", 927 ," 2,311 ", -   ," 2,709 ", 651 ," 57,544 "
331," 4,377 "," 5,524 "," 12,146 "," 14,953 ", 114 , -   ," 1,397 ", 41 ," 1,241 ", 423 ," 40,214 "
332," 1,317 "," 12,056 "," 16,033 "," 19,354 "," 4,088 "," 1,547 ", 224 , -   ," 3,654 ", -   ," 58,272 "
333," 2,367 "," 6,040 "," 12,662 "," 23,219 "," 1,229 ", 332 , -   , -   ," 1,771 ", 220 ," 47,840 "
334," 1,985 "," 4,623 "," 7,389 "," 11,880 "," 1,136 "," 1,820 "," 1,094 ", -   ," 1,005 ", -   ," 30,931 "
335," 2,264 "," 3,976 "," 16,209 "," 17,339 "," 2,618 "," 2,307 "," 1,002 ", -   ," 4,136 ", -   ," 49,852 "
336, 777 ," 3,464 "," 15,156 "," 22,370 "," 1,289 "," 2,030 ", 371 , -   ," 4,530 ", -   ," 49,988 "
337," 2,348 "," 4,549 "," 24,450 "," 31,101 "," 1,163 ", 759 ," 2,470 ", -   ," 5,894 ", -   ," 72,734 "
338," 1,056 "," 2,693 "," 12,861 "," 16,161 ", 764 , 395 ," 1,859 ", -   ," 1,510 ", 188 ," 37,487 "
339," 3,283 "," 7,815 "," 22,339 "," 16,343 ", 852 ," 1,196 ", 483 , -   , 977 , -   ," 53,288 "
340, 16 ," 1,115 "," 27,904 "," 33,300 ", 4 ," 1,582 "," 1,001 ", -   ," 1,952 ", 931 ," 67,805 "
341," 1,345 "," 6,324 "," 12,390 "," 4,105 "," 2,529 "," 1,364 "," 1,018 ", 41 ," 2,933 ", 268 ," 32,318 "
342," 1,008 "," 2,157 "," 4,845 "," 9,502 "," 1,192 ", 535 ," 1,858 ", -   ," 1,868 ", 456 ," 23,420 "
343," 1,124 "," 3,083 "," 18,315 "," 18,628 "," 3,037 "," 3,448 ", 957 , -   ," 1,599 ", 303 ," 50,492 "
344, 252 , 209 ," 2,911 "," 2,331 ", 149 , -   , 20 , -   , 78 , -   ," 5,950 "
345," 5,293 "," 5,271 "," 35,449 "," 41,456 ", 482 , 812 ," 1,895 ", -   , 18 , 426 ," 91,101 "
346," 5,242 "," 4,959 "," 16,116 "," 13,708 "," 1,419 "," 1,291 ", -   , -   , -   , -   ," 42,735 "
347, -   , -   , 338 ," 1,093 ", -   , -   , -   , -   , -   , -   ," 1,431 "
348," 27,491 "," 17,677 "," 35,933 "," 55,422 "," 3,183 "," 6,508 "," 2,930 ", -   ," 4,620 ", 855 ," 154,621 "
349," 5,831 "," 6,924 "," 4,715 "," 6,106 ", 68 , 151 , -   , -   , 644 , -   ," 24,440 "
350, -   , -   , -   , 997 , -   , -   , -   , -   , -   , -   , 997 
351," 8,178 "," 10,454 "," 19,412 "," 44,005 ", 610 ," 3,814 "," 3,550 ", -   ," 2,059 ", 613 ," 92,695 "
352," 4,845 "," 11,785 "," 23,218 "," 40,837 ", 331 ," 2,689 "," 3,168 ", -   , 982 , 613 ," 88,468 "
353, -   , -   ," 1,449 "," 1,037 ", -   , -   ," 1,105 ", -   , -   , -   ," 3,591 "
354, - , - , - , - , - , - , - , - , - , - , -   
355, - , - , - , - , - , - , - , - , - , - , -   
356, 861 ," 8,973 "," 21,605 "," 45,332 "," 1,198 ", 973 ," 3,781 ", -   ," 5,591 ", -   ," 88,314 "
357," 7,708 "," 13,323 "," 19,127 "," 55,303 "," 1,198 "," 2,445 "," 1,495 ", -   ," 3,677 ", -   ," 104,276 "
358, 225 , 62 ," 1,421 "," 2,126 ", 27 , 27 , 465 , -   ," 1,159 ", -   ," 5,511 "
359," 6,065 "," 12,770 "," 24,910 "," 42,808 "," 2,931 "," 1,664 ", 98 , -   ," 1,791 ", -   ," 93,036 "
360," 1,146 ", -   ," 5,742 "," 10,614 ", 645 , 799 ," 1,808 ", -   , 771 , -   ," 21,524 "
361," 5,562 "," 2,866 "," 10,725 "," 16,524 "," 2,913 ", 736 ," 1,053 ", -   , 457 , -   ," 40,835 "
362," 6,210 ", 351 ," 4,567 "," 7,478 ", 401 ," 1,534 ", 666 , -   , 931 , -   ," 22,139 "
363," 1,676 "," 14,850 "," 28,573 "," 28,364 "," 1,842 "," 8,399 "," 2,346 ", -   ," 2,500 ", -   ," 88,550 "
364," 1,832 "," 14,687 "," 35,243 "," 36,442 "," 3,316 "," 4,140 ", 565 , -   ," 5,596 ", 122 ," 101,942 "
365," 22,236 "," 1,912 "," 11,723 "," 5,702 ", 211 , 234 , 228 , -   , 139 , -   ," 42,384 "
366," 4,480 "," 2,862 "," 9,347 "," 3,372 ", 79 , 197 , 145 , -   ," 1,120 ", -   ," 21,603 "
367," 16,754 "," 13,225 "," 19,115 "," 21,107 "," 6,698 "," 2,735 "," 2,038 ", -   ," 1,983 ", -   ," 83,655 "
368," 5,862 "," 2,888 "," 13,704 "," 23,131 "," 2,638 "," 2,320 "," 1,745 ", -   ," 1,203 ", 70 ," 53,560 "
369," 14,979 "," 5,670 "," 15,916 "," 35,536 "," 1,649 "," 5,176 "," 2,090 ", -   ," 2,169 ", -   ," 83,184 "
370," 6,998 "," 13,638 "," 18,000 "," 38,366 "," 3,795 "," 1,951 "," 3,692 ", -   ," 3,339 ", -   ," 89,778 "
371," 5,651 "," 25,142 "," 41,116 "," 53,668 "," 6,439 ", 377 ," 1,578 ", -   ," 2,076 "," 1,020 "," 137,068 "
372," 3,663 "," 11,577 "," 17,589 "," 34,213 "," 5,343 "," 1,360 "," 4,162 ", -   ," 2,348 ", -   ," 80,255 "
373," 2,627 "," 8,808 "," 14,610 "," 28,902 ", 887 ," 1,510 ", 587 , -   , 541 , -   ," 58,473 "
374," 2,719 "," 10,483 "," 24,681 "," 34,395 "," 6,567 "," 2,194 ", 194 , -   ," 1,241 ", -   ," 82,473 "
375," 2,310 ", 350 ," 28,658 ", -   , 454 , -   , 91 , 115 ," 1,437 ", -   ," 33,416 "
376," 25,579 "," 7,898 "," 28,625 "," 42,980 "," 2,496 "," 11,840 ", 353 , -   ," 7,514 ", 207 ," 127,493 "
377," 19,980 "," 1,771 "," 16,242 "," 37,506 ", 304 ," 2,463 ", 283 , 115 ," 3,187 ", -   ," 81,852 "
378," 31,304 "," 15,718 "," 47,855 "," 110,961 "," 12,796 "," 11,685 "," 6,746 "," 1,038 "," 6,824 ", 158 ," 245,084 "
379," 24,323 "," 7,829 "," 32,888 "," 62,790 "," 3,488 "," 8,521 "," 3,086 ", -   ," 4,403 ", -   ," 147,327 "
380," 7,986 "," 13,966 "," 13,197 "," 24,185 "," 7,160 "," 2,901 ", 539 , -   , -   , -   ," 69,936 "
381," 11,303 "," 12,500 "," 22,972 "," 52,363 "," 12,393 "," 4,845 "," 1,719 ", -   ," 5,388 ", -   ," 123,483 "
382, - , - , - , - , - , - , - , - , - , - , -   
