Tabela 20,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,
 Origem , Coletivo , Individual , A pé , Bicicleta 
,,,,
174, 67 , 34 , -   , 8 
175, 53 , 49 , -   , 18 
176, 66 , 60 , -   , 13 
177, 49 , 22 , -   , 12 
178, - , - , - , - 
179, - , - , - , - 
180, 76 , 43 , -   , 11 
181, 50 , 24 , -   , 10 
182, 66 , 20 , -   , 12 
183, 46 , 23 , -   , 11 
184, 64 , 28 , -   , 8 
185, 73 , 23 , -   , 12 
186, 59 , 37 , -   , 12 
187, 65 , 33 , 23 , 11 
188, 73 , 28 , 60 , 16 
189, 48 , 36 , -   , 7 
190, 47 , 31 , -   , 12 
191, - , - , - , - 
192, 53 , 29 , -   , 12 
193, 51 , 32 , -   , 11 
194, 65 , 38 , 10 , 14 
195, 50 , 20 , 20 , 8 
196, 65 , 19 , -   , 10 
197, 53 , 31 , 21 , 13 
198, 66 , 26 , -   , 15 
199, 76 , 21 , 5 , 6 
200, 67 , 30 , 17 , 14 
201, 64 , 32 , -   , 9 
202, 81 , 15 , -   , 13 
203, 61 , 24 , 15 , 7 
204, 73 , 38 , -   , 12 
205, 73 , 22 , -   , 7 
206, 74 , 25 , -   , 11 
207, 76 , 44 , 60 , 13 
208, 65 , 28 , 20 , 9 
209, 45 , 28 , -   , 12 
210, 50 , 24 , -   , 3 
211, 56 , 28 , -   , 25 
212, 47 , 21 , -   , 9 
213, 57 , 31 , -   , 11 
214, 55 , 31 , -   , 6 
215, 65 , 25 , -   , 12 
216, 58 , 17 , 13 , 10 
217, 57 , 30 , -   , 10 
218, 42 , 25 , 19 , 13 
219, 72 , 27 , -   , 11 
220, 58 , 25 , -   , 14 
221, 44 , 34 , 65 , 13 
222, 58 , 32 , 16 , 11 
223, 65 , 38 , -   , 12 
224, - , - , - , - 
225, 71 , 30 , -   , 9 
226, 56 , 32 , -   , 10 
227, 72 , 33 , -   , 12 
228, 69 , 27 , -   , 12 
229, 82 , 27 , -   , 10 
230, 81 , 33 , -   , 11 
231, 70 , 51 , -   , 11 
232, 72 , 27 , -   , 18 
233, 62 , 34 , 60 , 17 
234, 72 , 31 , -   , 12 
235, 54 , 34 , -   , 16 
236, 41 , 23 , 25 , 9 
237, 43 , 31 , -   , 13 
238, 50 , 25 , -   , 8 
239, 49 , 24 , -   , 15 
240, 47 , 18 , -   , 17 
241, 68 , 22 , 20 , 9 
242, 41 , 10 , 45 , 13 
243, 57 , 23 , 20 , 14 
244, 46 , 26 , 17 , 14 
245, 42 , 31 , -   , 10 
246, 55 , 30 , -   , 10 
247, 45 , 28 , -   , 7 
248, - , - , - , - 
249, 37 , 24 , -   , 7 
250, 59 , 22 , -   , 10 
251, 28 , 29 , -   , 9 
252, 45 , 27 , -   , 14 
253, 48 , 26 , 13 , 19 
254, 58 , 24 , -   , 12 
255, 54 , 31 , -   , 11 
256, 48 , 24 , -   , 14 
257, 51 , 38 , -   , 9 
258, 62 , 32 , 16 , 17 
259, 69 , 29 , -   , 17 
260, 64 , 28 , -   , 11 
261, 60 , 40 , -   , 12 
262, 50 , 22 , -   , 12 
263, 67 , 32 , -   , 16 
264, 68 , 16 , 30 , 15 
265, 66 , 18 , 20 , 13 
266, 59 , 24 , -   , 11 
267, 81 , 21 , 51 , 9 
268, 43 , 26 , 35 , 14 
269, 39 , 23 , 20 , 13 
270, 44 , 21 , -   , 17 
271, - , - , - , - 
272, 49 , 27 , 25 , 16 
273, 42 , 30 , -   , 10 
274, 42 , 21 , -   , 12 
275, 43 , 26 , -   , 14 
276, 61 , 23 , -   , 17 
277, 66 , 22 , -   , 7 
278, 66 , 33 , 12 , 14 
279, 51 , 45 , -   , 12 
280, 55 , 40 , -   , 17 
281, 44 , 24 , -   , 5 
282, 53 , 35 , -   , 17 
283, 50 , 40 , -   , 11 
284, 66 , 43 , -   , 9 
285, 62 , 34 , 29 , 17 
286, 56 , 29 , -   , 11 
287, 52 , 31 , -   , 14 
288, 59 , 28 , 24 , 13 
289, 49 , 26 , -   , 12 
290, 56 , 37 , -   , 22 
291, 53 , 29 , -   , 13 
292, 70 , 29 , -   , 12 
293, 65 , 40 , -   , 11 
294, 86 , 42 , -   , 9 
295, 79 , 36 , -   , 11 
296, 69 , 63 , -   , 9 
297, 65 , 36 , -   , 2 
298, 74 , 32 , -   , 12 
299, 71 , 49 , -   , 3 
300, - , - , - , - 
301, 47 , 25 , -   , 10 
302, 49 , 28 , -   , 13 
303, 48 , 23 , -   , 16 
304, 42 , 28 , 60 , 15 
305, 55 , 31 , 54 , 10 
306, 70 , 30 , 46 , 15 
307, 72 , 39 , 56 , 17 
308, 69 , 65 , -   , 11 
309, 79 , 44 , -   , 8 
310, 74 , 37 , -   , 16 
311, 69 , 39 , 40 , 13 
312, 71 , 44 , -   , 7 
313, 45 , 20 , -   , 11 
314, 69 , 36 , -   , 11 
