Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
53,"15,580",355,"9,634",0,739,"13,554","3,310",598,"1,258",435,188,291,"10,127",0,"56,068"
54,"17,852",550,"7,140",24,753,"12,342","4,012",476,"2,932",554,0,261,"9,568",0,"56,464"
55,"15,933",0,"2,863",343,"1,493","9,587","2,515",15,"3,295","3,301",0,864,"10,511",0,"50,720"
56,"12,063",0,"6,774",0,"6,587","7,211","2,358",177,"3,166","2,045",0,333,"13,554",0,"54,270"
57,"23,915",721,"6,480",0,"1,798","14,866","1,771",241,"3,774",272,0,803,"14,911",47,"69,599"
58,"13,689",181,"8,676",267,"1,991","17,371","5,414",98,"2,987",99,0,427,"12,218",0,"63,418"
59,"25,093",0,"12,722",0,452,"21,229","5,645","1,008","4,892","1,270",39,206,"13,371",0,"85,926"
60,"4,060",471,"7,134",401,266,"13,955",774,288,"3,330","3,165",0,638,"6,877",0,"41,358"
61,"13,825",0,"6,650",0,"3,279","13,875","2,243",0,"5,497","2,464",0,0,"5,379",0,"53,213"
62,"3,611",609,"7,497",0,590,"14,039","3,826","1,589","1,929","1,737",0,"2,222","2,275",0,"39,924"
63,"11,726",201,"4,005",0,152,"8,469","1,908",0,"1,342",700,0,151,493,0,"29,149"
64,"17,053",634,"11,470",570,"1,663","25,680","9,487",501,"3,158","5,025",0,"2,187","13,818",0,"91,245"
65,"5,203",0,"9,757",91,"1,806","14,454","6,732",320,"2,361",736,0,"2,378","9,637",0,"53,476"
66,"12,204",0,"9,107",0,359,"16,253","11,565",133,"1,871","1,502",206,203,"7,464",0,"60,868"
67,"2,693",0,"6,501",54,611,"8,345","1,841",418,"1,052",720,0,929,"2,324",0,"25,490"
68,"14,800","2,334","22,847",0,"2,044","27,702","4,999",681,"5,695","2,943",0,"3,120","16,755",369,"104,288"
69,"8,365",608,"15,874",286,"2,222","12,137","2,025",241,"3,420","1,608",0,"4,240","11,477",31,"62,534"
70,"1,332","2,878","12,099",0,894,"11,466","3,635",40,"2,460","2,262",120,"1,133","14,313",0,"52,632"
71,"10,713",692,"8,363",0,"1,978","25,051","5,638",192,"3,479","1,227",0,"8,996","15,199",0,"81,530"
72,"4,793","1,570","5,089",266,"2,164","13,791","3,356",424,"2,330","1,638",76,557,"3,573",0,"39,627"
73,"18,320","20,434","20,377","1,908",385,"49,602","5,333","2,185","5,265","3,777",512,"2,667","21,031",335,"152,132"
74,"31,573",318,"8,559",215,540,"14,604","1,144","1,021","2,920","2,592",0,531,"8,759",0,"72,776"
75,"3,654","1,293","3,312",0,"1,091","7,385","1,520","1,066",990,"1,558",0,818,"4,746",0,"27,434"
76,"4,578",536,"8,207",21,384,"8,991","1,807",572,"1,475",797,0,908,"3,062",0,"31,340"
77,"19,106",301,"16,838","1,606","1,117","16,096","4,683","1,190","8,222","1,930",0,718,"11,800",0,"83,607"
78,"12,613",0,"4,730",0,"1,015","8,871","2,360","1,304","2,872","1,085",0,283,"9,815",0,"44,947"
79,"27,156",0,"11,414",0,"1,220","15,826","6,374",623,"2,629",792,158,239,"12,153",79,"78,663"
80,"10,025",341,"10,316",32,"2,525","13,399","3,210",400,"4,058","1,463",0,"1,584","11,125",0,"58,479"
81,"8,136","1,664","11,027",389,841,"17,453","5,091",531,"3,944","2,872",15,"1,470","3,881",0,"57,313"
82,"26,220","6,068","14,295",0,139,"31,023","6,386",70,"6,019","3,979",302,"2,304","13,987",146,"110,938"
83,"11,146",419,"9,639",0,"2,070","17,665","7,054",563,"3,435","1,088",0,837,"14,499",0,"68,414"
84,"3,689","1,994","7,580",0,827,"17,582","3,315",556,"2,683",856,0,274,"8,999",0,"48,355"
85,857,340,716,0,138,"4,494","2,655",0,"1,489",56,0,73,"2,201",0,"13,018"
86,"1,846",18,"1,560",0,149,"1,978",596,0,887,30,0,35,311,0,"7,410"
87,"6,077",43,"2,983",380,"1,378","12,219","4,997",558,"2,126","1,926",138,267,"3,612",117,"36,821"
88,"7,135","2,440","10,687",0,"2,645","27,662","5,261",293,"8,554","1,058",0,550,"18,855",0,"85,138"
89,"1,826",0,"1,891",0,453,"5,503","2,495",0,689,0,0,143,"1,413",0,"14,412"
90,"1,791",77,"5,828",0,"1,029","7,406","2,184",139,"1,713",411,73,93,"5,854",0,"26,598"
91,"6,427","12,203","14,299",0,374,"10,087","4,449",0,231,428,0,869,"4,070",0,"53,438"
92,"6,844","6,640","7,436",23,59,"14,940","1,257",38,810,145,0,55,"2,252",0,"40,499"
93,"13,409","14,819","15,282",0,"1,308","13,296","4,697",323,"2,322",480,0,"1,462","6,191",0,"73,590"
94,"6,594","4,254","6,652",0,343,"8,915","3,519",20,"2,097",135,126,338,"6,501",0,"39,493"
95,"2,785",616,"2,026",0,"1,597","11,907","4,114",135,"2,522",580,0,175,"4,190",117,"30,764"
96,"3,646","2,125","4,112",0,945,"11,405","2,957",48,913,301,0,986,"1,003",154,"28,596"
97,"1,157",357,"3,630",0,"1,339","9,334","2,309",81,"3,027",578,0,771,"2,934",75,"25,592"
98,"1,340",448,"2,865",0,218,"6,117","1,543",0,545,793,0,"1,112","5,316",0,"20,297"
99,"4,937","5,657","3,204",24,99,"8,056","2,082",0,918,523,0,0,"4,332",0,"29,833"
100,"6,294","14,273","39,667",0,"2,404","30,066","9,193",7,"2,808","5,297",330,610,"18,860",482,"130,293"
101,"3,391","2,131","6,063",0,"1,888","8,034","3,138",110,303,78,0,0,"1,249",0,"26,386"
102,"1,599","3,147","3,448",0,"2,802","7,097","2,276",160,"3,355",964,0,194,"2,135",0,"27,176"
103,38,828,"1,648",14,278,"2,652",204,7,566,9,0,94,281,259,"6,876"
104,185,234,"1,235",14,876,"3,510","1,002",23,642,69,0,94,"2,116",0,"9,999"
105,"2,145","1,724","3,110",0,"1,400","11,406","2,265",0,"1,407",718,0,697,"4,004",0,"28,875"
106,"3,136","3,116","6,403",0,727,"6,019",933,0,"1,661","1,896",0,"1,102","4,057",0,"29,052"
107,"3,352","5,512","4,612",0,"1,199","12,388","4,752",0,735,"1,129",0,0,"8,984",0,"42,663"
108,"1,197","4,292","2,465",153,245,"7,109","1,997",0,444,"1,187",31,497,"2,595",0,"22,212"
109,"11,954","4,885","26,810",0,"17,261","47,018","17,772",0,"1,532","4,475","1,419",881,"27,007",0,"161,014"
110,"6,154","9,520","27,664",0,"4,766","16,160","3,374",0,"1,313","3,109",0,0,"25,432",0,"97,492"
111,534,"2,004","11,408",513,"6,607","21,759","3,353",0,"5,797","7,710",0,0,"12,957",0,"72,640"
112,833,"1,507","10,503",357,"6,626","16,819","2,840",0,355,"3,238",450,636,"11,621",497,"56,282"
113,"1,515","1,138","8,738","1,252","3,548","18,777","6,967",0,653,638,0,390,"15,489",0,"59,105"
114,,,,,,,,,,,,,,,
115,"2,799","2,541","16,865","1,189","13,862","12,684","9,858",0,"2,178","2,285",0,0,"16,387",0,"80,647"
116,"8,976","15,132","53,814","1,629","24,286","24,139","12,963",0,"1,167","4,906","1,005",0,"90,705",0,"238,722"
117,"2,343","2,923","21,269","3,210","6,538","21,063","9,547",0,0,"2,712",0,0,"17,560",0,"87,166"
118,529,316,"5,116",116,"1,596","1,963","1,372",0,0,"1,542",0,0,"9,275",0,"21,825"
119,"6,480","10,211","27,386","1,393","14,964","18,126","4,592",0,"1,082","1,307",0,0,"34,440",0,"119,980"
120,,,,,,,,,,,,,,,
121,"4,578","1,056","32,495",0,"8,116","6,509","4,438",0,"2,686",502,0,"1,601","43,699",0,"105,682"
122,"2,631","1,225","21,619",0,"2,686","1,743",748,0,221,0,0,0,"26,313",0,"57,185"
123,"1,935","1,346","24,400",0,"2,639","9,654","5,484",0,"1,792","1,420",0,0,"26,570",0,"75,239"
124,"2,310",639,"20,813",0,"7,630","12,986","11,756",0,598,"1,148",0,462,"29,804",0,"88,145"
125,"3,880",0,"17,922",0,"10,019","16,797","2,805",0,"2,178",994,0,0,"18,745",0,"73,339"
126,"1,825",382,"17,443",0,"2,830","11,349","5,350",0,"1,333","2,525",539,"2,311","14,419",0,"60,306"
127,"2,245",716,"32,215",0,"8,787","21,080","11,185",123,"4,348","4,796",91,191,"27,216",0,"112,992"
128,"5,233",0,"5,001",0,242,"6,623","2,422",0,"2,941",177,0,100,835,410,"23,985"
129,"5,425",0,"11,156",0,114,"9,325","1,817",0,"2,241","1,404",0,86,"3,507",0,"35,075"
130,"1,980",0,"2,659",0,368,"2,903",432,0,164,344,0,685,"3,482",0,"13,016"
131,"7,912",0,"3,571",13,136,"3,491",786,0,"2,269",245,14,44,734,0,"19,214"
132,"2,271",0,"2,595",0,0,"1,530",948,0,0,"1,280",0,531,328,"1,003","10,486"
133,"7,908",387,"14,768",0,"1,879","23,472","5,988",434,"4,946","2,387",14,"1,811","10,783",0,"74,775"
134,"4,723",873,"13,760",0,"5,579","20,707","4,137",0,"2,963",720,241,0,"9,443",0,"63,145"
135,"7,004",0,"16,915",0,"5,816","20,671","10,210",0,"3,719","1,156",0,"1,515","2,972",0,"69,978"
136,"5,950",575,"15,440",0,"3,567","16,732","5,608",0,930,"4,422",205,56,"13,980","1,780","69,247"
137,"2,050",0,"14,245",0,"5,042","15,351","8,240",210,802,"1,202",0,"1,811","21,458",0,"70,411"
138,"2,134","1,138","9,685",0,"1,554","6,733","2,166",0,574,772,0,"1,344","8,112",0,"34,211"
139,"3,159",556,"9,810",0,"2,419","14,245","7,470",0,695,203,241,"1,579","10,318",0,"50,694"
140,"3,681",741,"15,558",0,"5,523","4,439","2,640",210,"1,276",0,539,0,"23,450",0,"58,057"
141,"5,561",0,"32,183",0,"3,347","21,733","8,622",0,531,"3,381",0,"9,434","67,344",0,"152,136"
142,"5,542","1,242","20,732",419,"12,251","2,207","2,371",0,281,684,0,"1,601","23,376",0,"70,706"
143,,,,,,,,,,,,,,,
144,"12,605",0,"34,348",526,"2,715","46,122","15,979",771,"7,993","6,639","2,583","2,973","47,395",39,"180,688"
145,545,0,"3,540",0,"1,416","2,371",677,131,353,927,0,0,"3,405",0,"13,364"
146,,,,,,,,,,,,,,,
147,"2,278",0,"12,663",0,"3,125","13,588",673,0,632,597,0,"1,759","9,957",0,"45,272"
148,"2,631",0,"6,892",0,"4,707","7,889","2,967",0,423,"1,187",0,"1,070","8,053",0,"35,820"
149,0,0,0,0,0,0,280,0,0,0,0,0,0,0,280
150,"3,939",0,"26,088",0,"6,658","6,272",649,0,0,603,0,0,"17,133",0,"61,342"
151,"5,622",666,"28,385",0,"7,071","20,317","7,054",0,"2,697",573,"2,397",0,"27,656",235,"102,671"
152,"10,121",276,"12,516",0,"1,785","18,668","7,478",139,"1,083",307,0,405,"8,224",0,"61,002"
153,"2,015",0,"5,572",211,"2,264","10,846","5,176",0,"1,463",0,0,0,"3,075",0,"30,622"
154,"9,250",0,"27,358",0,"3,264","23,705","7,015",0,"1,117","3,041","1,291",0,"25,134",0,"101,177"
155,"3,533",0,"9,446",0,"2,562","2,295","1,214",0,193,"2,227",274,0,"14,234",0,"35,979"
156,"4,943",0,"11,277",0,"6,561","22,880","10,505",552,"2,420",890,0,557,"26,403",0,"86,987"
157,566,0,"5,557",226,"4,603","2,372",521,0,60,519,0,"2,864","3,511",235,"21,034"
158,"2,829",609,"8,327",0,"5,561","12,381","7,514",0,"4,648",252,0,0,"15,725",0,"57,847"
159,"3,451",0,"19,334",0,"9,552","22,558","6,254",388,"3,848","1,972",0,"3,770","33,092",0,"104,220"
160,"2,489","1,273","9,456",188,"4,768","9,934","5,680",330,"3,213","1,545",0,471,"27,611",0,"66,959"
161,"3,675","2,524","11,460",32,"6,495","15,592","6,772",0,"2,007","2,478",913,"8,286","30,318","1,003","91,556"
162,"1,782",750,"7,253",0,"1,835","13,720","1,680",0,"2,141",824,0,"1,028","13,059",0,"44,071"
163,"3,377","1,230","11,202",550,"7,014","21,485","4,276",525,"1,451","1,671",0,192,"22,332","1,780","77,086"
164,"2,466",435,"5,926",519,0,"4,022","1,939",0,272,"3,197",0,634,"2,495",0,"21,904"
