Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
227,"4,868","8,164","22,637",0,"2,519","11,664","4,516",0,"4,568",542,0,391,"38,397",0,"98,268"
228,"7,807","2,682","9,913",0,"3,914","5,069",671,0,253,207,0,0,"31,151",0,"61,667"
229,"13,257","10,270","36,765",605,"9,631","16,729","15,243",0,"2,367","4,325",346,0,"101,639",749,"211,926"
230,"5,019","1,700","24,025",332,"2,246","8,097","6,131",0,"2,172",256,616,0,"44,622",0,"95,215"
231,"3,769",0,"13,097",938,"8,171","7,424","2,542",0,"2,637","1,173",188,0,"8,839",0,"48,778"
232,"3,937",327,"13,940",0,"3,700","13,691","4,743",0,0,"2,271",192,0,"25,673",727,"69,202"
233,"6,722",441,"14,073",291,"11,829","12,649","4,030",0,"4,542",938,0,852,"26,033",0,"82,400"
234,"5,734",507,"10,866",521,"5,672","8,130","5,871",0,"3,293","2,775",0,0,"38,598",0,"81,967"
235,"4,433",0,"14,971",0,"5,253","15,547","1,394",0,442,"1,987",682,0,"40,899",0,"85,608"
236,"3,853","1,262","8,542",0,"1,104","6,904","4,121",0,789,427,0,106,"6,280",0,"33,387"
237,"3,850",439,"6,400",89,"1,089","10,229","4,735",58,"1,876","1,925",252,140,"8,481",0,"39,562"
238,"5,659",0,"6,265",0,0,"8,822","3,587",0,516,"1,386",0,106,"5,367",438,"32,146"
239,"11,002","4,264","10,715",0,"1,928","10,297","3,513",38,"2,610","2,209",73,0,"13,771",0,"60,422"
240,"4,555","1,241","7,479",0,"1,349","15,524","4,829",0,"1,650",700,65,0,"5,036",0,"42,429"
241,"5,255","2,503","3,323",134,249,"10,832","3,390",164,472,694,297,234,"4,259",0,"31,807"
242,"4,711",651,"4,415",0,"3,101","10,474","2,667",0,510,"2,529",911,"1,433","16,403",0,"47,806"
243,"7,320",652,"8,105",0,"10,570","27,518","6,876",58,"1,382","1,503",34,"2,487","29,785",0,"96,289"
244,"8,022",960,"21,037",0,"4,407","11,592","2,865",0,"2,020","3,024",0,"4,326","34,416",0,"92,669"
245,403,0,"3,375",0,429,"5,457","3,179",0,0,503,0,0,"11,579",265,"25,190"
246,"5,293",0,"10,503",0,"1,713","6,246","1,099",0,816,"1,516",0,0,"15,867",0,"43,055"
247,"7,702",0,"23,228",0,"11,292","19,285","2,166",0,"3,078","1,598",0,0,"37,625",0,"105,975"
248,0,0,"1,120",0,0,80,295,0,0,0,0,0,0,0,"1,495"
249,"2,756",556,"14,360",0,"2,437","8,864","1,642",373,"1,036",950,0,339,"20,065",0,"53,378"
250,"5,265",0,"5,507",137,634,"20,846","4,432",258,"1,581",544,0,0,"7,651",0,"46,854"
251,"2,906",0,630,0,"4,387","9,537","1,930",0,"2,165","1,742",517,0,"7,811",0,"31,624"
252,"2,778",0,"4,825",0,"3,657","12,237","2,864",37,691,"1,194",0,0,"6,082",208,"34,573"
253,989,718,"1,864",0,158,"4,211",610,0,0,106,0,625,"4,178",29,"13,488"
254,"25,928",405,"17,049",747,"3,463","25,295","9,013",0,348,"2,458",358,"1,305","14,600",29,"100,999"
255,"4,123",321,"13,673",0,"3,745","26,098","10,101",0,0,"2,467",0,"1,830","29,515",0,"91,873"
256,"4,715",0,"7,080",0,624,"12,647","5,157",0,"2,106","1,863",0,0,"14,020",0,"48,212"
257,"7,633",306,"10,831",0,"4,797","10,255",730,0,"1,406","2,827",0,397,"12,860",0,"52,044"
258,"6,568",685,"15,514",0,907,"18,002","2,364",0,"1,292","1,001",0,"1,784","33,620",0,"81,737"
259,"3,289",993,"7,487",0,"2,828","6,242","1,718",0,607,458,0,0,"12,275",0,"35,897"
260,"8,275",0,"17,199",0,"3,165","9,259","2,870",0,327,"2,266",0,0,"20,427",0,"63,786"
261,"8,373",0,"16,313",586,"12,753","14,021","4,688",0,"2,462","1,319",0,0,"23,462",0,"83,977"
262,"5,931",0,"22,334",0,"4,222","7,233","3,204",0,"1,662",0,0,565,"28,511",0,"73,661"
263,"11,262","1,208","9,938",0,"6,610","12,973","3,743",0,344,"3,806",403,0,"45,318",0,"95,605"
264,"8,309",0,"26,007",259,"6,562","24,934","11,326",0,"3,769","3,987",0,"1,624","29,007",549,"116,332"
265,"5,320",0,"18,058",0,"5,847","13,770","4,321",0,"1,347","4,216",0,565,"28,402",0,"81,846"
266,"2,126",0,"5,454",0,"1,636","5,902","1,554",174,"1,012",681,0,0,"8,747",0,"27,287"
267,"3,977",0,"8,820",0,"1,819","13,312","5,874",0,"1,783",502,490,"1,531","18,711",0,"56,819"
268,"1,855",48,"6,537",0,"1,948","8,328","4,550",64,450,"1,379",120,98,"3,281",43,"28,702"
269,"5,335",0,"6,083",0,"1,744","19,215","6,512",49,"3,980","1,117",0,447,"14,408",798,"59,689"
270,"1,491",0,"3,890",19,564,"8,911","2,153",0,"1,146",990,525,0,"4,671",0,"24,360"
271,"2,793","1,774","1,625",0,0,"2,697",666,203,"3,014","1,768",0,0,542,0,"15,082"
272,903,0,"8,017",138,"3,412","13,258","6,312",0,"1,677",939,0,510,"5,067",444,"40,677"
273,"5,062",0,"14,704",0,"13,682","22,015","2,632",270,"1,011","5,330",40,57,"23,686",0,"88,489"
274,"21,007",0,"20,876",0,"4,375","22,597","3,126",152,"2,008","7,255",363,0,"15,380",0,"97,138"
275,"15,704",257,"8,094",0,"8,874","16,585","5,620",192,"4,404",945,0,402,"14,191",0,"75,269"
276,"16,978",0,"25,480",0,"4,195","33,360","20,924",180,"2,260","5,213",727,0,"31,932",798,"142,047"
277,"6,268",0,"7,939",0,"2,614","23,077","13,110",229,"6,610","1,554",0,505,"7,966",0,"69,872"
278,"10,287","1,023","46,320",0,"15,962","11,405","12,419",0,"2,908","4,453",869,"1,836","72,212",269,"179,963"
279,"3,769","1,258","20,308",0,"10,425","7,822","5,294",0,"1,250","4,240",136,0,"22,281",0,"76,783"
280,"3,598","5,218","13,735",241,"1,063","18,380","4,624",0,"1,232","1,739",631,0,"6,774",0,"57,237"
281,"2,038",290,"13,294",513,"4,402","16,117","3,947",469,"5,670","2,876",0,0,"10,394",0,"60,011"
282,841,"2,642","10,231",0,"3,237","12,363","8,606",0,"1,889","2,424",0,0,"15,039",0,"57,273"
283,495,422,"3,214",0,"1,497","10,352",968,224,570,541,94,0,"4,838",0,"23,216"
284,"3,978",0,"22,819",0,"7,434","7,034","1,856",0,621,"8,145",0,0,"16,611",0,"68,497"
285,"2,847",0,"32,314",0,"9,990","11,228","6,189",0,"1,691","7,837",0,"4,356","21,322",650,"98,423"
286,"3,476","1,623","16,542",650,"1,899","10,004","2,130",0,228,"1,642",0,0,"3,304",0,"41,499"
287,"1,362","2,439","13,792",0,"5,381","15,545","6,137",0,311,"2,537",0,647,"9,276",0,"57,427"
288,"1,094","3,892","7,440",418,"4,640","14,416","6,885",0,313,"1,111",94,647,"12,528",69,"53,546"
289,"2,898","1,047","23,591",274,"6,565","24,016","7,671",180,481,872,419,0,"17,023",69,"85,105"
290,"7,666","5,840","16,527",0,"12,045","11,809","2,400",0,638,"1,829",0,0,"10,935",0,"69,688"
291,"5,064","2,014","28,855",0,"9,251","13,457","3,437",0,"1,607","6,494",358,0,"17,058",0,"87,595"
292,"1,711","4,285","14,534",0,"12,949","6,699","4,795",0,0,"1,835",0,0,"36,320","2,960","86,088"
293,"4,946","4,094","22,280",0,"2,502","12,141","3,052",0,0,"1,239",0,0,"23,429",0,"73,683"
294,"7,710","3,130","16,361",0,"13,576","5,018","3,766",0,"1,560","4,973",169,0,"49,283",0,"105,546"
295,"4,552","11,185","26,056",0,"21,069","6,558","6,763",0,0,"8,319","1,578",0,"56,285",0,"142,365"
296,221,339,"1,757",0,"1,120",809,859,0,0,432,0,0,"2,635",0,"8,171"
297,157,599,"1,020",0,"1,388","3,052",715,0,0,258,0,0,284,0,"7,472"
298,"8,974","6,398","51,709",0,"34,930","19,467","8,466",0,876,"4,977",0,0,"76,860",0,"212,658"
299,674,501,"3,012",0,"1,703","1,492",157,0,0,441,0,0,859,0,"8,839"
300,102,0,0,0,0,10,0,0,0,0,0,0,0,0,112
301,"31,514","8,788","39,037",380,"5,345","51,881","9,556",271,"2,387","4,039",0,"1,729","17,234",43,"172,202"
302,"5,400",697,"15,588",0,"1,327","14,476","4,406",397,651,"2,430",0,318,"4,214",422,"50,327"
303,"12,321","1,048","27,422",0,"3,240","16,571","4,519",402,"1,676","4,242",0,0,"7,177",0,"78,618"
304,"11,310","1,824","15,564",0,"1,939","12,797","1,065",292,"1,407","3,670",0,74,"3,186",538,"53,666"
305,"12,202",0,"29,472",37,"18,273","16,017","13,745",0,722,"3,927",502,"2,170","31,400",0,"128,466"
306,"11,757","2,136","37,373",0,"13,305","15,762","8,859",0,"2,552","10,304",879,"1,814","62,990",0,"167,729"
307,"7,688",547,"28,141",0,"6,932","12,240","3,336",176,336,726,515,"2,471","14,954","2,204","80,265"
308,"4,439",464,"31,333",289,"21,753","10,021","9,551",0,0,"1,515",372,0,"53,239",0,"132,977"
309,"1,692","1,129","14,891",0,"7,026","6,554","3,474",0,0,"1,076",0,0,"31,476",0,"67,317"
310,"8,189",177,"16,031",0,"10,660","4,099",553,0,0,"2,217",0,0,"27,712",0,"69,639"
311,"2,047",163,"5,966",0,"1,155","1,529",651,101,510,180,0,877,"18,776",0,"31,952"
312,"1,836","3,502","30,642",278,"12,771","7,120","6,172",176,"1,621","6,493","1,543",828,"44,415","1,766","119,164"
313,"6,127",370,"13,841",0,"7,315","13,393","10,193",128,"1,021","1,867",0,0,"26,016",241,"80,514"
314,"3,149",0,"10,749",0,"3,795","3,628","2,552",251,511,857,0,0,"10,189",0,"35,681"
315,"11,307",0,"24,826",0,"10,987","14,837","6,215",0,764,"5,108","2,054",0,"41,998",0,"118,096"
316,"17,286",277,"25,192",0,"13,092","12,514","4,765",0,854,"4,875",768,0,"57,029",0,"136,651"
317,"4,962","2,213","6,894",41,335,"14,400","4,087",321,"1,017","2,471",0,0,"4,887",0,"41,630"
318,"1,054",551,"2,086",0,135,"5,962","3,101",27,"2,616",112,27,77,552,0,"16,300"
319,"4,801",719,"6,501",503,"1,308","15,444","3,731",269,"1,633","3,129",0,0,"5,032",0,"43,071"
320,"3,605",163,"6,331",268,199,"16,410","6,866",334,667,"2,793",472,0,"2,059",22,"40,189"
321,"4,759",992,"18,956",0,"4,565","13,817","6,019",0,"1,541","5,545","1,106","1,908","51,663",0,"110,870"
322,"9,257",330,"10,960",0,"3,418","25,694","13,396",154,"1,559","3,452",188,"1,085","12,821",22,"82,337"
323,"4,429",342,"9,715",163,"11,246","31,367","9,857","1,499","5,018","4,684",515,0,"7,454",0,"86,289"
324,"16,007",0,"11,739",503,"17,023","10,591","10,328",0,"1,583","5,089",250,0,"23,533",0,"96,646"
325,"14,191",0,"13,242",0,"6,508","12,140","4,159",0,407,"2,366",259,0,"39,405",0,"92,677"
326,"2,693",0,"13,099",0,"8,423","15,223","8,882",0,"1,838","4,997",0,0,"23,287",0,"78,443"
327,"8,911",282,"17,539",0,773,"8,679","8,448",0,"2,529","1,842",0,0,"24,705",0,"73,709"
328,"2,704",577,"2,596",0,"2,142","16,810","3,320",96,"1,934",212,0,0,"2,750",0,"33,140"
329,"3,379",0,"5,157",89,"2,193","11,152","3,963",0,350,304,0,"1,406","2,514",0,"30,507"
330,"8,469",168,"8,161",0,"3,125","19,221","6,226",414,980,"1,876",298,336,"8,143",83,"57,501"
331,"5,009",0,"6,492",0,"1,926","11,510","1,315",0,781,683,0,0,"12,113",0,"39,829"
332,"2,680",612,"10,884",0,"5,352","15,170","6,488",0,853,"2,338",0,0,"13,891",0,"58,269"
333,"2,713",0,"8,988",945,"9,841","9,162","8,561",0,916,"1,475",0,0,"5,889",0,"48,489"
334,525,0,"5,685",0,"3,550","6,446","2,136",0,781,"1,163",101,0,"10,559",0,"30,947"
335,"5,362","1,143","10,755",0,"3,433","11,330","2,445",0,"1,602",640,0,"1,386","12,458",0,"50,555"
336,"1,706",0,"7,251",153,"4,094","18,057","8,786",0,718,"2,423",138,0,"8,783",0,"52,109"
337,"3,081","3,169","5,182",0,"4,668","26,487","19,915",0,992,990,0,"2,523","4,011",0,"71,017"
338,"1,190",520,"6,998",0,"2,264","11,820","7,378",128,280,475,0,"1,077","5,120",0,"37,250"
339,"3,265","5,832","11,810",0,"3,491","7,177","2,655",0,462,"1,648",0,"4,357","12,151",0,"52,847"
340,"16,847","5,538","13,043",423,92,"18,929","1,088",0,"2,834","1,814",268,"2,125","3,838",117,"66,955"
341,"3,842","1,411","4,093",0,797,"16,991","3,260",0,624,35,0,217,"1,608",0,"32,878"
342,"3,571",0,"1,188",0,"3,083","9,061","2,191",0,244,130,0,905,"3,705",83,"24,162"
343,"2,478",0,"5,677",0,"3,949","14,110","8,969",0,"1,541","1,548",0,0,"11,654",0,"49,927"
344,138,0,79,107,450,"3,844",820,67,0,352,31,0,61,0,"5,950"
345,"2,197","6,058","4,140","1,377","7,170","30,379","20,688",0,"2,017",662,0,451,"17,404",0,"92,542"
346,"2,698","4,372","2,642",849,"5,055","8,751","2,088",0,669,397,519,"2,562","11,950",0,"42,552"
347,0,0,338,0,0,734,359,0,0,0,0,0,0,0,"1,431"
348,0,387,"21,080","13,949","22,069","32,716","16,225",0,"2,543","7,943",0,"1,614","37,291",353,"156,171"
349,137,0,"4,394","5,997","1,912","6,431",518,0,237,246,684,0,"3,954",317,"24,826"
350,0,0,0,0,997,0,0,0,0,0,0,0,0,0,997
351,665,"8,935","8,843",519,"6,089","14,276","10,761",0,"1,400","1,824","1,840",919,"38,283",663,"95,018"
352,"1,628","7,152","5,265","1,881","6,137","23,743","7,104",0,"2,206","6,273",509,0,"26,790",0,"88,688"
353,0,0,0,0,0,"2,062",424,0,0,468,637,0,0,0,"3,591"
354,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,
356,"4,606","6,021","8,460",502,"9,498","11,969","2,767",0,"2,736",787,463,0,"39,701",0,"87,509"
357,"4,395","11,532","6,034","6,096","14,494","9,861","2,614",0,"1,515","1,638",82,"1,494","45,824",0,"105,580"
358,204,386,356,360,573,"1,297",0,0,0,489,163,0,"1,822",0,"5,649"
359,"1,631",0,"1,620",226,"7,070","21,291","14,153",0,"1,368","11,932",0,"2,402","31,980",0,"93,674"
360,0,0,0,0,772,"13,551","6,177",0,465,528,31,0,0,0,"21,524"
361,732,0,"1,430",556,"6,103","7,162","6,935",0,0,"2,922",0,"1,187","13,808",0,"40,835"
362,821,0,372,723,"3,149","7,857","2,380",0,465,427,0,0,"6,470",0,"22,664"
363,"3,240",593,"35,252","1,470","4,383","15,728","3,300","2,183","3,785","1,573",41,"1,111","15,391",0,"88,051"
364,"2,580",493,"25,749",334,"5,619","21,931","9,899",0,"6,477","3,741",0,730,"24,385",0,"101,938"
365,121,"1,493","13,130","2,557","1,038","12,865","1,081",0,46,"1,017",0,"2,406","6,969",180,"42,902"
366,444,261,"6,426",675,633,"4,863",692,0,210,973,0,322,"3,284",118,"18,900"
367,"1,273",0,"17,718","2,534","5,657","24,869","4,950","2,306","2,576","1,617",41,0,"19,874",0,"83,416"
368,"1,247",0,"10,720",227,"10,096","16,201","4,581",724,296,"1,042",0,0,"9,317",0,"54,451"
369,"3,532",0,"9,891","1,044","3,483","17,745","7,039",0,943,333,0,"1,342","39,300",0,"84,654"
370,"3,193",0,"14,165",972,"10,818","18,323","10,060",0,"2,623","1,822",0,0,"27,596",675,"90,247"
371,"3,341",0,"24,245","1,332","19,059","28,541","5,307",754,"1,140","5,361",0,0,"48,020",0,"137,102"
372,"1,494",0,"14,406",0,"16,173","11,916","4,053",199,"1,756","4,421",0,688,"25,275",0,"80,381"
373,"1,548",990,"6,523",478,"4,488","11,018","1,012",0,"1,044","1,494",390,0,"27,963",163,"57,113"
374,"2,181",0,"12,725","1,044","9,177","17,399","5,822",0,643,"6,543",0,"5,650","19,336",0,"80,521"
375,666,"2,791","6,204","5,176",0,"11,913","1,907",278,"4,384","2,096",0,"1,676","1,578",0,"38,668"
376,"3,157",328,"21,123","2,515","10,106","25,161","6,243",0,454,"3,846",0,"5,764","49,088",0,"127,786"
377,"1,158",0,"10,182","5,799","6,540","12,984","6,348",0,283,844,0,"5,175","33,455",0,"82,768"
378,"4,395",793,"36,553","7,673","25,002","33,257","15,515",0,"1,699","2,077",0,"14,398","104,518",0,"245,879"
379,"3,383","1,031","17,570","4,396","10,094","32,524","14,324",0,0,"2,271",0,"5,344","56,116",46,"147,099"
380,"1,027",0,"11,077",286,"10,790","11,715","5,127",0,"3,001","5,794",0,0,"21,118",0,"69,936"
381,"1,367",0,"27,455","3,846","18,793","14,866","6,870",0,"7,713","4,619",0,0,"38,299",0,"123,827"
382,,,,,,,,,,,,,,,
383,0,0,"19,353","4,225","13,995","19,285","2,737",0,"4,865","4,951",0,"1,399","45,202",0,"116,013"
384,"1,577",0,"17,545","6,501","15,443","11,309","8,415",0,490,"9,120","2,627","2,592","35,701",0,"111,320"
385,383,0,"5,189","1,264","7,565","4,350","1,686",0,0,0,0,"1,071","6,964",378,"28,850"
386,,,,,,,,,,,,,,,
387,0,0,679,47,"1,186","2,253","1,880",0,53,64,0,"1,628","1,482",151,"9,422"
388,"1,882",0,"19,926","3,907","13,768","30,226","12,974",0,677,"4,481",0,"4,435","45,698",0,"137,974"
389,0,0,"3,101",0,0,"4,300","1,481",0,110,248,0,0,"2,159",0,"11,399"
390,265,0,"1,686","2,417","12,617","12,665","5,087","1,164",931,"3,163",0,"4,391","29,239",211,"73,835"
391,0,0,401,251,"1,965","4,528","1,685",0,145,303,0,0,668,0,"9,947"
392,0,0,0,0,0,0,0,0,0,220,0,0,0,0,220
393,0,0,0,0,0,632,0,0,0,0,0,0,0,0,632
394,"11,470","14,822","8,482","1,171","11,259","21,721","7,093",0,"7,290","11,116",450,0,"55,116",369,"150,359"
395,0,0,0,0,0,0,0,0,0,0,0,0,412,0,412
396,"10,045","14,384","6,608",915,"11,550","25,984","10,114",791,"3,916","4,228",995,832,"55,722",0,"146,084"
397,"1,378","2,004","2,356",187,471,"3,094","3,020",0,"1,083",330,0,0,"19,457",0,"33,380"
398,"4,512","17,487","4,017",523,"5,254","40,579","23,577",0,"3,125","5,461",0,"7,030","64,562",0,"176,126"
399,"4,370","14,459","10,678","1,928","5,810","25,106","8,090",0,"3,788","2,784",0,"4,580","78,618",0,"160,211"
400,"2,453","7,880","15,177",606,"11,743","26,040","9,690",0,"9,172","4,948","1,004","2,936","47,111",0,"138,759"
401,"4,178","8,267","13,183","3,425","14,568","24,408","6,690",0,"13,485","4,671",0,"5,938","65,557",0,"164,372"
402,"3,093","5,564","11,092","2,148","12,790","11,594","6,232",0,"4,544",829,485,"5,449","44,358",584,"108,762"
403,"3,032","10,150","20,282","8,184","13,459","29,364","11,518",0,"7,779","4,323",0,"8,365","71,747","1,746","189,948"
404,"4,682","23,719","28,497","7,468","12,493","99,725","50,419",0,"13,129","3,816",0,"14,902","103,899",0,"362,750"
405,378,"2,499","5,926","1,817","8,736","6,486","3,030",0,416,667,0,"2,582","11,311",179,"44,026"
406,468,663,"3,650",555,"1,146","4,712","1,147",0,101,183,0,425,"10,747",0,"23,797"
407,840,"6,335","29,412",373,"13,859","37,787","14,502",63,"10,145","2,552",0,420,"46,137",0,"162,424"
408,563,"9,357","14,267",0,"2,778","16,818","3,011",0,"2,009","2,190",613,"5,291","23,970",0,"80,866"
409,"1,512","6,585","15,246",301,"3,088","22,934","2,654",0,945,925,0,0,"12,898",0,"67,089"
410,"2,908","4,594","24,357","1,568","12,880","26,290","7,020",177,"4,387","7,255",0,"3,293","50,611",362,"145,700"
411,788,"4,188","6,098",0,"4,829","11,493","3,016",0,"1,039","2,419",0,"8,641","31,311",0,"73,822"
412,416,"1,950","4,078",0,"4,139","5,145","1,218",0,539,"1,146",0,582,"10,739",0,"29,952"
413,0,33,"4,569",226,937,"4,022","2,358",63,206,273,30,208,"4,553",0,"17,478"
414,164,108,"4,841",0,"1,877","3,368","1,244",0,323,510,30,0,"4,887",0,"17,351"
415,660,"1,786","12,479",0,"6,211","13,396","2,691",177,673,"1,238",0,"3,832","12,043",561,"55,747"
416,0,775,"3,609",0,"5,087","5,534","1,629",0,767,261,0,0,"4,995",0,"22,657"
417,0,0,0,0,0,439,0,0,0,0,0,0,0,0,439
418,0,214,"2,757",366,"2,387","6,623","2,275",0,788,643,0,0,"14,054",367,"30,474"
419,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31
420,205,439,525,0,893,"2,652","1,273",56,104,453,178,0,"9,937",0,"16,716"
421,0,0,0,0,0,0,0,0,104,0,0,0,0,0,104
422,154,653,"2,084",939,"1,583","6,982","5,662",0,983,"2,701",0,"2,207","24,044",0,"47,994"
423,,,,,,,,,,,,,,,
424,"1,833","5,688","6,144",0,"4,086","30,637","16,453",502,"3,993","2,661",45,863,"40,312",177,"113,394"
425,"1,418","2,161","5,665","1,546","1,145","24,051","12,326",439,"3,445","3,022",507,977,"38,273",0,"94,977"
426,"2,013",663,"4,767",0,"3,553","23,742","9,773",0,"5,167","1,312",201,780,"19,541",43,"71,556"
427,219,"2,270","3,498",147,609,"11,489","4,097",983,"2,055",618,109,308,"4,362",112,"30,877"
428,"3,049","6,579","8,559","9,132",676,"19,367","3,405",0,"5,661","2,038",264,572,"14,762",0,"74,066"
429,"5,051","13,000","28,296",646,"8,880","106,555","29,196",0,"14,437","5,033","1,362",654,"40,467",349,"253,928"
430,0,221,"4,093","2,080","3,523","17,909","1,985",0,"8,390","1,569",0,0,"11,408",0,"51,178"
431,515,"1,400","2,240",0,"3,154","17,008","11,957",0,"1,458","1,508",0,0,"4,847",0,"44,088"
432,818,635,"1,844",102,608,"3,946","2,020",0,586,"2,298","1,298",431,"13,216",0,"27,801"
433,"3,000",949,836,0,"2,946","22,155","6,845",0,"1,316",856,703,231,"10,485",0,"50,321"
434,346,"3,549","3,508","2,996","6,921","26,338","9,683",0,"2,757","1,432",0,254,"16,776",0,"74,560"
435,0,972,"3,697","2,927","2,298","26,633","10,517",0,"2,483","1,907",0,785,"22,415",0,"74,635"
436,"1,911","1,130","2,417","1,138","3,876","23,321","12,646",0,"2,821","2,813",208,885,"14,635",0,"67,801"
437,172,"1,473","3,294",476,"4,552","23,598","4,715",0,"3,601","3,698",0,785,"20,618",0,"66,982"
438,"2,813","3,497","7,669","11,588","7,096","57,094","24,801",0,"4,101","8,570",141,654,"35,844","5,462","169,328"
439,"3,397","1,079","8,176",899,"6,901","67,369","27,632",0,"5,992","4,492","2,369",0,"54,650",0,"182,954"
440,"1,414","3,206","11,682","3,801","7,494","19,656","9,112",0,"9,156","9,016","1,594",254,"71,454",0,"147,840"
441,60,319,94,250,540,370,140,0,23,308,0,67,657,144,"2,973"
442,969,"3,801","8,650","9,473","8,078","31,538","5,999",0,"1,966","6,958",0,887,"18,294",100,"96,712"
443,"3,934","11,700","15,832","5,178","15,153","77,285","19,067",0,"5,390","13,039",868,"3,010","58,717","3,050","232,224"
444,"3,732","13,820","21,649","4,502","7,970","23,585","7,487",0,"6,020","8,163","1,269","4,166","58,476","1,374","162,212"
445,"4,484","2,743","6,427",768,"10,920","24,335","5,876",0,"2,477","3,604",0,0,"32,405",0,"94,037"
446,0,"4,605","1,823","1,584","3,315","3,871","1,250",0,269,957,0,0,"3,771",0,"21,446"
447,"3,325","10,309","18,298","2,268","20,911","33,498","15,391",0,"2,953","2,264",0,0,"29,458",117,"138,792"
448,"1,182","1,535","1,887","2,280","3,692","7,505","2,973",0,174,206,0,0,"4,085",0,"25,518"
449,476,407,"2,733",872,"2,464","4,139","1,213",0,283,120,0,0,"2,295",435,"15,438"
450,139,"1,337",801,940,"1,744","1,358",119,0,0,"2,947","1,336",499,"5,847",0,"17,069"
451,943,"4,317","3,431","1,589","11,330","7,943",38,0,265,"4,228",0,328,"22,819",0,"57,231"
452,"1,052",38,"17,514","8,015","12,972","59,704","20,537",0,"7,021","3,392",0,"1,613","53,069",594,"185,520"
453,"1,048",0,"5,160","3,940","5,112","26,730","10,115",0,"2,097","8,209",0,0,"46,926",683,"110,022"
454,"1,443","2,118","13,373","1,502","1,410","45,502","23,443",0,"5,525","2,982",217,439,"12,123",0,"110,076"
455,"2,212",839,"15,740",369,"5,685","48,357","21,117",0,"5,035","4,942",538,439,"16,514",0,"121,785"
456,"2,443","3,008","29,236","2,523","8,986","76,533","31,379",0,"21,649","11,568",855,175,"38,643",208,"227,207"
457,"1,797",313,"24,220","1,532","25,877","61,013","26,519",0,"12,014","11,352","2,445","2,518","40,113",0,"209,712"
458,"1,274",20,"18,736","5,288","8,103","47,220","22,640",0,"9,412","11,281",307,0,"46,544",160,"170,984"
459,0,0,"10,597",579,"7,987","12,627","4,770",0,0,"3,957",0,0,"15,136",349,"56,003"
460,0,0,"7,597",0,"4,072","4,384",643,0,796,752,303,771,"3,789",0,"23,107"
461,0,0,"1,877",0,0,774,0,0,0,538,0,0,0,0,"3,188"
462,"2,773",0,"27,489","6,450","16,780","37,050","19,211",0,"3,536","7,580","3,196","3,404","62,801",538,"190,808"
463,"7,302",738,"16,778",0,"14,443","47,697","18,250",0,"10,055","4,232",633,"6,609","48,757",0,"175,494"
464,635,801,"10,690",414,"3,596","28,364","13,048",0,712,"8,465","1,012",0,"64,458",0,"132,195"
465,"2,226",0,"20,464",521,"6,862","27,430","10,072",0,"4,241","8,784","1,637","10,443","74,584",683,"167,947"
466,"1,808",574,"5,857",0,"6,023","18,990","9,381",0,"5,870","6,131","2,736","1,117","44,911",0,"103,397"
467,"2,754",0,"10,090",0,"4,921","26,176","7,234",0,"1,515","3,040",322,"5,703","35,179",0,"96,933"
468,"11,247",0,"18,209",169,"9,330","35,425","21,911","3,504","3,595","4,973",0,"1,837","22,389",0,"132,589"
469,"5,520",0,"4,567","1,414","6,918","7,391","7,792",344,962,"2,242",656,0,"13,604",83,"51,495"
470,"7,288",0,"6,474","1,319","11,921","21,615","16,896",0,298,"3,184",447,877,"41,494",0,"111,813"
471,"5,915",278,"4,741",0,"6,607","5,852","5,082",0,675,"6,138",298,0,"24,103",0,"59,689"
472,"4,588",0,"7,565",0,"4,126","9,551","3,574",0,"1,473","3,490",298,0,"36,223",0,"70,888"
473,"12,093",0,"10,762","1,185","17,537","29,733","21,461",0,"2,642","9,131","2,886",0,"81,856",133,"189,418"
474,"6,035",0,"9,885","3,605","7,633","20,241","7,577",0,241,"5,086","1,372","2,559","26,311",133,"90,677"
475,109,0,"2,952",382,"2,765","5,024","2,278",0,241,"1,231",0,194,"9,136",0,"24,311"
476,"16,516",0,"18,894","1,443","18,755","24,840","5,096",0,647,"9,120","1,720",0,"83,806",0,"180,837"
477,65,0,196,0,"2,152",938,696,0,0,150,0,0,561,0,"4,758"
478,354,0,822,0,"3,425","1,977",536,0,0,"1,100",0,0,"1,360",0,"9,574"
479,184,0,912,0,"3,650","4,652","1,042",93,0,789,0,0,"7,281",0,"18,603"
480,"2,629",0,"13,080",58,"8,190","13,821",246,336,0,"4,255",149,"1,361","12,795",0,"56,919"
