Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional/app , Dirigindo moto ,Passageiro de moto e de mototáxi, Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
54,"19,488",550,"6,613",24,753,"12,109","3,920",507,"3,914","1,305",74,261,"9,660",0,"59,177"
55,"16,519",652,"2,398",343,"1,473","10,096","2,188",15,"2,783","3,301",0,864,"10,628",0,"51,261"
56,"12,133",0,"7,142",0,"6,587","7,211","3,018",271,"2,395","1,314",0,333,"13,369",0,"53,774"
57,"22,957","1,121","5,577",0,"1,798","13,400","1,911",549,"5,082",272,0,803,"13,512",47,"67,029"
58,"13,939",181,"7,200",267,"1,991","17,776","6,105",98,"2,394",99,0,427,"12,487",0,"62,963"
59,"25,372",0,"13,100",0,452,"21,268","4,336","1,008","5,261","1,270",0,206,"13,371",0,"85,642"
60,"4,398",471,"6,777",0,667,"14,030","1,204",288,"3,330","3,165",0,638,"6,877",0,"41,844"
61,"14,403",0,"6,297",0,"3,279","13,232","2,497",258,"5,163","2,464",0,0,"5,323",0,"52,917"
62,"5,017",609,"6,429",0,590,"13,954","4,984",384,"1,836",695,0,"2,428","2,316",0,"39,244"
63,"11,391",84,"4,136",0,152,"8,698","2,482",0,"1,244",700,0,151,264,0,"29,304"
64,"15,422",507,"11,758",570,"1,563","26,072","8,810",367,"3,182","5,025",142,"2,334","14,635",0,"90,389"
65,"4,786",0,"9,277",0,"1,806","14,601","6,915",436,"2,659",736,0,"2,378","9,863",0,"53,456"
66,"12,111",0,"9,264",0,359,"16,169","11,677",133,"1,970","1,502",0,203,"7,767",0,"61,155"
67,"1,654","1,076","5,560",54,611,"8,327","1,758",197,"1,558",720,0,929,"2,422",0,"24,867"
68,"16,455","1,624","21,938",0,"2,044","28,404","5,212",561,"4,821","2,943",0,"3,120","16,686",0,"103,808"
69,"6,391","1,051","18,133",286,"2,222","12,059","2,350",241,"3,192","1,747",0,"4,240","11,251",31,"63,193"
70,"1,876","3,046","13,882",0,680,"12,098","4,326",40,"1,724","2,262",469,"1,133","12,775",0,"54,311"
71,"12,560","1,063","7,751",0,"1,978","24,800","3,714",192,"4,691","1,227",0,"8,996","13,518",0,"80,490"
72,"5,199","1,570","5,148",266,"2,341","13,791","2,666",424,"2,288","1,562",40,557,"3,649",0,"39,502"
73,"17,428","23,870","19,386","1,908",385,"50,206","5,419",830,"4,832","3,777",188,"2,461","22,273",335,"153,299"
74,"31,308",0,"8,683",215,540,"14,604","1,144","1,147","2,528","2,462",0,531,"9,638",0,"72,800"
75,"4,456",612,"3,294",0,"1,091","7,347","1,661",754,"1,002","1,558",0,818,"4,702",0,"27,295"
76,"5,158",516,"6,539",21,384,"9,049","1,666",560,"1,637",853,0,908,"3,479",0,"30,771"
77,"21,464",935,"16,597","1,606","1,584","16,232","4,245","1,231","7,459","1,930",0,718,"11,830",0,"85,829"
78,"12,705",0,"4,804",0,853,"8,575","2,407","1,203","2,960","1,384",0,475,"9,598",0,"44,964"
79,"27,192",0,"13,365",204,"1,220","17,011","6,578",345,"1,705",792,0,220,"11,797",79,"80,508"
80,"10,241",452,"10,241",32,"2,525","13,698","2,751",575,"3,832","1,499",0,"1,392","11,679",0,"58,917"
81,"8,451","1,327","10,959",517,841,"17,533","5,418",531,"3,546","2,872",15,"1,470","3,881",0,"57,361"
82,"27,091","8,010","14,557",0,71,"30,301","6,058",176,"5,774","3,979",64,"2,304","14,274",0,"112,661"
83,"13,034",0,"8,772",0,"2,070","17,665","7,388",609,"3,426",974,0,690,"13,929",0,"68,557"
84,"3,889","2,176","7,022",0,827,"17,582","3,719",549,"2,293",856,0,274,"9,107",0,"48,296"
85,"1,260",340,541,0,138,"4,494","2,991",0,900,56,0,73,"2,223",0,"13,016"
86,"1,846",18,"1,541",0,149,"1,978",596,0,905,30,0,35,311,0,"7,409"
87,"6,018",43,"3,232",380,911,"11,917","4,971",558,"2,444","1,926",0,267,"3,856",117,"36,640"
88,"7,073","3,104","9,813",0,"2,645","27,662","5,822",171,"8,712","1,058",0,550,"18,019",0,"84,628"
89,"1,985",0,"1,891",0,453,"5,503","2,291",0,734,0,0,143,"1,413",0,"14,412"
90,"2,032",0,"6,008",0,"1,212","7,669","1,882",24,"1,349",411,73,93,"6,252",0,"27,005"
91,"6,338","12,107","13,494",0,201,"10,215","4,319",115,218,428,0,869,"4,388",0,"52,692"
92,"7,369","4,583","7,816",23,59,"14,940","1,502",0,643,145,0,55,"2,325",0,"39,460"
93,"15,456","14,106","13,124",0,"1,308","13,475","5,053",180,"2,275",480,0,"1,462","6,277",0,"73,196"
94,"6,998","3,721","7,348",0,343,"9,085","3,682",0,"1,558",135,126,338,"6,552",0,"39,887"
95,"2,709",238,"1,952",0,"1,617","11,832","4,742",110,"2,049",580,0,175,"4,312",117,"30,433"
96,"3,898","2,125","4,002",0,945,"11,947","2,833",48,891,301,73,986,829,154,"29,033"
97,"1,352",357,"3,434",0,"1,364","9,302","2,538",81,"2,613",578,0,"1,089","2,934",75,"25,717"
98,"1,521",527,"2,559",0,218,"6,283","1,629",0,568,793,0,960,"5,350",0,"20,408"
99,"4,576","6,061","3,411",24,99,"7,975","2,082",0,829,604,0,0,"4,504",0,"30,165"
100,"6,725","14,692","38,991",0,"3,317","30,089","8,500",7,"2,816","5,297",367,610,"18,437",259,"130,106"
101,"3,391","2,114","6,215",0,"1,888","8,034","2,286","1,007",303,78,0,0,"1,076",0,"26,393"
102,"1,591","3,147","3,118",0,"2,728","7,636","2,360",160,"3,399",964,0,194,"2,090",0,"27,387"
103,934,424,"2,055",14,278,"4,119",187,7,556,9,0,94,281,259,"9,217"
104,207,681,983,14,"1,081","3,479","1,016",23,642,69,0,94,"2,097",0,"10,386"
105,782,"1,724","4,247",0,"1,636","11,406","2,156",0,"1,686",718,0,697,"4,002",0,"29,055"
106,"3,809","2,894","7,460",0,686,"5,971","1,098",128,"1,456","1,896",0,"1,102","3,943",0,"30,442"
107,"3,289","5,423","4,631",0,"1,611","12,257","3,708",0,779,"1,371",0,0,"9,218",0,"42,287"
108,"1,124","6,536","2,467",153,278,"7,384","1,928",0,116,"1,187",31,497,"2,595",0,"24,297"
109,"13,152","4,885","25,188",0,"17,009","46,476","18,790",0,"2,251","4,475","1,419",881,"27,007",0,"161,532"
110,"5,996","8,865","27,074",0,"4,766","16,160","3,413",0,"2,905","3,109",0,0,"25,116",0,"97,405"
111,534,"2,004","11,797",513,"6,607","21,056","3,806",0,"5,344","7,710",0,0,"12,957",0,"72,326"
112,313,"1,560","10,786",357,"6,878","16,819","2,967",0,355,"3,238",450,636,"11,621",497,"56,475"
113,951,"1,302","9,743",497,"3,548","18,484","6,533",0,861,638,0,390,"15,489",0,"58,438"
114,,,,,,,,,,,,,,,
115,"5,058","2,541","14,707",810,"14,241","12,131","9,644",0,"2,178","2,285",0,0,"16,387",0,"79,981"
116,"9,508","14,221","55,571","3,537","23,907","23,683","12,654",222,287,"4,906","1,005",0,"90,705",0,"240,207"
117,"1,117","2,923","20,404","3,210","6,538","20,578","9,547",0,0,"2,712",610,0,"17,560",0,"85,200"
118,433,79,"5,141",116,"1,596","2,135","1,586",0,0,"1,542",0,0,"9,275",0,"21,903"
119,"5,830","10,874","27,950","1,393","14,964","18,143","4,853",0,"1,082","2,017",0,0,"34,440",0,"121,548"
120,,,,,,,,,,,,,,,
121,"3,466","1,056","34,004",0,"7,634","5,042","4,921",0,"2,686",364,0,"1,601","43,699",0,"104,473"
122,"2,302","1,225","22,438",0,"2,686","1,743",326,0,221,0,0,0,"26,313",0,"57,253"
123,"1,935",901,"24,546",0,"2,639","10,765","6,028",0,0,"1,420",0,0,"25,541",0,"73,773"
124,"1,926",639,"19,179",0,"7,630","13,570","11,612",0,785,"1,148",0,462,"31,587",0,"88,536"
125,"3,262",0,"17,959",0,"10,019","18,706","3,076",0,"2,388",994,0,0,"18,712",0,"75,117"
126,"1,915",382,"17,853",0,"2,830","11,151","5,593",0,"1,333","2,525",539,"2,311","13,698",0,"60,129"
127,"2,156",716,"31,437",0,"8,505","20,327","12,758",123,"3,564","4,216",91,191,"27,531",0,"111,616"
128,"5,073",0,"5,177",0,242,"6,623","2,302",0,"3,080",177,0,100,947,0,"23,723"
129,"6,672",0,"11,307",0,114,"9,325","2,115",0,"2,241","1,404",0,86,"2,913",410,"36,587"
130,"2,163",0,"2,098",0,368,"2,919",463,0,486,337,0,685,"3,443",0,"12,961"
131,"6,691",0,"4,375",0,136,"3,373",926,0,"1,119",245,14,44,767,0,"17,691"
132,"1,432",17,"2,595",0,0,"2,344","1,223",0,0,"1,280",0,531,898,"1,003","11,323"
133,"8,153",387,"14,467",0,"2,207","23,472","5,599",434,"5,022","2,387",14,"1,811","10,766",0,"74,719"
134,"5,218",873,"12,340",0,"5,579","20,707","5,568",0,"2,467",720,"1,532",0,"9,443",0,"64,448"
135,"7,581",0,"17,824",0,"5,488","20,671","9,819",139,"3,134","1,156",0,"1,515","2,709",0,"70,034"
136,"4,926",575,"17,559",0,"3,567","16,956","4,320",0,930,"4,422",205,56,"14,061","1,780","69,358"
137,"2,050",0,"13,994",0,"4,975","14,666","8,070",448,"1,488","1,202",0,"1,811","21,696",0,"70,398"
138,"2,134","1,138","10,002",0,"1,554","6,733","2,057",0,683,772,0,"1,344","7,812",0,"34,228"
139,"2,938",556,"10,518",0,"2,701","14,245","6,515",0,695,203,241,"1,579","10,318",223,"50,732"
140,"3,681",152,"15,859",0,"5,523","4,215","2,888",210,"1,027",0,539,0,"23,668",0,"57,761"
141,"5,561",485,"29,159",0,"3,347","21,931","8,904",0,"3,698","3,381",0,"9,434","67,095",0,"152,993"
142,"4,801","1,242","21,770",419,"12,251","2,207","2,128",0,281,684,0,"1,601","23,376",0,"70,760"
143,,,,,,,,,,,,,,,
144,"12,326",0,"35,806",0,"2,715","46,122","14,479",639,"6,906","6,639","1,291","2,973","47,635",39,"177,571"
145,545,0,"3,381",0,"1,416","2,371",753,131,428,927,0,0,"3,405",0,"13,356"
146,,,,,,,,,,,,,,,
147,"2,527",0,"11,730",0,"3,342","13,588",851,0,632,597,0,"1,759","10,197",0,"45,223"
148,"2,631",0,"7,824",0,"4,707","7,889","2,979",0,232,"1,187",0,"1,070","8,053",0,"36,573"
149,0,0,0,0,0,0,280,0,0,0,0,0,0,0,280
150,"3,543",0,"25,589",0,"6,658","6,272",649,0,0,603,0,0,"17,133",0,"60,448"
151,"5,452",666,"30,308",0,"7,071","18,506","7,394",0,"1,585",573,0,0,"27,585",235,"99,376"
152,"10,366",276,"12,959",0,"1,785","18,470","6,531",0,"1,582",307,0,405,"8,145",0,"60,827"
153,"2,636",0,"5,048",211,"2,264","10,846","5,252",131,635,0,0,0,"3,075",369,"30,466"
154,"9,250",0,"25,161",0,"3,264","23,903","6,708",0,"1,929","3,220","2,803",0,"25,134",0,"101,373"
155,"3,383",0,"9,675",0,"2,345","2,295","1,214",0,193,"2,227",274,0,"14,234",0,"35,841"
156,"5,143",0,"11,710",0,"6,561","22,942","9,992",552,"1,608",890,886,557,"26,816",0,"87,656"
157,626,0,"5,293",226,"4,603","2,372",472,0,174,519,0,"2,864","3,514",235,"20,898"
158,"2,216",609,"9,199",0,"5,561","12,793","6,860",0,"3,710",252,0,0,"16,788",0,"57,988"
159,"3,812",0,"19,310",0,"9,552","22,892","5,217",388,"3,118","1,972",0,"3,770","32,026",0,"102,057"
160,"2,753",892,"11,548",188,"4,768","10,317","5,489",330,"3,436","1,545",0,471,"25,682",0,"67,419"
161,"3,314","2,613","11,686",32,"6,495","15,497","7,407",0,"1,755","2,478",913,"8,286","30,001","1,003","91,480"
162,"1,403",750,"7,381",0,"1,835","13,720","1,363",0,"1,894",824,0,"1,470","13,633",0,"44,272"
163,"3,377","1,230","11,354",0,"7,014","21,246","4,830",473,"1,502","1,671",0,192,"22,184","1,780","76,855"
164,"2,049",435,"6,694",519,0,"4,022","1,582",0,403,"3,197",0,192,"2,421",0,"21,514"
165,"2,697",630,"8,723",605,163,"2,524",787,0,874,162,19,0,"3,133",0,"20,317"
166,"14,163","4,026","17,621",334,"5,196","33,066","5,143",474,"3,061","1,830",0,0,"22,514",0,"107,429"
167,"21,176","10,822","19,228",0,"1,211","25,437","10,320",220,"3,083",705,0,0,"10,618",0,"102,820"
168,"10,056","4,217","19,684",0,"5,386","14,882","3,640",0,"3,755",467,765,443,"9,774",0,"73,069"
169,"24,301","2,590","17,706",126,"3,751","22,677","7,466",0,879,"1,277",121,771,"20,143",0,"101,809"
