Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional/app , Dirigindo moto ,Passageiro de moto e de mototáxi, Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
234,"5,734",507,"11,570",521,"5,672","8,130","5,544",0,"2,952","2,775",0,0,"38,598",0,"82,004"
235,"6,846",0,"14,971",0,"5,253","15,547","1,394",0,442,"1,987",682,0,"39,232",0,"86,354"
236,"3,943","1,262","7,424",0,968,"6,818","4,458",0,"1,431",427,682,106,"6,450",0,"33,969"
237,"4,166","1,069","6,778",89,"1,089","10,229","4,830",58,"2,021","1,925",109,140,"8,243",0,"40,746"
238,"6,126",0,"5,879",0,0,"8,666","3,609",0,475,"1,386",0,106,"5,678",438,"32,363"
239,"10,691","2,253","12,908",0,"2,064","10,297","3,703",38,"2,681","2,209",73,0,"13,628",0,"60,546"
240,"5,426","1,241","6,397",0,"1,349","14,585","3,648",0,"2,072",700,361,0,"5,564",0,"41,343"
241,"4,773","2,503","3,947",0,249,"10,832","3,639",222,472,694,0,234,"4,212",134,"31,912"
242,"4,313",779,"4,940",0,"3,101","10,474","2,878",0,791,"2,529",228,"1,433","16,403",0,"47,870"
243,"7,289",652,"11,012",0,"9,546","28,329","6,874",0,"1,382","1,503",34,"2,487","30,889",0,"99,996"
244,"7,943",181,"17,541",0,"5,430","11,592","2,571","1,278","1,290","3,024",0,"4,326","34,416",0,"89,593"
245,"1,008",0,"3,064",0,429,"5,457","3,414",0,0,503,153,0,"11,632",265,"25,924"
246,"5,747",0,"9,505",0,"1,713","6,434","1,403",0,"1,032","1,516",0,0,"15,867",0,"43,218"
247,"7,830",0,"23,194",0,"11,292","19,028","1,776",0,"3,233","1,598",0,0,"37,625",0,"105,577"
248,0,0,"1,120",0,0,80,295,0,0,0,0,0,0,0,"1,495"
249,"2,756",556,"13,595",0,"2,437","8,864","1,642",373,"1,761",950,0,339,"20,065",0,"53,338"
250,"5,050",0,"4,038",137,749,"21,191","4,842",0,"1,796",544,0,0,"7,213",0,"45,559"
251,"3,142",0,381,0,"4,272","9,537","2,067",0,"2,165","1,742",517,0,"7,857",0,"31,679"
252,"2,608",0,"5,062",0,"3,657","12,391","3,182",37,427,"1,194",0,0,"5,820",208,"34,586"
253,994,757,"1,906",0,158,"3,812",623,0,0,66,27,625,"4,079",29,"13,076"
254,"26,371",405,"16,959",747,"3,463","25,957","8,849",0,"1,074","2,458","1,038","1,305","14,406",29,"103,063"
255,"5,614",321,"11,384",0,"3,745","26,098","10,101",0,339,"2,467",0,"1,830","29,515",0,"91,414"
256,"4,303",0,"6,867",0,624,"12,826","4,159",0,"1,363","1,863",0,0,"16,375",0,"48,380"
257,"7,633",306,"9,886",0,"5,134","10,076",730,0,"1,406","2,827",331,397,"12,860",0,"51,588"
258,"6,273",685,"16,432",291,907,"18,002","3,589",0,"1,292","1,001",0,"1,784","31,820",0,"82,076"
259,"3,289",993,"7,235",0,"2,828","6,242","1,585",0,607,458,0,0,"12,275",0,"35,513"
260,"6,967",0,"18,669",0,"3,165","9,120","3,335",0,222,"2,266",0,0,"20,427",0,"64,171"
261,"8,089",0,"18,440",586,"12,753","14,021","5,192",0,753,"1,319",0,0,"23,462",0,"84,614"
262,"5,160",0,"22,961",0,"4,222","7,233","2,796",0,"1,839",0,0,565,"28,920",0,"73,694"
263,"9,594","1,208","10,083",0,"6,610","12,973","4,141",0,"1,243","3,806",403,0,"44,509",0,"94,571"
264,"7,645",0,"26,181",259,"6,562","24,934","11,051",0,"3,941","3,987",0,"1,624","28,743",549,"115,475"
265,"4,928",292,"16,864",0,"5,847","13,672","4,416",0,"1,811","4,216",0,565,"28,707",0,"81,318"
266,"1,890",0,"5,252",0,"1,636","5,902","1,367",174,"1,023",839,0,0,"9,011",0,"27,093"
267,"2,463",0,"8,794",0,"1,819","13,694","6,098",0,"1,783",502,490,"1,531","20,668",0,"57,842"
268,"1,914",48,"6,127",0,"1,972","8,287","4,742",89,531,"1,379",40,98,"3,319",43,"28,591"
269,"4,598",0,"6,393",0,"1,703","18,616","7,135",183,"3,253","1,124",33,447,"14,388",0,"57,874"
270,"1,517",0,"3,740",19,297,"8,836","2,488",46,"1,212",990,645,0,"4,545",0,"24,334"
271,"3,192","1,774","2,271",0,0,"2,689",868,92,"1,955","1,882",0,0,542,0,"15,265"
272,997,0,"7,866",138,"3,840","13,258","5,884",0,"1,652",939,0,510,"4,969",444,"40,497"
273,"5,062",0,"14,561",0,"13,647","22,015","2,843",270,284,"5,688",727,57,"23,686",0,"88,840"
274,"25,775",0,"17,914",0,"4,375","22,585","7,601",152,"1,070","7,255",0,0,"11,961",0,"98,688"
275,"15,627",257,"8,727",0,"8,310","16,585","6,323",218,"4,404","1,075",0,402,"14,388",0,"76,315"
276,"15,080",0,"25,449",0,"4,760","33,672","16,740",180,"4,930","5,213",0,0,"33,961","1,448","141,434"
277,"6,268",0,"8,526",0,"2,351","22,545","11,389",229,"8,194","1,554",0,505,"8,182",798,"70,542"
278,"11,820",553,"46,703",0,"15,962","12,176","11,755",0,"3,063","4,226",400,"1,836","70,517",269,"179,280"
279,"4,374","1,258","23,065",0,"10,425","7,822","1,813",0,"1,620","4,468",136,0,"22,685",0,"77,666"
280,"2,491","4,319","15,772",241,"1,063","18,380","5,021",0,"1,695","1,739",631,0,"6,774",0,"58,127"
281,"2,316",290,"13,494",513,"4,454","16,117","3,896",469,"5,451","2,876",0,0,"10,394",0,"60,270"
282,"2,464","1,676","11,077",0,"3,500","11,572","8,240",0,"2,221","2,333",0,0,"14,266",0,"57,349"
283,495,422,"2,370",0,"1,497","9,985",968,224,570,541,94,0,"5,531",0,"22,697"
284,"4,301",0,"23,067",0,"7,434","7,034","1,298",0,621,"8,145",0,0,"16,611",0,"68,510"
285,"2,333",0,"29,404",0,"9,990","11,228","6,703",0,"2,341","7,837",0,"4,356","23,144",0,"97,335"
286,"3,468",663,"17,249",650,"1,899","10,004","2,565",0,376,"1,642",0,0,"3,304",0,"41,819"
287,"1,055","2,439","13,683",0,"5,381","15,545","6,241",0,618,"2,537",0,647,"9,276",0,"57,421"
288,"1,244","3,728","7,189",289,"4,640","14,416","6,969",0,550,"1,111",452,647,"12,528",69,"53,832"
289,"2,898","1,047","23,885",274,"6,565","24,016","7,650",180,481,872,419,0,"17,401",69,"85,755"
290,"7,635","4,295","16,484",0,"12,045","12,730","1,920",0,638,"1,829",0,0,"10,557",0,"68,133"
291,"3,349","2,356","30,041",0,"8,430","13,457","3,054",0,"1,607","6,584",0,0,"17,879",0,"86,757"
292,"1,711","5,077","13,475",0,"12,949","7,243","5,074",0,0,"1,835",0,0,"36,320","2,960","86,643"
293,"4,308","4,094","22,064",0,"3,324","12,141","4,274",0,639,"1,239",0,0,"22,607",0,"74,690"
294,"6,091","4,044","15,381",0,"13,576","5,018","4,699",0,"2,199","4,973",169,0,"49,283",0,"105,433"
295,"3,541","11,185","24,956",0,"21,069","6,558","6,175",0,0,"8,319","1,578",0,"56,285",0,"139,666"
296,221,0,"1,984",0,"1,120",809,859,0,0,432,0,0,"2,635",0,"8,059"
297,157,"1,151",886,0,"1,388","2,693",715,0,0,202,0,0,284,0,"7,475"
298,"7,686","6,827","50,361",0,"34,930","18,558","6,844",0,259,"4,977",0,0,"76,956",0,"207,398"
299,876,501,"2,773",0,"1,703","1,492",157,84,0,441,0,0,859,0,"8,887"
300,102,0,0,0,0,10,0,0,0,0,0,0,0,0,112
301,"31,333","8,480","40,276",380,"5,168","51,963","9,638",271,"2,545","5,866",0,"1,729","16,978",43,"174,670"
302,"5,969",697,"15,494",0,"1,327","14,508","4,460",397,725,"2,430",47,0,"3,687",422,"50,164"
303,"11,412","1,048","28,845",0,"2,812","16,530","4,137",402,"2,714","4,318",76,0,"6,830",0,"79,124"
304,"11,105","2,243","14,651",0,"1,939","12,769",940,0,"1,605","3,670",0,74,"4,144",538,"53,679"
305,"13,629",217,"27,313",37,"18,273","13,912","14,776",64,445,"3,927",0,"2,170","31,820",0,"126,583"
306,"9,545","2,662","38,115",0,"13,305","15,852","9,916",0,450,"9,512",879,"1,814","63,614",0,"165,663"
307,"5,430",0,"28,986",0,"6,932","12,240","3,336",176,336,726,515,"2,471","16,263","2,204","79,613"
308,"4,439",464,"31,886",289,"21,753","10,021","9,551",0,49,"1,515",372,0,"53,239",0,"133,579"
309,"2,367","1,197","14,720",0,"7,026","6,554","2,863",274,0,"1,076",0,0,"31,476",0,"67,553"
310,"6,732",521,"15,033",0,"10,660","3,785",565,0,0,"2,054",502,0,"27,539",0,"67,391"
311,"1,733",163,"6,551",0,"1,526","1,529",477,101,610,971,0,877,"18,130",0,"32,667"
312,"1,836","3,502","30,306",278,"12,771","6,843","6,172",176,"1,185","6,135","2,199",828,"44,179","1,766","118,176"
313,"8,168",0,"14,267",0,"7,614","14,853","9,998",128,"1,021","1,661",0,0,"25,822",0,"83,532"
314,"3,068",0,"9,954",0,"3,795","3,628","2,552",251,511,857,0,0,"10,694",0,"35,309"
315,"7,154",0,"27,018",0,"10,615","14,960","7,160",0,"1,079","5,959","2,054",0,"43,545",0,"119,543"
316,"16,943",0,"24,556",0,"13,092","12,579","4,765",0,"2,385","5,134",768,0,"56,377",0,"136,600"
317,"4,748","2,213","6,726",41,335,"13,695","4,215",321,942,"2,471",303,0,"4,898",146,"41,055"
318,"1,054",551,"1,969",0,135,"5,854","3,002",17,"2,714",112,0,77,561,0,"16,045"
319,"3,914","1,059","7,763",503,"1,470","15,252","3,893",269,"1,834","3,129",0,0,"5,032",22,"44,140"
320,"3,842",163,"5,656",268,172,"16,410","6,846",334,730,"2,793",447,0,"2,476",22,"40,160"
321,"3,892",466,"20,879",0,"4,709","13,817","5,807",0,"1,610","5,821","1,218","1,908","51,199",0,"111,326"
322,"9,487",659,"11,990",0,"4,178","25,429","11,612",154,"2,101","3,452",188,"1,085","12,870",0,"83,204"
323,"4,659",342,"9,265",163,"11,246","31,367","10,599","1,499","2,957","4,407",515,0,"8,972",0,"85,989"
324,"16,117",0,"13,772",503,"17,023","11,635","9,782",0,"1,114","5,089",250,0,"23,113",0,"98,397"
325,"13,191",308,"15,083",0,"6,508","11,412","3,225",0,"1,709","2,107",259,0,"38,284",0,"92,086"
326,"3,407",0,"11,922",0,"8,423","16,041","8,882",0,"2,708","4,997",0,0,"23,287",0,"79,667"
327,"5,734",282,"18,815",0,773,"11,259","8,448",0,"3,229","1,842",0,0,"24,705",0,"75,087"
328,"2,567",434,"2,596",0,"2,142","16,810","3,975",70,"1,613",212,0,0,"2,579",0,"32,997"
329,"1,555",0,"5,386",89,"1,868","11,152","3,765",0,571,304,0,"1,406","2,685",0,"28,781"
330,"9,029",168,"8,001",0,"3,125","18,966","6,594",414,661,"1,876",0,336,"8,289",83,"57,544"
331,"4,440",0,"5,623",0,"1,926","11,887","1,687",0,"1,855",683,0,0,"12,113",0,"40,214"
332,"3,081",612,"10,492",0,"5,677","15,170","6,370",0,853,"2,338",0,0,"13,678",0,"58,272"
333,"2,713",0,"8,905",945,"9,841","8,895","8,561",0,916,"1,176",0,0,"5,889",0,"47,840"
334,525,0,"5,396",0,"2,514","6,446","3,446",0,781,"1,163",101,0,"10,559",0,"30,931"
335,"3,502","1,007","10,682",0,"3,345","10,776","4,073",0,"1,983",640,138,"1,386","12,320",0,"49,852"
336,"1,507",0,"7,165",153,"4,094","17,679","6,711",0,"1,151","2,165",229,0,"9,135",0,"49,988"
337,"4,488","2,294","6,454",0,"4,668","27,067","19,360",0,"1,093",990,0,"2,523","3,795",0,"72,734"
338,"1,402",295,"7,284",0,"2,264","11,685","6,641",0,"1,244",475,0,"1,077","5,120",0,"37,487"
339,"4,628","4,729","11,299",0,"3,222","7,357","2,894",0,755,"1,648",0,"4,357","12,399",0,"53,288"
340,"15,828","5,821","15,048",423,92,"19,064","1,518",0,"1,952","1,814",268,"2,125","3,734",117,"67,805"
341,"2,821","1,411","6,149",0,797,"16,901","1,763",0,624,35,0,217,"1,600",0,"32,318"
342,"2,822",0,740,0,"2,173","9,004","3,444",0,459,92,0,905,"3,698",83,"23,420"
343,"2,725",0,"6,263",0,"3,949","14,110","9,528",30,686,"1,548",0,0,"11,654",0,"50,492"
344,138,0,79,107,450,"3,844",820,67,0,352,31,0,61,0,"5,950"
345,"2,776","5,424","3,957","1,377","7,170","29,656","18,670",0,"3,555",662,0,451,"17,404",0,"91,101"
346,"2,698","4,372","2,824",849,"5,055","8,751","2,088",0,669,397,519,"2,562","11,950",0,"42,735"
347,0,0,338,0,0,734,359,0,0,0,0,0,0,0,"1,431"
348,0,387,"21,510","13,246","22,069","32,716","14,810",0,"2,543","7,943",0,"1,614","37,429",353,"154,621"
349,137,0,"4,484","5,659","1,912","6,431",518,0,237,246,684,0,"3,816",317,"24,440"
350,0,0,0,0,997,0,0,0,0,0,0,0,0,0,997
351,665,"6,201","9,037",519,"6,089","14,276","10,124",0,"1,400","1,824","2,695",919,"38,283",663,"92,695"
352,"1,628","7,152","5,226","1,774","6,137","23,743","9,279",0,668,"5,563",509,0,"26,790",0,"88,468"
353,0,0,0,0,0,"2,062",424,0,0,468,637,0,0,0,"3,591"
354,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,
356,"4,606","6,021","8,751",502,"9,891","12,362","2,413",0,"2,736",787,545,0,"39,701",0,"88,314"
357,"5,092","10,674","5,323","6,096","14,101","9,468","2,969",0,"1,515","1,638",82,"1,494","45,824",0,"104,276"
358,204,386,299,360,573,"1,297",0,0,0,489,82,0,"1,822",0,"5,511"
359,"1,631",0,"1,739",226,"7,070","21,291","13,396",0,"1,368","11,932",0,"2,402","31,980",0,"93,036"
360,0,0,0,0,772,"13,551","6,177",0,465,528,31,0,0,0,"21,524"
361,732,0,"1,430",556,"6,103","7,162","6,935",0,0,"2,922",0,"1,187","13,808",0,"40,835"
362,295,0,372,723,"3,149","7,857","2,380",0,465,427,0,0,"6,470",0,"22,139"
363,"2,808","1,265","34,293","1,470","4,383","15,728","3,933","2,365","3,785","1,573",41,"1,111","15,793",0,"88,550"
364,"2,497",493,"29,000",334,"6,643","21,788","9,456",0,"2,876","3,741",0,730,"24,385",0,"101,942"
365,143,"1,469","13,338","2,557","1,038","12,197",953,0,118,"1,017",0,"2,406","6,969",180,"42,384"
366,527,318,"7,462",675,633,"4,977","1,483",0,742,973,0,322,"3,284",207,"21,603"
367,700,0,"18,260","2,534","5,657","23,836","4,950","2,306","2,576","1,617",41,"1,594","19,584",0,"83,655"
368,683,0,"10,566",227,"10,096","15,508","4,464",542,"1,116","1,042",0,0,"9,317",0,"53,560"
369,"3,532",0,"9,600","1,044","3,483","17,295","7,039",0,943,333,0,"1,342","38,571",0,"83,184"
370,"3,193",0,"12,942",972,"10,818","18,323","10,562",754,"2,623","1,822",0,0,"27,182",586,"89,778"
371,"3,341",0,"25,633","1,332","19,059","28,541","4,593",0,"1,140","4,790",0,0,"48,638",0,"137,068"
372,"1,494",0,"13,625",0,"16,173","12,437","5,230",199,714,"4,421",0,688,"25,275",0,"80,255"
373,"1,896",990,"8,013",100,"3,464","11,208",899,0,"2,068","1,494",0,0,"27,963",378,"58,473"
374,"2,181",0,"11,931","1,044","9,177","18,422","6,245",0,"2,837","6,543",0,"4,758","19,336",0,"82,473"
375,666,"2,866","7,367","5,267",0,"8,783","1,037",554,246,"2,484",0,"2,569","1,578",0,"33,416"
376,"3,157",0,"20,558","2,515","10,106","25,161","6,453",0,454,"3,846",390,"5,764","49,088",0,"127,493"
377,"1,158",0,"9,390","5,962","6,540","12,312","6,348",0,666,844,0,"5,175","33,455",0,"81,852"
378,"4,395",0,"38,055","7,673","25,002","33,530","14,894",0,"1,699","1,689",0,"12,805","105,342",0,"245,084"
379,"4,026","1,031","17,115","4,396","10,094","33,939","13,774",0,0,"2,271",0,"5,344","55,291",46,"147,327"
380,"1,027",0,"10,363",286,"10,790","11,715","5,841",0,"3,001","5,794",0,0,"21,118",0,"69,936"
381,"1,367","1,043","25,961","3,846","18,793","14,866","6,977",0,"7,713","4,619",0,0,"38,299",0,"123,483"
382,,,,,,,,,,,,,,,
383,0,0,"19,241","4,225","13,995","19,671","2,471",0,"4,865","4,951",0,"1,399","45,202",0,"116,020"
384,"1,577",0,"21,018","6,337","15,443","12,304","7,052",0,"1,853","9,120","2,627","2,592","35,701",163,"115,787"
385,383,0,"4,557","2,192","7,565","4,350","1,136",0,0,0,0,"1,071","6,964",0,"28,218"
386,,,,,,,,,,,,,,,
387,0,0,632,47,"1,186","2,253","1,880",0,100,64,0,"1,628","1,482",151,"9,422"
388,"1,882",0,"19,491","3,751","13,768","30,226","12,974",0,630,"5,052",0,"4,435","45,698",0,"137,907"
389,0,0,"3,101",0,0,"4,300","1,553",0,110,248,0,0,"2,159",0,"11,471"
390,265,0,"1,627","2,417","12,617","12,665","5,087","1,164",931,"3,163",0,"4,391","29,239",211,"73,776"
391,0,0,401,251,"1,965","4,528","1,685",0,145,303,0,0,668,0,"9,947"
392,0,0,0,0,0,0,0,0,0,220,0,0,0,0,220
393,0,0,0,0,0,632,0,0,0,0,0,0,0,0,632
394,"13,133","13,031","8,889","1,171","11,259","22,105","6,509",0,"7,835","11,116",450,0,"54,722",369,"150,590"
395,0,0,0,0,0,0,0,0,0,0,0,0,412,0,412
396,"9,176","13,408","6,805",915,"11,550","26,033","11,613",791,"2,382","4,686",450,832,"56,473",397,"145,511"
397,"1,511","3,037","1,917",187,471,"3,094","2,739",0,"1,083",330,0,0,"19,100",0,"33,470"
398,"4,512","16,106","3,569",523,"5,254","41,116","22,610",0,"5,655","5,003",0,"7,030","64,562",0,"175,940"
399,"6,517","14,865","10,250","1,016","5,810","25,106","7,683",0,"5,124","2,784",545,"4,580","79,194",0,"163,476"
400,"2,415","6,796","15,228",606,"11,743","26,571","11,148",0,"8,314","4,948","1,203","2,936","46,336",0,"138,242"
401,"4,831","8,267","13,001","3,425","14,062","24,847","6,690",0,"13,485","4,671",0,"5,938","65,557",0,"164,775"
402,"2,878","4,521","10,589","2,148","13,297","11,594","6,487",0,"4,032",829,287,"5,449","44,557",584,"107,251"
403,"3,385","9,280","21,069","8,184","13,459","28,986","12,248",0,"8,176","4,323",0,"8,365","71,300","1,349","190,124"
404,"5,212","24,389","28,627","7,468","12,493","98,031","48,966",0,"13,715","3,816",0,"14,902","104,347",0,"361,965"
405,378,"2,271","6,111","1,817","8,736","6,367","3,228",0,416,756,0,"2,582","11,311",179,"44,151"
406,468,783,"3,617",555,"1,146","5,338","1,147",0,101,183,0,425,"10,747",0,"24,509"
407,840,"6,289","27,536",373,"13,691","37,498","15,052",63,"10,495","2,462",0,420,"46,233",281,"161,233"
408,563,"9,262","14,628",0,"2,778","16,818","3,011",0,"2,009","2,190",613,"5,291","23,635",0,"80,798"
409,492,"5,834","16,173",301,"3,088","22,495","2,654",0,945,925,0,0,"13,138",0,"66,044"
410,"2,908","5,173","24,056","1,568","12,880","26,290","7,020",177,"4,387","7,255",0,"3,293","50,611",362,"145,978"
411,788,"5,048","5,650",0,"4,829","11,874","3,016",0,"1,039","2,419",0,"8,641","31,311",0,"74,615"
412,416,"1,950","4,305",912,"4,139","5,309","1,218",0,700,"1,146",0,582,"10,739",0,"31,416"
413,0,33,"4,569",226,937,"4,022","2,358",63,206,273,30,208,"4,553",0,"17,478"
414,164,108,"4,462",0,"1,877","3,368","1,565",0,323,510,30,0,"4,887",0,"17,294"
415,660,"1,786","12,801",0,"6,379","13,686","2,202",177,673,995,0,"3,832","12,043",281,"55,513"
416,0,497,"3,714",0,"5,087","5,795","1,246",0,767,261,0,0,"4,995",0,"22,362"
417,0,0,0,0,0,178,0,0,0,0,0,0,0,0,178
418,0,214,"2,757",366,"2,387","6,805","2,275",0,788,643,0,0,"14,054",367,"30,656"
419,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31
420,0,439,588,0,893,"2,323","1,273",56,104,453,178,0,"9,937",0,"16,244"
421,0,0,0,0,0,0,0,0,104,0,0,0,0,0,104
422,154,169,"2,552",939,"1,583","6,982","5,662",0,983,"2,701",0,"2,207","24,044",0,"47,977"
423,,,,,,,,,,,,,,,
424,"1,526","5,762","5,371",0,"4,331","31,002","17,438",502,"3,298","2,460",247,863,"39,942",177,"112,918"
425,"1,418","1,516","6,395",957,"2,517","24,634","11,435",439,"3,658","3,022",507,0,"38,060",0,"94,559"
426,"2,139",523,"4,517",517,"1,918","23,652","11,174",0,"6,167","1,514",0,780,"18,969",43,"71,912"
427,312,"2,270","3,373",147,701,"11,541","3,696",983,"1,962",618,109,308,"4,866",112,"30,997"
428,"3,951","6,427","8,065","8,897",603,"19,284","3,924",0,"4,530","2,038",264,"1,549","14,762",0,"74,294"
429,"4,837","13,059","26,778",646,"9,074","106,450","29,572",0,"16,709","5,033","2,165",654,"40,164",349,"255,490"
430,0,221,"2,516","2,556","3,047","17,909","1,705",0,"8,684","1,569",0,0,"11,711",0,"49,919"
431,515,"1,400","2,240",0,"3,154","17,008","11,957",0,"1,458","1,508",0,0,"4,847",0,"44,088"
432,"1,321",635,"1,579",102,608,"3,946","1,389",0,385,"2,298",141,431,"13,789",0,"26,624"
433,"3,000",949,891,0,"2,946","22,155","6,215",0,"2,056",856,537,231,"10,485",0,"50,321"
434,"1,182","2,877","4,290","2,996","6,921","25,856","8,981",0,"2,456","1,432",0,254,"16,776",0,"74,020"
435,0,972,"4,272","2,927","2,298","26,633","10,517",0,"2,483","1,907",0,785,"22,415",0,"75,209"
436,"1,386","1,130","3,688","1,664","3,876","23,421","9,749",0,"3,027","2,813",208,885,"14,635",0,"66,481"
437,172,"1,473","2,422",0,"5,028","23,598","7,890",0,"4,067","3,698",0,785,"19,528",0,"68,662"
438,"2,813","5,614","7,752","11,957","7,096","57,604","23,904",0,"3,291","8,570",141,654,"35,844","5,462","170,702"
439,"3,410","1,079","9,178",899,"6,901","66,021","27,865",0,"5,978","4,492","1,732",0,"54,650",0,"182,204"
440,"1,465","2,256","10,987","3,801","7,494","19,656","9,642",0,"9,156","9,016","2,462",254,"71,454",0,"147,644"
441,60,319,94,250,540,370,140,0,23,308,0,67,657,144,"2,973"
442,"1,215","3,491","8,695","9,473","8,078","32,485","4,686",0,"2,374","6,958",0,887,"18,976",604,"97,922"
443,"3,157","12,366","16,378","5,178","14,491","76,404","22,990",0,"6,675","12,847",0,"3,010","58,769",0,"232,265"
444,"3,732","13,471","21,305","4,502","7,970","23,585","7,254",0,"4,780","8,163","1,269","4,166","58,709","1,374","160,280"
445,"4,484","2,743","5,902",465,"11,582","23,751","2,825",0,"2,477","3,604",0,0,"32,405","3,050","93,288"
446,135,"4,827","1,856","1,584","3,315","3,552","1,472",0,269,957,0,0,"3,771",0,"21,738"
447,"2,131","9,318","19,246","2,268","20,911","32,809","14,357",0,"1,605","2,264",0,0,"29,581",117,"134,608"
448,"1,182","1,535","1,805","2,588","3,692","7,702","4,330",0,174,206,0,0,"4,085",0,"27,298"
449,476,288,"2,787",872,"2,464","3,988",890,0,438,120,0,0,"2,295",435,"15,054"
450,139,"1,263",834,873,"1,744","1,358",119,0,0,"2,947","1,230",499,"5,847",0,"16,854"
451,943,"4,757","3,352","1,589","11,330","7,943",38,0,265,"4,228",106,328,"22,819",0,"57,698"
452,"1,052",38,"15,717","8,441","12,653","58,296","23,321",0,"10,906","3,392",0,"1,613","52,444",0,"187,872"
453,"1,048",0,"4,344","3,940","5,112","27,690","11,574",0,"2,604","7,388",0,0,"45,637",683,"110,022"
454,"1,443","2,118","11,854","1,502","1,410","45,153","23,902",0,"5,247","2,982",183,439,"12,598",0,"108,830"
455,"2,212",839,"18,471",369,"8,262","49,769","17,100",0,"4,577","5,348",538,439,"16,689",0,"124,612"
456,"1,122","3,693","28,621","2,523","8,686","77,072","31,896",0,"20,000","10,952",855,175,"38,814",208,"224,618"
457,"1,797",313,"25,483","1,532","24,940","59,633","25,184",0,"11,329","10,343","2,017","2,518","41,230",0,"206,322"
458,911,20,"18,066","5,288","8,103","47,220","22,559",0,"10,390","11,492","1,097",0,"47,097",160,"172,403"
459,0,0,"10,444",579,"6,772","12,627","5,820",0,607,"3,957",0,0,"14,695",349,"55,850"
460,0,0,"7,597",0,"4,072","5,560",749,0,796,752,303,771,"3,789",0,"24,388"
461,0,0,"1,877",0,0,774,0,0,0,538,0,0,0,0,"3,188"
462,"2,773",0,"29,179","6,024","16,780","37,013","18,953",0,"4,560","7,580","3,196","3,404","62,690",538,"192,689"
463,"8,780",39,"16,229",0,"15,348","46,534","16,043",0,"9,735","5,054","1,203","6,609","51,078",0,"176,652"
464,555,801,"10,486",414,"3,596","28,912","11,740",0,712,"8,465","1,012",0,"64,458",0,"131,151"
465,"2,226",0,"17,622",521,"6,862","27,133","14,352",0,"2,254","8,784","1,637","10,443","74,584","1,277","167,696"
466,"1,808",923,"8,080",0,"5,118","19,310","9,194",0,"7,112","6,131","2,166","1,117","42,748",0,"103,706"
467,"2,754",0,"9,380",0,"4,921","26,176","7,613",0,"1,117","3,040",322,"5,703","35,179",0,"96,205"
468,"14,199",643,"17,532",169,"9,330","34,316","21,612","3,504","1,964","4,973",0,"1,837","21,454",0,"131,533"
469,"5,520",0,"5,167","1,414","7,955","8,037","6,149",344,962,"2,134",0,0,"14,539",83,"52,305"
470,"7,288",0,"6,518","1,319","11,921","21,615","17,675",0,298,"3,184",447,877,"41,494",0,"112,636"
471,"5,248",278,"5,394",0,"6,607","7,141","5,596",0,675,"6,138",298,0,"23,139",0,"60,514"
472,"5,867",0,"7,135",0,"4,126","9,551","3,574",0,860,"3,490",596,0,"36,360",0,"71,559"
473,"14,008",0,"9,741","1,185","18,619","29,733","21,088",0,"2,642","10,354","2,886",0,"82,820",133,"193,210"
474,"6,118",0,"10,131","3,605","6,551","20,506","8,662",0,241,"5,086","1,372","2,559","26,347",133,"91,310"
475,109,0,"3,108",382,"2,765","5,024","2,451",0,241,"1,231",0,194,"8,963",0,"24,468"
476,"16,216",0,"17,849","1,443","18,661","24,840","5,312",0,647,"9,120","1,720",0,"82,712",0,"178,519"
477,65,0,252,0,"2,246","1,017",602,0,0,150,0,0,561,0,"4,893"
478,354,0,"1,147",0,"3,425","1,977",462,0,0,"1,100",0,0,"1,360",0,"9,825"
479,184,0,944,0,"3,650","4,652","1,042",93,0,789,0,0,"7,281",0,"18,634"
480,"2,629",0,"13,157",58,"8,190","13,743",395,336,0,"4,255",0,"1,361","12,795",0,"56,918"
481,875,344,"5,485",382,"5,072","4,924","3,002",113,313,373,0,0,"6,689",0,"27,573"
482,62,0,"1,261",116,"1,461",689,783,223,69,334,149,0,"1,477",0,"6,625"
483,645,0,"2,733",169,"5,424","6,551","2,534",532,373,"2,092",0,0,"11,599",0,"32,651"
484,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,
486,"4,544","17,361","21,150",278,"19,018","47,979","16,689",7,"11,712","10,494",0,0,"67,830",0,"217,063"
487,"2,859","4,392","10,438","1,749","6,072","39,090","16,855",0,"7,118","6,648",798,197,"28,684",478,"125,378"
488,"4,221","5,352","12,381","1,224",0,"39,302","8,317",0,669,"2,915",0,0,"4,578",100,"79,059"
489,29,0,640,"1,102",0,"2,053",325,0,472,0,0,0,729,0,"5,350"
