 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 80 ,"4,853",25,553,724,"2,655","1,173",154,626,0,"10,764"
 81 ,"2,559",42,255,283,"2,179",799,238,273,183,"6,811"
 82 ,"2,260",626,479,735,"1,818","1,687",220,0,0,"7,823"
 83 ,"5,477",266,"1,193",678,"2,004","3,624",420,251,0,"13,913"
 84 ,"3,259",46,536,"2,498","2,108",683,0,132,0,"9,263"
 85 ,863,56,106,358,652,258,135,0,0,"2,427"
 86 ,636,45,8,69,296,489,24,16,0,"1,582"
 87 ,"3,684",617,136,369,"3,789","1,616",29,144,0,"10,384"
 88 ,"9,494",446,"1,235","3,202","5,413","3,301",432,0,0,"23,524"
 89 ,"3,891",0,483,185,"2,427",450,0,0,0,"7,437"
 90 ,"2,901",60,967,405,"2,163",560,83,0,0,"7,138"
 91 ,"3,096",519,324,251,722,"1,521",0,0,0,"6,433"
 92 ,826,19,164,85,282,174,0,0,0,"1,551"
 93 ,"2,641",122,107,41,"1,615",995,94,87,90,"5,793"
 94 ,"1,679",95,228,228,"1,019",288,55,0,0,"3,591"
 95 ,"3,318",153,0,"1,559","1,037","1,240",564,75,82,"8,028"
 96 ,935,344,292,328,799,481,274,0,0,"3,452"
 97 ,"3,063",284,566,"1,215","2,053",848,547,201,55,"8,831"
 98 ,"2,409","1,014",158,94,607,459,61,0,0,"4,800"
 99 ,"2,708",388,226,55,479,748,0,0,0,"4,603"
 100 ,"5,832",871,"1,085",796,"3,025","1,939","1,469",0,0,"15,017"
 101 ,"5,327",0,926,426,"1,476","2,176",136,294,72,"10,834"
 102 ,"2,867",42,371,135,"2,738",675,0,69,0,"6,897"
 103 ,618,0,23,58,489,168,6,18,0,"1,380"
 104 ,"2,164",104,83,96,863,343,13,26,0,"3,692"
 105 ,"3,397",165,114,737,"2,259",769,147,0,0,"7,588"
 106 ,"1,813",181,0,0,423,"1,379",0,0,0,"3,796"
 107 ,"5,388",268,438,962,"1,906",698,0,546,124,"10,329"
 108 ,"1,128",235,0,308,314,496,0,319,34,"2,834"
 109 ,"27,363","3,418",0,"2,201","12,564","10,248",0,325,900,"57,020"
 110 ,"21,663","3,797","1,702",0,"2,807","4,981",0,391,282,"35,623"
 111 ,"16,529","2,488",528,302,"4,921","2,333",293,0,0,"27,394"
 112 ,"8,953","1,702",358,165,"2,130","3,579",0,480,0,"17,368"
 113 ,"6,045",671,207,286,"1,509","2,147",0,759,324,"11,948"
 114 ,,,,,,,,,,
 115 ,"12,825","2,463",941,213,"3,338","4,508",139,0,0,"24,427"
 116 ,"46,384","3,319","2,899",0,"5,249","16,052",0,583,"1,088","75,573"
 117 ,"17,706","5,371","1,261",348,"3,839","7,393",0,"1,139",0,"37,057"
 118 ,"3,426",86,326,0,681,"1,187",74,595,494,"6,869"
 119 ,"22,661",0,"1,999",0,"3,624","9,555",348,"1,967",528,"40,681"
 120 ,,,,,,,,,,
 121 ,"20,571","4,415",0,0,"2,878","7,242",516,0,0,"35,622"
 122 ,"11,171","3,556",771,442,"1,873","4,067",0,"1,162","1,025","24,066"
 123 ,"17,189","2,491","1,828",0,"1,434","6,483",0,"1,160",446,"31,030"
 124 ,"15,953","1,437",770,0,"1,490","8,715",0,0,0,"28,365"
 125 ,"14,579","1,059",885,0,"4,636","5,488",178,0,0,"26,826"
 126 ,"13,900",913,275,106,"1,294","2,174",0,111,0,"18,773"
 127 ,"18,654",979,771,"1,741","2,530","3,743",0,777,442,"29,637"
 128 ,593,133,133,84,164,210,0,16,34,"1,365"
 129 ,899,298,213,0,168,267,20,52,0,"1,917"
 130 ,"1,373",603,100,44,79,910,44,72,0,"3,225"
 131 ,376,67,15,0,51,246,0,42,0,797
 132 ,,,,,,,,,,
 133 ,"11,500",0,0,"1,120","4,988","3,327","1,756",442,0,"23,133"
 134 ,"11,159",0,0,211,458,"2,899",0,215,0,"14,942"
 135 ,"8,324",929,"1,170","1,685","3,421","5,199",0,0,0,"20,728"
 136 ,"6,577","1,692","1,133",184,"4,122","3,600",345,0,0,"17,653"
 137 ,"11,590",651,"1,341",803,"2,181","7,018",301,272,0,"24,158"
 138 ,"3,510",259,257,0,"1,020",365,0,0,0,"5,411"
