Tabela 12,,,,,,,,,,,,,,,
Empregos por Classe de Atividade e Zona de Emprego – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Empregos por Classe de Atividade,,,,,,,,,,,,,,
Zona de Emprego,Agrícola,Construção Civil,Indústria,Comércio,Serviços,,,,,,,,,,
,,,,,Transporte de Carga,Transporte de Passageiros,Creditícios Financeiro,Pessoais,Alimentação,Saúde,Educação,Especializado,Administração Pública,Outros,Total
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
36, -   , 550 ," 1,906 "," 6,883 ", 307 , 158 , 325 , 733 ," 1,391 "," 2,808 "," 2,957 "," 5,674 "," 1,099 "," 11,013 "," 35,806 "
37, 64 , 119 ," 1,432 "," 1,689 ", 855 , -   , 445 , -   , -   , 444 , 297 ," 3,063 ", 627 ," 2,303 "," 11,338 "
38, -   , -   , 391 ," 1,234 "," 1,993 ", 63 , -   , -   , 110 , -   , -   , 73 , 134 , 20 ," 4,018 "
39, -   , 473 ," 1,076 "," 1,807 ", -   , 47 , 285 , 354 , 47 ," 2,637 ", 63 ," 1,417 "," 1,107 "," 3,079 "," 12,392 "
40, -   ," 1,352 "," 1,385 "," 1,807 ", 364 , 183 ," 1,378 ", 390 , 32 , 991 , 458 , 933 , -   ," 2,871 "," 12,144 "
41, -   ," 1,780 "," 2,633 "," 4,524 ", 578 , -   ," 1,526 ", 369 ," 1,255 "," 2,002 ", 893 , 919 , -   ," 2,562 "," 19,042 "
42, -   , 708 ," 2,776 "," 1,884 ", 255 , -   , 350 , 33 , -   , -   , 96 , 370 , -   , 737 ," 7,210 "
43, -   , 189 ," 2,789 "," 3,384 ", 111 ," 1,398 ", -   ," 1,211 "," 2,244 "," 5,134 ", 748 ," 6,525 ", 657 ," 5,791 "," 30,182 "
44, -   , -   ," 1,109 "," 2,854 ", 138 , 51 , 869 ," 2,755 "," 1,427 "," 3,939 ", 476 ," 2,557 ", -   ," 3,058 "," 19,232 "
45, 62 ," 2,064 "," 6,878 "," 6,544 ", 224 , 798 , 512 ," 1,009 "," 2,752 "," 3,613 "," 1,036 "," 3,846 "," 2,127 "," 5,788 "," 37,255 "
46, -   , 926 ," 1,323 "," 5,200 "," 1,059 ", -   , 345 , -   , 418 , 823 , 25 ," 1,411 ", 49 ," 1,859 "," 13,439 "
47, -   , 918 , 855 ," 2,483 ", -   , 197 , 242 , 864 , 110 , 694 , 316 , 919 , -   ," 1,100 "," 8,698 "
48, -   , 525 ," 1,253 "," 5,742 ", 111 , 50 , 198 , 525 , 293 , 691 ," 1,688 ", 499 , 209 ," 1,549 "," 13,334 "
49, -   ," 1,647 ", 784 ," 1,799 ", -   , 580 , 529 , 40 , 105 ," 5,010 "," 1,662 "," 3,395 ", -   ," 2,754 "," 18,305 "
50, -   , 385 , -   ," 1,354 ", -   , -   , 166 , 156 , -   , -   , 239 , 329 , 127 ," 1,062 "," 3,820 "
51, -   , 453 , -   , 593 , -   , 176 , 262 , -   , 467 ," 1,901 ", 926 ," 1,941 ", 114 ," 1,752 "," 8,586 "
52, -   ," 1,007 ", -   , 301 , -   , 128 , 246 , 216 , -   , 983 , 672 ," 2,834 ", 29 ," 3,167 "," 9,582 "
53, -   , 934 , 89 ," 3,222 ", -   , 54 , 462 , 333 , 141 ," 7,886 "," 2,274 "," 3,598 ", 215 ," 2,716 "," 21,924 "
54, -   , 670 , 181 ," 2,716 ", -   , 39 , 670 , 58 , 584 ," 13,054 "," 1,766 "," 2,707 "," 1,092 "," 4,235 "," 27,774 "
55, -   , 940 ," 1,154 "," 1,881 ", 275 , -   , 361 , 956 ," 1,612 "," 1,007 "," 1,026 "," 4,570 ", 420 ," 1,681 "," 15,883 "
56, -   , 540 , 209 ," 4,571 ", -   , 161 , 339 , 589 , 28 ," 3,732 "," 3,517 "," 4,503 ", -   ," 2,893 "," 21,083 "
57, -   ," 2,481 ", 849 ," 3,420 ", 428 , -   ," 3,348 ", 309 , 844 ," 12,453 "," 1,298 "," 11,887 ", 89 ," 8,278 "," 45,685 "
58, -   , 474 , 413 , 772 , -   , 349 , 676 , 442 , 639 ," 1,026 ", 994 ," 6,456 "," 1,531 "," 4,002 "," 17,772 "
59, -   , 860 ," 1,770 "," 5,992 ", -   , -   ," 1,973 "," 1,141 "," 1,394 "," 2,177 ", 474 ," 6,954 ", -   ," 6,761 "," 29,497 "
60, -   , 549 , 332 ," 3,266 ", -   , -   , 333 ," 1,908 ", 453 ," 1,445 "," 1,096 "," 5,535 ", -   ," 2,266 "," 17,182 "
61, -   , 570 ," 1,313 "," 3,452 ", -   , -   , 331 ," 1,114 "," 2,136 "," 1,699 ", 552 ," 1,647 ", -   ," 5,367 "," 18,180 "
62, 197 , 660 , 254 , 598 , -   , 967 , -   , 772 , 595 ," 2,880 "," 1,192 "," 1,388 "," 2,472 "," 3,458 "," 15,433 "
63, -   , 274 , -   , 347 , 10 , -   , 323 , -   , 967 ," 9,258 ", 94 , 853 ," 1,381 "," 1,392 "," 14,897 "
64, 135 ," 2,294 "," 1,275 "," 7,431 ", 483 , 650 ," 2,341 "," 1,308 "," 2,567 "," 4,121 "," 1,145 "," 7,941 ", -   ," 10,465 "," 42,155 "
65, -   , 168 , 279 ," 1,877 ", -   , -   , 195 , 730 ," 1,419 ", 519 ," 3,879 "," 3,914 ", -   ," 4,533 "," 17,515 "
66, -   ," 1,627 "," 2,529 "," 4,896 ", -   , 154 , 460 , 621 ," 2,576 "," 3,909 ", 733 ," 3,763 ", -   ," 3,092 "," 24,359 "
67, -   ," 2,166 ", 51 ," 1,032 ", 416 , -   , 664 , -   , -   ," 1,867 ", 542 ," 2,406 ", -   ," 3,180 "," 12,324 "
68, -   ," 3,745 "," 1,395 "," 5,178 ", 135 , 88 ," 8,858 "," 2,845 "," 3,428 "," 6,741 "," 1,214 "," 31,321 ", 255 ," 14,143 "," 79,343 "
69, 12 ," 2,892 "," 3,259 "," 6,747 ", -   , 122 ," 3,044 ", 783 ," 1,209 "," 6,895 ", 740 ," 11,653 ", 10 ," 3,702 "," 41,067 "
70, -   ," 2,325 ", 116 ," 3,625 ", 214 , 68 , 397 , 349 , 694 ," 2,659 ", 730 ," 8,951 ", 46 ," 4,472 "," 24,646 "
71, -   ," 1,692 ", 418 ," 2,352 "," 2,057 ", -   , 73 ," 1,958 ", 173 ," 2,134 "," 2,275 "," 6,343 ", -   ," 8,314 "," 27,790 "
72, -   , 498 , 945 ," 3,332 ", 238 , 122 , 878 , 324 , 616 ," 2,234 ", 198 ," 13,306 ", -   ," 5,123 "," 27,814 "
73, 320 ," 7,472 "," 8,826 "," 16,799 "," 1,426 "," 1,356 "," 19,923 "," 4,192 "," 8,071 "," 6,994 ", 568 ," 57,009 ", 443 ," 19,984 "," 153,383 "
74, -   ," 1,552 "," 5,306 "," 7,460 ", 110 , 694 ," 3,903 ", 523 , 723 ," 5,317 ", 933 ," 16,534 ", 817 ," 8,469 "," 52,343 "
75, -   , 257 , 493 ," 2,776 ", 490 ," 1,036 "," 1,443 ", 404 , -   , 725 , 996 ," 3,525 ", 36 ," 3,191 "," 15,372 "
76, -   , 891 , 92 ," 1,508 ", -   , 257 ," 1,233 "," 1,074 "," 1,264 ", 744 , 193 ," 3,575 ", -   ," 4,437 "," 15,268 "
